,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,35.1269,35.1269,35.1269,35.1269,35.1269,35.1269,35.1269,35.1269,35.1269,35.1269,35.1269,35.1269,35.1269,35.1269,35.1269,35.1269,35.1269,35.1269,35.1269,35.1269,35.1269,35.1269,35.1269,35.1269,35.1269,35.1269,35.1269,35.1269,35.1269,35.1269,35.1269,35.1269,35.1269,35.1269,35.1269,35.1269,35.1269,35.1269,35.1269,35.1269,35.1269,35.1269,35.1269,35.1269,35.1269,35.1269,35.1269,35.1269,35.1269,35.1269,35.1269,35.1269,35.1269,35.1269,35.1269
Long,-89.9253,-89.9253,-89.9253,-89.9253,-89.9253,-89.9253,-89.9253,-89.9253,-89.9253,-89.9253,-89.9253,-89.9253,-89.9253,-89.9253,-89.9253,-89.9253,-89.9253,-89.9253,-89.9253,-89.9253,-89.9253,-89.9253,-89.9253,-89.9253,-89.9253,-89.9253,-89.9253,-89.9253,-89.9253,-89.9253,-89.9253,-89.9253,-89.9253,-89.9253,-89.9253,-89.9253,-89.9253,-89.9253,-89.9253,-89.9253,-89.9253,-89.9253,-89.9253,-89.9253,-89.9253,-89.9253,-89.9253,-89.9253,-89.9253,-89.9253,-89.9253,-89.9253,-89.9253,-89.9253,-89.9253
Province/State,"Shelby County, TN","Shelby County, TN","Shelby County, TN","Shelby County, TN","Shelby County, TN","Shelby County, TN","Shelby County, TN","Shelby County, TN","Shelby County, TN","Shelby County, TN","Shelby County, TN","Shelby County, TN","Shelby County, TN","Shelby County, TN","Shelby County, TN","Shelby County, TN","Shelby County, TN","Shelby County, TN","Shelby County, TN","Shelby County, TN","Shelby County, TN","Shelby County, TN","Shelby County, TN","Shelby County, TN","Shelby County, TN","Shelby County, TN","Shelby County, TN","Shelby County, TN","Shelby County, TN","Shelby County, TN","Shelby County, TN","Shelby County, TN","Shelby County, TN","Shelby County, TN","Shelby County, TN","Shelby County, TN","Shelby County, TN","Shelby County, TN","Shelby County, TN","Shelby County, TN","Shelby County, TN","Shelby County, TN","Shelby County, TN","Shelby County, TN","Shelby County, TN","Shelby County, TN","Shelby County, TN","Shelby County, TN","Shelby County, TN","Shelby County, TN","Shelby County, TN","Shelby County, TN","Shelby County, TN","Shelby County, TN","Shelby County, TN"
apparentTemperatureHigh,39.91,42.44,38.8,44.01,52.43,56.36,57.77,51.98,45.08,45.97,53.39,68.85,68.29,64.03,45.5,32.58,42.9,52.09,67.54,59.13,40.91,46.1,38.98,32.82,57.55,58.99,58.26,59.63,52.94,37.59,39.87,52.93,52.3,59.64,52.78,36.52,43.21,52.92,59.99,69.13,69.52,64.79,63.81,66.66,56.56,60.34,69,68.64,63.44,64.85,73.76,57.02,63.02,44.37,51.69
apparentTemperatureHighTime,1579740900,1579825200,1579894740,1579988880,1580063160,1580161020,1580240760,1580325840,1580416020,1580510040,1580587680,1580674140,1580759760,1580845200,1580928600,1581026400,1581107820,1581192060,1581279000,1581352500,1581451200,1581536760,1581627480,1581717360,1581797160,1581882000,1581969780,1582030800,1582142700,1582230720,1582315920,1582401780,1582482540,1582588440,1582660260,1582743720,1582839720,1582921020,1583013060,1583092500,1583184060,1583265660,1583347620,1583438640,1583524860,1583611560,1583697660,1583782560,1583841600,1583961000,1584042780,1584128040,1584213180,1584301560,1584403200
apparentTemperatureLow,30.08,33.34,30.52,34.97,41.48,31.96,37,34.53,39.55,40.44,34.59,51.49,60.52,38.58,29.17,23.92,30.76,33.47,56.55,31,35.72,31.42,10.47,21,42.45,38.61,54.96,28.69,27.47,15.68,25.07,35.26,41.21,43.37,33.88,25.72,33.13,34.44,42.2,56.53,54.12,50.43,44.46,37.31,30.2,36.5,53.79,61.36,41.3,58.06,54.47,42.31,35.25,36.19,44.94
apparentTemperatureLowTime,1579775280,1579861200,1579952880,1580014620,1580133600,1580218620,1580305800,1580381460,1580467200,1580544060,1580637960,1580727360,1580813280,1580897640,1580997600,1581064440,1581148200,1581231120,1581329100,1581427620,1581493920,1581602400,1581685020,1581749640,1581847080,1581936780,1581990120,1582119840,1582207200,1582279920,1582365480,1582433940,1582517100,1582628100,1582723200,1582804080,1582887600,1582974180,1583056440,1583146680,1583243820,1583319420,1583402760,1583492640,1583582100,1583662080,1583751360,1583845200,1583920560,1583999700,1584104400,1584179760,1584277200,1584345000,1584450000
apparentTemperatureMax,39.91,42.44,38.8,44.01,52.43,56.36,57.77,51.98,45.08,45.97,53.39,68.85,68.29,64.03,45.5,32.58,42.9,52.09,67.54,59.13,40.91,46.1,39.36,32.82,57.55,58.99,58.26,59.72,52.94,39.18,39.87,52.93,52.3,59.64,52.78,40.74,43.21,52.92,59.99,69.13,69.52,66.82,63.81,66.66,56.56,60.34,69,68.64,63.58,64.85,73.76,68.05,63.02,44.37,51.71
apparentTemperatureMaxTime,1579740900,1579825200,1579894740,1579988880,1580063160,1580161020,1580240760,1580325840,1580416020,1580510040,1580587680,1580674140,1580759760,1580845200,1580928600,1581026400,1581107820,1581192060,1581279000,1581352500,1581451200,1581536760,1581573600,1581717360,1581797160,1581882000,1581969780,1582028820,1582142700,1582178400,1582315920,1582401780,1582482540,1582588440,1582660260,1582696800,1582839720,1582921020,1583013060,1583092500,1583184060,1583215200,1583347620,1583438640,1583524860,1583611560,1583697660,1583782560,1583840520,1583961000,1584042780,1584075600,1584213180,1584301560,1584403860
apparentTemperatureMin,21.56,30.08,31.74,30.52,35.63,41.4,31.96,36.02,34.53,39.55,38.09,34.59,51.49,50.31,32.17,25.29,23.92,30.76,33.47,38.56,31,35.72,23.79,10.47,21,42.45,38.61,35.23,28.69,21.72,15.68,25.07,36.22,41.6,41.82,28.61,25.72,33.13,34.44,42.2,56.53,54.12,50.43,44.46,37.31,30.2,36.5,53.79,49.08,41.3,58.06,50.38,42.31,35.22,36.19
apparentTemperatureMinTime,1579672800,1579775280,1579928400,1579952880,1580018400,1580134620,1580218620,1580360400,1580381460,1580467200,1580619600,1580637960,1580727360,1580878800,1580965200,1581051600,1581064440,1581148200,1581231120,1581397200,1581427620,1581493920,1581656400,1581685020,1581749640,1581847080,1581936780,1582088400,1582119840,1582261200,1582279920,1582365480,1582442520,1582534260,1582693200,1582779600,1582804080,1582887600,1582974180,1583056440,1583146680,1583243820,1583319420,1583402760,1583492640,1583582100,1583662080,1583751360,1583899200,1583920560,1583999700,1584158400,1584179760,1584278100,1584345000
cloudCover,0.95,0.98,0.9,0.52,0.88,0.43,0.48,0.81,0.97,0.96,0.39,0.04,0.5,0.98,0.98,0.99,0.38,0.1,0.43,0.96,0.98,0.99,0.72,0.07,0.42,0.6,0.72,0.98,0.74,0.68,0.01,0.33,0.89,0.87,0.83,0.77,0.11,0.37,0.1,0.5,0.77,0.79,0.75,0.34,0,0.15,0.29,0.92,0.79,0.63,0.8,0.88,0.95,0.96,0.94
