,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,33.8569,33.8569,33.8569,33.8569,33.8569,33.8569,33.8569,33.8569,33.8569,33.8569,33.8569,33.8569,33.8569,33.8569,33.8569,33.8569,33.8569,33.8569,33.8569,33.8569,33.8569,33.8569,33.8569,33.8569,33.8569,33.8569,33.8569,33.8569,33.8569,33.8569,33.8569,33.8569,33.8569,33.8569,33.8569,33.8569,33.8569,33.8569,33.8569,33.8569,33.8569,33.8569,33.8569,33.8569,33.8569,33.8569,33.8569,33.8569,33.8569,33.8569,33.8569,33.8569,33.8569,33.8569,33.8569
Long,-80.945,-80.945,-80.945,-80.945,-80.945,-80.945,-80.945,-80.945,-80.945,-80.945,-80.945,-80.945,-80.945,-80.945,-80.945,-80.945,-80.945,-80.945,-80.945,-80.945,-80.945,-80.945,-80.945,-80.945,-80.945,-80.945,-80.945,-80.945,-80.945,-80.945,-80.945,-80.945,-80.945,-80.945,-80.945,-80.945,-80.945,-80.945,-80.945,-80.945,-80.945,-80.945,-80.945,-80.945,-80.945,-80.945,-80.945,-80.945,-80.945,-80.945,-80.945,-80.945,-80.945,-80.945,-80.945
Province/State,South Carolina,South Carolina,South Carolina,South Carolina,South Carolina,South Carolina,South Carolina,South Carolina,South Carolina,South Carolina,South Carolina,South Carolina,South Carolina,South Carolina,South Carolina,South Carolina,South Carolina,South Carolina,South Carolina,South Carolina,South Carolina,South Carolina,South Carolina,South Carolina,South Carolina,South Carolina,South Carolina,South Carolina,South Carolina,South Carolina,South Carolina,South Carolina,South Carolina,South Carolina,South Carolina,South Carolina,South Carolina,South Carolina,South Carolina,South Carolina,South Carolina,South Carolina,South Carolina,South Carolina,South Carolina,South Carolina,South Carolina,South Carolina,South Carolina,South Carolina,South Carolina,South Carolina,South Carolina,South Carolina,South Carolina
apparentTemperatureHigh,46.08,51.88,65.21,55.92,57.22,60.24,59.22,56.43,58.41,36.05,50.58,65.12,76.17,73.14,74.66,75.57,51.22,51.11,56.2,70.58,76.35,76.85,76.38,60.5,55.06,47.11,61.95,60.72,59.81,42.78,39.75,56.29,63.31,51.71,66.96,65.12,54.78,57.32,56.1,63.01,70.29,71.83,59.39,52.04,61.16,57.79,64.55,73.24,72.96,78,80.05,81.97,73.64,71.06,58.64
apparentTemperatureHighTime,1579723920,1579810500,1579891320,1579981980,1580069460,1580152140,1580242020,1580327160,1580414340,1580515200,1580593500,1580673420,1580760420,1580846040,1580932500,1581015120,1581104340,1581187740,1581279000,1581365880,1581452340,1581537000,1581611940,1581710760,1581797640,1581868860,1581971220,1582070400,1582120200,1582200000,1582316040,1582401720,1582487820,1582567380,1582661880,1582737060,1582834920,1582919400,1583007600,1583094420,1583176560,1583266320,1583330100,1583409600,1583517120,1583612100,1583697480,1583783760,1583871120,1583956380,1584040020,1584126300,1584215040,1584298380,1584389040
apparentTemperatureLow,26.71,40.05,40.4,32.91,43.09,34.76,34.51,36.5,33.54,35.55,33.29,40.95,47.38,56.8,62.94,42.24,29.01,30.28,35.59,61.14,58.67,65.54,43.67,28.11,39.04,45.22,52.04,59.33,40.96,28,25.56,30.09,47.37,46.8,56.81,32.97,30.93,31.85,27.48,38.5,56.68,58.88,51.15,42.02,31.49,32.4,37.69,54.62,52.91,55.08,65.02,61.57,57.43,50.14,53.22
apparentTemperatureLowTime,1579775760,1579840980,1579956300,1580037360,1580122740,1580208720,1580302260,1580383140,1580464920,1580529180,1580643300,1580730240,1580814000,1580900460,1580980320,1581080400,1581159540,1581242400,1581332100,1581397380,1581509340,1581575940,1581681900,1581764880,1581828180,1581940620,1582020000,1582113600,1582203600,1582283700,1582365540,1582452180,1582538820,1582595640,1582718100,1582801680,1582890300,1582976700,1583063160,1583150160,1583209380,1583324640,1583413200,1583491740,1583581680,1583661900,1583747820,1583834880,1583927040,1584013440,1584097080,1584176520,1584255840,1584357060,1584446400
apparentTemperatureMax,46.08,51.88,65.21,55.92,57.22,60.24,59.22,56.43,58.41,38.78,50.58,65.12,76.17,73.14,74.66,75.57,63.62,51.11,56.2,70.58,76.35,76.85,76.38,60.5,55.06,47.11,61.95,61.44,61.42,44.36,39.75,56.29,63.31,51.78,66.96,65.12,54.78,57.32,56.1,63.01,70.29,71.83,64.73,54.01,61.16,57.79,64.55,73.24,72.96,78,80.05,81.97,73.64,71.06,58.64
apparentTemperatureMaxTime,1579723920,1579810500,1579891320,1579981980,1580069460,1580152140,1580242020,1580327160,1580414340,1580446800,1580593500,1580673420,1580760420,1580846040,1580932500,1581015120,1581051600,1581187740,1581279000,1581365880,1581452340,1581537000,1581611940,1581710760,1581797640,1581868860,1581971220,1582083000,1582088400,1582178400,1582316040,1582401720,1582487820,1582520400,1582661880,1582737060,1582834920,1582919400,1583007600,1583094420,1583176560,1583266320,1583298000,1583393160,1583517120,1583612100,1583697480,1583783760,1583871120,1583956380,1584040020,1584126300,1584215040,1584298380,1584389040
