,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,38.4912,38.4912,38.4912,38.4912,38.4912,38.4912,38.4912,38.4912,38.4912,38.4912,38.4912,38.4912,38.4912,38.4912,38.4912,38.4912,38.4912,38.4912,38.4912,38.4912,38.4912,38.4912,38.4912,38.4912,38.4912,38.4912,38.4912,38.4912,38.4912,38.4912,38.4912,38.4912,38.4912,38.4912,38.4912,38.4912,38.4912,38.4912,38.4912,38.4912,38.4912,38.4912,38.4912,38.4912,38.4912,38.4912,38.4912,38.4912,38.4912,38.4912,38.4912,38.4912,38.4912,38.4912,38.4912
Long,-80.9545,-80.9545,-80.9545,-80.9545,-80.9545,-80.9545,-80.9545,-80.9545,-80.9545,-80.9545,-80.9545,-80.9545,-80.9545,-80.9545,-80.9545,-80.9545,-80.9545,-80.9545,-80.9545,-80.9545,-80.9545,-80.9545,-80.9545,-80.9545,-80.9545,-80.9545,-80.9545,-80.9545,-80.9545,-80.9545,-80.9545,-80.9545,-80.9545,-80.9545,-80.9545,-80.9545,-80.9545,-80.9545,-80.9545,-80.9545,-80.9545,-80.9545,-80.9545,-80.9545,-80.9545,-80.9545,-80.9545,-80.9545,-80.9545,-80.9545,-80.9545,-80.9545,-80.9545,-80.9545,-80.9545
Province/State,West Virginia,West Virginia,West Virginia,West Virginia,West Virginia,West Virginia,West Virginia,West Virginia,West Virginia,West Virginia,West Virginia,West Virginia,West Virginia,West Virginia,West Virginia,West Virginia,West Virginia,West Virginia,West Virginia,West Virginia,West Virginia,West Virginia,West Virginia,West Virginia,West Virginia,West Virginia,West Virginia,West Virginia,West Virginia,West Virginia,West Virginia,West Virginia,West Virginia,West Virginia,West Virginia,West Virginia,West Virginia,West Virginia,West Virginia,West Virginia,West Virginia,West Virginia,West Virginia,West Virginia,West Virginia,West Virginia,West Virginia,West Virginia,West Virginia,West Virginia,West Virginia,West Virginia,West Virginia,West Virginia,West Virginia
apparentTemperatureHigh,45.79,53.65,54.13,36.54,31.85,38.91,34.84,35.89,39.13,52.49,39.97,58.36,68.24,55.03,44.23,57.7,25.44,37.35,46.92,47.82,48.88,46.07,51.1,23.64,42.77,55.52,57.73,53.9,42.49,33.78,33.91,47.48,57.74,53.12,59.93,56.45,23.38,31.22,26.41,54.46,54.38,60.68,61.68,62.26,37.76,40.59,65.05,68.66,58.24,59.77,71.12,60.69,47.45,43.51,54.57
apparentTemperatureHighTime,1579722840,1579807140,1579885440,1579971600,1580083200,1580153160,1580253000,1580328000,1580414160,1580498880,1580568660,1580675220,1580760000,1580844360,1580947200,1581001500,1581076800,1581192060,1581279000,1581379200,1581422400,1581527220,1581595200,1581707220,1581797040,1581882840,1581970260,1582042500,1582142040,1582228680,1582315620,1582401660,1582487400,1582571760,1582661640,1582736760,1582833660,1582920180,1583011260,1583092980,1583163120,1583259480,1583351760,1583438580,1583496000,1583611920,1583697540,1583783880,1583857560,1583957100,1584043920,1584097200,1584205320,1584309540,1584385020
apparentTemperatureLow,25.8,35.5,35.41,26.64,29.77,28.98,30.76,28.99,31.48,38.37,29.42,39.54,52.21,30.31,43.51,24.1,20.29,28.58,38.38,46.2,33.8,40.87,17.27,14.07,30.23,29.75,42.23,29.41,30.66,11.56,16.78,21.03,32.37,43.14,44.25,17.4,22.1,14.57,17.02,37.04,45.5,34.57,33.65,36.57,23.77,22.83,37.13,54.47,48.14,40.69,58.71,37.17,31.42,36.41,44.76
apparentTemperatureLowTime,1579759620,1579838640,1579953900,1580036160,1580095140,1580208480,1580296140,1580351700,1580465100,1580553840,1580640960,1580728620,1580821200,1580907600,1580950380,1581080400,1581136860,1581246060,1581299280,1581426000,1581508260,1581552000,1581685200,1581771480,1581826500,1581940620,1582022940,1582110600,1582192380,1582282560,1582365720,1582451760,1582545060,1582606200,1582711200,1582804860,1582848300,1582975440,1583063640,1583146320,1583220720,1583322780,1583408940,1583499600,1583577600,1583661360,1583754480,1583838120,1583920740,1584012060,1584070320,1584184380,1584273600,1584356520,1584426120
apparentTemperatureMax,45.79,53.65,54.13,44.15,31.85,38.91,34.84,35.89,39.13,52.49,40.76,58.36,68.24,60.52,54.41,57.7,35.23,37.35,46.92,48.16,50.73,50.15,54.65,28.7,42.77,55.52,57.73,53.9,42.49,33.78,33.91,47.48,57.74,53.12,59.93,56.45,24.45,31.22,26.41,54.46,54.38,60.68,61.68,62.26,43.66,40.59,65.05,68.66,58.25,59.77,71.12,60.77,47.45,43.51,54.57
apparentTemperatureMaxTime,1579722840,1579807140,1579885440,1579928400,1580083200,1580153160,1580253000,1580328000,1580414160,1580498880,1580534400,1580675220,1580760000,1580796600,1580878800,1581001500,1581051600,1581192060,1581279000,1581393600,1581406140,1581566400,1581581580,1581656400,1581797040,1581882840,1581970260,1582042500,1582142040,1582228680,1582315620,1582401660,1582487400,1582571760,1582661640,1582736760,1582779600,1582920180,1583011260,1583092980,1583163120,1583259480,1583351760,1583438580,1583470800,1583611920,1583697540,1583783880,1583822580,1583957100,1584043920,1584095520,1584205320,1584309540,1584385020
