,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India
Lat,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0
Long,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparentTemperatureHigh,86.55,85.44,85.06,85.43,87.36,86.47,85.58,83.2,82.18,82.66,79.42,80.86,81.26,82.74,82.9,81.65,83.98,80.68,81.35,82.35,82.45,88.35,90.59,92.22,92.12,91.78,90.85,92.56,92.63,94.9,92.81,91.66,94.35,91.48,86.5,89.02,90.79,92.09,94.14,93.48,91.4,93.51,91.43,90.46,91.83,91.43,93.46,89.64,90.93,89.51,91.47,91.75,93.67,93.68,96.29
apparentTemperatureHighTime,1579689000,1579775700,1579859820,1579948260,1580032440,1580112480,1580198460,1580291400,1580378220,1580464560,1580554440,1580637060,1580723280,1580804280,1580896620,1580975520,1581069420,1581155760,1581242040,1581332040,1581415680,1581501420,1581588360,1581673980,1581760740,1581847080,1581930120,1582019520,1582106100,1582192920,1582279020,1582369920,1582451820,1582538940,1582626180,1582710840,1582797480,1582886700,1582973040,1583049720,1583146560,1583229420,1583316300,1583395380,1583488440,1583575080,1583661300,1583748120,1583826720,1583920440,1584008220,1584095220,1584180240,1584267600,1584355740
apparentTemperatureLow,65.22,62.22,63.02,58.9,59.38,63.79,60.9,57.33,53.73,55.74,57.04,58.34,63.15,65.71,64.17,61.44,61.49,56.6,55.18,58.16,61.96,62.91,61.5,61.23,62.75,62.85,58.91,57.26,61.79,71.05,70.22,69.79,68.12,62.35,57.89,59.21,64.12,62.71,64.23,66.96,65.81,63.53,61.64,62.13,61.98,62.62,69.81,70.06,71.6,68.57,71.86,69.22,61.89,65.14,66.55
apparentTemperatureLowTime,1579742280,1579825680,1579907520,1579993680,1580079840,1580174100,1580252460,1580345940,1580425620,1580511420,1580594400,1580684700,1580780040,1580865540,1580940240,1581038820,1581119640,1581203820,1581289440,1581376140,1581458880,1581549180,1581635040,1581721380,1581808080,1581893640,1581980340,1582066740,1582153080,1582239840,1582326300,1582412400,1582495380,1582585440,1582671720,1582758060,1582844880,1582931040,1583017260,1583100000,1583186400,1583276520,1583362980,1583449800,1583535840,1583622180,1583708460,1583794620,1583891760,1583967840,1584054180,1584142440,1584227280,1584315900,1584399780
apparentTemperatureMax,86.55,85.44,85.06,85.43,87.36,86.47,85.58,83.2,82.18,82.66,79.42,80.86,81.26,82.74,82.9,81.65,83.98,80.68,81.35,82.35,82.45,88.35,90.59,92.22,92.12,91.78,90.85,92.56,92.63,94.9,92.81,91.66,94.35,91.48,86.5,89.02,90.79,92.09,94.14,93.48,91.4,93.51,91.43,90.46,91.83,91.43,93.46,89.64,90.93,89.51,91.47,91.75,93.67,93.68,96.29
apparentTemperatureMaxTime,1579689000,1579775700,1579859820,1579948260,1580032440,1580112480,1580198460,1580291400,1580378220,1580464560,1580554440,1580637060,1580723280,1580804280,1580896620,1580975520,1581069420,1581155760,1581242040,1581332040,1581415680,1581501420,1581588360,1581673980,1581760740,1581847080,1581930120,1582019520,1582106100,1582192920,1582279020,1582369920,1582451820,1582538940,1582626180,1582710840,1582797480,1582886700,1582973040,1583049720,1583146560,1583229420,1583316300,1583395380,1583488440,1583575080,1583661300,1583748120,1583826720,1583920440,1584008220,1584095220,1584180240,1584267600,1584355740
apparentTemperatureMin,65.27,65.22,62.22,63.02,58.9,59.38,63.79,60.9,57.33,53.73,55.74,57.04,58.34,63.15,65.71,64.17,61.44,61.49,56.6,55.18,58.16,61.96,62.91,61.5,61.23,62.75,62.85,58.91,57.26,61.79,71.05,70.22,69.79,68.12,62.35,57.89,59.21,64.12,62.71,64.23,66.96,65.81,63.53,61.64,62.13,61.98,62.62,69.81,70.06,71.6,68.57,71.86,69.22,61.89,65.14
apparentTemperatureMinTime,1579650660,1579742280,1579825680,1579907520,1579993680,1580079840,1580174100,1580252460,1580345940,1580425620,1580511420,1580594400,1580684700,1580780040,1580865540,1580940240,1581038820,1581119640,1581203820,1581289440,1581376140,1581458880,1581549180,1581635040,1581721380,1581808080,1581893640,1581980340,1582066740,1582153080,1582239840,1582326300,1582412400,1582495380,1582585440,1582671720,1582758060,1582844880,1582931040,1583017260,1583100000,1583186400,1583276520,1583362980,1583449800,1583535840,1583622180,1583708460,1583794620,1583891760,1583967840,1584054180,1584142440,1584227280,1584315900
cloudCover,0.63,0.68,0.36,0.29,0,0.07,0.27,0.07,0,0,0.53,0.29,0.28,0.67,0.66,0.77,0.57,0.25,0.18,0.28,0.01,0,0,0.01,0.01,0,0,0,0.23,0.05,0.23,0.29,0.11,0.1,0,0,0,0,0,0.21,0.37,0.01,0,0,0,0.01,0.1,0.54,0.63,0.55,0.33,0.58,0.31,0.38,0.59
dewPoint,60.47,59.17,54.38,52.8,47.57,48.76,48.52,52.45,46.43,42.36,46.36,44.87,52.39,60.82,59.19,57.91,59.12,54.24,45.31,47.79,49.25,49.88,43.32,43.09,43.93,39.11,31.14,22.58,26.3,48.91,57.53,57.25,55.61,51.6,38.82,31.69,36.81,39.82,40.76,53.46,53.95,40.42,34.58,37.16,38.18,46.52,45.49,50.64,59.79,56.86,46.14,50,38.87,26.64,38.3
humidity,0.64,0.61,0.54,0.51,0.46,0.46,0.46,0.55,0.5,0.43,0.49,0.44,0.55,0.7,0.64,0.64,0.69,0.6,0.46,0.5,0.49,0.46,0.34,0.35,0.37,0.28,0.21,0.18,0.18,0.38,0.48,0.5,0.46,0.44,0.32,0.27,0.28,0.29,0.3,0.47,0.46,0.31,0.25,0.27,0.26,0.39,0.34,0.38,0.51,0.5,0.32,0.36,0.27,0.16,0.25
icon,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,partly-cloudy-day,clear-day,clear-day,rain,partly-cloudy-day,partly-cloudy-day,rain,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,partly-cloudy-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,clear-day,partly-cloudy-day,partly-cloudy-day
moonPhase,0.93,0.96,0.99,0.02,0.05,0.09,0.12,0.15,0.18,0.21,0.24,0.27,0.3,0.33,0.37,0.4,0.44,0.48,0.51,0.55,0.59,0.63,0.67,0.7,0.74,0.77,0.81,0.84,0.87,0.91,0.94,0.97,1,0.03,0.06,0.09,0.12,0.15,0.18,0.21,0.24,0.28,0.31,0.35,0.38,0.42,0.46,0.5,0.54,0.58,0.61,0.65,0.69,0.72,0.76
ozone,256.1,257.8,254.3,253.4,256.4,257.5,251.3,249.9,244.3,241.2,243.5,247.8,251.9,255.2,259.6,261.4,271.2,283.8,279,271.4,268.9,265.7,260.8,255.9,256.3,258.3,258.5,262.9,277.4,287.6,285.8,283.7,279.4,279.4,281.8,273.4,269.7,267,272.6,269.5,268.4,272.8,272.5,272.5,273.2,271.8,271.1,274,277.5,277.7,277,275.5,283.2,286,274.5
precipIntensity,0.0005,0.0006,0,0,0.0001,0.0009,0.0003,0.0002,0.0001,0.0001,0.0001,0.0001,0.0001,0.0033,0.0001,0.0012,0.0025,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0002,0.0001,0.0001,0.0006,0.0001,0.0001,0.0001,0.0001,0.0001,0,0.0001,0,0.0045,0.0001,0.0001,0,0,0,0,0.0007,0.0003,0.0009,0.0023,0.0001,0.0013,0.0001,0.0001,0
precipIntensityMax,0.0036,0.0022,0.0002,0.0002,0.0003,0.0074,0.0058,0.0003,0.0003,0.0002,0.0003,0.0003,0.0009,0.0195,0.0003,0.006,0.0145,0.0005,0.0003,0.0004,0.0002,0.0004,0.0004,0.0003,0.0003,0.0003,0.0003,0.0004,0.0004,0.0004,0.0047,0.0004,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0245,0.0002,0.0003,0.0002,0.0003,0.0003,0.0003,0.0053,0.0045,0.0056,0.0201,0.0004,0.0105,0.0003,0.0003,0.0001
precipIntensityMaxTime,1579640400,1579741260,1579845600,1579900800,1580032800,1580146200,1580149800,1580284800,1580365500,1580418000,1580505900,1580590440,1580726580,1580774400,1580915100,1581010200,1581021180,1581120120,1581237300,1581328800,1581368400,1581518040,1581580500,1581692760,1581723360,1581843600,1581936900,1582005960,1582053900,1582194900,1582297200,1582342080,1582416000,1582524000,1582569000,1582663620,1582772400,1582871100,1582978020,1583061780,1583136000,1583184420,1583312400,1583377200,1583433000,1583593200,1583688120,1583692200,1583809680,1583895660,1583992020,1584046680,1584124200,1584218820,1584306000
precipProbability,0.12,0.12,0.02,0.03,0.05,0.09,0.09,0.09,0.03,0.01,0.07,0.05,0.06,0.44,0.07,0.18,0.34,0.05,0.04,0.07,0.04,0.03,0.05,0.01,0.02,0.03,0.03,0.03,0.02,0.06,0.12,0.08,0.05,0.03,0.04,0.01,0.01,0.03,0.02,0.17,0.05,0.05,0.01,0.02,0.02,0.03,0.13,0.1,0.18,0.24,0.1,0.1,0.04,0.02,0.01
