,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,42.1767,42.1767,42.1767,42.1767,42.1767,42.1767,42.1767,42.1767,42.1767,42.1767,42.1767,42.1767,42.1767,42.1767,42.1767,42.1767,42.1767,42.1767,42.1767,42.1767,42.1767,42.1767,42.1767,42.1767,42.1767,42.1767,42.1767,42.1767,42.1767,42.1767,42.1767,42.1767,42.1767,42.1767,42.1767,42.1767,42.1767,42.1767,42.1767,42.1767,42.1767,42.1767,42.1767,42.1767,42.1767,42.1767,42.1767,42.1767,42.1767,42.1767,42.1767,42.1767,42.1767,42.1767,42.1767
Long,-71.1449,-71.1449,-71.1449,-71.1449,-71.1449,-71.1449,-71.1449,-71.1449,-71.1449,-71.1449,-71.1449,-71.1449,-71.1449,-71.1449,-71.1449,-71.1449,-71.1449,-71.1449,-71.1449,-71.1449,-71.1449,-71.1449,-71.1449,-71.1449,-71.1449,-71.1449,-71.1449,-71.1449,-71.1449,-71.1449,-71.1449,-71.1449,-71.1449,-71.1449,-71.1449,-71.1449,-71.1449,-71.1449,-71.1449,-71.1449,-71.1449,-71.1449,-71.1449,-71.1449,-71.1449,-71.1449,-71.1449,-71.1449,-71.1449,-71.1449,-71.1449,-71.1449,-71.1449,-71.1449,-71.1449
Province/State,"Norfolk County, MA","Norfolk County, MA","Norfolk County, MA","Norfolk County, MA","Norfolk County, MA","Norfolk County, MA","Norfolk County, MA","Norfolk County, MA","Norfolk County, MA","Norfolk County, MA","Norfolk County, MA","Norfolk County, MA","Norfolk County, MA","Norfolk County, MA","Norfolk County, MA","Norfolk County, MA","Norfolk County, MA","Norfolk County, MA","Norfolk County, MA","Norfolk County, MA","Norfolk County, MA","Norfolk County, MA","Norfolk County, MA","Norfolk County, MA","Norfolk County, MA","Norfolk County, MA","Norfolk County, MA","Norfolk County, MA","Norfolk County, MA","Norfolk County, MA","Norfolk County, MA","Norfolk County, MA","Norfolk County, MA","Norfolk County, MA","Norfolk County, MA","Norfolk County, MA","Norfolk County, MA","Norfolk County, MA","Norfolk County, MA","Norfolk County, MA","Norfolk County, MA","Norfolk County, MA","Norfolk County, MA","Norfolk County, MA","Norfolk County, MA","Norfolk County, MA","Norfolk County, MA","Norfolk County, MA","Norfolk County, MA","Norfolk County, MA","Norfolk County, MA","Norfolk County, MA","Norfolk County, MA","Norfolk County, MA","Norfolk County, MA"
apparentTemperatureHigh,35.93,44.51,43.13,40.19,43.61,39.1,35.29,35.97,35.19,40.89,40.96,39,42.08,46.58,39.34,36.51,54.13,27.4,33.51,40.97,42.31,40.06,38.84,24.83,21.04,40.1,41.35,37.67,37.26,26.41,27.95,41.21,54.86,61.49,55.19,44.18,50.71,31.41,28.44,29.39,53.9,64.32,51.86,52.89,45.1,39.54,53.92,73.25,67.76,54.56,45.67,60.74,52.77,46.18,32.64
apparentTemperatureHighTime,1579726620,1579808460,1579889640,1579996800,1580061300,1580151180,1580230680,1580324280,1580415720,1580500680,1580580660,1580680320,1580749920,1580847480,1580936400,1581015840,1581106620,1581188460,1581268140,1581375180,1581447660,1581541020,1581621420,1581681600,1581796560,1581883620,1581969060,1582070400,1582131480,1582227840,1582315260,1582403640,1582489620,1582568220,1582659720,1582740780,1582819020,1582920060,1583002560,1583107200,1583180220,1583258820,1583348820,1583438460,1583513400,1583611080,1583693880,1583785140,1583865120,1583949780,1584036300,1584132960,1584209880,1584302160,1584381720
apparentTemperatureLow,11.64,23.56,30.28,35.34,29.53,31.94,24.73,13.26,17.33,29.77,33.57,22.74,24.89,36.74,28.66,29.52,13.68,16.17,30.1,38.21,28.02,30.78,23.49,0.6,12.97,22.97,24.17,32.73,17.13,5.77,14.17,21,24.04,36.85,40.34,37.13,20.12,17.35,10.45,20.71,42.43,38.6,31.21,28.82,20.6,20.97,33.27,43.7,41.44,27.56,36.29,32.53,31.96,19.3,24.31
apparentTemperatureLowTime,1579780560,1579866720,1579946460,1580043600,1580117640,1580207040,1580295600,1580385480,1580464740,1580554320,1580641200,1580717160,1580799600,1580904360,1580983740,1581062880,1581159300,1581231840,1581306060,1581426000,1581501120,1581580200,1581685200,1581749820,1581816420,1581939900,1582023780,1582095840,1582192020,1582283220,1582371900,1582456800,1582543440,1582606740,1582714800,1582790220,1582887300,1582973820,1583063640,1583127900,1583236680,1583318580,1583405940,1583491920,1583579100,1583665080,1583726340,1583838000,1583927880,1584006900,1584089160,1584181080,1584273360,1584358560,1584403860
apparentTemperatureMax,35.93,44.51,43.13,51.38,51.18,39.1,35.29,35.97,35.19,40.89,40.96,39,42.08,46.58,41.37,36.51,54.13,27.4,34.18,42.15,42.31,40.06,38.84,31.57,21.04,40.1,41.35,38.32,37.26,26.41,27.95,41.21,54.86,61.49,55.19,44.18,50.71,31.41,28.44,29.39,53.9,64.32,51.86,52.89,45.1,39.54,53.92,73.25,67.76,59.12,45.67,60.74,52.77,46.18,32.64
apparentTemperatureMaxTime,1579726620,1579808460,1579889640,1580011200,1580014800,1580151180,1580230680,1580324280,1580415720,1580500680,1580580660,1580680320,1580749920,1580847480,1580880060,1581015840,1581106620,1581188460,1581296520,1581386100,1581447660,1581541020,1581621420,1581659340,1581796560,1581883620,1581969060,1582077600,1582131480,1582227840,1582315260,1582403640,1582489620,1582568220,1582659720,1582740780,1582819020,1582920060,1583002560,1583107320,1583180220,1583258820,1583348820,1583438460,1583513400,1583611080,1583693880,1583785140,1583865120,1583901540,1584036300,1584132960,1584209880,1584302160,1584381720
