,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,37.7693,37.7693,37.7693,37.7693,37.7693,37.7693,37.7693,37.7693,37.7693,37.7693,37.7693,37.7693,37.7693,37.7693,37.7693,37.7693,37.7693,37.7693,37.7693,37.7693,37.7693,37.7693,37.7693,37.7693,37.7693,37.7693,37.7693,37.7693,37.7693,37.7693,37.7693,37.7693,37.7693,37.7693,37.7693,37.7693,37.7693,37.7693,37.7693,37.7693,37.7693,37.7693,37.7693,37.7693,37.7693,37.7693,37.7693,37.7693,37.7693,37.7693,37.7693,37.7693,37.7693,37.7693,37.7693
Long,-78.17,-78.17,-78.17,-78.17,-78.17,-78.17,-78.17,-78.17,-78.17,-78.17,-78.17,-78.17,-78.17,-78.17,-78.17,-78.17,-78.17,-78.17,-78.17,-78.17,-78.17,-78.17,-78.17,-78.17,-78.17,-78.17,-78.17,-78.17,-78.17,-78.17,-78.17,-78.17,-78.17,-78.17,-78.17,-78.17,-78.17,-78.17,-78.17,-78.17,-78.17,-78.17,-78.17,-78.17,-78.17,-78.17,-78.17,-78.17,-78.17,-78.17,-78.17,-78.17,-78.17,-78.17,-78.17
Province/State,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia
apparentTemperatureHigh,43.07,45.89,51.28,57.28,51.2,53.43,50.75,47.24,45.13,46.91,50.16,60.27,71.54,69.1,57.04,51.63,56.98,42.88,53.22,46.31,59.74,47.88,62.24,42.1,36.75,54.04,56.57,58.17,54.72,41.37,36.17,57.01,62.5,57.89,57.96,58.07,40.67,44.82,37.35,55.83,67.4,64.6,65.48,59.94,56.41,54.55,64.01,72.71,69.61,68.32,67.67,75.85,64.84,47.23,58.22
apparentTemperatureHighTime,1579723020,1579809060,1579903740,1579979340,1580066940,1580154660,1580241480,1580327580,1580414040,1580497620,1580587260,1580678640,1580759220,1580844360,1580904000,1581028560,1581076800,1581189360,1581277920,1581359460,1581454920,1581531600,1581624060,1581708180,1581797400,1581882840,1581969720,1582049820,1582140600,1582225980,1582316400,1582401540,1582488000,1582573620,1582661520,1582746900,1582832400,1582919700,1583006640,1583092920,1583178540,1583270100,1583350680,1583437380,1583514900,1583611260,1583697660,1583782440,1583871060,1583957040,1584042780,1584126000,1584215640,1584301800,1584388380
apparentTemperatureLow,19.72,32.27,46.98,28.55,26.41,29.36,29.55,23.45,26.15,29.5,30.06,42.53,52.83,55.76,34.74,46.6,26.39,27.79,30.12,45.42,41.85,39.5,30.87,16.31,25.78,29.98,33.36,43.29,30.53,14.1,20.02,25.29,33.3,43.12,43.65,28.81,23,25.18,21.89,31.36,43.61,40.06,37.43,32.37,29.89,26.42,35.88,54.88,46.75,43.12,53.2,40.57,37.32,33.38,41.74
apparentTemperatureLowTime,1579776900,1579862580,1579956960,1580035440,1580119020,1580208900,1580291400,1580385060,1580471760,1580554560,1580637480,1580724000,1580803020,1580907600,1580974680,1581034860,1581166440,1581234720,1581331800,1581379200,1581508500,1581566760,1581679500,1581760020,1581831480,1581939720,1582026600,1582117200,1582182360,1582282980,1582365600,1582458240,1582538520,1582604700,1582710360,1582801440,1582885320,1582974180,1583057040,1583148600,1583229960,1583321700,1583406240,1583488440,1583578440,1583661660,1583754300,1583826060,1583926260,1584007260,1584074940,1584186120,1584271020,1584355080,1584446340
apparentTemperatureMax,43.07,45.89,53.29,57.28,51.2,53.43,50.75,47.24,45.13,46.91,50.16,60.27,71.54,69.1,59.23,53.38,57.94,42.88,53.22,48.31,59.74,51.54,62.24,42.1,36.75,54.04,56.57,58.17,54.72,41.37,36.17,57.01,62.5,57.89,57.96,58.07,42.84,44.82,37.35,55.83,67.4,64.6,65.48,59.94,56.41,54.55,64.01,72.71,69.61,68.32,67.67,75.85,64.84,47.87,58.22
apparentTemperatureMaxTime,1579723020,1579809060,1579924320,1579979340,1580066940,1580154660,1580241480,1580327580,1580414040,1580497620,1580587260,1580678640,1580759220,1580844360,1580878800,1581048000,1581073560,1581189360,1581277920,1581393600,1581454920,1581483600,1581624060,1581708180,1581797400,1581882840,1581969720,1582049820,1582140600,1582225980,1582316400,1582401540,1582488000,1582573620,1582661520,1582746900,1582779600,1582919700,1583006640,1583092920,1583178540,1583270100,1583350680,1583437380,1583514900,1583611260,1583697660,1583782440,1583871060,1583957040,1584042780,1584126000,1584215640,1584244800,1584388380
apparentTemperatureMin,16.16,19.72,32.27,35.66,28.55,26.41,29.36,29.55,23.45,26.15,29.5,30.06,42.53,52.83,36.05,34.74,29.32,26.39,27.79,30.12,49.15,39.51,39.82,22.12,16.31,25.78,29.98,33.36,35.17,28.88,14.1,20.02,25.29,33.3,43.19,43.65,27.8,23,25.18,21.89,31.36,43.61,40.06,37.43,32.37,29.89,26.42,35.88,54.88,46.75,43.12,53.2,40.57,37,33.38
apparentTemperatureMinTime,1579681980,1579776900,1579862580,1580011200,1580035440,1580119020,1580208900,1580291400,1580385060,1580471760,1580554560,1580637480,1580724000,1580803020,1580950620,1580974680,1581134400,1581166440,1581234720,1581331800,1581400980,1581566400,1581587940,1581739200,1581760020,1581831480,1581939720,1582026600,1582171200,1582257600,1582282980,1582365600,1582458240,1582538520,1582606800,1582710360,1582862400,1582885320,1582974180,1583057040,1583148600,1583229960,1583321700,1583406240,1583488440,1583578440,1583661660,1583754300,1583826060,1583926260,1584007260,1584074940,1584186120,1584279180,1584355080
cloudCover,0.05,0.7,0.93,0.59,0.12,0.24,0.17,0.48,0.38,0.66,0.5,0.04,0.53,0.65,0.92,1,0.51,0.14,0.04,0.7,0.97,0.81,0.83,0.41,0.23,0.67,0.2,0.54,0.73,0.91,0.06,0,0.09,0.75,0.96,0.95,0.09,0.28,0.11,0.02,0.43,0.55,0.33,0.74,0.4,0.07,0,0.25,0.74,0.44,0.53,0.71,0.64,0.88,0.62
dewPoint,14.37,20.7,38.29,44.19,29.41,30.63,28,26.34,24.33,29.08,34.67,31.38,35.94,45.38,43.59,42.35,36.68,22.93,27.99,38.48,53.26,37.78,45.48,23.45,12.3,28.21,30.04,39.64,32.68,22.93,10.27,14.07,19.91,33.74,47.11,49.18,19.98,21.23,15.55,14.84,31.55,47.08,28.14,28.34,28.5,21.86,19.97,28.72,49.02,46.51,46.35,48,23.37,38.54,33.79
humidity,0.58,0.67,0.83,0.83,0.68,0.71,0.63,0.7,0.7,0.8,0.86,0.59,0.47,0.58,0.82,0.95,0.68,0.59,0.68,0.81,0.97,0.72,0.85,0.55,0.5,0.64,0.63,0.79,0.62,0.61,0.44,0.47,0.47,0.66,0.91,0.94,0.46,0.5,0.49,0.45,0.5,0.76,0.4,0.48,0.59,0.44,0.45,0.41,0.63,0.67,0.75,0.63,0.33,0.81,0.67
icon,clear-day,partly-cloudy-day,rain,rain,clear-day,clear-day,clear-day,partly-cloudy-day,partly-cloudy-day,rain,rain,clear-day,partly-cloudy-day,rain,rain,rain,rain,clear-day,clear-day,rain,rain,rain,rain,partly-cloudy-day,clear-day,partly-cloudy-day,clear-day,rain,rain,rain,clear-day,clear-day,clear-day,partly-cloudy-day,rain,rain,rain,clear-day,clear-day,clear-day,partly-cloudy-day,rain,partly-cloudy-day,partly-cloudy-day,rain,clear-day,clear-day,clear-day,rain,partly-cloudy-day,partly-cloudy-day,rain,partly-cloudy-day,rain,partly-cloudy-day
moonPhase,0.94,0.97,0.01,0.04,0.07,0.1,0.13,0.16,0.19,0.22,0.25,0.28,0.31,0.35,0.38,0.42,0.45,0.49,0.53,0.57,0.61,0.64,0.68,0.72,0.75,0.79,0.82,0.86,0.89,0.92,0.95,0.98,0.01,0.04,0.07,0.1,0.13,0.16,0.2,0.23,0.26,0.29,0.33,0.36,0.4,0.44,0.47,0.51,0.55,0.59,0.63,0.67,0.7,0.74,0.77
ozone,329.2,305.8,321,348.7,357.2,364.3,341.7,343.6,345.4,347.4,350.2,347.7,316.8,284.5,300.5,305,332.6,348.7,312,294.2,286.6,285.7,284.5,318.3,323.9,328,331.6,313.6,304.8,321,389.7,387,340.9,308.2,297.9,302.7,348.1,379.9,415.1,350.3,345.7,368.1,335,310.3,380.5,382.5,333,322,326.3,369,350.7,324.6,309,307.2,321.9
precipAccumulation,0.09,0.16,,,,,,0.07,0.09,,,,,,,,,,,,,,,,0.19,,,,,,0.14,0.11,,,,,,0.01,,0.04,,,,,,,,,,,,,,,
precipIntensity,0.0004,0.001,0.0109,0.0443,0.0006,0.0008,0.0008,0.0006,0.0007,0.0016,0.0005,0.0003,0.0006,0.0006,0.0226,0.0843,0.0239,0.0009,0.0008,0.0127,0.0223,0.0017,0.0116,0.0008,0.0009,0.001,0.0005,0.0017,0.006,0.0015,0.0009,0.0007,0.0005,0.0008,0.0122,0.0083,0.0007,0.0003,0.0008,0.0005,0.0013,0.0033,0.0005,0.0007,0.0017,0.0008,0.0007,0.0008,0.0021,0.0014,0.0008,0.0065,0.001,0.0048,0.0006
precipIntensityMax,0.0016,0.0017,0.1239,0.2885,0.0021,0.0021,0.0022,0.0022,0.0022,0.0107,0.0018,0.0021,0.0024,0.0023,0.0839,0.2842,0.3501,0.0026,0.0024,0.0732,0.0914,0.0043,0.0411,0.002,0.0021,0.0023,0.0019,0.0082,0.0304,0.0038,0.0023,0.0023,0.0021,0.0023,0.0606,0.1129,0.0096,0.0015,0.0031,0.0022,0.0024,0.0219,0.0022,0.002,0.0056,0.0021,0.0023,0.0023,0.0087,0.0045,0.0021,0.053,0.0052,0.0166,0.0018
precipIntensityMaxTime,1579682700,1579792200,1579924800,1579935300,1580088060,1580115600,1580244420,1580289240,1580421600,1580507940,1580553780,1580680800,1580755920,1580825040,1580893320,1581008520,1581076800,1581178440,1581270660,1581368580,1581436260,1581562680,1581591780,1581714060,1581765720,1581898680,1581984000,1582084800,1582099080,1582242780,1582261200,1582401600,1582452900,1582603200,1582628940,1582772400,1582779600,1582909260,1582964820,1583082000,1583137740,1583247600,1583366400,1583420040,1583528580,1583620380,1583722020,1583748240,1583881200,1583968860,1584014460,1584089880,1584241200,1584266400,1584366900
precipProbability,0.03,0.03,0.85,0.98,0.12,0.15,0.13,0.07,0.1,0.45,0.25,0.12,0.09,0.33,0.95,0.99,0.89,0.06,0.1,0.94,0.98,0.42,0.88,0.1,0.03,0.07,0.1,0.5,0.81,0.41,0.11,0.03,0.03,0.24,0.92,0.78,0.6,0.12,0.07,0.04,0.17,0.63,0.03,0.04,0.41,0.08,0.01,0.01,0.42,0.22,0.15,0.89,0.15,0.54,0.07
precipType,snow,snow,rain,rain,rain,rain,rain,snow,snow,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,snow,rain,rain,rain,rain,rain,snow,snow,rain,rain,rain,rain,rain,snow,rain,snow,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain
pressure,1031.7,1028.8,1021.7,1011.7,1013.8,1010.6,1014.7,1019.8,1024.2,1024.9,1013.6,1005.1,1011.4,1010.9,1013.1,1001.8,996.8,1023.6,1031,1023.4,1013.7,1020.3,1009.3,1026.2,1034.2,1022.4,1023.1,1020.9,1026,1030.3,1032.7,1028.4,1022.7,1016.6,1010.1,1008.5,1011.4,1014.9,1017.5,1023.5,1015.5,1006.3,1012.7,1019.2,1012.6,1026.8,1033.6,1030.1,1022.1,1018,1016.5,1013.7,1027.6,1030.1,1030.5
summary,Clear throughout the day.,Overcast throughout the day.,Rain starting in the afternoon.,Rain in the morning.,Clear throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Mostly cloudy throughout the day.,Partly cloudy throughout the day.,Mostly cloudy throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Mostly cloudy throughout the day.,Possible light rain overnight.,Light rain throughout the day.,Rain throughout the day.,Rain and windy in the morning.,Clear throughout the day.,Clear throughout the day.,Light rain starting in the afternoon.,Light rain in the morning and afternoon.,Mostly cloudy throughout the day.,Light rain in the morning and afternoon.,Partly cloudy throughout the day.,Clear throughout the day.,Mostly cloudy throughout the day.,Clear throughout the day.,Light rain in the evening and overnight.,Light rain in the morning.,Overcast throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Light rain overnight.,Light rain in the morning.,Rain in the evening and overnight.,Clear throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Possible light rain in the morning and afternoon.,Partly cloudy throughout the day.,Mostly cloudy throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Mostly cloudy throughout the day.,Partly cloudy throughout the day.,Light rain overnight.,Light rain in the morning.,Mostly cloudy throughout the day.,Possible light rain in the morning.,Partly cloudy throughout the day.
