,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,Egypt,Egypt,Egypt,Egypt,Egypt,Egypt,Egypt,Egypt,Egypt,Egypt,Egypt,Egypt,Egypt,Egypt,Egypt,Egypt,Egypt,Egypt,Egypt,Egypt,Egypt,Egypt,Egypt,Egypt,Egypt,Egypt,Egypt,Egypt,Egypt,Egypt,Egypt,Egypt,Egypt,Egypt,Egypt,Egypt,Egypt,Egypt,Egypt,Egypt,Egypt,Egypt,Egypt,Egypt,Egypt,Egypt,Egypt,Egypt,Egypt,Egypt,Egypt,Egypt,Egypt,Egypt,Egypt
Lat,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0
Long,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparentTemperatureHigh,57.75,60.4,61.31,62.75,67.01,69.75,70.61,66.29,66.24,65.32,66.68,67.39,67.04,67.7,70.74,74.69,64.61,62.45,60.68,58.85,63.41,71.05,76.05,78.43,76.8,68.38,66.83,66.42,65.61,68.68,69.97,67.46,66.08,53.93,66.36,73.61,79.03,81.29,72.52,72.24,74.7,80.22,86.47,87.05,73.16,75.76,81.45,89.11,80.02,83.07,66.79,68.55,75.21,78.37,81.06
apparentTemperatureHighTime,1579699680,1579786080,1579872540,1579957740,1580044440,1580123400,1580209500,1580304540,1580387580,1580468460,1580563560,1580641440,1580727720,1580823180,1580905020,1580986800,1581073020,1581168420,1581246120,1581336900,1581426840,1581515520,1581596160,1581687180,1581773340,1581851040,1581947580,1582032480,1582116420,1582206840,1582292400,1582379100,1582465080,1582537860,1582638180,1582725120,1582810440,1582890840,1582983780,1583070060,1583155740,1583242140,1583327880,1583403000,1583500920,1583588760,1583668800,1583755680,1583841840,1583934600,1583989200,1584108180,1584190380,1584280440,1584366840
apparentTemperatureLow,34.29,33.51,33.53,30.69,35.12,39.11,38.58,36.99,37.46,38.3,39.51,38.45,39.33,42.53,45.98,43.09,35.28,36.14,31.28,32.69,37.59,41.55,47.03,45.74,50.65,44.31,45.97,42.46,40.01,42.55,41.73,41.43,37.03,36.79,40.57,46.39,48.25,49.92,44.89,41.42,41.46,46.27,58.56,54.68,46.09,45.57,55.26,53.24,56.23,63.16,50.37,53.17,51.36,53.42,55.5
apparentTemperatureLowTime,1579753740,1579841040,1579924740,1580010000,1580090220,1580177100,1580269200,1580356080,1580436360,1580528340,1580608920,1580695380,1580790120,1580868180,1580953680,1581050820,1581136500,1581214140,1581308220,1581391560,1581472920,1581559260,1581645540,1581732540,1581828720,1581910320,1581991560,1582085940,1582164480,1582252380,1582337220,1582422900,1582519680,1582584660,1582682040,1582771440,1582854960,1582950480,1583037780,1583114640,1583200920,1583286960,1583373480,1583466720,1583546340,1583632800,1583718480,1583806140,1583888820,1583992800,1584064500,1584151620,1584238560,1584324360,1584410820
apparentTemperatureMax,57.75,60.4,61.31,62.75,67.01,69.75,70.61,66.29,66.24,65.32,66.68,67.39,67.04,67.7,70.74,74.69,64.61,62.45,60.68,58.85,63.41,71.05,76.05,78.43,76.8,68.38,66.83,66.42,65.61,68.68,69.97,67.46,66.08,53.93,66.36,73.61,79.03,81.29,72.52,72.24,74.7,80.22,86.47,87.05,73.16,75.76,81.45,89.11,80.02,83.07,74.88,68.55,75.21,78.37,81.06
apparentTemperatureMaxTime,1579699680,1579786080,1579872540,1579957740,1580044440,1580123400,1580209500,1580304540,1580387580,1580468460,1580563560,1580641440,1580727720,1580823180,1580905020,1580986800,1581073020,1581168420,1581246120,1581336900,1581426840,1581515520,1581596160,1581687180,1581773340,1581851040,1581947580,1582032480,1582116420,1582206840,1582292400,1582379100,1582465080,1582537860,1582638180,1582725120,1582810440,1582890840,1582983780,1583070060,1583155740,1583242140,1583327880,1583403000,1583500920,1583588760,1583668800,1583755680,1583841840,1583934600,1583967900,1584108180,1584190380,1584280440,1584366840
