,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,Ghana,Ghana,Ghana,Ghana,Ghana,Ghana,Ghana,Ghana,Ghana,Ghana,Ghana,Ghana,Ghana,Ghana,Ghana,Ghana,Ghana,Ghana,Ghana,Ghana,Ghana,Ghana,Ghana,Ghana,Ghana,Ghana,Ghana,Ghana,Ghana,Ghana,Ghana,Ghana,Ghana,Ghana,Ghana,Ghana,Ghana,Ghana,Ghana,Ghana,Ghana,Ghana,Ghana,Ghana,Ghana,Ghana,Ghana,Ghana,Ghana,Ghana,Ghana,Ghana,Ghana,Ghana,Ghana
Lat,7.9465,7.9465,7.9465,7.9465,7.9465,7.9465,7.9465,7.9465,7.9465,7.9465,7.9465,7.9465,7.9465,7.9465,7.9465,7.9465,7.9465,7.9465,7.9465,7.9465,7.9465,7.9465,7.9465,7.9465,7.9465,7.9465,7.9465,7.9465,7.9465,7.9465,7.9465,7.9465,7.9465,7.9465,7.9465,7.9465,7.9465,7.9465,7.9465,7.9465,7.9465,7.9465,7.9465,7.9465,7.9465,7.9465,7.9465,7.9465,7.9465,7.9465,7.9465,7.9465,7.9465,7.9465,7.9465
Long,-1.0232,-1.0232,-1.0232,-1.0232,-1.0232,-1.0232,-1.0232,-1.0232,-1.0232,-1.0232,-1.0232,-1.0232,-1.0232,-1.0232,-1.0232,-1.0232,-1.0232,-1.0232,-1.0232,-1.0232,-1.0232,-1.0232,-1.0232,-1.0232,-1.0232,-1.0232,-1.0232,-1.0232,-1.0232,-1.0232,-1.0232,-1.0232,-1.0232,-1.0232,-1.0232,-1.0232,-1.0232,-1.0232,-1.0232,-1.0232,-1.0232,-1.0232,-1.0232,-1.0232,-1.0232,-1.0232,-1.0232,-1.0232,-1.0232,-1.0232,-1.0232,-1.0232,-1.0232,-1.0232,-1.0232
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparentTemperatureHigh,99.88,99.4,98.47,98.37,98.25,99.07,98.81,100.74,101.94,100.38,99.44,98.73,99.1,99.16,99.06,97.85,99.75,101.89,101.44,103.4,100.99,98.86,98.97,99.62,100.57,101.55,104.3,105.9,104.72,105.78,103.16,104.74,103.48,103.42,101.47,103.13,106.13,107.08,105.97,106.91,112.21,113.68,111.86,109.59,107.42,109.08,110.12,115.2,111.7,107.93,110.98,110.69,110.35,108.37,107.36
apparentTemperatureHighTime,1579701600,1579794060,1579874760,1579961460,1580047920,1580133300,1580219580,1580306940,1580393460,1580478300,1580565780,1580652240,1580738220,1580825160,1580911500,1580999580,1581084240,1581170460,1581256920,1581340020,1581432840,1581516360,1581602520,1581688920,1581775380,1581862200,1581948120,1582021740,1582107660,1582202940,1582279440,1582379580,1582466520,1582552920,1582639440,1582728660,1582807860,1582884420,1582984860,1583070840,1583150760,1583235540,1583326200,1583407440,1583496960,1583585280,1583672700,1583755080,1583843400,1583928360,1584012720,1584097320,1584194700,1584275700,1584359880
apparentTemperatureLow,74.15,70.17,66.12,64.52,63.45,68.27,67.94,65.85,63.55,65.17,65.83,65.22,61.04,63.37,69.45,68.46,68.08,68.93,76.79,76.47,72.4,65.72,67.82,67.47,66.57,66.21,76.72,77.87,74.42,76.7,77.4,78.11,73.17,68.86,68.97,72.66,76.57,74.19,70.48,79.44,77.57,76.1,77.94,79.08,79.37,78.38,87.64,79.06,85.39,83.24,88.23,81.72,79.17,81.89,90.03
apparentTemperatureLowTime,1579755900,1579842300,1579928640,1580017440,1580101080,1580189700,1580274000,1580360340,1580446800,1580533080,1580619900,1580706060,1580792460,1580878800,1580965440,1581052320,1581138060,1581224520,1581310800,1581397140,1581483780,1581570240,1581657540,1581742920,1581829740,1581915360,1582002240,1582087620,1582174680,1582261320,1582344360,1582435320,1582520100,1582606800,1582690200,1582779360,1582865760,1582952040,1583038500,1583126160,1583211600,1583297940,1583382600,1583468100,1583557320,1583644020,1583730240,1583815320,1583902860,1583989320,1584075900,1584161880,1584248340,1584334800,1584421740
apparentTemperatureMax,99.88,99.4,98.47,98.37,98.25,99.07,98.81,100.74,101.94,100.38,99.44,98.73,99.1,99.16,99.06,97.85,99.75,101.89,101.44,103.4,100.99,98.86,98.97,99.62,100.57,101.55,104.3,105.9,104.72,105.78,103.16,104.74,103.48,103.42,101.47,103.13,106.13,107.08,105.97,106.91,112.21,113.68,111.86,109.59,107.42,109.08,110.12,115.2,111.7,107.93,110.98,110.69,110.35,108.37,107.36
apparentTemperatureMaxTime,1579701600,1579794060,1579874760,1579961460,1580047920,1580133300,1580219580,1580306940,1580393460,1580478300,1580565780,1580652240,1580738220,1580825160,1580911500,1580999580,1581084240,1581170460,1581256920,1581340020,1581432840,1581516360,1581602520,1581688920,1581775380,1581862200,1581948120,1582021740,1582107660,1582202940,1582279440,1582379580,1582466520,1582552920,1582639440,1582728660,1582807860,1582884420,1582984860,1583070840,1583150760,1583235540,1583326200,1583407440,1583496960,1583585280,1583672700,1583755080,1583843400,1583928360,1584012720,1584097320,1584194700,1584275700,1584359880
