,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,38.4333,38.4333,38.4333,38.4333,38.4333,38.4333,38.4333,38.4333,38.4333,38.4333,38.4333,38.4333,38.4333,38.4333,38.4333,38.4333,38.4333,38.4333,38.4333,38.4333,38.4333,38.4333,38.4333,38.4333,38.4333,38.4333,38.4333,38.4333,38.4333,38.4333,38.4333,38.4333,38.4333,38.4333,38.4333,38.4333,38.4333,38.4333,38.4333,38.4333,38.4333,38.4333,38.4333,38.4333,38.4333,38.4333,38.4333,38.4333,38.4333,38.4333,38.4333,38.4333,38.4333,38.4333,38.4333
Long,-84.3542,-84.3542,-84.3542,-84.3542,-84.3542,-84.3542,-84.3542,-84.3542,-84.3542,-84.3542,-84.3542,-84.3542,-84.3542,-84.3542,-84.3542,-84.3542,-84.3542,-84.3542,-84.3542,-84.3542,-84.3542,-84.3542,-84.3542,-84.3542,-84.3542,-84.3542,-84.3542,-84.3542,-84.3542,-84.3542,-84.3542,-84.3542,-84.3542,-84.3542,-84.3542,-84.3542,-84.3542,-84.3542,-84.3542,-84.3542,-84.3542,-84.3542,-84.3542,-84.3542,-84.3542,-84.3542,-84.3542,-84.3542,-84.3542,-84.3542,-84.3542,-84.3542,-84.3542,-84.3542,-84.3542
Province/State,"Harrison County, KY","Harrison County, KY","Harrison County, KY","Harrison County, KY","Harrison County, KY","Harrison County, KY","Harrison County, KY","Harrison County, KY","Harrison County, KY","Harrison County, KY","Harrison County, KY","Harrison County, KY","Harrison County, KY","Harrison County, KY","Harrison County, KY","Harrison County, KY","Harrison County, KY","Harrison County, KY","Harrison County, KY","Harrison County, KY","Harrison County, KY","Harrison County, KY","Harrison County, KY","Harrison County, KY","Harrison County, KY","Harrison County, KY","Harrison County, KY","Harrison County, KY","Harrison County, KY","Harrison County, KY","Harrison County, KY","Harrison County, KY","Harrison County, KY","Harrison County, KY","Harrison County, KY","Harrison County, KY","Harrison County, KY","Harrison County, KY","Harrison County, KY","Harrison County, KY","Harrison County, KY","Harrison County, KY","Harrison County, KY","Harrison County, KY","Harrison County, KY","Harrison County, KY","Harrison County, KY","Harrison County, KY","Harrison County, KY","Harrison County, KY","Harrison County, KY","Harrison County, KY","Harrison County, KY","Harrison County, KY","Harrison County, KY"
apparentTemperatureHigh,38.79,51.59,44.42,30.27,38.61,38.51,36.37,33.69,43.07,39.62,38.6,61.02,65.11,56.26,33.21,35.52,27.03,35.27,39.38,50.27,38.28,35.85,33.62,25.87,40.58,48.79,55.17,51.36,42.69,31.06,39,50.98,55.85,40.37,52.71,42.8,28.26,33.01,31.94,62.03,53.83,58.02,62.65,60.22,32.18,50.47,63.59,66.81,57.19,56.98,67.57,56.76,42.15,39.99,47.58
apparentTemperatureHighTime,1579723200,1579808160,1579896000,1579981320,1580070420,1580152440,1580237580,1580327820,1580414760,1580501100,1580585820,1580674800,1580759160,1580844180,1580947200,1581014460,1581116400,1581191580,1581292800,1581364680,1581450480,1581532020,1581623460,1581718020,1581797460,1581883080,1581969840,1582027200,1582142520,1582224360,1582314960,1582401540,1582487460,1582564440,1582653240,1582718400,1582840740,1582920000,1583010420,1583092680,1583186520,1583268000,1583349060,1583438700,1583524440,1583611500,1583698140,1583783520,1583859060,1583956980,1584041100,1584129240,1584204060,1584302160,1584387360
apparentTemperatureLow,24.31,33.69,27.61,23.57,31.39,27.06,26.65,26.36,28.18,31.73,25.97,36.83,53.62,24.94,29.18,19.49,20.03,16.57,38.2,29.2,29.64,29.17,5.69,6.57,29.97,23.36,43.86,22.93,23.97,12.03,14.62,18.73,34.83,39.08,40.37,16.26,24.64,13.56,16.58,40.92,50.61,30.15,28.52,30.15,24.3,23.17,38.7,54.55,44.47,39.46,42.97,35.85,27.48,35.06,40.03
apparentTemperatureLowTime,1579776900,1579838520,1579953600,1580035560,1580095020,1580185920,1580295000,1580381700,1580446020,1580549040,1580640240,1580727420,1580821200,1580900520,1580994000,1581073560,1581147660,1581247260,1581311040,1581425940,1581505860,1581556860,1581678060,1581766920,1581850440,1581930120,1581994140,1582109520,1582203600,1582278360,1582365060,1582451940,1582530540,1582588800,1582722000,1582801320,1582856940,1582974120,1583057160,1583154000,1583239020,1583320260,1583406060,1583499600,1583578440,1583661780,1583749920,1583837100,1583920260,1584014280,1584100800,1584179580,1584270540,1584355680,1584446400
apparentTemperatureMax,38.79,51.59,44.42,34.14,38.61,38.51,36.37,33.69,43.07,39.62,38.6,61.02,65.11,61.34,33.24,35.52,27.03,35.27,39.52,50.27,38.28,35.85,36.83,25.87,40.58,48.79,55.17,54.27,42.69,31.06,39,50.98,55.85,40.86,52.71,44.22,28.26,33.01,31.94,62.03,53.83,58.02,62.65,60.22,43.46,50.47,63.59,66.81,59.35,56.98,67.57,62.61,42.15,40.01,47.58
apparentTemperatureMaxTime,1579723200,1579808160,1579896000,1579928400,1580070420,1580152440,1580237580,1580327820,1580414760,1580501100,1580585820,1580674800,1580759160,1580792400,1580947740,1581014460,1581116400,1581191580,1581295020,1581364680,1581450480,1581532020,1581574740,1581718020,1581797460,1581883080,1581969840,1582008420,1582142520,1582224360,1582314960,1582401540,1582487460,1582603200,1582653240,1582696500,1582840740,1582920000,1583010420,1583092680,1583186520,1583268000,1583349060,1583438700,1583470800,1583611500,1583698140,1583783520,1583812800,1583956980,1584041100,1584075960,1584204060,1584327480,1584387360
apparentTemperatureMin,9.88,24.31,34.16,25.23,23.57,27.13,27.14,26.65,26.36,28.23,29.14,25.97,36.83,33.25,24.94,26.52,19.48,20.03,16.57,36,29.2,29.17,15.1,5.69,6.57,29.97,23.36,31.57,22.93,13.75,12.03,14.62,18.73,34.83,41.1,20.47,16.26,22.91,13.56,16.58,39.47,42.56,30.15,28.52,27.22,24.3,23.17,38.7,46.83,44.47,39.46,40.79,29.08,27.48,35.06
apparentTemperatureMinTime,1579691580,1579776900,1579842000,1580011200,1580035560,1580184000,1580187600,1580295000,1580381700,1580446800,1580616000,1580640240,1580727420,1580875200,1580900520,1581048000,1581082680,1581147660,1581247260,1581393600,1581425940,1581556860,1581652800,1581678060,1581766920,1581850440,1581930120,1582084800,1582109520,1582257600,1582278360,1582365060,1582451940,1582530540,1582606800,1582776000,1582801320,1582948800,1582974120,1583057160,1583157180,1583294400,1583320260,1583406060,1583553600,1583578440,1583661780,1583749920,1583895600,1583920260,1584014280,1584105480,1584241200,1584270540,1584355680
cloudCover,0.51,0.94,0.87,0.97,0.64,0.67,0.96,0.93,0.53,0.96,0.88,0.1,0.61,0.98,0.97,1,0.83,0.7,0.47,0.93,0.96,0.92,0.96,0.56,0.35,0.67,0.48,0.88,0.21,0.63,0,0.01,0.26,0.92,0.96,0.97,0.43,0.52,0.15,0.34,0.83,0.51,0.34,0.5,0.71,0.18,0.07,0.63,0.94,0.8,0.61,0.74,0.91,0.99,0.9
dewPoint,10.53,22.53,40.21,32.57,28.82,30.68,26.17,26.47,26.15,30.76,34.21,34.54,39.91,51.53,30.54,30.98,24.82,27.45,26.73,43.62,32.58,29.72,30.57,7.47,11.82,29.22,32.27,44,25.2,18.64,9.11,11.73,21.87,37.01,47.1,37.72,19.78,23.95,14.62,25.97,46.72,45.93,32.87,28.54,30.2,23.29,26.37,37.87,51.45,43.34,49.75,40.45,29.42,32.42,35.27
humidity,0.49,0.55,0.92,0.86,0.75,0.79,0.74,0.74,0.7,0.81,0.86,0.65,0.59,0.9,0.79,0.82,0.79,0.82,0.72,0.9,0.81,0.78,0.82,0.56,0.5,0.64,0.71,0.85,0.66,0.59,0.49,0.42,0.48,0.82,0.95,0.92,0.63,0.66,0.57,0.52,0.88,0.79,0.56,0.53,0.7,0.56,0.48,0.51,0.87,0.8,0.87,0.66,0.67,0.79,0.76
icon,partly-cloudy-day,rain,rain,rain,partly-cloudy-day,rain,cloudy,cloudy,partly-cloudy-day,rain,rain,wind,partly-cloudy-day,rain,rain,rain,snow,snow,snow,rain,rain,rain,rain,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,rain,clear-day,partly-cloudy-day,clear-day,clear-day,clear-day,rain,rain,rain,partly-cloudy-day,snow,clear-day,partly-cloudy-day,rain,rain,partly-cloudy-day,partly-cloudy-day,rain,clear-day,clear-day,partly-cloudy-day,rain,partly-cloudy-day,rain,rain,rain,cloudy,cloudy
moonPhase,0.94,0.97,0.01,0.04,0.07,0.1,0.13,0.16,0.19,0.22,0.25,0.28,0.31,0.35,0.38,0.42,0.45,0.49,0.53,0.57,0.61,0.64,0.68,0.72,0.75,0.79,0.82,0.86,0.89,0.92,0.95,0.98,0.01,0.04,0.07,0.1,0.13,0.16,0.2,0.23,0.26,0.29,0.33,0.36,0.4,0.44,0.47,0.51,0.55,0.59,0.63,0.67,0.7,0.74,0.77
ozone,309.4,314.1,363.3,381.4,360.7,358,333.6,349.3,346.8,357.4,363.8,338.4,307.7,291.5,324.4,336.1,375.6,369,313,300.9,297.3,291.2,306.5,366.2,327.6,341.2,331,313,313.1,337.4,377.4,376.9,323.1,304.4,317.1,360.4,388.1,429,399.8,332.2,360.5,365.2,342.6,330.9,392.8,345.5,330.4,311.6,353.2,365.2,348.1,323.6,305.8,308.1,315.8
precipAccumulation,0.08,,,,0.07,,0.08,0.07,0.06,,,,,,,,0.83,0.52,0.06,,,,,0.23,0.19,,,,,0.14,0.16,0.1,,,,,0.11,0.28,0.16,0.03,,,,,,,,,,,,,,,
precipIntensity,0.0004,0.0064,0.0337,0.0034,0.001,0.0011,0.0008,0.0006,0.0006,0.0083,0.0029,0.0003,0.0006,0.0288,0.0086,0.0085,0.0039,0.0037,0.0011,0.0238,0.0117,0.0481,0.0041,0.0006,0.0008,0.0012,0.0005,0.0151,0.0007,0.0009,0.0008,0.0006,0.0004,0.015,0.0235,0.01,0.0005,0.0018,0.0008,0.0004,0.0162,0.0191,0.0006,0.0006,0.0012,0.0007,0.0006,0.0007,0.0087,0.0011,0.0534,0.0067,0.0151,0.0007,0.0009
precipIntensityMax,0.0014,0.0418,0.0998,0.0109,0.0025,0.0048,0.002,0.002,0.0019,0.0269,0.0155,0.0019,0.0021,0.0783,0.0336,0.0316,0.0187,0.0166,0.0159,0.0751,0.0678,0.2396,0.0264,0.0017,0.0018,0.0043,0.0017,0.0645,0.0019,0.0019,0.002,0.002,0.0019,0.0607,0.152,0.0322,0.0023,0.0102,0.0041,0.0019,0.0751,0.1116,0.0021,0.0017,0.0024,0.0018,0.002,0.002,0.0368,0.0038,0.3533,0.0804,0.0767,0.0029,0.0043
precipIntensityMaxTime,1579682700,1579838280,1579862760,1579929420,1580090100,1580137200,1580224800,1580289180,1580421600,1580487600,1580547780,1580680800,1580755920,1580862240,1580947140,1581001020,1581064140,1581199380,1581307200,1581344580,1581412860,1581554580,1581570000,1581673560,1581765660,1581876180,1581984000,1582044960,1582167720,1582222800,1582261200,1582401600,1582452900,1582584960,1582618680,1582736460,1582779840,1582944960,1582952400,1583082000,1583169420,1583225580,1583366340,1583420040,1583499300,1583620320,1583722080,1583748180,1583849160,1583938080,1584054000,1584072000,1584216360,1584244800,1584414000
precipProbability,0.03,0.77,0.98,0.73,0.2,0.32,0.16,0.11,0.09,0.89,0.71,0.08,0.1,0.98,0.91,0.82,0.46,0.47,0.39,0.99,0.9,0.94,0.74,0.05,0.05,0.15,0.09,0.95,0.13,0.17,0.04,0.04,0.03,0.91,0.95,0.93,0.15,0.33,0.13,0.04,0.92,0.9,0.05,0.04,0.28,0.05,0.01,0.07,0.89,0.14,0.93,0.83,0.8,0.15,0.2
precipType,snow,rain,rain,rain,snow,rain,snow,snow,snow,rain,rain,rain,rain,rain,rain,rain,snow,snow,snow,rain,rain,rain,rain,snow,snow,rain,rain,rain,rain,snow,snow,snow,rain,rain,rain,rain,snow,snow,snow,snow,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain
pressure,1029.4,1022,1012.4,1015.6,1016.3,1013.9,1019,1020.6,1022.1,1020.9,1015.5,1008.7,1010.3,1009.6,1011.7,999,1006.7,1021.9,1025.9,1017,1019.1,1016.4,1014.5,1033.7,1028.6,1020.2,1018.8,1017.5,1031.8,1033.6,1036.7,1029.5,1021.4,1012.9,1006.7,1011.8,1020.4,1017.8,1023.6,1019.7,1009.7,1005.2,1014.3,1017.9,1022.1,1033.3,1030.5,1026.9,1019.4,1018.3,1011,1019,1028.5,1031.4,1026.4
summary,Mostly cloudy throughout the day.,Light rain in the evening and overnight.,Rain throughout the day.,Overcast throughout the day.,Mostly cloudy throughout the day.,Mostly cloudy throughout the day.,Overcast throughout the day.,Overcast throughout the day.,Partly cloudy throughout the day.,Light rain throughout the day.,Possible drizzle in the morning.,Windy in the morning.,Windy overnight.,Light rain throughout the day.,Light rain starting in the afternoon.,Light rain until evening.,Overcast throughout the day.,Possible light rain in the afternoon.,Light rain and windy overnight.,Light rain throughout the day.,Light rain in the morning.,Rain starting in the afternoon.,Possible light rain in the morning.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Mostly cloudy throughout the day.,Partly cloudy throughout the day.,Light rain in the morning and afternoon.,Clear throughout the day.,Mostly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Rain throughout the day.,Rain in the morning and afternoon.,Light rain until evening.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Rain throughout the day.,Rain in the morning and afternoon.,Partly cloudy throughout the day.,Mostly cloudy throughout the day.,Overcast throughout the day.,Clear throughout the day.,Clear throughout the day.,Windy overnight.,Light rain in the morning and afternoon.,Mostly cloudy throughout the day.,Rain starting in the afternoon.,Mostly cloudy throughout the day.,Light rain in the afternoon and evening.,Overcast throughout the day.,Overcast throughout the day.
