,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country/Region,"Bahamas, The","Bahamas, The","Bahamas, The","Bahamas, The","Bahamas, The","Bahamas, The","Bahamas, The","Bahamas, The","Bahamas, The","Bahamas, The","Bahamas, The","Bahamas, The","Bahamas, The","Bahamas, The","Bahamas, The","Bahamas, The","Bahamas, The","Bahamas, The","Bahamas, The","Bahamas, The","Bahamas, The","Bahamas, The","Bahamas, The","Bahamas, The","Bahamas, The","Bahamas, The","Bahamas, The","Bahamas, The","Bahamas, The","Bahamas, The","Bahamas, The","Bahamas, The","Bahamas, The","Bahamas, The","Bahamas, The","Bahamas, The","Bahamas, The","Bahamas, The","Bahamas, The","Bahamas, The","Bahamas, The","Bahamas, The","Bahamas, The","Bahamas, The","Bahamas, The","Bahamas, The","Bahamas, The","Bahamas, The","Bahamas, The","Bahamas, The","Bahamas, The","Bahamas, The","Bahamas, The","Bahamas, The","Bahamas, The"
Lat,25.0343,25.0343,25.0343,25.0343,25.0343,25.0343,25.0343,25.0343,25.0343,25.0343,25.0343,25.0343,25.0343,25.0343,25.0343,25.0343,25.0343,25.0343,25.0343,25.0343,25.0343,25.0343,25.0343,25.0343,25.0343,25.0343,25.0343,25.0343,25.0343,25.0343,25.0343,25.0343,25.0343,25.0343,25.0343,25.0343,25.0343,25.0343,25.0343,25.0343,25.0343,25.0343,25.0343,25.0343,25.0343,25.0343,25.0343,25.0343,25.0343,25.0343,25.0343,25.0343,25.0343,25.0343,25.0343
Long,-77.3963,-77.3963,-77.3963,-77.3963,-77.3963,-77.3963,-77.3963,-77.3963,-77.3963,-77.3963,-77.3963,-77.3963,-77.3963,-77.3963,-77.3963,-77.3963,-77.3963,-77.3963,-77.3963,-77.3963,-77.3963,-77.3963,-77.3963,-77.3963,-77.3963,-77.3963,-77.3963,-77.3963,-77.3963,-77.3963,-77.3963,-77.3963,-77.3963,-77.3963,-77.3963,-77.3963,-77.3963,-77.3963,-77.3963,-77.3963,-77.3963,-77.3963,-77.3963,-77.3963,-77.3963,-77.3963,-77.3963,-77.3963,-77.3963,-77.3963,-77.3963,-77.3963,-77.3963,-77.3963,-77.3963
time,1579669200,1579755600,1579842000,1579928400,1580014800,1580101200,1580187600,1580274000,1580360400,1580446800,1580533200,1580619600,1580706000,1580792400,1580878800,1580965200,1581051600,1581138000,1581224400,1581310800,1581397200,1581483600,1581570000,1581656400,1581742800,1581829200,1581915600,1582002000,1582088400,1582174800,1582261200,1582347600,1582434000,1582520400,1582606800,1582693200,1582779600,1582866000,1582952400,1583038800,1583125200,1583211600,1583298000,1583384400,1583470800,1583557200,1583643600,1583726400,1583812800,1583899200,1583985600,1584072000,1584158400,1584244800,1584331200
summary,Possible light rain in the morning.,Partly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Possible drizzle in the morning.,Clear throughout the day.,Rain overnight.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Humid throughout the day.,Possible drizzle overnight.,Possible light rain in the morning and overnight.,Possible light rain in the morning.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Clear throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Possible light rain overnight.,Possible drizzle in the morning.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Rain overnight.,Rain in the morning.,Mostly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Humid throughout the day.,Humid and partly cloudy throughout the day.,Possible drizzle in the evening.,Partly cloudy throughout the day.,Windy in the morning.,Windy in the morning and afternoon.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Humid throughout the day.,Humid throughout the day.,Clear throughout the day.,Clear throughout the day.
icon,rain,partly-cloudy-day,rain,clear-day,clear-day,rain,rain,rain,rain,clear-day,rain,rain,clear-day,clear-day,clear-day,clear-day,rain,rain,rain,rain,rain,clear-day,clear-day,clear-day,rain,rain,clear-day,clear-day,clear-day,clear-day,rain,rain,partly-cloudy-day,partly-cloudy-day,clear-day,rain,rain,partly-cloudy-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,rain,partly-cloudy-day,partly-cloudy-day,rain,clear-day,rain,rain,clear-day,clear-day,clear-day,clear-day
sunriseTime,1579694220,1579780620,1579866960,1579953360,1580039760,1580126100,1580212500,1580298900,1580385240,1580471640,1580558040,1580644380,1580730780,1580817120,1580903520,1580989860,1581076260,1581162600,1581248940,1581335340,1581421680,1581508080,1581594420,1581680760,1581767100,1581853500,1581939840,1582026180,1582112580,1582198920,1582285260,1582371600,1582457940,1582544280,1582630680,1582717020,1582803360,1582889700,1582976040,1583062380,1583148720,1583235060,1583321400,1583407740,1583494080,1583580420,1583666760,1583753100,1583839440,1583925780,1584012120,1584098460,1584184800,1584271140,1584357480
sunsetTime,1579733280,1579819680,1579906140,1579992600,1580079060,1580165460,1580251920,1580338380,1580424840,1580511240,1580597700,1580684160,1580770620,1580857020,1580943480,1581029940,1581116340,1581202800,1581289260,1581375720,1581462120,1581548580,1581634980,1581721440,1581807900,1581894300,1581980760,1582067220,1582153620,1582240080,1582326480,1582412940,1582499400,1582585800,1582672260,1582758660,1582845120,1582931520,1583017980,1583104380,1583190840,1583277240,1583363700,1583450100,1583536560,1583622960,1583709420,1583795820,1583882280,1583968680,1584055140,1584141540,1584228000,1584314400,1584400800
moonPhase,0.94,0.97,0.01,0.04,0.07,0.1,0.13,0.16,0.19,0.22,0.25,0.28,0.31,0.35,0.38,0.42,0.45,0.49,0.53,0.57,0.61,0.64,0.68,0.72,0.75,0.79,0.82,0.86,0.89,0.92,0.95,0.98,0.01,0.04,0.07,0.1,0.13,0.16,0.2,0.23,0.26,0.29,0.33,0.36,0.4,0.44,0.47,0.51,0.55,0.59,0.63,0.67,0.7,0.74,0.77
precipIntensity,0.0038,0.0017,0.0029,0.0012,0.0009,0.0022,0.0049,0.001,0.0074,0.0007,0.0092,0.0013,0.0006,0.0005,0.001,0.0009,0.0021,0.0081,0.0097,0.0021,0.0019,0.0012,0.0009,0.0009,0.005,0.0014,0.0007,0.0013,0.001,0.0011,0.0039,0.0051,0.0005,0.0015,0.0009,0.0009,0.0351,0.0004,0.0008,0.0005,0.0013,0.0011,0.0007,0.0009,0.0037,0.0011,0.0008,0.0012,0.0009,0.0022,0.0012,0.0012,0.0015,0.0006,0.0006
precipIntensityMax,0.0168,0.0024,0.009,0.0031,0.0023,0.0121,0.0213,0.0027,0.021,0.0027,0.3302,0.0184,0.0023,0.0021,0.0027,0.0025,0.0085,0.0232,0.0293,0.0063,0.0041,0.0028,0.0031,0.0023,0.0303,0.0063,0.002,0.0024,0.0024,0.0023,0.0111,0.0246,0.0021,0.0035,0.002,0.0132,0.2041,0.0018,0.0039,0.0025,0.0029,0.0026,0.0028,0.0027,0.0123,0.0028,0.0025,0.0031,0.0022,0.0056,0.0034,0.0023,0.0076,0.0019,0.0017
precipIntensityMaxTime,1579705620,1579813020,1579897140,1579950240,1580088060,1580122860,1580244840,1580289300,1580371260,1580454660,1580616000,1580623140,1580755920,1580824980,1580938020,1581008100,1581134400,1581159180,1581232440,1581350280,1581413520,1581509280,1581591000,1581675900,1581786240,1581835920,1581966240,1582027980,1582167780,1582200180,1582341240,1582354620,1582453080,1582596000,1582646400,1582776000,1582794240,1582909320,1582963440,1583082000,1583189880,1583272860,1583366400,1583420040,1583536440,1583620500,1583722140,1583748360,1583827080,1583967420,1584050100,1584079740,1584207660,1584291660,1584366960
precipProbability,0.56,0.2,0.35,0.23,0.21,0.34,0.43,0.33,0.66,0.15,0.47,0.57,0.09,0.09,0.11,0.19,0.38,0.77,0.76,0.28,0.25,0.17,0.13,0.24,0.45,0.28,0.19,0.2,0.19,0.18,0.51,0.57,0.18,0.21,0.12,0.4,0.87,0.13,0.17,0.09,0.14,0.16,0.1,0.1,0.43,0.12,0.2,0.26,0.17,0.29,0.26,0.22,0.22,0.1,0.09
precipType,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain
temperatureHigh,69.86,75.21,75.55,76.26,75.27,76.3,78.64,77.77,79.16,78.07,81.1,72.33,73.47,76.78,79.01,80.64,81.54,76.08,77.34,79.69,80.8,80.27,80.85,81.13,79,80.17,80.34,81.23,81.23,81.15,80.95,74.31,73.13,75.86,79.5,79.97,78.4,71.69,70.39,72.45,75.24,78.7,79.51,80.59,81.92,74.6,71.57,75.26,77.04,77.43,78.05,78.76,79.92,78.94,78.62
temperatureHighTime,1579737600,1579802940,1579890840,1579976460,1580065080,1580159400,1580237640,1580322180,1580403720,1580495460,1580585820,1580671320,1580759100,1580844900,1580929260,1581015300,1581102960,1581191580,1581270720,1581358860,1581446880,1581533580,1581622380,1581705720,1581789120,1581877440,1581962520,1582049820,1582138260,1582223160,1582310820,1582389900,1582480740,1582567860,1582654980,1582740780,1582822140,1582911660,1582992660,1583083320,1583171940,1583260320,1583345220,1583432160,1583519040,1583596860,1583692800,1583777700,1583863200,1583949480,1584036660,1584122640,1584209040,1584296580,1584382140
temperatureLow,68.72,68.2,68.1,68.55,66.88,70.16,69.02,71.04,69.03,72.43,67.39,65.56,67.31,69.97,72.24,74.68,69.91,70.65,70.88,72.6,73.52,74.02,73.04,71.83,71.68,72.12,73.06,74.42,73.04,72.94,68.42,67.28,67.63,71.09,72.55,71.44,65.82,64.18,63.3,65.8,69.54,72.82,73.96,73.88,68.59,64.8,67.13,69.37,69.16,69.54,70.41,71.61,71.08,70.59,70.68
temperatureLowTime,1579741440,1579859160,1579935960,1580027820,1580108280,1580188320,1580291700,1580374260,1580461200,1580536620,1580644800,1580731080,1580793060,1580878440,1580965440,1581054660,1581153060,1581238440,1581311940,1581399300,1581484140,1581570660,1581666240,1581757200,1581839580,1581919800,1582003740,1582089060,1582182000,1582269960,1582365420,1582451820,1582530540,1582616580,1582696080,1582792020,1582879620,1582973100,1583045760,1583124660,1583222700,1583296740,1583384400,1583491680,1583574120,1583653860,1583724900,1583834280,1583920320,1584005760,1584078660,1584169200,1584257280,1584342060,1584425580
apparentTemperatureHigh,69.47,75.26,75.83,76.48,75.18,76.64,79.11,78.31,81.71,78.42,86.64,71.83,72.97,76.62,79.68,85.97,87.51,76.76,78.12,82.59,86.14,84.09,84.78,85.67,79.8,83.02,83.33,85.71,86.01,84.8,85.25,74.29,72.63,75.99,82.24,83.81,78.82,71.19,69.89,71.95,74.93,79.41,82.43,85.9,88.32,74.13,71.07,75.05,77.15,77.77,78.58,79.68,83.37,79.32,79.04
apparentTemperatureHighTime,1579737600,1579802580,1579888740,1579976100,1580058540,1580159520,1580237640,1580322060,1580403600,1580500260,1580581320,1580671320,1580759100,1580844960,1580929560,1581014880,1581101460,1581191640,1581270780,1581358560,1581444900,1581532740,1581622020,1581704760,1581788820,1581876960,1581962340,1582049940,1582137000,1582222560,1582309740,1582390080,1582480740,1582567860,1582655280,1582740960,1582822380,1582911660,1582992660,1583083320,1583172120,1583260380,1583345160,1583431740,1583518860,1583596860,1583692800,1583778000,1583863320,1583949480,1584036420,1584122640,1584209160,1584296460,1584382080
apparentTemperatureLow,69.42,69.35,69.26,69.75,67.42,71.42,70.34,72.77,70.05,74.22,67.88,66.05,67.81,71.04,73.83,76.84,71.81,72.45,72.55,74.57,75.58,75.94,75,73.49,73.29,73.67,74.86,76.25,74.92,74.67,69.53,67.77,68.23,72.24,74.38,73.48,66.31,64.67,63.79,66.29,70.54,74.5,76.04,76.07,69.08,65.29,67.62,70.19,70.37,70.8,71.87,73.28,72.53,71.97,72.09
apparentTemperatureLowTime,1579741020,1579859040,1579935840,1580029020,1580108160,1580188200,1580291700,1580374140,1580461200,1580536080,1580644860,1580731080,1580793000,1580878440,1580965320,1581052380,1581152940,1581238620,1581311220,1581399720,1581483840,1581570480,1581666240,1581757260,1581839820,1581919620,1582003440,1582088880,1582182060,1582271100,1582365660,1582451760,1582530540,1582616760,1582696620,1582793820,1582880640,1582973100,1583045760,1583124660,1583222640,1583295120,1583384280,1583491620,1583574120,1583653860,1583724900,1583833980,1583920260,1584005640,1584076920,1584162300,1584261480,1584341940,1584425520
dewPoint,58.5,63.74,65.63,65.41,63.31,64.36,67.99,67.89,69.87,66.69,73.02,58.61,56.35,62.76,67.97,73.2,73.48,69.74,69.98,70.92,73.72,73.15,72.02,72.29,70.48,69.69,70.09,72.2,72.72,71.39,70.96,63.87,58.71,63.33,68.96,72.84,67.4,57.86,52.59,53.73,60.06,67.98,71.98,74.5,73.47,58.84,55.57,60.68,64,66.18,67.49,70.14,70.6,67.31,67.31
humidity,0.77,0.76,0.81,0.79,0.75,0.77,0.82,0.83,0.85,0.79,0.88,0.67,0.63,0.72,0.8,0.89,0.89,0.89,0.88,0.86,0.9,0.89,0.84,0.86,0.85,0.82,0.81,0.85,0.85,0.84,0.85,0.78,0.67,0.74,0.81,0.89,0.83,0.7,0.6,0.6,0.68,0.81,0.87,0.91,0.89,0.66,0.63,0.7,0.74,0.79,0.81,0.86,0.85,0.78,0.79
pressure,1013.1,1014.4,1016.1,1016.9,1017,1014.7,1012.5,1014,1013,1017.1,1015.6,1018.3,1021.8,1021.6,1018.9,1014.2,1015.1,1020.9,1023.8,1022.6,1020.7,1020.1,1019.6,1020.5,1020.5,1019,1018.8,1020.5,1021.2,1018.8,1015.7,1018.5,1021.1,1018.7,1016.7,1016,1016.7,1021.2,1023.1,1024.2,1021.7,1018.9,1018.5,1018.8,1017.3,1021.1,1026.9,1027.9,1025.3,1020.3,1017.2,1019.4,1022.7,1023.1,1022.1
windSpeed,22.37,18.42,11.77,5.41,6.1,6.91,9.05,8.16,12.43,6.51,12.87,18.39,6.26,10.05,12.29,18.5,15.23,14.44,21.25,18.33,13.35,13.75,13.89,9.04,6.77,11.56,10.18,16.03,12.67,10.66,13.8,22.43,17.32,16.18,16.09,15.79,13.81,11.41,16.29,16.82,17.79,14.32,13.5,12.47,13.43,21.86,24.62,25.83,20.25,16.12,12.72,13.6,13.4,11.9,11.91
