,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Province/State,"Los Angeles, CA","Los Angeles, CA","Los Angeles, CA","Los Angeles, CA","Los Angeles, CA","Los Angeles, CA","Los Angeles, CA","Los Angeles, CA","Los Angeles, CA","Los Angeles, CA","Los Angeles, CA","Los Angeles, CA","Los Angeles, CA","Los Angeles, CA","Los Angeles, CA","Los Angeles, CA","Los Angeles, CA","Los Angeles, CA","Los Angeles, CA","Los Angeles, CA","Los Angeles, CA","Los Angeles, CA","Los Angeles, CA","Los Angeles, CA","Los Angeles, CA","Los Angeles, CA","Los Angeles, CA","Los Angeles, CA","Los Angeles, CA","Los Angeles, CA","Los Angeles, CA","Los Angeles, CA","Los Angeles, CA","Los Angeles, CA","Los Angeles, CA","Los Angeles, CA","Los Angeles, CA","Los Angeles, CA","Los Angeles, CA","Los Angeles, CA","Los Angeles, CA","Los Angeles, CA","Los Angeles, CA","Los Angeles, CA","Los Angeles, CA","Los Angeles, CA","Los Angeles, CA","Los Angeles, CA","Los Angeles, CA","Los Angeles, CA","Los Angeles, CA","Los Angeles, CA","Los Angeles, CA","Los Angeles, CA","Los Angeles, CA"
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,34.0522,34.0522,34.0522,34.0522,34.0522,34.0522,34.0522,34.0522,34.0522,34.0522,34.0522,34.0522,34.0522,34.0522,34.0522,34.0522,34.0522,34.0522,34.0522,34.0522,34.0522,34.0522,34.0522,34.0522,34.0522,34.0522,34.0522,34.0522,34.0522,34.0522,34.0522,34.0522,34.0522,34.0522,34.0522,34.0522,34.0522,34.0522,34.0522,34.0522,34.0522,34.0522,34.0522,34.0522,34.0522,34.0522,34.0522,34.0522,34.0522,34.0522,34.0522,34.0522,34.0522,34.0522,34.0522
Long,-118.2437,-118.2437,-118.2437,-118.2437,-118.2437,-118.2437,-118.2437,-118.2437,-118.2437,-118.2437,-118.2437,-118.2437,-118.2437,-118.2437,-118.2437,-118.2437,-118.2437,-118.2437,-118.2437,-118.2437,-118.2437,-118.2437,-118.2437,-118.2437,-118.2437,-118.2437,-118.2437,-118.2437,-118.2437,-118.2437,-118.2437,-118.2437,-118.2437,-118.2437,-118.2437,-118.2437,-118.2437,-118.2437,-118.2437,-118.2437,-118.2437,-118.2437,-118.2437,-118.2437,-118.2437,-118.2437,-118.2437,-118.2437,-118.2437,-118.2437,-118.2437,-118.2437,-118.2437,-118.2437,-118.2437
time,1579680000,1579766400,1579852800,1579939200,1580025600,1580112000,1580198400,1580284800,1580371200,1580457600,1580544000,1580630400,1580716800,1580803200,1580889600,1580976000,1581062400,1581148800,1581235200,1581321600,1581408000,1581494400,1581580800,1581667200,1581753600,1581840000,1581926400,1582012800,1582099200,1582185600,1582272000,1582358400,1582444800,1582531200,1582617600,1582704000,1582790400,1582876800,1582963200,1583049600,1583136000,1583222400,1583308800,1583395200,1583481600,1583568000,1583654400,1583737200,1583823600,1583910000,1583996400,1584082800,1584169200,1584255600,1584342000
summary,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Mostly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Possible light rain in the morning and afternoon.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Possible drizzle in the morning.,Partly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Mostly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Mostly cloudy throughout the day.,Clear throughout the day.,Possible light rain overnight.,Light rain throughout the day.,Possible drizzle in the morning.,Rain throughout the day.,Light rain until evening.,Possible light rain in the morning and afternoon.,Possible drizzle in the morning.,Rain starting in the afternoon.
icon,clear-day,clear-day,clear-day,partly-cloudy-day,partly-cloudy-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,rain,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,partly-cloudy-day,clear-day,clear-day,clear-day,rain,clear-day,clear-day,clear-day,clear-day,partly-cloudy-day,partly-cloudy-day,clear-day,rain,clear-day,clear-day,clear-day,partly-cloudy-day,partly-cloudy-day,rain,rain,partly-cloudy-day,rain,rain,rain,rain,rain,rain,rain
sunriseTime,1579705020,1579791420,1579877760,1579964160,1580050500,1580136900,1580223240,1580309580,1580395980,1580482320,1580568660,1580655060,1580741400,1580827740,1580914080,1581000480,1581086820,1581173160,1581259500,1581345840,1581432180,1581518520,1581604860,1581691200,1581777540,1581863880,1581950220,1582036560,1582122900,1582209240,1582295580,1582381920,1582468260,1582554540,1582640880,1582727220,1582813560,1582899900,1582986180,1583072520,1583158860,1583245200,1583331480,1583417820,1583504160,1583590440,1583676780,1583763120,1583849400,1583935740,1584022080,1584108360,1584194700,1584281040,1584367320
sunsetTime,1579742040,1579828500,1579914960,1580001420,1580087880,1580174340,1580260800,1580347260,1580433720,1580520180,1580606640,1580693100,1580779560,1580866020,1580952480,1581038940,1581125400,1581211860,1581298320,1581384780,1581471240,1581557700,1581644160,1581730620,1581817080,1581903540,1581990000,1582076460,1582162860,1582249320,1582335780,1582422240,1582508700,1582595160,1582681620,1582768080,1582854540,1582940940,1583027400,1583113860,1583200320,1583286780,1583373240,1583459640,1583546100,1583632560,1583719020,1583805480,1583891880,1583978340,1584064800,1584151260,1584237720,1584324120,1584410580
moonPhase,0.94,0.98,0.01,0.04,0.07,0.1,0.13,0.16,0.19,0.22,0.25,0.29,0.32,0.35,0.39,0.42,0.46,0.5,0.53,0.57,0.61,0.65,0.69,0.72,0.76,0.79,0.83,0.86,0.89,0.92,0.96,0.99,0.02,0.05,0.08,0.11,0.14,0.17,0.2,0.23,0.26,0.3,0.33,0.37,0.4,0.44,0.48,0.52,0.56,0.6,0.63,0.67,0.71,0.74,0.78
precipIntensity,0.0003,0.0008,0.0006,0.0006,0.0007,0.0006,0.0006,0.0005,0.0006,0.0003,0.0003,0.0005,0.0005,0.0004,0.0008,0.0007,0.0005,0.0006,0.0049,0.0006,0.0007,0.0008,0.0005,0.0005,0.0008,0.0008,0.0005,0.0008,0.0008,0.0008,0.0008,0.0049,0.0005,0.0006,0.0006,0.0006,0.0003,0.0001,0.0009,0.0039,0.0008,0.0007,0.0005,0.0004,0.0012,0.0019,0.0011,0.0006,0.0262,0.0083,0.0359,0.0249,0.0088,0.0052,0.0284
precipIntensityMax,0.0012,0.0014,0.0022,0.0018,0.0022,0.0017,0.0017,0.0018,0.0018,0.0012,0.0014,0.0026,0.0018,0.0017,0.0022,0.0019,0.0017,0.002,0.0205,0.002,0.0016,0.0018,0.0016,0.0014,0.0021,0.0018,0.0015,0.0017,0.002,0.0018,0.002,0.0237,0.0018,0.0017,0.0015,0.0018,0.0017,0.0012,0.004,0.0261,0.0018,0.0017,0.0018,0.0016,0.0038,0.0053,0.0027,0.0018,0.055,0.0249,0.1854,0.0887,0.0196,0.0156,0.1884
precipIntensityMaxTime,1579682700,1579792800,1579924620,1580011380,1580050800,1580115600,1580244420,1580289180,1580421600,1580493660,1580577840,1580702460,1580755920,1580824980,1580937960,1581008160,1581145200,1581178320,1581281820,1581331200,1581460620,1581541440,1581638100,1581681240,1581807540,1581899400,1581998940,1582064880,1582114140,1582261080,1582340400,1582412400,1582453140,1582588740,1582617600,1582736340,1582828680,1582909260,1583045940,1583081280,1583189880,1583272860,1583366400,1583419980,1583553480,1583589840,1583654520,1583748180,1583878140,1583917080,1584047040,1584097560,1584201540,1584270120,1584411720
precipProbability,0.09,0.07,0.08,0.09,0.16,0.1,0.05,0.03,0.05,0.03,0.06,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.62,0.1,0.02,0.07,0.07,0.11,0.07,0.09,0.08,0.1,0.14,0.08,0.1,0.66,0.16,0.09,0.03,0.04,0.01,0.01,0.09,0.48,0.22,0.03,0.06,0.07,0.08,0.34,0.27,0.08,0.99,0.68,0.95,0.99,0.64,0.54,0.9
precipType,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain
temperatureHigh,66.07,75.7,75.12,72.91,62.38,73.57,77.3,76.88,76.39,83.04,84.97,70.45,64.06,62.56,63.84,65.9,68.75,70.34,59.57,74.65,73.52,69.19,71.77,69.68,70.98,69.99,72.26,72.25,69.66,81.08,78.65,64.93,66.31,71.28,83.78,81.91,87.11,87.46,73.62,61.09,74.1,82.11,75.17,78.81,72.79,64.12,66.7,74.43,67.91,72.88,62.55,59.06,60.54,64.28,61.25
