,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,Bahrain,Bahrain,Bahrain,Bahrain,Bahrain,Bahrain,Bahrain,Bahrain,Bahrain,Bahrain,Bahrain,Bahrain,Bahrain,Bahrain,Bahrain,Bahrain,Bahrain,Bahrain,Bahrain,Bahrain,Bahrain,Bahrain,Bahrain,Bahrain,Bahrain,Bahrain,Bahrain,Bahrain,Bahrain,Bahrain,Bahrain,Bahrain,Bahrain,Bahrain,Bahrain,Bahrain,Bahrain,Bahrain,Bahrain,Bahrain,Bahrain,Bahrain,Bahrain,Bahrain,Bahrain,Bahrain,Bahrain,Bahrain,Bahrain,Bahrain,Bahrain,Bahrain,Bahrain,Bahrain,Bahrain
Lat,26.0275,26.0275,26.0275,26.0275,26.0275,26.0275,26.0275,26.0275,26.0275,26.0275,26.0275,26.0275,26.0275,26.0275,26.0275,26.0275,26.0275,26.0275,26.0275,26.0275,26.0275,26.0275,26.0275,26.0275,26.0275,26.0275,26.0275,26.0275,26.0275,26.0275,26.0275,26.0275,26.0275,26.0275,26.0275,26.0275,26.0275,26.0275,26.0275,26.0275,26.0275,26.0275,26.0275,26.0275,26.0275,26.0275,26.0275,26.0275,26.0275,26.0275,26.0275,26.0275,26.0275,26.0275,26.0275
Long,50.55,50.55,50.55,50.55,50.55,50.55,50.55,50.55,50.55,50.55,50.55,50.55,50.55,50.55,50.55,50.55,50.55,50.55,50.55,50.55,50.55,50.55,50.55,50.55,50.55,50.55,50.55,50.55,50.55,50.55,50.55,50.55,50.55,50.55,50.55,50.55,50.55,50.55,50.55,50.55,50.55,50.55,50.55,50.55,50.55,50.55,50.55,50.55,50.55,50.55,50.55,50.55,50.55,50.55,50.55
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparentTemperatureHigh,71.9,59.56,62.74,65.29,59.94,61.91,64.65,64.04,67.23,65.62,67.29,65.52,64.97,65.28,67.41,69.71,73.22,76.41,68.88,66.9,60.7,56.23,62.22,66.48,68.19,68.59,73.26,72.88,73.64,72.01,69.93,71.4,73.82,78.21,82.16,70.54,69.45,70.46,70.82,75.94,70.92,70.29,70.78,72.02,71.72,76.12,74.47,72.85,74.09,73.64,74.96,76.22,78.42,79.69,76.9
apparentTemperatureHighTime,1579697280,1579793940,1579863660,1579956960,1580043660,1580122860,1580209260,1580298000,1580382240,1580468520,1580562000,1580631060,1580727480,1580814000,1580900100,1580986680,1581077580,1581165420,1581241320,1581321900,1581408600,1581507420,1581591780,1581678180,1581760980,1581850800,1581940980,1582023600,1582114500,1582192440,1582278480,1582368780,1582456140,1582549320,1582634460,1582703880,1582796580,1582885560,1582974000,1583067900,1583136000,1583228520,1583315460,1583402160,1583492460,1583585760,1583661660,1583747100,1583833920,1583924100,1584010980,1584097080,1584183780,1584273600,1584356040
apparentTemperatureLow,58.29,56.14,56.51,51.9,55.89,56.53,56.4,59.53,57.25,58.96,60.51,57,58.5,57.97,59.89,63.26,64.6,64.26,62.25,57.53,40.82,52.14,55.81,58.23,58.6,61.77,63.53,64.38,65.89,62.31,62.04,63.03,65.6,68.68,67.59,61.49,62.89,62.11,63.24,65.78,63.38,62.68,63.28,61.32,63.48,65.23,62.93,63.28,64.06,63.71,65.54,68.92,68.49,67.83,68.16
apparentTemperatureLowTime,1579755600,1579837440,1579917180,1580011020,1580100240,1580180820,1580263500,1580354340,1580436240,1580514360,1580591940,1580700780,1580773380,1580860020,1580946060,1581029460,1581127020,1581206700,1581291600,1581391740,1581481980,1581568920,1581645720,1581724620,1581821880,1581897360,1581991260,1582077600,1582156260,1582250160,1582318620,1582415280,1582502400,1582596240,1582687920,1582755360,1582835760,1582941660,1583020260,1583115240,1583181840,1583279160,1583355060,1583461080,1583546400,1583624940,1583711040,1583798100,1583884320,1583970780,1584057180,1584133800,1584229800,1584316740,1584402540
apparentTemperatureMax,71.9,63.21,62.74,65.29,59.94,61.91,64.65,64.04,67.23,65.62,67.29,65.52,64.97,65.28,67.41,69.71,73.22,76.41,68.88,66.9,60.7,56.23,62.22,66.48,68.19,68.59,73.26,72.88,73.64,72.01,69.93,71.4,73.82,78.21,82.16,72.83,69.45,70.46,70.82,75.94,70.92,70.29,70.78,72.02,71.72,76.12,74.47,72.85,74.09,73.64,74.96,76.22,78.42,79.69,76.9
apparentTemperatureMaxTime,1579697280,1579726800,1579863660,1579956960,1580043660,1580122860,1580209260,1580298000,1580382240,1580468520,1580562000,1580631060,1580727480,1580814000,1580900100,1580986680,1581077580,1581165420,1581241320,1581321900,1581408600,1581507420,1581591780,1581678180,1581760980,1581850800,1581940980,1582023600,1582114500,1582192440,1582278480,1582368780,1582456140,1582549320,1582634460,1582664400,1582796580,1582885560,1582974000,1583067900,1583136000,1583228520,1583315460,1583402160,1583492460,1583585760,1583661660,1583747100,1583833920,1583924100,1584010980,1584097080,1584183780,1584273600,1584356040
