,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Province/State,"Clark County, WA","Clark County, WA","Clark County, WA","Clark County, WA","Clark County, WA","Clark County, WA","Clark County, WA","Clark County, WA","Clark County, WA","Clark County, WA","Clark County, WA","Clark County, WA","Clark County, WA","Clark County, WA","Clark County, WA","Clark County, WA","Clark County, WA","Clark County, WA","Clark County, WA","Clark County, WA","Clark County, WA","Clark County, WA","Clark County, WA","Clark County, WA","Clark County, WA","Clark County, WA","Clark County, WA","Clark County, WA","Clark County, WA","Clark County, WA","Clark County, WA","Clark County, WA","Clark County, WA","Clark County, WA","Clark County, WA","Clark County, WA","Clark County, WA","Clark County, WA","Clark County, WA","Clark County, WA","Clark County, WA","Clark County, WA","Clark County, WA","Clark County, WA","Clark County, WA","Clark County, WA","Clark County, WA","Clark County, WA","Clark County, WA","Clark County, WA","Clark County, WA","Clark County, WA","Clark County, WA","Clark County, WA","Clark County, WA"
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,45.7466,45.7466,45.7466,45.7466,45.7466,45.7466,45.7466,45.7466,45.7466,45.7466,45.7466,45.7466,45.7466,45.7466,45.7466,45.7466,45.7466,45.7466,45.7466,45.7466,45.7466,45.7466,45.7466,45.7466,45.7466,45.7466,45.7466,45.7466,45.7466,45.7466,45.7466,45.7466,45.7466,45.7466,45.7466,45.7466,45.7466,45.7466,45.7466,45.7466,45.7466,45.7466,45.7466,45.7466,45.7466,45.7466,45.7466,45.7466,45.7466,45.7466,45.7466,45.7466,45.7466,45.7466,45.7466
Long,-122.5194,-122.5194,-122.5194,-122.5194,-122.5194,-122.5194,-122.5194,-122.5194,-122.5194,-122.5194,-122.5194,-122.5194,-122.5194,-122.5194,-122.5194,-122.5194,-122.5194,-122.5194,-122.5194,-122.5194,-122.5194,-122.5194,-122.5194,-122.5194,-122.5194,-122.5194,-122.5194,-122.5194,-122.5194,-122.5194,-122.5194,-122.5194,-122.5194,-122.5194,-122.5194,-122.5194,-122.5194,-122.5194,-122.5194,-122.5194,-122.5194,-122.5194,-122.5194,-122.5194,-122.5194,-122.5194,-122.5194,-122.5194,-122.5194,-122.5194,-122.5194,-122.5194,-122.5194,-122.5194,-122.5194
time,1579680000,1579766400,1579852800,1579939200,1580025600,1580112000,1580198400,1580284800,1580371200,1580457600,1580544000,1580630400,1580716800,1580803200,1580889600,1580976000,1581062400,1581148800,1581235200,1581321600,1581408000,1581494400,1581580800,1581667200,1581753600,1581840000,1581926400,1582012800,1582099200,1582185600,1582272000,1582358400,1582444800,1582531200,1582617600,1582704000,1582790400,1582876800,1582963200,1583049600,1583136000,1583222400,1583308800,1583395200,1583481600,1583568000,1583654400,1583737200,1583823600,1583910000,1583996400,1584082800,1584169200,1584255600,1584342000
summary,Light rain throughout the day.,Light rain throughout the day.,Light rain throughout the day.,"Light rain until morning, starting again in the evening.",Light rain throughout the day.,Rain throughout the day.,Rain until evening.,Light rain until evening.,Light rain in the evening and overnight.,Drizzle in the morning and afternoon.,Rain until evening.,Possible drizzle in the morning.,Possible light rain in the morning and afternoon.,Light rain starting in the afternoon.,Light rain throughout the day.,Rain throughout the day.,Light rain throughout the day.,Light rain in the morning and afternoon.,Mostly cloudy throughout the day.,Partly cloudy throughout the day.,Mostly cloudy throughout the day.,Mostly cloudy throughout the day.,Light rain starting in the afternoon.,Possible drizzle throughout the day.,Light rain throughout the day.,Possible light rain throughout the day.,Possible drizzle in the morning.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Possible light rain overnight.,Light rain throughout the day.,Mostly cloudy throughout the day.,Partly cloudy throughout the day.,Mostly cloudy throughout the day.,Clear throughout the day.,Light rain in the evening and overnight.,Light rain until evening.,Mostly cloudy throughout the day.,Light rain throughout the day.,Possible light rain in the morning.,Partly cloudy throughout the day.,Light rain overnight.,Light rain throughout the day.,Light rain until evening.,Overcast throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Possible drizzle in the morning.,Clear throughout the day.,"Light rain until afternoon, starting again overnight.",Light rain in the morning.,Clear throughout the day.,Partly cloudy throughout the day.
icon,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,partly-cloudy-day,rain,rain,rain,rain,rain,rain,rain,clear-day,clear-day,clear-day,clear-day,partly-cloudy-day,rain,rain,partly-cloudy-day,partly-cloudy-day,clear-day,rain,rain,rain,rain,rain,rain,partly-cloudy-day,rain,rain,rain,clear-day,partly-cloudy-day,rain,clear-day,rain,rain,clear-day,clear-day
sunriseTime,1579707780,1579794120,1579880520,1579966860,1580053200,1580139540,1580225880,1580312220,1580398500,1580484840,1580571180,1580657520,1580743860,1580830140,1580916480,1581002820,1581089160,1581175440,1581261780,1581348060,1581434400,1581520680,1581607020,1581693300,1581779640,1581865920,1581952260,1582038540,1582124820,1582211160,1582297440,1582383780,1582470060,1582556340,1582642620,1582728960,1582815240,1582901520,1582987800,1583074140,1583160420,1583246700,1583332980,1583419260,1583505540,1583591820,1583678160,1583764440,1583850720,1583937000,1584023280,1584109560,1584195840,1584282120,1584368400
sunsetTime,1579741320,1579827840,1579914300,1580000760,1580087280,1580173740,1580260260,1580346720,1580433240,1580519700,1580606220,1580692680,1580779200,1580865660,1580952180,1581038640,1581125160,1581211620,1581298080,1581384600,1581471060,1581557580,1581644040,1581730560,1581817020,1581903540,1581990000,1582076520,1582162980,1582249500,1582335960,1582422480,1582508940,1582595400,1582681920,1582768380,1582854900,1582941360,1583027820,1583114340,1583200800,1583287320,1583373780,1583460240,1583546760,1583633220,1583719680,1583806200,1583892660,1583979120,1584065640,1584152100,1584238560,1584325080,1584411540
moonPhase,0.94,0.98,0.01,0.04,0.07,0.1,0.13,0.16,0.19,0.22,0.25,0.29,0.32,0.35,0.39,0.42,0.46,0.5,0.53,0.57,0.61,0.65,0.69,0.72,0.76,0.79,0.83,0.86,0.89,0.92,0.96,0.99,0.02,0.05,0.08,0.11,0.14,0.17,0.2,0.23,0.26,0.3,0.33,0.37,0.4,0.44,0.48,0.52,0.56,0.6,0.63,0.67,0.71,0.74,0.78
