,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,Azerbaijan,Azerbaijan,Azerbaijan,Azerbaijan,Azerbaijan,Azerbaijan,Azerbaijan,Azerbaijan,Azerbaijan,Azerbaijan,Azerbaijan,Azerbaijan,Azerbaijan,Azerbaijan,Azerbaijan,Azerbaijan,Azerbaijan,Azerbaijan,Azerbaijan,Azerbaijan,Azerbaijan,Azerbaijan,Azerbaijan,Azerbaijan,Azerbaijan,Azerbaijan,Azerbaijan,Azerbaijan,Azerbaijan,Azerbaijan,Azerbaijan,Azerbaijan,Azerbaijan,Azerbaijan,Azerbaijan,Azerbaijan,Azerbaijan,Azerbaijan,Azerbaijan,Azerbaijan,Azerbaijan,Azerbaijan,Azerbaijan,Azerbaijan,Azerbaijan,Azerbaijan,Azerbaijan,Azerbaijan,Azerbaijan,Azerbaijan,Azerbaijan,Azerbaijan,Azerbaijan,Azerbaijan,Azerbaijan
Lat,40.1431,40.1431,40.1431,40.1431,40.1431,40.1431,40.1431,40.1431,40.1431,40.1431,40.1431,40.1431,40.1431,40.1431,40.1431,40.1431,40.1431,40.1431,40.1431,40.1431,40.1431,40.1431,40.1431,40.1431,40.1431,40.1431,40.1431,40.1431,40.1431,40.1431,40.1431,40.1431,40.1431,40.1431,40.1431,40.1431,40.1431,40.1431,40.1431,40.1431,40.1431,40.1431,40.1431,40.1431,40.1431,40.1431,40.1431,40.1431,40.1431,40.1431,40.1431,40.1431,40.1431,40.1431,40.1431
Long,47.5769,47.5769,47.5769,47.5769,47.5769,47.5769,47.5769,47.5769,47.5769,47.5769,47.5769,47.5769,47.5769,47.5769,47.5769,47.5769,47.5769,47.5769,47.5769,47.5769,47.5769,47.5769,47.5769,47.5769,47.5769,47.5769,47.5769,47.5769,47.5769,47.5769,47.5769,47.5769,47.5769,47.5769,47.5769,47.5769,47.5769,47.5769,47.5769,47.5769,47.5769,47.5769,47.5769,47.5769,47.5769,47.5769,47.5769,47.5769,47.5769,47.5769,47.5769,47.5769,47.5769,47.5769,47.5769
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparentTemperatureHigh,52.31,55.5,42.81,43.74,56.85,51.8,52.53,56.46,63.75,62.76,41.07,53.35,59.03,63.96,57.85,71.49,75.93,58.33,32.96,37.7,38.24,46.67,53.96,55.82,50.7,52.59,45.32,53.97,58.63,52.92,60.32,51.54,63.94,59.67,63.32,55.75,61.42,72.46,65.43,65.15,46.54,62.75,64.81,68.41,66.17,64.91,64.89,65.29,64.33,70.29,78.52,70.17,70.14,64.57,55.84
apparentTemperatureHighTime,1579690920,1579777080,1579860180,1579950000,1580039700,1580123460,1580209740,1580296140,1580382540,1580468820,1580563320,1580644080,1580729220,1580810880,1580900700,1580983800,1581074040,1581155520,1581260400,1581342840,1581421260,1581508140,1581592380,1581678720,1581765360,1581851220,1581939840,1582023900,1582110540,1582197060,1582283100,1582370280,1582456740,1582543320,1582623600,1582715220,1582801620,1582890960,1582972260,1583061000,1583155440,1583233740,1583320860,1583406900,1583493960,1583576640,1583665740,1583752500,1583839320,1583925840,1584012120,1584097200,1584183780,1584274680,1584353820
apparentTemperatureLow,27,35.83,23.12,20.17,23.62,22.98,24.51,30.12,29.86,36.55,31.94,26.57,31.29,39.73,34.24,40.04,43.12,22.13,22.4,15.94,11.43,21.7,33.41,26.17,25.29,37.74,27.13,25.3,36.28,39.8,38.61,43.01,39.92,34.45,34.32,27.36,29.58,44.77,38.4,34.74,36.57,36.93,39.18,42.76,43.15,38.99,34.07,36.53,40.69,42.37,45.7,48.17,55.46,40.86,34.51
apparentTemperatureLowTime,1579744980,1579837680,1579917840,1580003340,1580089800,1580176740,1580262960,1580349720,1580435940,1580529600,1580609400,1580695260,1580780940,1580870940,1580953560,1581040800,1581127380,1581220200,1581301980,1581375060,1581472200,1581559080,1581646380,1581731220,1581821520,1581904620,1581991860,1582077480,1582154880,1582250520,1582322280,1582416240,1582509480,1582595340,1582682760,1582769280,1582855200,1582942020,1583027940,1583113860,1583201400,1583286360,1583373120,1583459640,1583546460,1583633400,1583718900,1583797560,1583877480,1583979300,1584064560,1584148020,1584237240,1584324120,1584415080
apparentTemperatureMax,52.31,55.5,42.81,43.74,56.85,51.8,52.53,56.46,63.75,62.76,42.67,53.35,59.03,63.96,57.85,71.49,75.93,58.33,33.41,37.7,38.24,46.67,53.96,55.82,50.7,52.59,45.32,53.97,58.63,52.92,60.32,51.54,63.94,59.67,63.32,55.75,61.42,72.46,65.43,65.15,46.54,62.75,64.81,68.41,66.17,64.91,64.89,65.29,64.33,70.29,78.52,70.17,70.14,64.57,55.84
apparentTemperatureMaxTime,1579690920,1579777080,1579860180,1579950000,1580039700,1580123460,1580209740,1580296140,1580382540,1580468820,1580500800,1580644080,1580729220,1580810880,1580900700,1580983800,1581074040,1581155520,1581274620,1581342840,1581421260,1581508140,1581592380,1581678720,1581765360,1581851220,1581939840,1582023900,1582110540,1582197060,1582283100,1582370280,1582456740,1582543320,1582623600,1582715220,1582801620,1582890960,1582972260,1583061000,1583155440,1583233740,1583320860,1583406900,1583493960,1583576640,1583665740,1583752500,1583839320,1583925840,1584012120,1584097200,1584183780,1584274680,1584353820
