,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,42.1657,42.1657,42.1657,42.1657,42.1657,42.1657,42.1657,42.1657,42.1657,42.1657,42.1657,42.1657,42.1657,42.1657,42.1657,42.1657,42.1657,42.1657,42.1657,42.1657,42.1657,42.1657,42.1657,42.1657,42.1657,42.1657,42.1657,42.1657,42.1657,42.1657,42.1657,42.1657,42.1657,42.1657,42.1657,42.1657,42.1657,42.1657,42.1657,42.1657,42.1657,42.1657,42.1657,42.1657,42.1657,42.1657,42.1657,42.1657,42.1657,42.1657,42.1657,42.1657,42.1657,42.1657,42.1657
Long,-74.9481,-74.9481,-74.9481,-74.9481,-74.9481,-74.9481,-74.9481,-74.9481,-74.9481,-74.9481,-74.9481,-74.9481,-74.9481,-74.9481,-74.9481,-74.9481,-74.9481,-74.9481,-74.9481,-74.9481,-74.9481,-74.9481,-74.9481,-74.9481,-74.9481,-74.9481,-74.9481,-74.9481,-74.9481,-74.9481,-74.9481,-74.9481,-74.9481,-74.9481,-74.9481,-74.9481,-74.9481,-74.9481,-74.9481,-74.9481,-74.9481,-74.9481,-74.9481,-74.9481,-74.9481,-74.9481,-74.9481,-74.9481,-74.9481,-74.9481,-74.9481,-74.9481,-74.9481,-74.9481,-74.9481
Province/State,New York,New York,New York,New York,New York,New York,New York,New York,New York,New York,New York,New York,New York,New York,New York,New York,New York,New York,New York,New York,New York,New York,New York,New York,New York,New York,New York,New York,New York,New York,New York,New York,New York,New York,New York,New York,New York,New York,New York,New York,New York,New York,New York,New York,New York,New York,New York,New York,New York,New York,New York,New York,New York,New York,New York
apparentTemperatureHigh,30.04,35.9,40.74,32.54,26.7,24.9,17.33,17.62,31.87,26.32,33.67,29.76,35.54,42.19,26.46,32.12,37.02,17.02,25.27,34.38,33.69,29.72,30.14,-2.09,15.56,27.8,25.88,31.9,16.42,10.46,17.43,28.41,39.48,51.37,46.14,36.77,22.3,13.27,8.06,24.95,51.89,50.24,34.46,40.19,37.95,26.39,52.04,64.01,52.35,43.05,41.86,50.22,33.66,35.37,36.29
apparentTemperatureHighTime,1579716420,1579806900,1579891740,1579981680,1580067960,1580151900,1580215680,1580326800,1580412360,1580500500,1580576040,1580688000,1580760060,1580835780,1580947080,1581016860,1581082020,1581206400,1581277740,1581379200,1581438900,1581537000,1581605820,1581710100,1581796560,1581882720,1581963180,1582070400,1582127520,1582227180,1582315380,1582401480,1582487400,1582572240,1582656540,1582744380,1582804800,1582920180,1582981680,1583107200,1583173320,1583254740,1583351460,1583438160,1583519280,1583610660,1583697780,1583781420,1583866440,1583957100,1584032040,1584125940,1584212820,1584299700,1584386040
apparentTemperatureLow,12.12,19.91,21.46,23.55,20.79,17.23,8.28,1.52,11.2,22.86,19.91,23.16,28.01,15.72,19.15,29.6,1.97,11.74,18.7,29.3,14.01,23.91,-4.53,-6.71,6.95,17.26,16.42,14.82,5.66,0.05,6.93,14.91,22.43,34.6,30.77,17.41,1.33,5.75,1.36,18.46,35.75,23.07,19.03,22.91,9.41,16.46,31.15,40.99,22.68,29.51,32.91,19.89,23.53,13.72,22.11
apparentTemperatureLowTime,1579769100,1579866480,1579946280,1580036220,1580119380,1580212980,1580302620,1580385240,1580454300,1580518500,1580643480,1580726820,1580789700,1580906520,1580967180,1581058140,1581155160,1581248400,1581310740,1581412200,1581508260,1581571320,1581685200,1581730860,1581819120,1581938400,1582029960,1582116900,1582202100,1582281360,1582365840,1582452540,1582544760,1582630680,1582721460,1582808400,1582886820,1582973580,1583032620,1583119320,1583232360,1583320140,1583405400,1583492340,1583585040,1583655180,1583747880,1583836560,1583926740,1583994000,1584082620,1584186420,1584273600,1584356160,1584425280
apparentTemperatureMax,30.04,35.9,40.74,32.54,26.7,24.9,19.37,17.62,31.87,26.32,33.67,30.32,35.54,42.19,26.46,32.23,37.02,17.09,25.27,34.53,33.69,29.72,30.14,17,15.56,27.8,25.88,32.53,24.78,10.46,17.43,28.45,39.48,51.37,46.14,36.77,31.46,14.09,8.64,25.07,51.89,50.24,34.46,40.19,37.95,26.39,52.04,64.01,52.35,43.05,41.86,50.22,33.66,35.37,36.29
apparentTemperatureMaxTime,1579716420,1579806900,1579891740,1579981680,1580067960,1580151900,1580194620,1580326800,1580412360,1580500500,1580576040,1580690100,1580760060,1580835780,1580947080,1581040740,1581082020,1581207000,1581277740,1581380040,1581438900,1581537000,1581605820,1581656400,1581796560,1581882720,1581963180,1582076820,1582088400,1582227180,1582315380,1582417140,1582487400,1582572240,1582656540,1582744380,1582790100,1582937700,1582952400,1583107860,1583173320,1583254740,1583351460,1583438160,1583519280,1583610660,1583697780,1583781420,1583866440,1583957100,1584032040,1584125940,1584212820,1584299700,1584386040
