,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country/Region,Mauritius,Mauritius,Mauritius,Mauritius,Mauritius,Mauritius,Mauritius,Mauritius,Mauritius,Mauritius,Mauritius,Mauritius,Mauritius,Mauritius,Mauritius,Mauritius,Mauritius,Mauritius,Mauritius,Mauritius,Mauritius,Mauritius,Mauritius,Mauritius,Mauritius,Mauritius,Mauritius,Mauritius,Mauritius,Mauritius,Mauritius,Mauritius,Mauritius,Mauritius,Mauritius,Mauritius,Mauritius,Mauritius,Mauritius,Mauritius,Mauritius,Mauritius,Mauritius,Mauritius,Mauritius,Mauritius,Mauritius,Mauritius,Mauritius,Mauritius,Mauritius,Mauritius,Mauritius,Mauritius,Mauritius
Lat,-20.2,-20.2,-20.2,-20.2,-20.2,-20.2,-20.2,-20.2,-20.2,-20.2,-20.2,-20.2,-20.2,-20.2,-20.2,-20.2,-20.2,-20.2,-20.2,-20.2,-20.2,-20.2,-20.2,-20.2,-20.2,-20.2,-20.2,-20.2,-20.2,-20.2,-20.2,-20.2,-20.2,-20.2,-20.2,-20.2,-20.2,-20.2,-20.2,-20.2,-20.2,-20.2,-20.2,-20.2,-20.2,-20.2,-20.2,-20.2,-20.2,-20.2,-20.2,-20.2,-20.2,-20.2,-20.2
Long,57.5,57.5,57.5,57.5,57.5,57.5,57.5,57.5,57.5,57.5,57.5,57.5,57.5,57.5,57.5,57.5,57.5,57.5,57.5,57.5,57.5,57.5,57.5,57.5,57.5,57.5,57.5,57.5,57.5,57.5,57.5,57.5,57.5,57.5,57.5,57.5,57.5,57.5,57.5,57.5,57.5,57.5,57.5,57.5,57.5,57.5,57.5,57.5,57.5,57.5,57.5,57.5,57.5,57.5,57.5
time,1579636800,1579723200,1579809600,1579896000,1579982400,1580068800,1580155200,1580241600,1580328000,1580414400,1580500800,1580587200,1580673600,1580760000,1580846400,1580932800,1581019200,1581105600,1581192000,1581278400,1581364800,1581451200,1581537600,1581624000,1581710400,1581796800,1581883200,1581969600,1582056000,1582142400,1582228800,1582315200,1582401600,1582488000,1582574400,1582660800,1582747200,1582833600,1582920000,1583006400,1583092800,1583179200,1583265600,1583352000,1583438400,1583524800,1583611200,1583697600,1583784000,1583870400,1583956800,1584043200,1584129600,1584216000,1584302400
summary,Light rain and humid throughout the day.,Light rain in the evening and overnight.,Light rain and humid throughout the day.,Light rain in the morning and afternoon.,Humid and partly cloudy throughout the day.,Possible drizzle in the morning.,Partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid and partly cloudy throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Possible light rain overnight.,"Light rain until morning, starting again in the evening.",Possible light rain in the morning.,Humid and partly cloudy throughout the day.,Humid and mostly cloudy throughout the day.,Possible drizzle in the morning.,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid and overcast throughout the day.,Humid throughout the day.,Light rain in the evening and overnight.,"Rain until afternoon, starting again overnight.","Light rain until afternoon, starting again overnight.",Light rain and humid throughout the day.,Possible light rain in the morning and afternoon.,Light rain starting in the afternoon.,Rain and humid throughout the day.,Possible light rain until evening.,Possible light rain starting in the afternoon.,"Light rain until afternoon, starting again overnight.",Possible light rain in the morning and afternoon.,Light rain and humid throughout the day.,Possible drizzle in the afternoon.,Light rain and humid throughout the day.,Light rain until evening.,Possible drizzle in the morning.,Light rain and humid throughout the day.,Rain in the morning and afternoon.,Possible light rain in the afternoon.,Humid and mostly cloudy throughout the day.,Possible light rain and windy overnight.
icon,rain,rain,rain,rain,rain,rain,partly-cloudy-day,rain,clear-day,rain,clear-day,clear-day,rain,rain,clear-day,rain,rain,rain,clear-day,rain,rain,rain,partly-cloudy-day,rain,rain,partly-cloudy-day,partly-cloudy-day,rain,clear-day,rain,clear-day,partly-cloudy-day,partly-cloudy-day,clear-day,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,partly-cloudy-day,rain
sunriseTime,1579657680,1579744140,1579830600,1579917000,1580003460,1580089920,1580176320,1580262780,1580349240,1580435640,1580522100,1580608500,1580694960,1580781420,1580867820,1580954280,1581040680,1581127140,1581213600,1581300000,1581386460,1581472860,1581559320,1581645720,1581732180,1581818580,1581905040,1581991440,1582077900,1582164300,1582250760,1582337160,1582423560,1582510020,1582596420,1582682880,1582769280,1582855680,1582942140,1583028540,1583115000,1583201400,1583287800,1583374260,1583460660,1583547060,1583633520,1583719920,1583806320,1583892780,1583979180,1584065580,1584151980,1584238440,1584324840
sunsetTime,1579705020,1579791420,1579877760,1579964160,1580050560,1580136960,1580223360,1580309700,1580396100,1580482500,1580568900,1580655240,1580741640,1580828040,1580914380,1581000780,1581087120,1581173520,1581259920,1581346260,1581432660,1581519000,1581605400,1581691740,1581778080,1581864480,1581950820,1582037220,1582123560,1582209900,1582296300,1582382640,1582468980,1582555380,1582641720,1582728060,1582814400,1582900800,1582987140,1583073480,1583159820,1583246220,1583332560,1583418900,1583505240,1583591580,1583677980,1583764320,1583850660,1583937000,1584023340,1584109680,1584196020,1584282360,1584368760
moonPhase,0.93,0.96,0.99,0.03,0.06,0.09,0.12,0.15,0.18,0.21,0.24,0.27,0.3,0.33,0.37,0.4,0.44,0.48,0.52,0.55,0.59,0.63,0.67,0.71,0.74,0.78,0.81,0.84,0.88,0.91,0.94,0.97,0,0.03,0.06,0.09,0.12,0.15,0.18,0.21,0.25,0.28,0.31,0.35,0.38,0.42,0.46,0.5,0.54,0.58,0.62,0.65,0.69,0.73,0.76
precipIntensity,0.0405,0.0072,0.0488,0.0146,0.0028,0.003,0.0008,0.0039,0.0007,0.0029,0.0004,0.0005,0.0014,0.0013,0.0005,0.0009,0.0032,0.0007,0.0004,0.004,0.0149,0.0083,0.0005,0.0086,0.0029,0.0007,0.0023,0.0019,0.0008,0.0043,0.0009,0.0003,0.0024,0.0004,0.0058,0.0164,0.0249,0.013,0.0096,0.0092,0.0521,0.016,0.0091,0.0165,0.0042,0.0175,0.0014,0.0041,0.0105,0.0033,0.0103,0.0399,0.0043,0.0002,0.0025
precipIntensityMax,0.0921,0.041,0.0969,0.0672,0.0077,0.0106,0.0032,0.0236,0.0021,0.0079,0.0009,0.0014,0.0059,0.0055,0.0017,0.0072,0.0281,0.0039,0.0024,0.0103,0.0923,0.0598,0.0019,0.0384,0.0112,0.0036,0.0103,0.0061,0.0024,0.0196,0.0069,0.0022,0.0096,0.001,0.0309,0.0676,0.1086,0.0217,0.0319,0.0378,0.2195,0.0557,0.0494,0.0526,0.0236,0.0597,0.0069,0.0125,0.036,0.0102,0.0286,0.1891,0.0303,0.0006,0.0327
precipIntensityMaxTime,1579683360,1579806000,1579856880,1579899660,1580029080,1580082960,1580212440,1580299380,1580384940,1580429100,1580556960,1580659920,1580710680,1580839200,1580846400,1580950800,1581098340,1581105600,1581195660,1581335160,1581445080,1581451200,1581594720,1581679380,1581729300,1581800820,1581908280,1582005660,1582070100,1582151520,1582308060,1582315200,1582465140,1582557300,1582636320,1582665000,1582750740,1582869060,1582971300,1583073480,1583117040,1583237940,1583324460,1583389500,1583476140,1583576040,1583658120,1583733060,1583842080,1583890020,1584013200,1584089880,1584186720,1584284460,1584385200
precipProbability,0.96,0.77,0.97,0.95,0.46,0.48,0.18,0.26,0.18,0.48,0.22,0.14,0.38,0.3,0.22,0.28,0.29,0.25,0.19,0.51,0.83,0.76,0.22,0.48,0.64,0.24,0.24,0.28,0.19,0.31,0.23,0.17,0.24,0.12,0.55,0.96,0.95,0.93,0.7,0.7,0.94,0.85,0.56,0.85,0.71,0.88,0.61,0.86,0.95,0.75,0.89,0.98,0.59,0.06,0.39
precipType,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain
temperatureHigh,82.07,87.48,84.03,83.72,83.46,82.4,82.37,83.27,85.85,84.96,88.26,88.59,88.34,86.63,87.47,87.44,87.14,87.13,87.46,86.41,87.09,87.69,88.56,90.49,87.42,86.74,86.75,87.13,87.75,86.49,86.58,89.19,88.12,88.94,89.8,85.39,83.63,86.76,86.78,89.28,86.96,86.61,88.6,87.19,86.6,86.22,87.52,83.41,82.46,88.22,89.36,85.62,85.86,87.1,85.28
temperatureHighTime,1579679820,1579766460,1579859940,1579938660,1580024940,1580122620,1580194680,1580280960,1580369460,1580452500,1580552280,1580636880,1580723400,1580802180,1580888940,1580975340,1581061920,1581148080,1581234360,1581320220,1581407100,1581500940,1581580320,1581666660,1581752820,1581839640,1581924960,1582019760,1582105680,1582185360,1582271700,1582364880,1582444380,1582530600,1582616940,1582710660,1582796820,1582889460,1582962840,1583056080,1583136480,1583222400,1583304600,1583408640,1583481720,1583563380,1583653740,1583747880,1583826120,1583920080,1583999880,1584076920,1584171960,1584259200,1584349380
temperatureLow,77.29,77.27,77.28,74.28,73.51,70.09,70.27,71.14,73.26,75.78,76.27,76.64,77.06,76.73,76.25,75.73,74.18,73.54,74.99,77.03,77.88,76.44,75.57,77.11,75.76,73.65,75.21,74.29,73.36,73.77,72.45,72.55,72.87,76.44,73.73,74.87,76.52,74.91,75.67,74.42,77.58,76.59,77.73,78.95,77.92,75.49,75.8,75.42,76.28,78.41,78.14,75.31,73.43,72.64,73.56
temperatureLowTime,1579743300,1579816080,1579901520,1580003040,1580079960,1580169660,1580256780,1580329260,1580420520,1580511180,1580605200,1580687880,1580778120,1580857680,1580940060,1581030300,1581120000,1581211140,1581296220,1581365160,1581474240,1581551760,1581639480,1581720180,1581806040,1581899340,1581979680,1582069080,1582159560,1582241520,1582336380,1582409640,1582506000,1582587060,1582679520,1582764060,1582854660,1582939020,1583019660,1583106420,1583165400,1583284500,1583352000,1583445900,1583545560,1583624760,1583720880,1583787000,1583888700,1583976720,1584062160,1584136560,1584234900,1584314520,1584408960
apparentTemperatureHigh,92.36,104.84,99.39,100.45,92.85,87.44,85.38,88.31,92.96,97.16,99.36,99.67,102.16,99.23,98.33,98.73,94.92,94.58,94.52,98.73,104.79,100.73,102.85,105.41,102.27,95.24,94.4,96.32,92.42,93.1,91.97,93.43,98.94,99.21,104.16,97.4,94.28,101.54,102.61,105.77,103.92,103.45,109.89,110.79,104.9,105.29,104.35,94.29,93.27,106.42,112.19,107.35,101.71,97.48,93.23
apparentTemperatureHighTime,1579679700,1579766400,1579860120,1579932240,1580025000,1580122500,1580194200,1580280120,1580368200,1580451480,1580553960,1580636880,1580722920,1580799660,1580884620,1580970720,1581076560,1581145260,1581232080,1581318540,1581401760,1581500700,1581577680,1581664620,1581750360,1581836460,1581923760,1582008180,1582106100,1582182600,1582268760,1582365780,1582441080,1582527780,1582614060,1582711020,1582796580,1582880820,1582962420,1583055960,1583145240,1583222400,1583303160,1583388480,1583481120,1583561460,1583651700,1583748120,1583821200,1583920320,1583994180,1584078960,1584167100,1584258420,1584342360
apparentTemperatureLow,79.87,79.84,79.87,76.45,75.46,71.53,71.84,72.58,75.25,77.99,78.43,79.05,79.02,78.88,78.43,77.71,76.03,75.38,76.97,79.43,81.62,78.67,78.09,79.73,77.86,75.35,77.49,76.51,75.57,75.54,74.15,74.67,74.77,78.65,76.21,77.34,79.19,77.54,78.2,76.95,80.86,79.27,81.37,85.15,81.9,78.05,78.24,77.91,78.88,83.5,82.73,77.84,75.66,74.67,75.34
apparentTemperatureLowTime,1579743300,1579816080,1579901520,1580002440,1580086980,1580169540,1580256060,1580328840,1580419020,1580510760,1580605020,1580687340,1580779320,1580856960,1580937960,1581030000,1581119820,1581210900,1581285540,1581364500,1581474540,1581551640,1581639660,1581719400,1581806940,1581895200,1581979680,1582066920,1582159860,1582241820,1582336560,1582409520,1582506300,1582576560,1582679280,1582763940,1582854240,1582938780,1583019240,1583106360,1583165340,1583285220,1583352180,1583445480,1583545440,1583624760,1583719440,1583786580,1583879220,1583976480,1584062520,1584136680,1584234780,1584314460,1584403440
dewPoint,78.34,80.08,80.05,78.93,75.39,72.56,69.46,70.38,72.25,76.13,75.8,76.01,77.17,76.15,75.77,75.08,73.99,73.87,72.58,76.39,79.67,77.77,77.02,77.86,77.81,73.38,73.75,75.13,73.13,72.97,71.87,70.72,75.41,74.26,77.38,77.37,77.55,78.55,78.44,78.54,78.63,79.85,80.31,81.34,80.34,79.46,78.33,77.24,77.62,79.08,80.98,79.85,77.99,75.28,73.31
humidity,0.99,0.95,1,0.97,0.91,0.87,0.81,0.84,0.83,0.91,0.84,0.83,0.88,0.86,0.84,0.82,0.81,0.82,0.79,0.9,0.95,0.89,0.86,0.88,0.89,0.8,0.83,0.85,0.81,0.82,0.79,0.76,0.88,0.83,0.85,0.94,0.96,0.96,0.95,0.92,0.96,0.95,0.95,0.97,0.95,0.96,0.93,0.95,0.97,0.94,0.96,0.98,0.95,0.88,0.86
