,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Province/State,"Broward County, FL","Broward County, FL","Broward County, FL","Broward County, FL","Broward County, FL","Broward County, FL","Broward County, FL","Broward County, FL","Broward County, FL","Broward County, FL","Broward County, FL","Broward County, FL","Broward County, FL","Broward County, FL","Broward County, FL","Broward County, FL","Broward County, FL","Broward County, FL","Broward County, FL","Broward County, FL","Broward County, FL","Broward County, FL","Broward County, FL","Broward County, FL","Broward County, FL","Broward County, FL","Broward County, FL","Broward County, FL","Broward County, FL","Broward County, FL","Broward County, FL","Broward County, FL","Broward County, FL","Broward County, FL","Broward County, FL","Broward County, FL","Broward County, FL","Broward County, FL","Broward County, FL","Broward County, FL","Broward County, FL","Broward County, FL","Broward County, FL","Broward County, FL","Broward County, FL","Broward County, FL","Broward County, FL","Broward County, FL","Broward County, FL","Broward County, FL","Broward County, FL","Broward County, FL","Broward County, FL","Broward County, FL","Broward County, FL"
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,26.1901,26.1901,26.1901,26.1901,26.1901,26.1901,26.1901,26.1901,26.1901,26.1901,26.1901,26.1901,26.1901,26.1901,26.1901,26.1901,26.1901,26.1901,26.1901,26.1901,26.1901,26.1901,26.1901,26.1901,26.1901,26.1901,26.1901,26.1901,26.1901,26.1901,26.1901,26.1901,26.1901,26.1901,26.1901,26.1901,26.1901,26.1901,26.1901,26.1901,26.1901,26.1901,26.1901,26.1901,26.1901,26.1901,26.1901,26.1901,26.1901,26.1901,26.1901,26.1901,26.1901,26.1901,26.1901
Long,-80.3659,-80.3659,-80.3659,-80.3659,-80.3659,-80.3659,-80.3659,-80.3659,-80.3659,-80.3659,-80.3659,-80.3659,-80.3659,-80.3659,-80.3659,-80.3659,-80.3659,-80.3659,-80.3659,-80.3659,-80.3659,-80.3659,-80.3659,-80.3659,-80.3659,-80.3659,-80.3659,-80.3659,-80.3659,-80.3659,-80.3659,-80.3659,-80.3659,-80.3659,-80.3659,-80.3659,-80.3659,-80.3659,-80.3659,-80.3659,-80.3659,-80.3659,-80.3659,-80.3659,-80.3659,-80.3659,-80.3659,-80.3659,-80.3659,-80.3659,-80.3659,-80.3659,-80.3659,-80.3659,-80.3659
time,1579669200,1579755600,1579842000,1579928400,1580014800,1580101200,1580187600,1580274000,1580360400,1580446800,1580533200,1580619600,1580706000,1580792400,1580878800,1580965200,1581051600,1581138000,1581224400,1581310800,1581397200,1581483600,1581570000,1581656400,1581742800,1581829200,1581915600,1582002000,1582088400,1582174800,1582261200,1582347600,1582434000,1582520400,1582606800,1582693200,1582779600,1582866000,1582952400,1583038800,1583125200,1583211600,1583298000,1583384400,1583470800,1583557200,1583643600,1583726400,1583812800,1583899200,1583985600,1584072000,1584158400,1584244800,1584331200
summary,Clear throughout the day.,Partly cloudy throughout the day.,Mostly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Possible light rain overnight.,Clear throughout the day.,Heavy rain in the evening and overnight.,Light rain until evening.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Heavy rain in the morning.,Partly cloudy throughout the day.,Clear throughout the day.,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Possible light rain in the evening and overnight.,Possible light rain in the afternoon.,Possible light rain in the afternoon and evening.,Humid throughout the day.,Humid throughout the day.,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid and mostly cloudy throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Humid and partly cloudy throughout the day.,Rain and humid throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid and partly cloudy throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Clear throughout the day.
icon,clear-day,rain,rain,rain,clear-day,partly-cloudy-day,partly-cloudy-day,rain,rain,rain,rain,clear-day,clear-day,clear-day,partly-cloudy-day,partly-cloudy-day,rain,partly-cloudy-day,clear-day,clear-day,clear-day,clear-day,clear-day,rain,rain,rain,rain,clear-day,clear-day,rain,rain,rain,rain,clear-day,clear-day,rain,rain,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,rain,clear-day,partly-cloudy-day,partly-cloudy-day,rain,rain,rain,clear-day,clear-day,clear-day,clear-day
sunriseTime,1579695060,1579781400,1579867800,1579954200,1580040600,1580126940,1580213340,1580299680,1580386080,1580472480,1580558820,1580645220,1580731560,1580817960,1580904300,1580990700,1581077040,1581163380,1581249780,1581336120,1581422460,1581508860,1581595200,1581681540,1581767940,1581854280,1581940620,1582026960,1582113300,1582199700,1582286040,1582372380,1582458720,1582545060,1582631400,1582717740,1582804080,1582890480,1582976820,1583063160,1583149500,1583235840,1583322180,1583408520,1583494860,1583581200,1583667540,1583753880,1583840220,1583926560,1584012840,1584099180,1584185520,1584271860,1584358200
sunsetTime,1579733880,1579820280,1579906740,1579993200,1580079660,1580166060,1580252520,1580338980,1580425440,1580511900,1580598300,1580684760,1580771220,1580857680,1580944080,1581030540,1581117000,1581203460,1581289860,1581376320,1581462780,1581549180,1581635640,1581722100,1581808500,1581894960,1581981420,1582067820,1582154280,1582240740,1582327140,1582413600,1582500000,1582586460,1582672920,1582759320,1582845780,1582932180,1583018640,1583105100,1583191500,1583277960,1583364360,1583450820,1583537220,1583623680,1583710080,1583796540,1583882940,1583969400,1584055800,1584142260,1584228660,1584315120,1584401520
moonPhase,0.94,0.97,0.01,0.04,0.07,0.1,0.13,0.16,0.19,0.22,0.25,0.28,0.31,0.35,0.38,0.42,0.45,0.49,0.53,0.57,0.61,0.64,0.68,0.72,0.75,0.79,0.82,0.86,0.89,0.92,0.95,0.98,0.01,0.04,0.07,0.1,0.13,0.16,0.2,0.23,0.26,0.29,0.33,0.36,0.4,0.44,0.47,0.51,0.55,0.59,0.63,0.67,0.7,0.74,0.77
