,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country/Region,Saint Lucia,Saint Lucia,Saint Lucia,Saint Lucia,Saint Lucia,Saint Lucia,Saint Lucia,Saint Lucia,Saint Lucia,Saint Lucia,Saint Lucia,Saint Lucia,Saint Lucia,Saint Lucia,Saint Lucia,Saint Lucia,Saint Lucia,Saint Lucia,Saint Lucia,Saint Lucia,Saint Lucia,Saint Lucia,Saint Lucia,Saint Lucia,Saint Lucia,Saint Lucia,Saint Lucia,Saint Lucia,Saint Lucia,Saint Lucia,Saint Lucia,Saint Lucia,Saint Lucia,Saint Lucia,Saint Lucia,Saint Lucia,Saint Lucia,Saint Lucia,Saint Lucia,Saint Lucia,Saint Lucia,Saint Lucia,Saint Lucia,Saint Lucia,Saint Lucia,Saint Lucia,Saint Lucia,Saint Lucia,Saint Lucia,Saint Lucia,Saint Lucia,Saint Lucia,Saint Lucia,Saint Lucia,Saint Lucia
Lat,13.9094,13.9094,13.9094,13.9094,13.9094,13.9094,13.9094,13.9094,13.9094,13.9094,13.9094,13.9094,13.9094,13.9094,13.9094,13.9094,13.9094,13.9094,13.9094,13.9094,13.9094,13.9094,13.9094,13.9094,13.9094,13.9094,13.9094,13.9094,13.9094,13.9094,13.9094,13.9094,13.9094,13.9094,13.9094,13.9094,13.9094,13.9094,13.9094,13.9094,13.9094,13.9094,13.9094,13.9094,13.9094,13.9094,13.9094,13.9094,13.9094,13.9094,13.9094,13.9094,13.9094,13.9094,13.9094
Long,-60.9789,-60.9789,-60.9789,-60.9789,-60.9789,-60.9789,-60.9789,-60.9789,-60.9789,-60.9789,-60.9789,-60.9789,-60.9789,-60.9789,-60.9789,-60.9789,-60.9789,-60.9789,-60.9789,-60.9789,-60.9789,-60.9789,-60.9789,-60.9789,-60.9789,-60.9789,-60.9789,-60.9789,-60.9789,-60.9789,-60.9789,-60.9789,-60.9789,-60.9789,-60.9789,-60.9789,-60.9789,-60.9789,-60.9789,-60.9789,-60.9789,-60.9789,-60.9789,-60.9789,-60.9789,-60.9789,-60.9789,-60.9789,-60.9789,-60.9789,-60.9789,-60.9789,-60.9789,-60.9789,-60.9789
time,1579665600,1579752000,1579838400,1579924800,1580011200,1580097600,1580184000,1580270400,1580356800,1580443200,1580529600,1580616000,1580702400,1580788800,1580875200,1580961600,1581048000,1581134400,1581220800,1581307200,1581393600,1581480000,1581566400,1581652800,1581739200,1581825600,1581912000,1581998400,1582084800,1582171200,1582257600,1582344000,1582430400,1582516800,1582603200,1582689600,1582776000,1582862400,1582948800,1583035200,1583121600,1583208000,1583294400,1583380800,1583467200,1583553600,1583640000,1583726400,1583812800,1583899200,1583985600,1584072000,1584158400,1584244800,1584331200
summary,Possible light rain in the morning and afternoon.,Humid throughout the day.,Humid throughout the day.,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid throughout the day.,Humid throughout the day.,Possible light rain in the morning and overnight.,Possible light rain in the morning.,Humid throughout the day.,Humid throughout the day.,Possible light rain in the morning.,Humid throughout the day.,Humid and mostly cloudy throughout the day.,Humid and mostly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid throughout the day.,Humid throughout the day.,Possible light rain in the morning and afternoon.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Possible light rain overnight.,Possible light rain in the morning and afternoon.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid and partly cloudy throughout the day.,Clear throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid and partly cloudy throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid throughout the day.,Humid and partly cloudy throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.
icon,rain,rain,rain,rain,clear-day,clear-day,clear-day,rain,clear-day,clear-day,rain,rain,clear-day,clear-day,rain,clear-day,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,clear-day,clear-day,rain,rain,clear-day,rain,clear-day,rain,partly-cloudy-day,clear-day,clear-day,rain,clear-day,clear-day,rain,clear-day,clear-day,partly-cloudy-day,partly-cloudy-day,rain,clear-day,rain,rain,rain,clear-day
sunriseTime,1579689180,1579775580,1579861980,1579948380,1580034780,1580121180,1580207580,1580293980,1580380380,1580466780,1580553180,1580639520,1580725920,1580812320,1580898720,1580985120,1581071460,1581157860,1581244260,1581330600,1581417000,1581503400,1581589740,1581676140,1581762540,1581848880,1581935280,1582021620,1582108020,1582194420,1582280760,1582367160,1582453500,1582539900,1582626240,1582712640,1582798980,1582885320,1582971720,1583058060,1583144460,1583230800,1583317140,1583403540,1583489880,1583576280,1583662620,1583748960,1583835360,1583921700,1584008040,1584094440,1584180780,1584267120,1584353520
sunsetTime,1579730400,1579816800,1579903260,1579989660,1580076120,1580162520,1580248980,1580335380,1580421840,1580508240,1580594700,1580681100,1580767560,1580853960,1580940420,1581026820,1581113220,1581199680,1581286080,1581372480,1581458940,1581545340,1581631800,1581718200,1581804600,1581891000,1581977460,1582063860,1582150260,1582236720,1582323120,1582409520,1582495920,1582582380,1582668780,1582755180,1582841580,1582927980,1583014440,1583100840,1583187240,1583273640,1583360040,1583446440,1583532900,1583619300,1583705700,1583792100,1583878500,1583964900,1584051300,1584137700,1584224160,1584310560,1584396960
moonPhase,0.94,0.97,0,0.04,0.07,0.1,0.13,0.16,0.19,0.22,0.25,0.28,0.31,0.35,0.38,0.42,0.45,0.49,0.53,0.57,0.61,0.64,0.68,0.72,0.75,0.79,0.82,0.85,0.89,0.92,0.95,0.98,0.01,0.04,0.07,0.1,0.13,0.16,0.19,0.22,0.26,0.29,0.32,0.36,0.4,0.43,0.47,0.51,0.55,0.59,0.63,0.67,0.7,0.74,0.77
