,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,35.5653,35.5653,35.5653,35.5653,35.5653,35.5653,35.5653,35.5653,35.5653,35.5653,35.5653,35.5653,35.5653,35.5653,35.5653,35.5653,35.5653,35.5653,35.5653,35.5653,35.5653,35.5653,35.5653,35.5653,35.5653,35.5653,35.5653,35.5653,35.5653,35.5653,35.5653,35.5653,35.5653,35.5653,35.5653,35.5653,35.5653,35.5653,35.5653,35.5653,35.5653,35.5653,35.5653,35.5653,35.5653,35.5653,35.5653,35.5653,35.5653,35.5653,35.5653,35.5653,35.5653,35.5653,35.5653
Long,-96.9289,-96.9289,-96.9289,-96.9289,-96.9289,-96.9289,-96.9289,-96.9289,-96.9289,-96.9289,-96.9289,-96.9289,-96.9289,-96.9289,-96.9289,-96.9289,-96.9289,-96.9289,-96.9289,-96.9289,-96.9289,-96.9289,-96.9289,-96.9289,-96.9289,-96.9289,-96.9289,-96.9289,-96.9289,-96.9289,-96.9289,-96.9289,-96.9289,-96.9289,-96.9289,-96.9289,-96.9289,-96.9289,-96.9289,-96.9289,-96.9289,-96.9289,-96.9289,-96.9289,-96.9289,-96.9289,-96.9289,-96.9289,-96.9289,-96.9289,-96.9289,-96.9289,-96.9289,-96.9289,-96.9289
Province/State,Oklahoma,Oklahoma,Oklahoma,Oklahoma,Oklahoma,Oklahoma,Oklahoma,Oklahoma,Oklahoma,Oklahoma,Oklahoma,Oklahoma,Oklahoma,Oklahoma,Oklahoma,Oklahoma,Oklahoma,Oklahoma,Oklahoma,Oklahoma,Oklahoma,Oklahoma,Oklahoma,Oklahoma,Oklahoma,Oklahoma,Oklahoma,Oklahoma,Oklahoma,Oklahoma,Oklahoma,Oklahoma,Oklahoma,Oklahoma,Oklahoma,Oklahoma,Oklahoma,Oklahoma,Oklahoma,Oklahoma,Oklahoma,Oklahoma,Oklahoma,Oklahoma,Oklahoma,Oklahoma,Oklahoma,Oklahoma,Oklahoma,Oklahoma,Oklahoma,Oklahoma,Oklahoma,Oklahoma,Oklahoma
apparentTemperatureHigh,31.38,53.11,45.17,58.79,60.01,66.12,31.98,34.7,41.47,50.92,62.2,76.59,72.53,29.43,22.68,32.23,45.86,58.38,67.67,40.33,39.99,39.24,25.07,41.95,60.5,57.32,64.86,51.84,55.59,34.46,46.56,59.99,55.95,51.03,52.04,34.99,58.8,63.85,72.35,76.48,59.3,65.28,60.48,66.69,64.95,69.33,63.97,74.56,70.11,76.31,81.83,50.28,52.22,46.28,55.17
apparentTemperatureHighTime,1579741200,1579815300,1579903140,1579987620,1580069520,1580156160,1580216400,1580345940,1580421240,1580502000,1580588400,1580674980,1580759520,1580845800,1580943300,1581023940,1581107220,1581192300,1581276540,1581364740,1581451440,1581527040,1581630360,1581716940,1581796680,1581890580,1581968820,1582054440,1582142700,1582235700,1582321440,1582401840,1582487460,1582564560,1582659780,1582754340,1582840380,1582920600,1583006580,1583099940,1583186520,1583265960,1583351760,1583438580,1583531400,1583610540,1583697000,1583783460,1583878800,1583957100,1584042060,1584100800,1584222240,1584309540,1584401460
apparentTemperatureLow,31.38,26.22,24.06,31.85,32.74,29.96,24.25,28.58,26.94,23.65,38.55,52.33,26.98,18.9,12.19,21.31,27.65,43.83,22.94,28.18,32.16,7.1,11.02,27.8,35.41,43.7,30.36,23.96,26.31,14.47,25.51,39.42,39.39,32.4,21.06,17.59,24.58,34.17,54.26,37.87,39.54,41.87,30.66,26.9,30.7,37.54,55.63,33.59,59.81,57.64,42.84,36.67,34.09,41,42.53
apparentTemperatureLowTime,1579741200,1579873380,1579959060,1580046660,1580129100,1580220000,1580293440,1580378580,1580478300,1580554680,1580645220,1580737140,1580824800,1580911200,1580983500,1581062160,1581158760,1581219120,1581342300,1581417780,1581501360,1581602400,1581677340,1581742800,1581850320,1581914520,1582034040,1582109400,1582207200,1582281840,1582365780,1582455120,1582549560,1582631460,1582721160,1582797600,1582889820,1582980960,1583059560,1583154600,1583229240,1583318880,1583408040,1583492280,1583575380,1583665080,1583714340,1583838660,1583897760,1583999940,1584104400,1584190800,1584269820,1584334440,1584450000
apparentTemperatureMax,32.4,53.11,45.17,58.79,60.01,66.12,42.63,34.7,41.47,50.92,62.2,76.59,72.53,34.14,22.68,32.23,45.86,58.38,67.67,40.33,39.99,39.24,30.06,41.95,60.5,57.32,64.86,51.84,55.59,39.95,46.56,59.99,55.95,55.27,52.04,34.99,58.8,63.85,72.35,76.48,59.3,65.28,60.48,66.69,64.95,69.33,63.97,74.56,70.11,76.31,81.83,60.05,52.22,46.28,55.17
apparentTemperatureMaxTime,1579755600,1579815300,1579903140,1579987620,1580069520,1580156160,1580191200,1580345940,1580421240,1580502000,1580588400,1580674980,1580759520,1580796000,1580943300,1581023940,1581107220,1581192300,1581276540,1581364740,1581451440,1581527040,1581573600,1581716940,1581796680,1581890580,1581968820,1582054440,1582142700,1582178400,1582321440,1582401840,1582487460,1582530960,1582659780,1582754340,1582840380,1582920600,1583006580,1583099940,1583186520,1583265960,1583351760,1583438580,1583531400,1583610540,1583697000,1583783460,1583878800,1583957100,1584042060,1584075600,1584222240,1584309540,1584401460
apparentTemperatureMin,23.97,32.99,26.22,24.06,31.85,32.74,24.86,24.25,28.58,26.94,23.65,38.55,34.8,23.06,18.49,12.19,21.31,27.65,34.45,22.94,28.18,30.37,7.1,11.02,28.03,35.41,44.33,30.36,23.96,21.11,14.47,25.51,39.42,38.96,27.2,21.06,17.59,24.58,34.17,53.76,37.87,39.54,41.87,30.66,26.9,30.7,37.54,43.07,33.59,58.65,57.64,36.11,36.62,34.09,41.01
apparentTemperatureMinTime,1579701060,1579842000,1579873380,1579959060,1580046660,1580129100,1580274000,1580293440,1580378580,1580478300,1580554680,1580645220,1580792400,1580878800,1580965200,1580983500,1581062160,1581158760,1581310800,1581342300,1581417780,1581570000,1581602520,1581677340,1581753900,1581850320,1582002000,1582034040,1582109400,1582261200,1582281840,1582365780,1582455120,1582606800,1582693200,1582721160,1582797600,1582889820,1582980960,1583125200,1583154600,1583229240,1583318880,1583408040,1583492280,1583575380,1583665080,1583812800,1583838660,1583934720,1583999940,1584118020,1584191520,1584269820,1584334800
cloudCover,0.99,0.59,0.33,0.24,0.08,0.12,0.93,0.94,0.89,0.21,0.04,0.19,0.68,0.95,0.91,0.18,0.33,0.2,0.79,0.82,0.94,0.97,0.42,0.22,0.49,0.62,0.57,0.27,0.32,0.63,0.07,0.41,0.95,0.9,0.5,0.46,0.18,0.01,0.26,0.32,0.36,0.67,0.89,0.19,0.01,0.14,0.59,0.64,0.21,0.6,0.39,0.96,0.97,0.95,1
dewPoint,31.44,34.81,28.89,32.5,37.94,38.01,35.3,29.49,28.16,30.09,26.65,30.97,34.15,28.29,24.19,20.59,27.28,29.95,47.68,26.21,30.24,33.72,10.75,13.56,35.97,42.26,50.75,29.98,23.8,25.75,12.7,29.4,43.59,45.14,35.18,24.19,21.28,30.01,30.41,44.53,40.34,37.17,32.66,27.94,19.67,24.57,43.21,52.99,41.44,58.35,51.31,40.76,42.12,39.29,47.94
humidity,0.83,0.75,0.65,0.67,0.71,0.69,0.85,0.77,0.74,0.71,0.53,0.37,0.42,0.71,0.78,0.72,0.68,0.6,0.74,0.64,0.69,0.82,0.49,0.48,0.64,0.83,0.84,0.58,0.51,0.63,0.47,0.51,0.78,0.85,0.75,0.65,0.47,0.57,0.45,0.54,0.7,0.61,0.51,0.46,0.36,0.36,0.68,0.77,0.71,0.76,0.58,0.75,0.86,0.82,0.93
icon,rain,rain,partly-cloudy-day,clear-day,clear-day,clear-day,rain,rain,cloudy,clear-day,clear-day,clear-day,wind,rain,snow,clear-day,partly-cloudy-day,clear-day,rain,rain,rain,rain,partly-cloudy-day,clear-day,wind,partly-cloudy-day,partly-cloudy-day,clear-day,partly-cloudy-day,rain,clear-day,partly-cloudy-day,rain,rain,rain,rain,clear-day,clear-day,clear-day,wind,partly-cloudy-day,partly-cloudy-day,cloudy,clear-day,clear-day,wind,rain,rain,clear-day,partly-cloudy-day,partly-cloudy-day,rain,rain,cloudy,rain
moonPhase,0.94,0.97,0.01,0.04,0.07,0.1,0.13,0.16,0.19,0.22,0.25,0.28,0.32,0.35,0.38,0.42,0.46,0.49,0.53,0.57,0.61,0.65,0.68,0.72,0.76,0.79,0.82,0.86,0.89,0.92,0.95,0.98,0.01,0.05,0.08,0.11,0.14,0.17,0.2,0.23,0.26,0.29,0.33,0.36,0.4,0.44,0.48,0.51,0.55,0.59,0.63,0.67,0.7,0.74,0.77
ozone,297.5,357.3,341.9,337.6,339.2,308.1,335.4,331.8,351.5,356.8,332.9,309.2,292.2,312,349.9,389.5,352.5,310.9,292.4,290.6,289.8,314.6,339.5,341.6,327.6,332.4,309.7,303.7,296.3,282.9,282.2,279.1,283.8,324,375.7,393.8,361.1,355.4,328.7,313.3,323.7,321.8,316.9,329.3,327,317.7,301.8,311.4,316.2,314.9,306.8,305.1,293.5,297.5,301.6
precipAccumulation,,,,,,,,,,,,,,,4,0.2,0.05,,,,,,,0.17,,,,,,,0.1,,,,,,0.06,,,,,,,,,,,,,,,,,,
precipIntensity,0.0152,0.0012,0.0007,0.0009,0.0008,0.0007,0.0452,0.0013,0.0008,0.0006,0.0004,0.0004,0.0006,0.0038,0.0291,0.0009,0.0007,0.0009,0.0087,0.0035,0.002,0.0222,0.0007,0.0007,0.0008,0.001,0.0007,0.0011,0.0008,0.0012,0.0009,0.0007,0.0077,0.0019,0.0025,0.003,0.0005,0.0001,0.0007,0.0004,0.0011,0.0009,0.0005,0.0006,0.001,0.0009,0.0052,0.003,0.0007,0.001,0.0007,0.024,0.0348,0.0011,0.0077
precipIntensityMax,0.0653,0.0037,0.0027,0.0026,0.0024,0.0021,0.0983,0.0053,0.0024,0.0021,0.0017,0.0021,0.0024,0.0254,0.1415,0.0026,0.0024,0.0025,0.0739,0.024,0.008,0.0889,0.0021,0.0018,0.0021,0.0022,0.0019,0.0021,0.0022,0.0033,0.0021,0.0022,0.0289,0.0078,0.0274,0.0324,0.0022,0.0015,0.0022,0.0022,0.0024,0.0021,0.0022,0.002,0.0023,0.0022,0.0287,0.0122,0.0021,0.0051,0.002,0.056,0.155,0.0022,0.0291
precipIntensityMaxTime,1579676880,1579759200,1579924680,1580013060,1580018400,1580115600,1580230740,1580277600,1580421600,1580454660,1580553840,1580680800,1580755980,1580824800,1580896980,1581008280,1581055200,1581178440,1581278700,1581378420,1581436200,1581508320,1581638340,1581674040,1581765720,1581898680,1581998880,1582027440,1582167720,1582211640,1582317720,1582401600,1582520340,1582524000,1582693200,1582696800,1582828680,1582909260,1582977600,1583082000,1583137440,1583272860,1583366400,1583420040,1583536920,1583620380,1583722560,1583762220,1583827020,1583905380,1584014460,1584114420,1584183420,1584270240,1584349080
precipProbability,0.91,0.31,0.11,0.17,0.15,0.1,0.98,0.5,0.09,0.11,0.05,0.07,0.1,0.54,0.7,0.1,0.06,0.05,0.47,0.66,0.33,0.97,0.07,0.04,0.06,0.13,0.12,0.09,0.1,0.25,0.05,0.07,0.8,0.61,0.36,0.47,0.05,0.03,0.01,0.06,0.1,0.05,0.04,0.02,0.04,0.02,0.71,0.72,0.07,0.14,0.1,0.91,0.95,0.14,0.82
precipType,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,snow,snow,snow,rain,rain,rain,rain,rain,rain,snow,rain,rain,rain,rain,rain,rain,snow,rain,rain,rain,rain,rain,snow,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain
pressure,1017,1015.8,1019.4,1017.4,1015.9,1014.8,1013.3,1020.4,1021.3,1020.8,1020,1011.2,1004.3,1013.9,1014.7,1008.8,1012,1019.7,1013.3,1020.3,1023.5,1013.5,1028.5,1030.3,1018.9,1014.4,1008.1,1023.1,1028.7,1036.7,1037.2,1023.7,1013.1,1005,1016,1029.3,1024.7,1025.5,1018.6,1006.1,1008.2,1011,1016.7,1024.1,1032.5,1026.2,1020.5,1015.3,1023.2,1013.1,1007.2,1019.8,1021.8,1028.9,1021.2
summary,Light rain in the morning and afternoon.,Partly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Light rain throughout the day.,Overcast throughout the day.,Overcast throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Windy in the morning.,Rain in the morning and overnight.,Snow (2–5 in.) in the morning.,Clear throughout the day.,Partly cloudy throughout the day.,Dangerously windy overnight.,Possible light rain in the afternoon.,Light rain in the afternoon and evening.,Possible light rain overnight.,Light rain in the morning and afternoon.,Clear throughout the day.,Partly cloudy throughout the day.,Windy in the morning.,Overcast throughout the day.,Mostly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Mostly cloudy throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Light rain starting in the afternoon.,Overcast throughout the day.,Possible light rain overnight.,Partly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Windy overnight.,Windy in the morning.,Mostly cloudy throughout the day.,Mostly cloudy throughout the day.,Overcast throughout the day.,Clear throughout the day.,Clear throughout the day.,Windy overnight.,Light rain in the evening and overnight.,Possible drizzle and windy in the morning.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Light rain throughout the day.,Rain in the morning.,Possible light rain overnight.,Possible light rain in the morning.
sunriseTime,1579700100,1579786500,1579872840,1579959240,1580045580,1580131920,1580218320,1580304660,1580391000,1580477400,1580563740,1580650080,1580736420,1580822820,1580909160,1580995500,1581081840,1581168180,1581254520,1581340860,1581427200,1581513540,1581599880,1581686220,1581772560,1581858900,1581945240,1582031580,1582117920,1582204200,1582290540,1582376880,1582463220,1582549560,1582635840,1582722180,1582808520,1582894860,1582981140,1583067480,1583153820,1583240100,1583326440,1583412780,1583499060,1583585400,1583671680,1583758020,1583844360,1583930640,1584016980,1584103260,1584189600,1584275940,1584362220
sunsetTime,1579736760,1579823220,1579909680,1579996140,1580082600,1580169060,1580255520,1580341980,1580428440,1580514900,1580601360,1580687820,1580774280,1580860740,1580947200,1581033660,1581120120,1581206580,1581293040,1581379500,1581465960,1581552420,1581638880,1581725340,1581811800,1581898260,1581984720,1582071180,1582157640,1582244100,1582330560,1582417020,1582503480,1582589940,1582676400,1582762860,1582849320,1582935780,1583022240,1583108700,1583195160,1583281620,1583368020,1583454480,1583540940,1583627400,1583713860,1583800320,1583886780,1583973180,1584059640,1584146100,1584232560,1584319020,1584405480
temperatureHigh,38.44,53.61,49.66,59.29,60.51,66.62,40.22,39.91,41.97,51.17,62.7,77.09,73.03,38.83,32.65,37.73,49.58,58.88,68.17,45.57,45.63,42.04,33.99,47.7,61,57.82,65.36,51.63,56.09,42.58,50.02,60.49,56.45,51.21,52.49,42.75,59.3,64.35,72.85,76.98,59.8,65.78,60.98,67.19,65.45,69.83,64.47,75.06,70.61,76.82,82.33,50.78,52.72,50.1,55.67
temperatureHighTime,1579737720,1579815300,1579902480,1579987620,1580069520,1580156160,1580216400,1580335500,1580421240,1580501940,1580588400,1580674980,1580759520,1580846040,1580932800,1581025140,1581106860,1581192300,1581276540,1581364740,1581451380,1581537240,1581629640,1581717000,1581796680,1581890580,1581968820,1582054800,1582142700,1582235520,1582321740,1582401840,1582487460,1582564080,1582660500,1582753980,1582840380,1582920600,1583006580,1583099940,1583186520,1583265960,1583351760,1583438580,1583531400,1583610540,1583697000,1583783460,1583878800,1583957100,1584042060,1584100800,1584222240,1584309180,1584401460
temperatureLow,36.28,33.89,29.48,35.68,35.78,38.08,32.79,30.87,30.97,28.92,42.84,51.84,35.52,28.47,19.75,27.31,30.75,49.09,30.85,34.81,35.72,20.05,18.54,36.35,37.35,45.9,38.6,30.08,35.49,18.91,32.4,44.23,44.86,36.85,31.29,24.39,29.88,34.89,53.77,43.23,39.05,43.32,34.13,31.36,35.38,43.72,55.14,35.93,59.32,57.15,47.79,40.85,40.04,44.39,46.42
