,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,39.0916,39.0916,39.0916,39.0916,39.0916,39.0916,39.0916,39.0916,39.0916,39.0916,39.0916,39.0916,39.0916,39.0916,39.0916,39.0916,39.0916,39.0916,39.0916,39.0916,39.0916,39.0916,39.0916,39.0916,39.0916,39.0916,39.0916,39.0916,39.0916,39.0916,39.0916,39.0916,39.0916,39.0916,39.0916,39.0916,39.0916,39.0916,39.0916,39.0916,39.0916,39.0916,39.0916,39.0916,39.0916,39.0916,39.0916,39.0916,39.0916,39.0916,39.0916,39.0916,39.0916,39.0916,39.0916
Long,-120.8039,-120.8039,-120.8039,-120.8039,-120.8039,-120.8039,-120.8039,-120.8039,-120.8039,-120.8039,-120.8039,-120.8039,-120.8039,-120.8039,-120.8039,-120.8039,-120.8039,-120.8039,-120.8039,-120.8039,-120.8039,-120.8039,-120.8039,-120.8039,-120.8039,-120.8039,-120.8039,-120.8039,-120.8039,-120.8039,-120.8039,-120.8039,-120.8039,-120.8039,-120.8039,-120.8039,-120.8039,-120.8039,-120.8039,-120.8039,-120.8039,-120.8039,-120.8039,-120.8039,-120.8039,-120.8039,-120.8039,-120.8039,-120.8039,-120.8039,-120.8039,-120.8039,-120.8039,-120.8039,-120.8039
Province/State,"Placer County, CA","Placer County, CA","Placer County, CA","Placer County, CA","Placer County, CA","Placer County, CA","Placer County, CA","Placer County, CA","Placer County, CA","Placer County, CA","Placer County, CA","Placer County, CA","Placer County, CA","Placer County, CA","Placer County, CA","Placer County, CA","Placer County, CA","Placer County, CA","Placer County, CA","Placer County, CA","Placer County, CA","Placer County, CA","Placer County, CA","Placer County, CA","Placer County, CA","Placer County, CA","Placer County, CA","Placer County, CA","Placer County, CA","Placer County, CA","Placer County, CA","Placer County, CA","Placer County, CA","Placer County, CA","Placer County, CA","Placer County, CA","Placer County, CA","Placer County, CA","Placer County, CA","Placer County, CA","Placer County, CA","Placer County, CA","Placer County, CA","Placer County, CA","Placer County, CA","Placer County, CA","Placer County, CA","Placer County, CA","Placer County, CA","Placer County, CA","Placer County, CA","Placer County, CA","Placer County, CA","Placer County, CA","Placer County, CA"
apparentTemperatureHigh,51.33,54.6,53.34,57.72,45.83,51.73,45.47,57.59,58.76,62.39,64.49,43.32,36.1,48.22,55.85,59.53,62.24,55.23,45.28,63.18,65.51,60.92,58.21,58.66,57.8,57.08,63.09,57.09,57.84,60.88,63.85,61.03,56.94,64.55,67.81,66.46,69.18,64.76,57.19,40.04,59.11,69.36,67.76,67.18,60.96,39.22,41.99,53.64,64.42,59.52,69.07,57.87,32.9,30.44,37.05
apparentTemperatureHighTime,1579730880,1579810320,1579903380,1579982880,1580084100,1580160540,1580257200,1580335080,1580421600,1580510700,1580591400,1580655600,1580769720,1580853540,1580939220,1581024420,1581107340,1581192120,1581292500,1581373680,1581458400,1581544620,1581630240,1581716880,1581805800,1581890760,1581976860,1582062600,1582149120,1582236540,1582322400,1582404360,1582494960,1582581180,1582667580,1582754100,1582841220,1582925520,1583006280,1583100060,1583186520,1583272740,1583358600,1583442660,1583525640,1583625840,1583712600,1583791320,1583875980,1583963460,1584056700,1584129900,1584205680,1584302220,1584388620
apparentTemperatureLow,37.15,43.95,39.58,41.01,40.24,35.82,32.33,43.03,42.58,43.87,42.52,20.18,19.87,32.39,38.63,39.35,39.3,28.39,34.22,41.03,39.17,36.66,36.26,37.72,43.83,38.73,37.75,37.73,38.63,42.43,44.72,39.42,36.88,42.88,44.38,42.12,46.24,43.94,35.44,29.9,42.93,46.07,45.14,46.11,34.31,35.44,38.82,40.39,40.13,42.92,43.55,32.58,24.6,28.85,27.41
apparentTemperatureLowTime,1579794660,1579880040,1579964340,1580051520,1580136840,1580222940,1580306460,1580396700,1580482080,1580568420,1580659200,1580741820,1580828040,1580882460,1580998800,1581082500,1581174000,1581263640,1581333240,1581433080,1581519000,1581604860,1581688800,1581777600,1581862320,1581950580,1582037640,1582122600,1582209900,1582296060,1582381080,1582459260,1582552680,1582640460,1582728120,1582812060,1582899420,1582986840,1583075880,1583160120,1583243340,1583331900,1583416740,1583503560,1583596800,1583643600,1583764980,1583847780,1583937480,1584009300,1584110760,1584198000,1584284400,1584370740,1584451620
apparentTemperatureMax,51.33,54.6,53.34,57.72,45.83,51.73,45.47,57.59,58.76,62.39,64.49,47.47,36.1,48.22,55.85,59.53,62.24,55.23,45.28,63.18,65.51,60.92,58.21,58.66,57.8,57.08,63.09,57.09,57.84,60.88,63.85,61.03,56.94,64.55,67.81,66.46,69.18,64.76,57.19,40.04,59.11,69.36,67.76,67.18,60.96,41.07,41.99,53.64,64.42,59.52,69.07,57.87,37.49,32.12,37.05
apparentTemperatureMaxTime,1579730880,1579810320,1579903380,1579982880,1580084100,1580160540,1580257200,1580335080,1580421600,1580510700,1580591400,1580630400,1580769720,1580853540,1580939220,1581024420,1581107340,1581192120,1581292500,1581373680,1581458400,1581544620,1581630240,1581716880,1581805800,1581890760,1581976860,1582062600,1582149120,1582236540,1582322400,1582404360,1582494960,1582581180,1582667580,1582754100,1582841220,1582925520,1583006280,1583100060,1583186520,1583272740,1583358600,1583442660,1583525640,1583568000,1583712600,1583791320,1583875980,1583963460,1584056700,1584129900,1584169200,1584331980,1584388620
apparentTemperatureMin,39.31,37.15,43.95,39.58,40.51,40.24,35.82,32.33,43.03,42.58,43.87,25.77,20.18,19.87,32.73,38.63,39.35,35.35,28.39,34.22,41.03,39.17,36.66,36.26,37.72,42.2,38.73,37.75,37.73,38.63,42.43,44.72,39.42,36.88,42.88,44.38,42.12,46.24,39.4,33.85,29.9,42.93,46.07,45.14,42.43,34.02,37.14,38.82,40.39,40.13,42.92,38.53,30,24.6,28.85
apparentTemperatureMinTime,1579683360,1579794660,1579880040,1579964340,1580108400,1580136840,1580222940,1580306460,1580396700,1580482080,1580568420,1580710020,1580741820,1580828040,1580889600,1580998800,1581082500,1581231600,1581263640,1581333240,1581433080,1581519000,1581604860,1581688800,1581777600,1581922080,1581950580,1582037640,1582122600,1582209900,1582296060,1582381080,1582459260,1582552680,1582640460,1582728120,1582812060,1582899420,1583046000,1583086200,1583160120,1583243340,1583331900,1583416740,1583564400,1583614680,1583661300,1583764980,1583847780,1583937480,1584009300,1584165600,1584246240,1584284400,1584370740
