,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,47.0676,47.0676,47.0676,47.0676,47.0676,47.0676,47.0676,47.0676,47.0676,47.0676,47.0676,47.0676,47.0676,47.0676,47.0676,47.0676,47.0676,47.0676,47.0676,47.0676,47.0676,47.0676,47.0676,47.0676,47.0676,47.0676,47.0676,47.0676,47.0676,47.0676,47.0676,47.0676,47.0676,47.0676,47.0676,47.0676,47.0676,47.0676,47.0676,47.0676,47.0676,47.0676,47.0676,47.0676,47.0676,47.0676,47.0676,47.0676,47.0676,47.0676,47.0676,47.0676,47.0676,47.0676,47.0676
Long,-122.1295,-122.1295,-122.1295,-122.1295,-122.1295,-122.1295,-122.1295,-122.1295,-122.1295,-122.1295,-122.1295,-122.1295,-122.1295,-122.1295,-122.1295,-122.1295,-122.1295,-122.1295,-122.1295,-122.1295,-122.1295,-122.1295,-122.1295,-122.1295,-122.1295,-122.1295,-122.1295,-122.1295,-122.1295,-122.1295,-122.1295,-122.1295,-122.1295,-122.1295,-122.1295,-122.1295,-122.1295,-122.1295,-122.1295,-122.1295,-122.1295,-122.1295,-122.1295,-122.1295,-122.1295,-122.1295,-122.1295,-122.1295,-122.1295,-122.1295,-122.1295,-122.1295,-122.1295,-122.1295,-122.1295
Province/State,"Pierce County, WA","Pierce County, WA","Pierce County, WA","Pierce County, WA","Pierce County, WA","Pierce County, WA","Pierce County, WA","Pierce County, WA","Pierce County, WA","Pierce County, WA","Pierce County, WA","Pierce County, WA","Pierce County, WA","Pierce County, WA","Pierce County, WA","Pierce County, WA","Pierce County, WA","Pierce County, WA","Pierce County, WA","Pierce County, WA","Pierce County, WA","Pierce County, WA","Pierce County, WA","Pierce County, WA","Pierce County, WA","Pierce County, WA","Pierce County, WA","Pierce County, WA","Pierce County, WA","Pierce County, WA","Pierce County, WA","Pierce County, WA","Pierce County, WA","Pierce County, WA","Pierce County, WA","Pierce County, WA","Pierce County, WA","Pierce County, WA","Pierce County, WA","Pierce County, WA","Pierce County, WA","Pierce County, WA","Pierce County, WA","Pierce County, WA","Pierce County, WA","Pierce County, WA","Pierce County, WA","Pierce County, WA","Pierce County, WA","Pierce County, WA","Pierce County, WA","Pierce County, WA","Pierce County, WA","Pierce County, WA","Pierce County, WA"
apparentTemperatureHigh,43.29,52.32,50.87,53.46,51.67,48.7,48.29,44.08,50.72,55.42,45.02,41.21,35.21,31.81,42.3,45.3,45.42,41.55,43.38,42.71,40.78,46.6,38.92,40.24,38.45,38.81,44.72,43.19,51.27,54.97,52.59,44.47,38.56,41.09,49.94,49.08,57.07,52.81,39.88,44.34,39.96,51.24,49.4,55.05,42.51,39.27,42.48,48.54,51.8,44.72,47.57,35.27,40.28,44.29,57.08
apparentTemperatureHighTime,1579748400,1579809480,1579894620,1579992300,1580075100,1580155440,1580248680,1580346240,1580421420,1580509500,1580569200,1580680500,1580769900,1580864820,1580958000,1581038640,1581105060,1581206640,1581285420,1581375300,1581468540,1581542820,1581620460,1581716160,1581795060,1581888480,1581979560,1582063140,1582149960,1582237020,1582323540,1582415520,1582470000,1582589220,1582668240,1582754520,1582843260,1582927320,1583013480,1583099820,1583201640,1583271300,1583366040,1583444340,1583531460,1583617860,1583707980,1583794680,1583877720,1583970420,1584053640,1584108000,1584222900,1584309000,1584395940
apparentTemperatureLow,43.29,41.98,38.71,41.41,35.38,40.13,39.32,33.12,42.27,44.12,28.98,28.5,25.45,31.33,41.77,42.4,32.19,32.49,29.84,29.26,37.97,28.97,32.56,34.2,31.22,30.32,23.24,22.85,25.72,28.36,31.38,34.73,29.97,29.01,41.25,32.19,32.85,32.58,31.14,32.36,39.47,33.7,31.48,37.02,35.33,31.49,24.42,29.29,38.54,34.11,34.96,28.27,21.95,26.24,29.7
apparentTemperatureLowTime,1579748400,1579878660,1579964400,1580014380,1580138940,1580181240,1580295000,1580397600,1580440560,1580572800,1580634360,1580710020,1580819820,1580872980,1581004800,1581087840,1581154860,1581260460,1581329640,1581432480,1581520800,1581605580,1581695940,1581757800,1581867960,1581951360,1582037640,1582123320,1582209600,1582296240,1582372140,1582473600,1582556940,1582641720,1582730460,1582814940,1582898520,1582970460,1583074440,1583140200,1583210520,1583333880,1583416200,1583507880,1583578860,1583679300,1583764860,1583833680,1583938800,1584022680,1584111600,1584183360,1584283920,1584366900,1584455400
apparentTemperatureMax,45.17,52.32,50.87,53.46,51.67,48.7,48.29,44.08,50.72,55.42,54.51,41.21,35.21,33.95,43.17,45.3,45.42,41.55,43.38,42.71,41.74,46.6,38.92,40.24,38.45,38.81,44.72,43.19,51.27,54.97,52.59,44.47,39.38,41.09,49.94,49.08,57.07,52.81,39.88,44.34,40.32,51.24,49.4,55.05,42.51,39.27,42.48,48.54,51.8,44.72,47.57,36.67,40.28,44.29,57.08
apparentTemperatureMaxTime,1579762800,1579809480,1579894620,1579992300,1580075100,1580155440,1580248680,1580346240,1580421420,1580509500,1580544000,1580680500,1580769900,1580884380,1580969580,1581038640,1581105060,1581206640,1581285420,1581375300,1581490800,1581542820,1581620460,1581716160,1581795060,1581888480,1581979560,1582063140,1582149960,1582237020,1582323540,1582415520,1582466340,1582589220,1582668240,1582754520,1582843260,1582927320,1583013480,1583099820,1583218800,1583271300,1583366040,1583444340,1583531460,1583617860,1583707980,1583794680,1583877720,1583970420,1584053640,1584093960,1584222900,1584309000,1584395940
apparentTemperatureMin,36.64,45.1,41.74,38.71,38.92,35.38,40.49,39.32,33.12,45.88,30.02,28.5,27.57,25.45,33.3,41.16,32.95,32.19,31.81,29.84,29.26,37.5,28.97,32.56,34.2,31.22,30.05,23.24,22.85,25.72,28.36,31.38,30.99,29.97,29.01,36.9,32.19,32.85,32.58,31.14,32.36,38.78,33.7,31.48,36.51,34.56,30.94,24.42,29.29,38.31,34.11,30.26,26.87,21.95,26.24
apparentTemperatureMinTime,1579680180,1579769640,1579935600,1579964400,1580108400,1580138940,1580229420,1580295000,1580397600,1580457600,1580626800,1580710020,1580799600,1580819820,1580893380,1581018180,1581145200,1581154860,1581318000,1581329640,1581432480,1581577200,1581605580,1581695940,1581757800,1581867960,1582009200,1582037640,1582123320,1582209600,1582296240,1582372140,1582527600,1582556940,1582641720,1582786800,1582814940,1582898520,1582970460,1583074440,1583140200,1583305200,1583333880,1583416200,1583518620,1583648820,1583733120,1583764860,1583833680,1583943900,1584022680,1584162420,1584252000,1584283920,1584366900
cloudCover,0.87,0.92,0.75,0.77,0.73,0.73,0.75,0.87,0.69,0.92,0.87,0.36,0.68,0.87,0.99,0.98,0.91,0.83,0.54,0.4,0.69,0.69,0.66,0.81,0.95,0.7,0.41,0.1,0.03,0.05,0.15,0.68,0.85,0.64,0.6,0.69,0.19,0.48,0.77,0.59,0.93,0.92,0.73,0.61,0.92,0.77,0.68,0.16,0.72,0.74,0.5,0.9,0.57,0.26,0.04
dewPoint,39.14,46.21,43.13,40.51,41.11,37.84,41.43,40.09,36.35,49.23,40.27,27.81,28.18,27.07,39.78,44.22,43.05,36.37,30.98,29.99,33.2,36.5,32.41,35.26,35.83,34.5,30.98,25.53,24.35,25.96,28.83,34.1,35.53,31.44,32.85,38.27,35.17,35.89,34.72,30.86,36.01,41.84,33.83,35.12,36.7,34.85,30.65,26.56,30.81,37.15,32.38,31.92,25.63,21.42,28.22
humidity,0.83,0.86,0.86,0.8,0.81,0.78,0.85,0.85,0.76,0.88,0.85,0.74,0.79,0.76,0.87,0.91,0.9,0.87,0.77,0.75,0.81,0.82,0.81,0.82,0.83,0.84,0.77,0.67,0.57,0.55,0.61,0.77,0.81,0.75,0.72,0.82,0.7,0.77,0.84,0.76,0.81,0.85,0.71,0.67,0.89,0.87,0.78,0.66,0.64,0.79,0.74,0.87,0.64,0.54,0.58
icon,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,partly-cloudy-day,rain,rain,rain,rain,rain,rain,rain,clear-day,clear-day,clear-day,clear-day,rain,rain,rain,rain,rain,clear-day,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,clear-day,partly-cloudy-day,rain,partly-cloudy-day,rain,rain,clear-day,clear-day
moonPhase,0.94,0.98,0.01,0.04,0.07,0.1,0.13,0.16,0.19,0.22,0.25,0.29,0.32,0.35,0.39,0.42,0.46,0.5,0.53,0.57,0.61,0.65,0.69,0.72,0.76,0.79,0.83,0.86,0.89,0.92,0.96,0.99,0.02,0.05,0.08,0.11,0.14,0.17,0.2,0.23,0.26,0.3,0.33,0.37,0.4,0.44,0.48,0.52,0.56,0.6,0.63,0.67,0.71,0.74,0.78
ozone,352.6,356.5,371.8,346.7,357.6,367.1,377.5,343.2,336.5,332.4,351.2,409.2,397.4,355.1,305.7,329.5,348.6,397.9,359.2,338.9,358,369.2,385.7,372.8,357.9,377.4,384.3,369.2,386.1,403.6,331.8,357.7,393.1,361.7,338.2,332.9,326.9,329.6,423.8,363.4,337.9,351.2,383.6,352.8,375.5,396.7,416.8,387.9,347.9,330.6,354.5,383.3,393.7,381.9,348.9
precipAccumulation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,
precipIntensity,0.0219,0.0461,0.018,0.0076,0.011,0.0214,0.0153,0.0175,0.0125,0.0243,0.0438,0.001,0.0046,0.02,0.0896,0.1195,0.048,0.0209,0.0009,0.0007,0.0031,0.0017,0.009,0.0102,0.0213,0.0089,0.0034,0.0009,0.0008,0.0019,0.0017,0.0019,0.0264,0.0022,0.0012,0.0026,0.0004,0.0057,0.0172,0.0009,0.0105,0.012,0.0022,0.0028,0.0214,0.0096,0.0012,0.0007,0.0007,0.0039,0.0007,0.0156,0.0023,0.0008,0.0006
precipIntensityMax,0.0762,0.1039,0.048,0.0404,0.0332,0.0864,0.0473,0.0542,0.063,0.0595,0.1444,0.0043,0.0167,0.0698,0.1301,0.1556,0.1098,0.0651,0.0025,0.0022,0.0076,0.004,0.0328,0.0413,0.0581,0.0252,0.0259,0.002,0.002,0.023,0.0222,0.0056,0.1262,0.0092,0.0035,0.0074,0.0021,0.0455,0.0299,0.0024,0.0274,0.0428,0.0115,0.0306,0.0468,0.0232,0.0039,0.002,0.0021,0.0147,0.0019,0.0389,0.0062,0.0034,0.0017
precipIntensityMaxTime,1579726800,1579802280,1579863480,1579957200,1580104980,1580187720,1580223600,1580334600,1580440440,1580475240,1580565600,1580634360,1580742780,1580886000,1580964120,1581045360,1581131280,1581152460,1581235740,1581331440,1581469440,1581509400,1581634860,1581674400,1581806880,1581861600,1581933540,1582027440,1582167720,1582214400,1582304400,1582390620,1582473660,1582531200,1582700340,1582729140,1582828680,1582944840,1582973520,1583096160,1583211480,1583291220,1583308800,1583478000,1583503920,1583617320,1583654820,1583748180,1583904060,1583924640,1584014400,1584134100,1584230520,1584316680,1584366900
precipProbability,0.95,1,0.98,0.85,0.95,0.96,0.96,0.91,0.89,0.99,0.98,0.41,0.64,0.87,1,1,1,0.97,0.26,0.14,0.51,0.36,0.78,0.88,0.95,0.83,0.66,0.19,0.07,0.09,0.09,0.46,0.96,0.55,0.25,0.41,0.13,0.79,0.91,0.28,0.89,0.84,0.63,0.69,0.98,0.94,0.42,0.14,0.12,0.59,0.16,0.85,0.35,0.07,0.02
precipType,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,snow,rain
pressure,1015.3,1013.4,1013.7,1013.9,1014.1,1018.2,1015.8,1020.9,1022.8,1017.1,1018.6,1023.7,1026.9,1028.1,1017.8,1016.7,1014.6,1018.9,1031.8,1030.7,1025.6,1024.1,1015.5,1020,1018.3,1022.2,1028.8,1028.2,1025.5,1023.9,1022.3,1020.2,1017.9,1034.2,1033.1,1031.9,1029.8,1017.3,1018,1027.9,1024,1020.7,1023,1015.8,1014,1011.4,1018.7,1024,1023,1022.2,1025.8,1009.5,1011.4,1019.7,1020.9
