,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,39.5839,39.5839,39.5839,39.5839,39.5839,39.5839,39.5839,39.5839,39.5839,39.5839,39.5839,39.5839,39.5839,39.5839,39.5839,39.5839,39.5839,39.5839,39.5839,39.5839,39.5839,39.5839,39.5839,39.5839,39.5839,39.5839,39.5839,39.5839,39.5839,39.5839,39.5839,39.5839,39.5839,39.5839,39.5839,39.5839,39.5839,39.5839,39.5839,39.5839,39.5839,39.5839,39.5839,39.5839,39.5839,39.5839,39.5839,39.5839,39.5839,39.5839,39.5839,39.5839,39.5839,39.5839,39.5839
Long,-76.3637,-76.3637,-76.3637,-76.3637,-76.3637,-76.3637,-76.3637,-76.3637,-76.3637,-76.3637,-76.3637,-76.3637,-76.3637,-76.3637,-76.3637,-76.3637,-76.3637,-76.3637,-76.3637,-76.3637,-76.3637,-76.3637,-76.3637,-76.3637,-76.3637,-76.3637,-76.3637,-76.3637,-76.3637,-76.3637,-76.3637,-76.3637,-76.3637,-76.3637,-76.3637,-76.3637,-76.3637,-76.3637,-76.3637,-76.3637,-76.3637,-76.3637,-76.3637,-76.3637,-76.3637,-76.3637,-76.3637,-76.3637,-76.3637,-76.3637,-76.3637,-76.3637,-76.3637,-76.3637,-76.3637
Province/State,"Harford County, MD","Harford County, MD","Harford County, MD","Harford County, MD","Harford County, MD","Harford County, MD","Harford County, MD","Harford County, MD","Harford County, MD","Harford County, MD","Harford County, MD","Harford County, MD","Harford County, MD","Harford County, MD","Harford County, MD","Harford County, MD","Harford County, MD","Harford County, MD","Harford County, MD","Harford County, MD","Harford County, MD","Harford County, MD","Harford County, MD","Harford County, MD","Harford County, MD","Harford County, MD","Harford County, MD","Harford County, MD","Harford County, MD","Harford County, MD","Harford County, MD","Harford County, MD","Harford County, MD","Harford County, MD","Harford County, MD","Harford County, MD","Harford County, MD","Harford County, MD","Harford County, MD","Harford County, MD","Harford County, MD","Harford County, MD","Harford County, MD","Harford County, MD","Harford County, MD","Harford County, MD","Harford County, MD","Harford County, MD","Harford County, MD","Harford County, MD","Harford County, MD","Harford County, MD","Harford County, MD","Harford County, MD","Harford County, MD"
apparentTemperatureHigh,40.84,43.41,50.22,44.73,41.1,38.64,38.11,40.11,37.64,45.23,46.06,38.01,62.17,63.11,39.42,39.42,52.81,36.9,44.11,40.81,51.07,46.36,51.35,23.69,26.61,47.06,53.26,57.19,45.02,39.9,32.37,52.34,56.27,59.39,48.57,51.87,29.45,34.7,24.89,43.59,61.73,54.74,59.59,54.76,38.16,42.26,60.5,70.93,67.8,56.29,58.64,69.5,58.37,53.82,52.15
apparentTemperatureHighTime,1579722780,1579807680,1579892460,1579978500,1580065740,1580154900,1580239380,1580327640,1580408220,1580498580,1580586480,1580674140,1580758680,1580845320,1580932500,1581032760,1581079680,1581190080,1581277320,1581379200,1581451080,1581533040,1581614280,1581681600,1581795780,1581882960,1581969240,1582054920,1582140360,1582228200,1582325820,1582400880,1582485840,1582571760,1582660920,1582746300,1582829520,1582920720,1583006460,1583093700,1583178540,1583272860,1583352180,1583435760,1583507700,1583611560,1583697000,1583783160,1583870340,1583953140,1584038460,1584126120,1584215400,1584302220,1584387360
apparentTemperatureLow,23.06,28.25,36.15,29.07,27.43,27.21,25.56,19.41,29.21,30.14,27.18,33.05,45.25,32.01,31.89,38.24,22.52,26.44,32.53,40.81,30.75,32.2,22.76,12.08,20.89,27.9,31.39,33.42,25.13,10.44,17.86,23.15,30.86,39.34,43,23.04,19.88,17.34,17.49,26.14,40.66,36.21,31.74,30.04,23.69,25.91,34.92,50.75,36.43,39.97,45.65,37.84,35.59,26.87,36.85
apparentTemperatureLowTime,1579776660,1579864440,1579927620,1580034600,1580119500,1580205900,1580294940,1580380200,1580447160,1580554020,1580640720,1580726580,1580787540,1580907600,1580964300,1581039900,1581131520,1581230760,1581309900,1581379200,1581507540,1581570300,1581685200,1581756180,1581822300,1581937320,1582019760,1582117080,1582192860,1582282560,1582365540,1582452660,1582545000,1582627500,1582722000,1582806720,1582855500,1582974480,1583056980,1583145780,1583231340,1583319540,1583405520,1583488800,1583579580,1583661720,1583749680,1583833980,1583925000,1583995620,1584068760,1584183060,1584269760,1584355440,1584413040
apparentTemperatureMax,40.84,43.41,50.22,44.73,41.1,38.64,38.11,40.11,37.64,45.23,46.06,38.01,62.17,63.11,53.5,40.38,52.81,36.9,44.11,43.09,51.07,46.36,51.35,32.56,26.61,47.06,53.26,57.19,45.02,39.9,32.37,52.34,56.27,59.39,48.57,51.87,40.42,34.7,24.89,43.59,61.73,54.74,59.59,54.76,38.16,42.26,60.5,70.93,67.8,56.29,58.64,69.5,58.37,53.82,52.15
apparentTemperatureMaxTime,1579722780,1579807680,1579892460,1579978500,1580065740,1580154900,1580239380,1580327640,1580408220,1580498580,1580586480,1580674140,1580758680,1580845320,1580878800,1581045720,1581079680,1581190080,1581277320,1581393600,1581451080,1581533040,1581614280,1581659940,1581795780,1581882960,1581969240,1582054920,1582140360,1582228200,1582325820,1582400880,1582485840,1582571760,1582660920,1582746300,1582779600,1582920720,1583006460,1583093700,1583178540,1583272860,1583352180,1583435760,1583507700,1583611560,1583697000,1583783160,1583870340,1583953140,1584038460,1584126120,1584215400,1584302220,1584387360
apparentTemperatureMin,15.2,23.06,28.25,32.62,29.07,27.43,27.21,24.23,19.41,29.21,30.14,27.18,33.05,45.98,31.33,31.91,22.52,22.81,26.44,32.6,38.49,30.75,31.86,15.43,12.08,21.82,27.9,31.39,29.6,20.25,10.44,17.86,23.15,30.86,39.34,39.35,19.88,20.08,17.34,17.49,26.14,40.66,36.21,31.74,28.91,23.69,25.91,34.92,50.75,36.43,39.97,45.94,37.84,35.59,26.87
apparentTemperatureMinTime,1579688940,1579776660,1579864440,1580011200,1580034600,1580119500,1580205900,1580356800,1580380200,1580447160,1580554020,1580640720,1580726580,1580792400,1580912040,1580965200,1581131520,1581154560,1581230760,1581310800,1581480000,1581507540,1581652800,1581739200,1581756180,1581829200,1581937320,1582019760,1582171200,1582257600,1582282560,1582365540,1582452660,1582545000,1582627500,1582772460,1582855500,1582866000,1582974480,1583056980,1583145780,1583231340,1583319540,1583405520,1583553600,1583579580,1583661720,1583749680,1583833980,1583925000,1583995620,1584072000,1584183060,1584269760,1584355440
cloudCover,0.03,0.7,0.6,0.75,0.23,0.45,0.34,0.12,0.32,0.74,0.77,0.44,0.26,0.79,0.97,1,0.71,0.16,0.21,0.88,0.94,0.73,0.92,0.13,0.2,0.52,0.26,0.68,0.48,0.64,0.03,0,0.02,0.43,0.97,0.93,0.27,0.39,0.29,0.01,0.41,0.63,0.17,0.4,0.58,0.26,0,0.11,0.65,0.46,0.67,0.73,0.33,0.59,0.31
dewPoint,15.8,20.39,31.39,40.89,31.53,31.03,28.99,23.76,18.22,28.33,32.75,32.55,37.87,47.66,33.88,35.82,37.58,23.27,26.18,37.51,44.21,30.47,40.18,16.85,7.54,25.2,28.85,38.17,27.28,16.7,8.33,11.5,16.65,29.81,42.78,44.09,23.85,20.32,13.99,17.2,33.52,46.08,33.8,29.25,33.29,24.46,22.37,32.37,48.14,37.72,40.36,45.68,26.34,35.38,28.33
humidity,0.59,0.62,0.73,0.89,0.75,0.75,0.7,0.61,0.6,0.74,0.86,0.82,0.7,0.78,0.74,0.88,0.82,0.64,0.67,0.82,0.91,0.67,0.87,0.56,0.48,0.63,0.63,0.77,0.55,0.51,0.44,0.37,0.4,0.59,0.92,0.92,0.62,0.56,0.52,0.5,0.62,0.87,0.55,0.56,0.85,0.59,0.45,0.48,0.7,0.67,0.74,0.71,0.43,0.73,0.58
icon,clear-day,partly-cloudy-day,partly-cloudy-day,rain,clear-day,rain,partly-cloudy-day,clear-day,partly-cloudy-day,partly-cloudy-day,rain,rain,clear-day,rain,rain,rain,rain,clear-day,clear-day,rain,rain,rain,rain,clear-day,clear-day,partly-cloudy-day,clear-day,rain,partly-cloudy-day,partly-cloudy-day,clear-day,clear-day,clear-day,partly-cloudy-day,rain,rain,rain,partly-cloudy-day,clear-day,clear-day,rain,rain,clear-day,partly-cloudy-day,rain,rain,clear-day,clear-day,rain,partly-cloudy-day,rain,rain,partly-cloudy-day,rain,clear-day
moonPhase,0.94,0.97,0.01,0.04,0.07,0.1,0.13,0.16,0.19,0.22,0.25,0.28,0.31,0.35,0.38,0.42,0.45,0.49,0.53,0.57,0.61,0.64,0.68,0.72,0.75,0.79,0.82,0.86,0.89,0.92,0.95,0.98,0.01,0.04,0.07,0.1,0.13,0.16,0.2,0.23,0.26,0.29,0.33,0.36,0.4,0.44,0.47,0.51,0.55,0.59,0.63,0.67,0.7,0.74,0.77
ozone,335.2,316.1,327.5,361.2,375.5,370,354.9,354.9,358.2,354,359.9,374.3,330.6,293,319,318,339.4,368.3,333,319.4,301.2,292.3,292.6,344.4,330.3,334.1,342,321.6,320.4,340.5,431.5,359.8,342.5,325.3,300.1,301.7,361.2,398.4,428.6,368.1,349.9,381.4,360.8,332.4,388.9,392.7,337.8,333.6,342.5,378.2,357.3,338,309.4,318.5,346.6
precipAccumulation,0.08,0.12,,,,,,,0.12,0.05,,,,,,,,0.09,0.06,,,,,,0.26,0.06,,,,0.15,0.19,0.08,,,,,,0.02,0.14,0.04,,,,,,,,,,,,,,,
precipIntensity,0.0004,0.0011,0.0007,0.0675,0.0006,0.001,0.0014,0.0006,0.0007,0.0009,0.0048,0.0009,0.0006,0.0037,0.0059,0.0289,0.0319,0.0008,0.0008,0.0118,0.0205,0.003,0.0132,0.0007,0.0009,0.001,0.0005,0.0011,0.0008,0.001,0.0009,0.0007,0.0005,0.0008,0.0067,0.0051,0.0069,0.0002,0.0006,0.0005,0.0047,0.0051,0.0005,0.0006,0.0109,0.0014,0.0007,0.0008,0.0037,0.0008,0.0007,0.0145,0.0011,0.0047,0.0006
precipIntensityMax,0.0016,0.0018,0.0051,0.3051,0.002,0.0021,0.0094,0.0022,0.0022,0.0072,0.0259,0.0062,0.0024,0.0173,0.0361,0.0955,0.1624,0.0025,0.0024,0.0298,0.059,0.018,0.0434,0.0018,0.0021,0.0022,0.0019,0.0022,0.0021,0.0021,0.0023,0.0022,0.0021,0.0022,0.0311,0.0517,0.0771,0.0015,0.0021,0.0021,0.0414,0.0223,0.0022,0.0019,0.0498,0.0116,0.0023,0.0022,0.0164,0.0026,0.0021,0.0983,0.0092,0.0203,0.0018
precipIntensityMaxTime,1579682760,1579798320,1579924800,1579950240,1580088060,1580115600,1580223000,1580289240,1580421600,1580515140,1580608620,1580662980,1580755920,1580824740,1580961600,1581023100,1581084060,1581178380,1581270660,1581374340,1581421140,1581562200,1581606540,1581674040,1581765720,1581898740,1581984000,1582027440,1582167720,1582222800,1582261200,1582401600,1582452780,1582588800,1582643100,1582776000,1582779600,1582909200,1582977600,1583082000,1583206560,1583254920,1583366400,1583420040,1583549580,1583557200,1583722020,1583748240,1583880180,1583899200,1584014460,1584090840,1584241200,1584247440,1584366960
precipProbability,0.04,0.05,0.22,0.98,0.18,0.28,0.19,0.06,0.03,0.23,0.78,0.45,0.11,0.65,0.81,0.98,0.94,0.09,0.13,0.98,0.99,0.58,0.89,0.11,0.03,0.08,0.1,0.33,0.19,0.13,0.13,0.03,0.04,0.09,0.83,0.71,0.88,0.15,0.09,0.05,0.67,0.7,0.15,0.06,0.94,0.57,0.04,0.03,0.59,0.11,0.28,0.9,0.2,0.69,0.06
precipType,snow,snow,rain,rain,rain,rain,rain,rain,snow,snow,rain,rain,rain,rain,rain,rain,rain,snow,snow,rain,rain,rain,rain,rain,snow,snow,rain,rain,rain,snow,snow,snow,rain,rain,rain,rain,rain,snow,snow,snow,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain
pressure,1031.5,1028.8,1024.8,1011.6,1011.6,1008.6,1012.7,1019.1,1025,1024.9,1013.2,1002.9,1009.7,1009.1,1014.7,1002.1,992.6,1022,1030.4,1021.2,1013.4,1020.6,1007.6,1026.4,1034,1021.6,1023.8,1020.6,1025,1030.6,1032.2,1026.4,1022.3,1016.1,1010.5,1009.8,1006.7,1012.7,1015.3,1022.1,1013.8,1004.4,1010.3,1019.4,1012,1024.8,1031.6,1028,1019,1019.2,1018.1,1012.4,1027.1,1030.5,1031.8
summary,Clear throughout the day.,Overcast throughout the day.,Rain and windy overnight.,Rain in the morning and afternoon.,Clear throughout the day.,Mostly cloudy throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Mostly cloudy throughout the day.,Light rain in the evening and overnight.,Possible drizzle in the afternoon.,Clear throughout the day.,Possible light rain in the morning and overnight.,Light rain in the morning and overnight.,Light rain throughout the day.,Rain in the morning and afternoon.,Clear throughout the day.,Clear throughout the day.,Light rain throughout the day.,Light rain in the morning and afternoon.,Light rain in the evening and overnight.,Light rain in the morning and afternoon.,Clear throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Mostly cloudy throughout the day.,Partly cloudy throughout the day.,Mostly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Light rain in the morning and afternoon.,Light rain in the evening and overnight.,Possible drizzle in the morning.,Mostly cloudy throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Light rain in the evening and overnight.,Possible light rain in the afternoon.,Clear throughout the day.,Partly cloudy throughout the day.,Light rain throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Possible light rain in the evening.,Mostly cloudy throughout the day.,Light rain overnight.,Light rain in the morning.,Possible light rain overnight.,Possible drizzle in the morning.,Clear throughout the day.
sunriseTime,1579695720,1579782060,1579868460,1579954800,1580041140,1580127540,1580213880,1580300220,1580386560,1580472900,1580559300,1580645640,1580731980,1580818320,1580904660,1580991000,1581077340,1581163680,1581249960,1581336300,1581422640,1581508980,1581595320,1581681660,1581767940,1581854280,1581940620,1582026960,1582113240,1582199580,1582285920,1582372200,1582458540,1582544820,1582631160,1582717500,1582803780,1582890120,1582976400,1583062740,1583149020,1583235360,1583321640,1583407980,1583494260,1583580600,1583666880,1583753220,1583839500,1583925780,1584012120,1584098400,1584184740,1584271020,1584357300
sunsetTime,1579731240,1579817700,1579904160,1579990680,1580077140,1580163600,1580250060,1580336520,1580423040,1580509500,1580595960,1580682420,1580768880,1580855400,1580941860,1581028320,1581114780,1581201240,1581287760,1581374220,1581460680,1581547140,1581633600,1581720060,1581806580,1581893040,1581979500,1582065960,1582152420,1582238880,1582325340,1582411860,1582498320,1582584780,1582671240,1582757700,1582844160,1582930620,1583017080,1583103540,1583190000,1583276520,1583362980,1583449440,1583535900,1583622360,1583708820,1583795280,1583881740,1583968200,1584054660,1584141120,1584227580,1584314040,1584400500
temperatureHigh,41.34,43.83,50.73,48.97,46.78,44.61,44.48,44.98,40.39,45.73,46.56,43.8,62.67,63.61,43.19,43.2,53.31,42.71,47.21,45.06,51.56,48.62,51.58,33,34.42,50,53.76,57.69,50.23,40.28,37.34,52.81,56.77,59.89,49.07,52.13,39.72,41.89,35.35,48.02,62.23,55.24,60.09,55.26,42.07,48.35,61,71.43,68.3,56.79,59.14,70,58.87,54.32,52.35
temperatureHighTime,1579722780,1579807140,1579893000,1579980240,1580065500,1580144460,1580239500,1580327400,1580413920,1580498580,1580586480,1580674080,1580758680,1580845320,1580932560,1581029640,1581079680,1581190380,1581277740,1581362040,1581451200,1581535320,1581613620,1581681600,1581796140,1581883140,1581969240,1582054920,1582140540,1582228500,1582315500,1582401360,1582485840,1582571760,1582660560,1582746660,1582829580,1582920600,1583006280,1583093280,1583178540,1583272860,1583352180,1583435760,1583526420,1583611440,1583697000,1583783160,1583870340,1583953140,1584038460,1584126120,1584215400,1584302220,1584386760
temperatureLow,22.57,29.78,42.15,33.45,32.1,33.24,30.8,24.09,28.72,29.65,32.37,36.75,46.62,37.98,35.12,41.28,29.26,28.04,36.87,43.24,34.38,37.65,31.49,16.06,27.34,32.49,35.25,38.88,29.6,20.33,23.47,26.64,30.37,40.82,42.89,33.6,27.54,25.34,23.58,30.46,42.1,40.89,35.17,33.14,33.13,29.92,37.92,50.26,40.19,39.48,48.52,40.58,38.18,32.35,40.49
temperatureLowTime,1579776660,1579859460,1579923240,1580032920,1580120460,1580207760,1580295000,1580384820,1580447160,1580554020,1580640120,1580727420,1580787960,1580907600,1580972760,1581034560,1581155760,1581242940,1581295860,1581379200,1581507960,1581573840,1581685200,1581767700,1581822120,1581938340,1582019640,1582116420,1582199340,1582282920,1582365600,1582452420,1582545000,1582627680,1582714320,1582806840,1582887060,1582973520,1583062920,1583146080,1583234880,1583319960,1583407260,1583494680,1583579760,1583662200,1583753940,1583833980,1583925240,1583995620,1584073500,1584184980,1584265800,1584355620,1584438000
