,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Province/State,"Honolulu County, HI","Honolulu County, HI","Honolulu County, HI","Honolulu County, HI","Honolulu County, HI","Honolulu County, HI","Honolulu County, HI","Honolulu County, HI","Honolulu County, HI","Honolulu County, HI","Honolulu County, HI","Honolulu County, HI","Honolulu County, HI","Honolulu County, HI","Honolulu County, HI","Honolulu County, HI","Honolulu County, HI","Honolulu County, HI","Honolulu County, HI","Honolulu County, HI","Honolulu County, HI","Honolulu County, HI","Honolulu County, HI","Honolulu County, HI","Honolulu County, HI","Honolulu County, HI","Honolulu County, HI","Honolulu County, HI","Honolulu County, HI","Honolulu County, HI","Honolulu County, HI","Honolulu County, HI","Honolulu County, HI","Honolulu County, HI","Honolulu County, HI","Honolulu County, HI","Honolulu County, HI","Honolulu County, HI","Honolulu County, HI","Honolulu County, HI","Honolulu County, HI","Honolulu County, HI","Honolulu County, HI","Honolulu County, HI","Honolulu County, HI","Honolulu County, HI","Honolulu County, HI","Honolulu County, HI","Honolulu County, HI","Honolulu County, HI","Honolulu County, HI","Honolulu County, HI","Honolulu County, HI","Honolulu County, HI","Honolulu County, HI"
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,21.307,21.307,21.307,21.307,21.307,21.307,21.307,21.307,21.307,21.307,21.307,21.307,21.307,21.307,21.307,21.307,21.307,21.307,21.307,21.307,21.307,21.307,21.307,21.307,21.307,21.307,21.307,21.307,21.307,21.307,21.307,21.307,21.307,21.307,21.307,21.307,21.307,21.307,21.307,21.307,21.307,21.307,21.307,21.307,21.307,21.307,21.307,21.307,21.307,21.307,21.307,21.307,21.307,21.307,21.307
Long,-157.8584,-157.8584,-157.8584,-157.8584,-157.8584,-157.8584,-157.8584,-157.8584,-157.8584,-157.8584,-157.8584,-157.8584,-157.8584,-157.8584,-157.8584,-157.8584,-157.8584,-157.8584,-157.8584,-157.8584,-157.8584,-157.8584,-157.8584,-157.8584,-157.8584,-157.8584,-157.8584,-157.8584,-157.8584,-157.8584,-157.8584,-157.8584,-157.8584,-157.8584,-157.8584,-157.8584,-157.8584,-157.8584,-157.8584,-157.8584,-157.8584,-157.8584,-157.8584,-157.8584,-157.8584,-157.8584,-157.8584,-157.8584,-157.8584,-157.8584,-157.8584,-157.8584,-157.8584,-157.8584,-157.8584
time,1579687200,1579773600,1579860000,1579946400,1580032800,1580119200,1580205600,1580292000,1580378400,1580464800,1580551200,1580637600,1580724000,1580810400,1580896800,1580983200,1581069600,1581156000,1581242400,1581328800,1581415200,1581501600,1581588000,1581674400,1581760800,1581847200,1581933600,1582020000,1582106400,1582192800,1582279200,1582365600,1582452000,1582538400,1582624800,1582711200,1582797600,1582884000,1582970400,1583056800,1583143200,1583229600,1583316000,1583402400,1583488800,1583575200,1583661600,1583748000,1583834400,1583920800,1584007200,1584093600,1584180000,1584266400,1584352800
summary,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Mostly cloudy throughout the day.,Possible light rain in the afternoon.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Light rain throughout the day.,Rain until evening.,Clear throughout the day.,Partly cloudy throughout the day.,Possible light rain in the evening and overnight.,Light rain throughout the day.,Possible light rain in the morning and afternoon.,Possible drizzle in the morning.,Humid throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,"Possible light rain until morning, starting again in the evening.",Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Possible light rain throughout the day.,Possible light rain overnight.,Rain until evening.,Clear throughout the day.,Clear throughout the day.,Possible light rain starting in the afternoon.,Possible light rain in the morning.,Mostly cloudy throughout the day.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Possible drizzle overnight.,Light rain until evening.,Mostly cloudy throughout the day.,Partly cloudy throughout the day.,Rain and humid throughout the day.,Light rain until evening.
icon,clear-day,clear-day,clear-day,rain,rain,clear-day,clear-day,partly-cloudy-day,partly-cloudy-day,rain,rain,rain,clear-day,clear-day,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,clear-day,rain,rain,rain,rain,rain,rain,clear-day,clear-day,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,partly-cloudy-day,rain,rain,rain,rain,rain,rain,rain,rain
sunriseTime,1579713120,1579799520,1579885920,1579972320,1580058720,1580145060,1580231460,1580317860,1580404260,1580490600,1580577000,1580663400,1580749740,1580836140,1580922480,1581008880,1581095280,1581181620,1581268020,1581354360,1581440760,1581527100,1581613440,1581699840,1581786180,1581872580,1581958920,1582045260,1582131660,1582218000,1582304340,1582390740,1582477080,1582563420,1582649820,1582736160,1582822500,1582908840,1582995180,1583081580,1583167920,1583254260,1583340600,1583426940,1583513280,1583599680,1583686020,1583772360,1583858700,1583945040,1584031380,1584117720,1584204060,1584290400,1584376800
sunsetTime,1579752960,1579839420,1579925820,1580012280,1580098740,1580185140,1580271600,1580358060,1580444460,1580530920,1580617380,1580703780,1580790240,1580876640,1580963100,1581049560,1581135960,1581222420,1581308820,1581395280,1581481680,1581568140,1581654600,1581741000,1581827460,1581913860,1582000320,1582086720,1582173180,1582259580,1582346040,1582432440,1582518840,1582605300,1582691700,1582778160,1582864560,1582951020,1583037420,1583123820,1583210280,1583296680,1583383140,1583469540,1583555940,1583642400,1583728800,1583815200,1583901660,1583988060,1584074460,1584160920,1584247320,1584333720,1584420180
moonPhase,0.95,0.98,0.01,0.04,0.07,0.11,0.14,0.17,0.2,0.23,0.26,0.29,0.32,0.35,0.39,0.42,0.46,0.5,0.54,0.58,0.61,0.65,0.69,0.73,0.76,0.8,0.83,0.86,0.89,0.93,0.96,0.99,0.02,0.05,0.08,0.11,0.14,0.17,0.2,0.23,0.26,0.3,0.33,0.37,0.41,0.44,0.48,0.52,0.56,0.6,0.64,0.68,0.71,0.75,0.78
