,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,Kyrgyzstan,Kyrgyzstan,Kyrgyzstan,Kyrgyzstan,Kyrgyzstan,Kyrgyzstan,Kyrgyzstan,Kyrgyzstan,Kyrgyzstan,Kyrgyzstan,Kyrgyzstan,Kyrgyzstan,Kyrgyzstan,Kyrgyzstan,Kyrgyzstan,Kyrgyzstan,Kyrgyzstan,Kyrgyzstan,Kyrgyzstan,Kyrgyzstan,Kyrgyzstan,Kyrgyzstan,Kyrgyzstan,Kyrgyzstan,Kyrgyzstan,Kyrgyzstan,Kyrgyzstan,Kyrgyzstan,Kyrgyzstan,Kyrgyzstan,Kyrgyzstan,Kyrgyzstan,Kyrgyzstan,Kyrgyzstan,Kyrgyzstan,Kyrgyzstan,Kyrgyzstan,Kyrgyzstan,Kyrgyzstan,Kyrgyzstan,Kyrgyzstan,Kyrgyzstan,Kyrgyzstan,Kyrgyzstan,Kyrgyzstan,Kyrgyzstan,Kyrgyzstan,Kyrgyzstan,Kyrgyzstan,Kyrgyzstan,Kyrgyzstan,Kyrgyzstan,Kyrgyzstan,Kyrgyzstan,Kyrgyzstan
Lat,41.2044,41.2044,41.2044,41.2044,41.2044,41.2044,41.2044,41.2044,41.2044,41.2044,41.2044,41.2044,41.2044,41.2044,41.2044,41.2044,41.2044,41.2044,41.2044,41.2044,41.2044,41.2044,41.2044,41.2044,41.2044,41.2044,41.2044,41.2044,41.2044,41.2044,41.2044,41.2044,41.2044,41.2044,41.2044,41.2044,41.2044,41.2044,41.2044,41.2044,41.2044,41.2044,41.2044,41.2044,41.2044,41.2044,41.2044,41.2044,41.2044,41.2044,41.2044,41.2044,41.2044,41.2044,41.2044
Long,74.7661,74.7661,74.7661,74.7661,74.7661,74.7661,74.7661,74.7661,74.7661,74.7661,74.7661,74.7661,74.7661,74.7661,74.7661,74.7661,74.7661,74.7661,74.7661,74.7661,74.7661,74.7661,74.7661,74.7661,74.7661,74.7661,74.7661,74.7661,74.7661,74.7661,74.7661,74.7661,74.7661,74.7661,74.7661,74.7661,74.7661,74.7661,74.7661,74.7661,74.7661,74.7661,74.7661,74.7661,74.7661,74.7661,74.7661,74.7661,74.7661,74.7661,74.7661,74.7661,74.7661,74.7661,74.7661
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparentTemperatureHigh,19.03,21.1,20.81,23.44,22.75,19.28,18.3,15.06,14.62,15.79,15.07,19.07,22.43,22.72,20.88,23.4,22.24,24.14,27.62,30.66,32.99,34.41,29.42,29.01,26.39,24.92,20.77,24.02,21.35,23.91,29.27,31.91,32.66,34.28,33.41,32.78,36.5,36.26,35.72,36.01,36.32,36.21,36,33.9,31.27,30.32,29.4,31.03,32.07,34.62,37.54,39.25,39.11,40.46,41.72
apparentTemperatureHighTime,1579686780,1579766340,1579852920,1579939560,1580025480,1580111940,1580198340,1580284800,1580371260,1580457780,1580544240,1580630640,1580716980,1580803140,1580889720,1580976000,1581062580,1581149040,1581235260,1581321540,1581407880,1581494460,1581577200,1581667080,1581753600,1581839640,1581926460,1582021080,1582099320,1582185840,1582272300,1582358340,1582444860,1582537560,1582617540,1582704120,1582796880,1582880820,1582963080,1583049540,1583135940,1583222280,1583308560,1583395080,1583478900,1583568000,1583661660,1583751840,1583833620,1583920260,1584006540,1584092820,1584179340,1584265800,1584355320
apparentTemperatureLow,6.86,-7.65,4.2,9.35,6.4,-3.36,-5.82,-3.16,-4.77,-4.15,-5.23,4.31,1.82,4.58,7.72,1.46,-0.27,0.71,9.03,15.39,15.22,14.32,6.22,1.48,4,1.87,12.32,-1.44,1.63,5.38,10.4,16.39,16.2,17.47,12.87,18.46,23.07,24.15,15.87,14,17.28,23.96,19.38,16.42,11.85,9.81,13.04,9.3,12.97,19.2,17.81,19.03,17.78,19.97,21.94
apparentTemperatureLowTime,1579744800,1579820640,1579917600,1580004000,1580090400,1580167860,1580233620,1580347320,1580436000,1580521500,1580586060,1580687040,1580755440,1580868000,1580944080,1581010680,1581104700,1581210000,1581274080,1581360660,1581472620,1581559200,1581637920,1581732000,1581818400,1581867720,1581962700,1582072560,1582126800,1582220760,1582310700,1582419360,1582475520,1582566420,1582659480,1582752720,1582852320,1582934160,1583012940,1583110740,1583181720,1583277540,1583337120,1583452860,1583527200,1583599320,1583692140,1583794140,1583862240,1583971140,1584057480,1584119580,1584232380,1584297780,1584391500
apparentTemperatureMax,19.03,21.1,20.81,23.44,22.75,19.28,18.3,15.06,14.62,15.79,15.07,19.07,22.43,22.72,20.88,23.4,22.24,24.14,27.62,30.66,32.99,34.41,29.42,29.01,26.39,24.92,20.77,24.02,21.35,23.91,29.27,31.91,32.66,34.28,33.41,32.78,36.5,36.26,35.72,36.01,36.32,36.21,36,33.9,31.27,30.32,29.4,31.03,32.07,34.62,37.54,39.25,39.11,40.46,41.72
apparentTemperatureMaxTime,1579686780,1579766340,1579852920,1579939560,1580025480,1580111940,1580198340,1580284800,1580371260,1580457780,1580544240,1580630640,1580716980,1580803140,1580889720,1580976000,1581062580,1581149040,1581235260,1581321540,1581407880,1581494460,1581577200,1581667080,1581753600,1581839640,1581926460,1582021080,1582099320,1582185840,1582272300,1582358340,1582444860,1582537560,1582617540,1582704120,1582796880,1582880820,1582963080,1583049540,1583135940,1583222280,1583308560,1583395080,1583478900,1583568000,1583661660,1583751840,1583833620,1583920260,1584006540,1584092820,1584179340,1584265800,1584355320
