,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates
Lat,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0
Long,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparentTemperatureHigh,82.6,81.56,68.02,72.75,65.17,69,71.67,73.14,75.48,73.52,77.85,77.19,71.43,71.77,74.89,78.04,81.21,86.27,87.91,76.75,69.57,65.56,68.24,72.61,75.29,79.29,85.48,87.71,88.45,91.03,76.69,81.52,88.59,89.84,96.98,83.22,74.54,76.02,78.54,85.98,86.79,76.64,75.28,76.81,81.17,85.22,88.39,78.23,80.86,82.5,83.8,88.26,89.25,90.56,89.3
apparentTemperatureHighTime,1579690740,1579776660,1579870920,1579945980,1580022120,1580111700,1580205000,1580292180,1580378520,1580464800,1580554500,1580636640,1580716920,1580809680,1580896440,1580983260,1581069840,1581156660,1581242700,1581321780,1581401640,1581494280,1581587280,1581673740,1581760260,1581847440,1581939840,1582020120,1582106760,1582193340,1582272600,1582364640,1582452000,1582538400,1582630560,1582698000,1582790160,1582883820,1582973160,1583057400,1583137320,1583222520,1583308920,1583401800,1583488500,1583575920,1583661180,1583740260,1583833740,1583920020,1584007140,1584093240,1584180180,1584273060,1584357300
apparentTemperatureLow,60.12,63.29,59.02,57.09,59.68,56.16,52.12,51.42,50.52,46.91,56.08,58.35,55.22,52.65,55.65,56.61,56.16,65.72,66.04,66.24,60.93,54.29,53.31,54.08,52.72,55.63,58.97,55.11,61.28,65.43,65.58,66.14,66.09,67.81,72.74,65.5,58.52,59,56.45,58.98,64.35,58.13,58.96,58.91,56.71,59.21,61.07,58.59,56.55,55.48,56.57,65.76,69.1,69.74,67.51
apparentTemperatureLowTime,1579733580,1579823820,1579910280,1579992660,1580062200,1580178120,1580263260,1580349660,1580438040,1580522160,1580600880,1580695200,1580781720,1580867820,1580954280,1581040740,1581126900,1581198840,1581300840,1581378720,1581472920,1581559380,1581645180,1581724560,1581821340,1581904620,1581991140,1582077540,1582163640,1582250580,1582318860,1582423440,1582509480,1582595820,1582660680,1582751040,1582855020,1582941000,1583027400,1583114160,1583193180,1583286780,1583373300,1583459940,1583546400,1583632620,1583718900,1583805360,1583891940,1583978880,1584064680,1584148620,1584238140,1584323880,1584403500
apparentTemperatureMax,82.6,81.56,68.02,72.75,65.17,69,71.67,73.14,75.48,73.52,77.85,77.19,71.43,71.77,74.89,78.04,81.21,86.27,87.91,76.75,69.57,65.56,68.24,72.61,75.29,79.29,85.48,87.71,88.45,91.03,76.69,81.52,88.59,89.84,96.98,83.22,74.54,76.02,78.54,85.98,86.79,76.64,75.28,76.81,81.17,85.22,88.39,78.23,80.86,82.5,83.8,88.26,89.25,90.56,89.3
apparentTemperatureMaxTime,1579690740,1579776660,1579870920,1579945980,1580022120,1580111700,1580205000,1580292180,1580378520,1580464800,1580554500,1580636640,1580716920,1580809680,1580896440,1580983260,1581069840,1581156660,1581242700,1581321780,1581401640,1581494280,1581587280,1581673740,1581760260,1581847440,1581939840,1582020120,1582106760,1582193340,1582272600,1582364640,1582452000,1582538400,1582630560,1582698000,1582790160,1582883820,1582973160,1583057400,1583137320,1583222520,1583308920,1583401800,1583488500,1583575920,1583661180,1583740260,1583833740,1583920020,1584007140,1584093240,1584180180,1584273060,1584357300
