,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,34.0132,34.0132,34.0132,34.0132,34.0132,34.0132,34.0132,34.0132,34.0132,34.0132,34.0132,34.0132,34.0132,34.0132,34.0132,34.0132,34.0132,34.0132,34.0132,34.0132,34.0132,34.0132,34.0132,34.0132,34.0132,34.0132,34.0132,34.0132,34.0132,34.0132,34.0132,34.0132,34.0132,34.0132,34.0132,34.0132,34.0132,34.0132,34.0132,34.0132,34.0132,34.0132,34.0132,34.0132,34.0132,34.0132,34.0132,34.0132,34.0132,34.0132,34.0132,34.0132,34.0132,34.0132,34.0132
Long,-85.1479,-85.1479,-85.1479,-85.1479,-85.1479,-85.1479,-85.1479,-85.1479,-85.1479,-85.1479,-85.1479,-85.1479,-85.1479,-85.1479,-85.1479,-85.1479,-85.1479,-85.1479,-85.1479,-85.1479,-85.1479,-85.1479,-85.1479,-85.1479,-85.1479,-85.1479,-85.1479,-85.1479,-85.1479,-85.1479,-85.1479,-85.1479,-85.1479,-85.1479,-85.1479,-85.1479,-85.1479,-85.1479,-85.1479,-85.1479,-85.1479,-85.1479,-85.1479,-85.1479,-85.1479,-85.1479,-85.1479,-85.1479,-85.1479,-85.1479,-85.1479,-85.1479,-85.1479,-85.1479,-85.1479
Province/State,"Polk County, GA","Polk County, GA","Polk County, GA","Polk County, GA","Polk County, GA","Polk County, GA","Polk County, GA","Polk County, GA","Polk County, GA","Polk County, GA","Polk County, GA","Polk County, GA","Polk County, GA","Polk County, GA","Polk County, GA","Polk County, GA","Polk County, GA","Polk County, GA","Polk County, GA","Polk County, GA","Polk County, GA","Polk County, GA","Polk County, GA","Polk County, GA","Polk County, GA","Polk County, GA","Polk County, GA","Polk County, GA","Polk County, GA","Polk County, GA","Polk County, GA","Polk County, GA","Polk County, GA","Polk County, GA","Polk County, GA","Polk County, GA","Polk County, GA","Polk County, GA","Polk County, GA","Polk County, GA","Polk County, GA","Polk County, GA","Polk County, GA","Polk County, GA","Polk County, GA","Polk County, GA","Polk County, GA","Polk County, GA","Polk County, GA","Polk County, GA","Polk County, GA","Polk County, GA","Polk County, GA","Polk County, GA","Polk County, GA"
apparentTemperatureHigh,47.2,40.25,54.6,41.68,53.08,51.98,58.42,55.05,58.88,41.58,50.11,64.42,74.08,69.1,68.92,66.48,34.22,44.56,56.86,54.07,68.47,70.22,59.11,46.12,56.34,54.45,58.41,61.89,52.38,39.79,42.07,56.51,57.81,44.84,64.26,52.5,42.19,51.29,54.42,65.46,53.83,69.97,55.4,51.43,55.15,56.57,63.73,68.33,65,70.86,74.64,69.44,75.67,65,57.1
apparentTemperatureHighTime,1579723080,1579823640,1579897680,1579981980,1580068020,1580156040,1580241480,1580327400,1580414100,1580489820,1580587260,1580673720,1580760420,1580846280,1580932200,1581000780,1581105960,1581192420,1581278820,1581378840,1581438000,1581544140,1581595200,1581710460,1581796800,1581882840,1581969120,1582055940,1582141020,1582200000,1582315440,1582401240,1582484760,1582578600,1582659960,1582736460,1582834680,1582918620,1583006460,1583092260,1583193600,1583269080,1583341800,1583426520,1583522700,1583611320,1583697540,1583783400,1583870760,1583950740,1584043800,1584119520,1584216180,1584293580,1584388920
apparentTemperatureLow,28.37,34.08,32.26,30.64,40.89,32.5,35.68,33.71,37.56,37.28,31.39,37.1,55.55,61.86,63.65,28.08,28.74,30.26,38.24,52.36,46.79,57.03,27.1,21.9,37.78,41.26,50.27,41.94,37.2,21.61,25.82,33.16,40.69,44.67,41.46,24.43,26.08,29.73,29.24,43.34,53.83,52.79,46.36,36.4,26.69,30.68,38.06,53.38,54.34,58.23,63.78,51.52,56.71,50.74,53.05
apparentTemperatureLowTime,1579775460,1579845180,1579949640,1580018100,1580119860,1580208240,1580299020,1580381940,1580468820,1580528100,1580643720,1580731200,1580809140,1580893560,1580960220,1581080400,1581148740,1581224700,1581321480,1581383220,1581508740,1581598800,1581678420,1581760860,1581832620,1581916440,1581997920,1582117200,1582203600,1582282980,1582365660,1582454220,1582542060,1582591800,1582710060,1582800660,1582888740,1582976340,1583062740,1583145720,1583193600,1583320200,1583402520,1583494020,1583582220,1583662140,1583748000,1583838420,1583913480,1583993520,1584094440,1584184740,1584273480,1584343920,1584421260
apparentTemperatureMax,47.2,40.25,54.6,41.68,53.08,51.98,58.42,55.05,58.88,41.58,50.11,64.42,74.08,69.1,68.92,66.48,39.96,44.56,56.86,54.07,68.47,70.22,67.55,46.12,56.34,54.45,58.41,61.89,57.43,45.38,42.07,56.51,57.81,50.62,64.26,52.5,42.19,51.29,54.42,65.46,55.04,69.97,58.71,51.43,55.15,56.57,63.73,68.33,65,70.86,74.64,69.44,75.67,65,57.1
apparentTemperatureMaxTime,1579723080,1579823640,1579897680,1579981980,1580068020,1580156040,1580241480,1580327400,1580414100,1580489820,1580587260,1580673720,1580760420,1580846280,1580932200,1581000780,1581051600,1581192420,1581278820,1581378840,1581438000,1581544140,1581580320,1581710460,1581796800,1581882840,1581969120,1582055940,1582088400,1582174800,1582315440,1582401240,1582484760,1582603200,1582659960,1582736460,1582834680,1582918620,1583006460,1583092260,1583208000,1583269080,1583298000,1583426520,1583522700,1583611320,1583697540,1583783400,1583870760,1583950740,1584043800,1584119520,1584216180,1584293580,1584388920
