,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,39.9078,39.9078,39.9078,39.9078,39.9078,39.9078,39.9078,39.9078,39.9078,39.9078,39.9078,39.9078,39.9078,39.9078,39.9078,39.9078,39.9078,39.9078,39.9078,39.9078,39.9078,39.9078,39.9078,39.9078,39.9078,39.9078,39.9078,39.9078,39.9078,39.9078,39.9078,39.9078,39.9078,39.9078,39.9078,39.9078,39.9078,39.9078,39.9078,39.9078,39.9078,39.9078,39.9078,39.9078,39.9078,39.9078,39.9078,39.9078,39.9078,39.9078,39.9078,39.9078,39.9078,39.9078,39.9078
Long,-75.3879,-75.3879,-75.3879,-75.3879,-75.3879,-75.3879,-75.3879,-75.3879,-75.3879,-75.3879,-75.3879,-75.3879,-75.3879,-75.3879,-75.3879,-75.3879,-75.3879,-75.3879,-75.3879,-75.3879,-75.3879,-75.3879,-75.3879,-75.3879,-75.3879,-75.3879,-75.3879,-75.3879,-75.3879,-75.3879,-75.3879,-75.3879,-75.3879,-75.3879,-75.3879,-75.3879,-75.3879,-75.3879,-75.3879,-75.3879,-75.3879,-75.3879,-75.3879,-75.3879,-75.3879,-75.3879,-75.3879,-75.3879,-75.3879,-75.3879,-75.3879,-75.3879,-75.3879,-75.3879,-75.3879
Province/State,"Delaware County, PA","Delaware County, PA","Delaware County, PA","Delaware County, PA","Delaware County, PA","Delaware County, PA","Delaware County, PA","Delaware County, PA","Delaware County, PA","Delaware County, PA","Delaware County, PA","Delaware County, PA","Delaware County, PA","Delaware County, PA","Delaware County, PA","Delaware County, PA","Delaware County, PA","Delaware County, PA","Delaware County, PA","Delaware County, PA","Delaware County, PA","Delaware County, PA","Delaware County, PA","Delaware County, PA","Delaware County, PA","Delaware County, PA","Delaware County, PA","Delaware County, PA","Delaware County, PA","Delaware County, PA","Delaware County, PA","Delaware County, PA","Delaware County, PA","Delaware County, PA","Delaware County, PA","Delaware County, PA","Delaware County, PA","Delaware County, PA","Delaware County, PA","Delaware County, PA","Delaware County, PA","Delaware County, PA","Delaware County, PA","Delaware County, PA","Delaware County, PA","Delaware County, PA","Delaware County, PA","Delaware County, PA","Delaware County, PA","Delaware County, PA","Delaware County, PA","Delaware County, PA","Delaware County, PA","Delaware County, PA","Delaware County, PA"
apparentTemperatureHigh,40.35,45.04,53.66,48.01,41.45,39.16,36.94,38.51,37.49,45.33,44.35,36.65,60.48,62.38,40.58,42.53,57.47,36.47,44.27,40.34,47.84,45.66,44.46,26.97,27.49,46.46,52.02,59.84,45.27,34.06,31.62,51.29,56.74,60.79,46.84,51.27,32.62,34.08,25.72,40.27,63.14,57.44,57.77,54.12,39.59,41.35,59.21,70.89,66.14,58.19,57.74,70.53,57.4,54.7,45.86
apparentTemperatureHighTime,1579723020,1579806720,1579893600,1579978740,1580066340,1580154600,1580240880,1580327640,1580411400,1580498820,1580586960,1580658720,1580759820,1580847600,1580932200,1581018960,1581086820,1581190620,1581277560,1581379200,1581451620,1581531180,1581613380,1581681600,1581786000,1581884820,1581970320,1582055880,1582139580,1582228920,1582315800,1582402800,1582487640,1582572120,1582659600,1582746360,1582832400,1582927500,1583004480,1583094600,1583178480,1583257680,1583352720,1583438280,1583511000,1583611500,1583698200,1583783220,1583872080,1583955540,1584043200,1584129240,1584215820,1584302400,1584382080
apparentTemperatureLow,21.97,29.56,34.85,29.98,29.67,30.52,27.76,18.94,27.86,33.1,29.37,30.19,42.22,33.19,31.18,39.5,23.42,28.01,34.16,40.34,32.83,32.11,24.74,8.67,20.48,30.77,31.91,35.89,25.72,12.7,18.3,26.55,29.3,42.88,43.62,28.59,20.86,19.69,19.27,27.23,42.7,38.26,34.66,30.83,26.49,24.69,35.64,46.76,40.19,39.31,45.18,38.83,37.34,28.27,37.15
apparentTemperatureLowTime,1579777860,1579860060,1579936620,1580035620,1580116200,1580206020,1580294340,1580383560,1580450760,1580544240,1580641740,1580717820,1580802420,1580907600,1580967000,1581040500,1581155460,1581249240,1581307560,1581379200,1581508200,1581563520,1581685200,1581760260,1581822480,1581939840,1582019760,1582117200,1582197000,1582280460,1582365600,1582458120,1582544520,1582617000,1582722000,1582808400,1582886100,1582974360,1583056740,1583145840,1583235780,1583320440,1583405820,1583489700,1583585220,1583661660,1583750340,1583833140,1583926020,1583999640,1584067260,1584183420,1584270360,1584356280,1584412800
apparentTemperatureMax,40.35,45.04,53.66,48.01,41.45,39.16,36.94,38.51,37.49,45.33,44.35,36.65,60.48,62.38,53.12,42.59,57.47,36.47,44.27,43.92,47.84,45.66,44.46,33.82,27.49,46.46,52.02,59.84,47.22,34.06,31.62,51.29,56.74,60.79,46.84,51.27,42.85,34.08,25.72,40.27,63.14,57.44,57.77,54.12,39.59,41.35,59.21,70.89,66.14,58.19,57.74,70.53,57.4,54.7,45.86
apparentTemperatureMaxTime,1579723020,1579806720,1579893600,1579978740,1580066340,1580154600,1580240880,1580327640,1580411400,1580498820,1580586960,1580658720,1580759820,1580847600,1580878800,1581048000,1581086820,1581190620,1581277560,1581393600,1581451620,1581531180,1581613380,1581658800,1581786000,1581884820,1581970320,1582055880,1582088400,1582228920,1582315800,1582402800,1582487640,1582572120,1582659600,1582746360,1582783020,1582927500,1583004480,1583094600,1583178480,1583257680,1583352720,1583438280,1583511000,1583611500,1583698200,1583783220,1583872080,1583955540,1584043200,1584129240,1584215820,1584302400,1584382080
apparentTemperatureMin,20.38,21.97,29.56,34.85,29.98,29.67,30.52,25.13,18.94,27.86,33.1,29.37,30.19,42.22,32.88,31.18,24.23,23.42,28.01,34.31,40.53,32.11,33,11.24,8.67,21.01,30.77,31.91,30.83,21.1,12.7,18.3,26.55,29.3,42.88,40.16,21.47,20.86,19.69,19.27,27.23,42.7,38.26,34.66,30.46,26.49,24.69,35.64,46.76,40.19,39.31,45.34,38.83,37.34,28.27
apparentTemperatureMinTime,1579693500,1579777860,1579860060,1579936620,1580035620,1580116200,1580206020,1580356800,1580383560,1580450760,1580544240,1580641740,1580717820,1580802420,1580910120,1580967000,1581134400,1581155460,1581249240,1581310800,1581480000,1581563520,1581570000,1581739200,1581760260,1581829200,1581939840,1582019760,1582171200,1582257600,1582280460,1582365600,1582458120,1582544520,1582617000,1582772460,1582862400,1582886100,1582974360,1583056740,1583145840,1583235780,1583320440,1583405820,1583550000,1583585220,1583661660,1583750340,1583833140,1583926020,1583999640,1584072000,1584183420,1584270360,1584356280
cloudCover,0.03,0.66,0.47,0.77,0.26,0.48,0.35,0.14,0.27,0.76,0.87,0.6,0.31,0.72,0.98,1,0.76,0.13,0.3,0.87,0.93,0.72,0.93,0.14,0.18,0.51,0.28,0.61,0.43,0.63,0.05,0,0,0.39,0.98,0.95,0.37,0.35,0.3,0.07,0.35,0.63,0.17,0.36,0.68,0.33,0,0.13,0.55,0.46,0.63,0.72,0.35,0.4,0.31
dewPoint,15.87,19.41,29.88,41.43,31.84,30.51,27.87,21.17,17.65,29.86,34.19,32.76,35.83,45.63,31.97,37.13,38.79,21.95,25.93,37.56,43.73,27.28,38.18,14.34,4.52,25.69,27.04,38.05,25.03,14.01,7.49,10.79,16.43,29.5,43.47,44.08,24.53,18.26,12.9,15.91,31.21,46.9,32.1,26.97,34.18,22.72,20.75,29.5,46.16,34.74,38.45,45.01,23.39,31.87,25.64
humidity,0.59,0.6,0.66,0.89,0.74,0.72,0.66,0.54,0.59,0.76,0.87,0.83,0.71,0.81,0.68,0.89,0.83,0.59,0.66,0.82,0.91,0.58,0.86,0.51,0.45,0.66,0.58,0.72,0.49,0.46,0.43,0.37,0.42,0.59,0.91,0.9,0.6,0.51,0.48,0.47,0.56,0.88,0.51,0.5,0.86,0.55,0.43,0.43,0.66,0.56,0.72,0.7,0.36,0.62,0.53
icon,clear-day,partly-cloudy-day,partly-cloudy-day,rain,clear-day,rain,partly-cloudy-day,clear-day,clear-day,snow,rain,rain,clear-day,rain,rain,rain,rain,clear-day,clear-day,rain,rain,rain,rain,clear-day,clear-day,partly-cloudy-day,clear-day,rain,partly-cloudy-day,partly-cloudy-day,clear-day,clear-day,clear-day,partly-cloudy-day,rain,rain,rain,partly-cloudy-day,clear-day,clear-day,rain,rain,clear-day,partly-cloudy-day,rain,rain,clear-day,clear-day,rain,partly-cloudy-day,rain,rain,partly-cloudy-day,rain,clear-day
moonPhase,0.94,0.97,0.01,0.04,0.07,0.1,0.13,0.16,0.19,0.22,0.25,0.28,0.31,0.35,0.38,0.42,0.45,0.49,0.53,0.57,0.61,0.64,0.68,0.72,0.75,0.79,0.82,0.86,0.89,0.92,0.95,0.98,0.01,0.04,0.07,0.1,0.13,0.16,0.2,0.23,0.26,0.29,0.33,0.36,0.4,0.44,0.47,0.51,0.55,0.59,0.63,0.67,0.7,0.74,0.77
ozone,336.3,317.4,327.5,359.4,377,370.5,360.6,358.5,357.2,354.8,357.1,384,335.4,294,320.1,319.2,335.4,368.2,334.9,321.8,302.1,295,293.9,344.7,331.1,332.8,343.8,322.9,323,343.5,431.3,359.7,342.7,327.9,300.7,299.1,359,397.5,429,375.2,349.9,380.8,366.9,335.7,382.9,398.5,341.3,336.6,344.5,381.3,358.6,340.1,312.5,323.3,351.4
precipAccumulation,0.08,0.12,,,,,,,0.12,0.05,,,,,,,,0.07,0.06,,,,,,0.27,0.07,,,,0.15,0.19,0.07,,,,,,0.02,0.12,0.04,,,,,,,0.03,,,,,,,,
precipIntensity,0.0004,0.001,0.0006,0.0669,0.0005,0.0007,0.0007,0.0006,0.0007,0.0011,0.0021,0.0012,0.0006,0.0017,0.0034,0.0272,0.0164,0.0008,0.0008,0.0122,0.0223,0.0038,0.0145,0.0006,0.0008,0.0009,0.0005,0.0011,0.0007,0.0009,0.0009,0.0007,0.0004,0.0007,0.0079,0.0037,0.0107,0.0002,0.0006,0.0004,0.0012,0.0081,0.0005,0.0006,0.0157,0.0014,0.0006,0.0008,0.0021,0.0008,0.0015,0.0141,0.0008,0.0019,0.0006
precipIntensityMax,0.0015,0.0017,0.0027,0.2987,0.0019,0.002,0.002,0.002,0.002,0.0086,0.0115,0.0056,0.0022,0.0086,0.011,0.0678,0.0969,0.0024,0.0022,0.0324,0.0745,0.0315,0.0486,0.0017,0.002,0.0021,0.0018,0.002,0.002,0.002,0.0021,0.0021,0.002,0.0021,0.0347,0.0336,0.0783,0.0014,0.002,0.002,0.0118,0.0441,0.002,0.0018,0.0468,0.0064,0.0021,0.0021,0.0089,0.004,0.0064,0.141,0.0019,0.0091,0.0018
precipIntensityMaxTime,1579682820,1579792380,1579924680,1579961520,1580088060,1580115600,1580244420,1580289240,1580421600,1580519040,1580612280,1580670300,1580755920,1580827620,1580897460,1581029880,1581084180,1581178380,1581246060,1581372660,1581414780,1581562800,1581620340,1581674040,1581765540,1581898920,1581998400,1582027440,1582167720,1582222800,1582261200,1582401600,1582452780,1582588800,1582646940,1582776000,1582779840,1582909200,1582977600,1583082000,1583208000,1583266020,1583366400,1583413620,1583527020,1583557200,1583722020,1583748240,1583894340,1583899200,1584064800,1584093840,1584158400,1584255360,1584366960
precipProbability,0.04,0.07,0.16,0.99,0.2,0.27,0.2,0.05,0.04,0.28,0.68,0.6,0.12,0.47,0.78,0.99,0.93,0.09,0.13,0.99,0.99,0.63,0.94,0.1,0.03,0.09,0.1,0.34,0.17,0.1,0.11,0.03,0.03,0.1,0.87,0.57,0.9,0.12,0.09,0.07,0.25,0.84,0.16,0.06,0.98,0.58,0.04,0.02,0.43,0.12,0.27,0.93,0.09,0.47,0.05
precipType,snow,snow,rain,rain,rain,rain,rain,rain,snow,snow,rain,rain,rain,rain,rain,rain,rain,snow,snow,rain,rain,rain,rain,rain,snow,snow,rain,rain,rain,snow,snow,snow,rain,rain,rain,rain,rain,snow,snow,snow,rain,rain,rain,rain,rain,rain,snow,rain,rain,rain,rain,rain,rain,rain,rain
pressure,1031.4,1028.9,1025.8,1012,1010.9,1008,1011.8,1018.7,1025.3,1025.1,1013.2,1002.6,1009.7,1009.2,1014.9,1002.5,991.5,1021.5,1030.7,1021.5,1013.2,1020.7,1007.3,1025.7,1034.4,1021.9,1023.8,1021.1,1024.1,1030.5,1031.8,1025.9,1022.3,1016.4,1010.9,1010.6,1004.6,1012.1,1014.3,1021.5,1014.2,1004.5,1009.4,1019.1,1011.9,1023.5,1031.2,1027.8,1018.9,1018.9,1018.8,1012.1,1026.5,1030.4,1032.5
summary,Clear throughout the day.,Mostly cloudy throughout the day.,Possible light rain overnight.,Rain in the morning and afternoon.,Partly cloudy throughout the day.,Mostly cloudy throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Mostly cloudy throughout the day.,Drizzle in the evening and overnight.,Possible drizzle in the afternoon.,Clear throughout the day.,Possible drizzle overnight.,Light rain in the morning and overnight.,Light rain throughout the day.,Light rain in the morning and afternoon.,Clear throughout the day.,Clear throughout the day.,Light rain throughout the day.,Light rain in the morning and afternoon.,Light rain in the evening and overnight.,Light rain in the morning and afternoon.,Clear throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Mostly cloudy throughout the day.,Clear throughout the day.,Mostly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Light rain until evening.,Light rain in the evening and overnight.,Light rain in the morning.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Possible light rain overnight.,Light rain starting in the afternoon.,Clear throughout the day.,Clear throughout the day.,Light rain throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Mostly cloudy throughout the day.,Partly cloudy throughout the day.,Possible drizzle overnight.,Rain in the morning.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.
sunriseTime,1579695540,1579781880,1579868280,1579954620,1580040960,1580127360,1580213700,1580300040,1580386380,1580472720,1580559060,1580645400,1580731740,1580818080,1580904420,1580990760,1581077100,1581163440,1581249780,1581336120,1581422460,1581508800,1581595080,1581681420,1581767760,1581854100,1581940380,1582026720,1582113060,1582199340,1582285680,1582372020,1582458300,1582544640,1582630920,1582717260,1582803600,1582889880,1582976220,1583062500,1583148840,1583235120,1583321460,1583407740,1583494020,1583580360,1583666640,1583752980,1583839260,1583925600,1584011880,1584098160,1584184500,1584270780,1584357120
sunsetTime,1579730940,1579817460,1579903920,1579990380,1580076840,1580163300,1580249820,1580336280,1580422740,1580509200,1580595660,1580682180,1580768640,1580855100,1580941560,1581028020,1581114540,1581201000,1581287460,1581373920,1581460380,1581546900,1581633360,1581719820,1581806280,1581892740,1581979260,1582065720,1582152180,1582238640,1582325100,1582411560,1582498020,1582584540,1582671000,1582757460,1582843920,1582930380,1583016840,1583103300,1583189760,1583276220,1583362680,1583449200,1583535660,1583622120,1583708580,1583795040,1583881500,1583967960,1584054420,1584140880,1584227340,1584313800,1584400260
temperatureHigh,40.85,45.54,54.16,50.26,46.76,44.75,43.28,43.92,38.8,46.68,44.85,42.87,60.98,62.88,43.81,43.86,57.96,42.37,47.45,44.22,49.97,47.61,47.43,34.83,33.4,49.09,52.52,60.34,50.33,37.81,36.43,51.45,57.24,61.29,48.49,51.61,41.62,41.1,35.13,45.68,63.64,57.94,58.27,54.62,43,47.25,59.71,71.39,66.64,58.69,58.24,71.03,57.9,55.2,49.59
temperatureHighTime,1579723020,1579806720,1579893600,1579979460,1580065800,1580154120,1580240460,1580327160,1580414280,1580500500,1580586960,1580659380,1580759820,1580847600,1580931900,1581029940,1581086880,1581189960,1581278100,1581360300,1581453900,1581536520,1581613500,1581681600,1581796860,1581885420,1581970320,1582055880,1582139280,1582228980,1582316160,1582401960,1582487640,1582572120,1582658940,1582746960,1582832400,1582920240,1583004300,1583093880,1583178480,1583257680,1583352720,1583438280,1583511240,1583611320,1583698200,1583783220,1583872080,1583955540,1584043200,1584129240,1584215820,1584302400,1584381960
temperatureLow,21.48,29.07,40.52,33.88,33.55,35.29,32.44,23.91,27.37,32.61,33.21,33.56,41.73,37.94,34.9,42.55,29.55,27.52,37.97,42.78,35.85,36.5,32.55,13.62,25.97,33.27,35.61,40.45,28.62,20.29,23.59,26.06,28.81,43.15,43.96,37.29,27.98,25.96,24.9,30.94,42.16,42.84,37.23,33.39,34.63,28.2,38.81,48.86,42.69,38.82,47.75,41.84,39.41,33.13,40.06
temperatureLowTime,1579777860,1579860060,1579932420,1580035620,1580105820,1580206140,1580294160,1580385000,1580450760,1580544240,1580644020,1580717280,1580802420,1580907600,1580970660,1581034260,1581162240,1581249240,1581303480,1581379200,1581508320,1581575520,1581685200,1581767160,1581823620,1581940200,1582012860,1582116840,1582199760,1582279740,1582365480,1582458120,1582544520,1582628520,1582711020,1582808400,1582885020,1582973580,1583062920,1583145660,1583235480,1583321400,1583407800,1583488860,1583583120,1583661000,1583749800,1583833320,1583925960,1583999640,1584071100,1584183840,1584266820,1584356040,1584442680
