,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,Cameroon,Cameroon,Cameroon,Cameroon,Cameroon,Cameroon,Cameroon,Cameroon,Cameroon,Cameroon,Cameroon,Cameroon,Cameroon,Cameroon,Cameroon,Cameroon,Cameroon,Cameroon,Cameroon,Cameroon,Cameroon,Cameroon,Cameroon,Cameroon,Cameroon,Cameroon,Cameroon,Cameroon,Cameroon,Cameroon,Cameroon,Cameroon,Cameroon,Cameroon,Cameroon,Cameroon,Cameroon,Cameroon,Cameroon,Cameroon,Cameroon,Cameroon,Cameroon,Cameroon,Cameroon,Cameroon,Cameroon,Cameroon,Cameroon,Cameroon,Cameroon,Cameroon,Cameroon,Cameroon,Cameroon
Lat,3.8480000000000003,3.8480000000000003,3.8480000000000003,3.8480000000000003,3.8480000000000003,3.8480000000000003,3.8480000000000003,3.8480000000000003,3.8480000000000003,3.8480000000000003,3.8480000000000003,3.8480000000000003,3.8480000000000003,3.8480000000000003,3.8480000000000003,3.8480000000000003,3.8480000000000003,3.8480000000000003,3.8480000000000003,3.8480000000000003,3.8480000000000003,3.8480000000000003,3.8480000000000003,3.8480000000000003,3.8480000000000003,3.8480000000000003,3.8480000000000003,3.8480000000000003,3.8480000000000003,3.8480000000000003,3.8480000000000003,3.8480000000000003,3.8480000000000003,3.8480000000000003,3.8480000000000003,3.8480000000000003,3.8480000000000003,3.8480000000000003,3.8480000000000003,3.8480000000000003,3.8480000000000003,3.8480000000000003,3.8480000000000003,3.8480000000000003,3.8480000000000003,3.8480000000000003,3.8480000000000003,3.8480000000000003,3.8480000000000003,3.8480000000000003,3.8480000000000003,3.8480000000000003,3.8480000000000003,3.8480000000000003,3.8480000000000003
Long,11.5021,11.5021,11.5021,11.5021,11.5021,11.5021,11.5021,11.5021,11.5021,11.5021,11.5021,11.5021,11.5021,11.5021,11.5021,11.5021,11.5021,11.5021,11.5021,11.5021,11.5021,11.5021,11.5021,11.5021,11.5021,11.5021,11.5021,11.5021,11.5021,11.5021,11.5021,11.5021,11.5021,11.5021,11.5021,11.5021,11.5021,11.5021,11.5021,11.5021,11.5021,11.5021,11.5021,11.5021,11.5021,11.5021,11.5021,11.5021,11.5021,11.5021,11.5021,11.5021,11.5021,11.5021,11.5021
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparentTemperatureHigh,92.39,92.02,89.77,90.74,91.33,91.68,92.68,92.36,90.98,92.31,91.9,93.11,91.78,92.32,87.45,90.18,92.25,94.75,93.13,92.11,95.28,93.62,93.33,94.29,94.94,95.36,97.47,93.74,93.77,95.39,94.52,96.44,95.9,96.07,96.31,94.58,99.25,99.18,96.3,97.79,95.68,96.1,97.03,100.74,99.25,93.39,96.98,96.91,99.07,95.73,98.14,98.51,94.56,94.23,97.01
apparentTemperatureHighTime,1579701000,1579787940,1579877640,1579961100,1580047440,1580130540,1580219400,1580306220,1580392320,1580475600,1580562180,1580648700,1580727960,1580822700,1580896920,1580986260,1581083640,1581169440,1581249600,1581342900,1581429780,1581513840,1581602460,1581688680,1581774900,1581858300,1581937500,1582024920,1582120620,1582206540,1582286280,1582376880,1582462920,1582549440,1582632480,1582722120,1582801320,1582889040,1582981080,1583066820,1583157120,1583233500,1583320560,1583411700,1583493720,1583575380,1583671260,1583761980,1583844300,1583933580,1584011160,1584107280,1584187380,1584277140,1584360360
apparentTemperatureLow,67.25,60.31,56.37,55.9,62.07,65.21,68.94,68.94,70.81,70.67,69.46,72.14,71.69,70.44,67.99,64.85,69.61,71.69,69.51,67.14,70.08,65.69,68.04,67.86,70.66,73.16,69.82,68.18,69.55,73.03,71.73,72.95,71.9,70.66,70.32,69.16,70.93,72.45,73.71,71.72,70.19,73.05,70.75,72.97,72.83,68.82,70.42,72.79,74.37,71.29,70.99,70.92,70.16,71.71,73.37
apparentTemperatureLowTime,1579753560,1579838640,1579925160,1580012760,1580083800,1580173200,1580273940,1580360760,1580431860,1580535960,1580600280,1580706360,1580795460,1580878740,1580968080,1581055080,1581138300,1581226560,1581313380,1581397500,1581476040,1581570300,1581656040,1581725100,1581829260,1581915660,1581990900,1582085100,1582161360,1582260420,1582344300,1582426680,1582520220,1582607100,1582689420,1582780440,1582866180,1582951920,1583038440,1583127900,1583208120,1583294580,1583385060,1583473320,1583541840,1583632980,1583726040,1583818680,1583891820,1583985660,1584075180,1584153360,1584245280,1584334500,1584423720
apparentTemperatureMax,92.39,92.02,89.77,90.74,91.33,91.68,92.68,92.36,90.98,92.31,91.9,93.11,91.78,92.32,87.45,90.18,92.25,94.75,93.13,92.11,95.28,93.62,93.33,94.29,94.94,95.36,97.47,93.74,93.77,95.39,94.52,96.44,95.9,96.07,96.31,94.58,99.25,99.18,96.3,97.79,95.68,96.1,97.03,100.74,99.25,93.39,96.98,96.91,99.07,95.73,98.14,98.51,94.56,94.23,97.01
apparentTemperatureMaxTime,1579701000,1579787940,1579877640,1579961100,1580047440,1580130540,1580219400,1580306220,1580392320,1580475600,1580562180,1580648700,1580727960,1580822700,1580896920,1580986260,1581083640,1581169440,1581249600,1581342900,1581429780,1581513840,1581602460,1581688680,1581774900,1581858300,1581937500,1582024920,1582120620,1582206540,1582286280,1582376880,1582462920,1582549440,1582632480,1582722120,1582801320,1582889040,1582981080,1583066820,1583157120,1583233500,1583320560,1583411700,1583493720,1583575380,1583671260,1583761980,1583844300,1583933580,1584011160,1584107280,1584187380,1584277140,1584360360
