,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,Iraq,Iraq,Iraq,Iraq,Iraq,Iraq,Iraq,Iraq,Iraq,Iraq,Iraq,Iraq,Iraq,Iraq,Iraq,Iraq,Iraq,Iraq,Iraq,Iraq,Iraq,Iraq,Iraq,Iraq,Iraq,Iraq,Iraq,Iraq,Iraq,Iraq,Iraq,Iraq,Iraq,Iraq,Iraq,Iraq,Iraq,Iraq,Iraq,Iraq,Iraq,Iraq,Iraq,Iraq,Iraq,Iraq,Iraq,Iraq,Iraq,Iraq,Iraq,Iraq,Iraq,Iraq,Iraq
Lat,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0
Long,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparentTemperatureHigh,51.92,56.22,59,54.41,58.05,62.14,63.1,65.28,65.86,69.4,58.88,58.8,60.51,64.79,70.36,76.47,74.74,66.3,56.1,38.92,39.2,52.57,66.16,65.42,66.59,69.12,68.43,73.41,73.93,66.97,70.68,77.04,73.73,77.38,65.76,60.84,70.03,72.98,76.6,67.6,68.67,71.43,73.69,77.9,82.02,72.36,79.1,83.33,83.39,85.39,86.32,85.75,70.11,73.05,75.17
apparentTemperatureHighTime,1579688340,1579777380,1579870200,1579954380,1580039580,1580122980,1580209380,1580299320,1580382300,1580468580,1580554980,1580638020,1580727600,1580814360,1580900760,1580987280,1581073320,1581160080,1581241800,1581338580,1581419220,1581508200,1581592260,1581674640,1581764700,1581850860,1581939540,1582024500,1582110480,1582197060,1582289400,1582369560,1582455420,1582538580,1582636380,1582714980,1582808220,1582890720,1582974240,1583056500,1583147040,1583229720,1583319240,1583406060,1583489700,1583587140,1583665560,1583751720,1583834760,1583927880,1584007980,1584093720,1584178320,1584277920,1584356760
apparentTemperatureLow,43.71,38.35,41.39,37.88,34.89,42.24,44.25,42.64,41.35,43.55,41.7,36.79,39.08,40.22,44.05,51.13,51.84,43.27,27.67,28.39,27.36,31.75,39.04,40.16,39.51,51.36,43.77,54.63,52.28,46.54,53.15,53.75,56.18,61.19,51.22,43.12,46.07,49.21,53.05,51.49,45.65,44.18,45.96,50.71,61.38,53.48,58.78,55.42,59.93,60.86,67.02,60.6,56.17,57.68,58.06
apparentTemperatureLowTime,1579741740,1579823760,1579905660,1580004600,1580090340,1580176680,1580255820,1580349900,1580440980,1580523240,1580613780,1580695380,1580782440,1580868360,1580954760,1581040980,1581127620,1581217980,1581308520,1581385800,1581477240,1581551460,1581646080,1581731820,1581819420,1581904860,1581991140,1582077060,1582163700,1582251060,1582329180,1582423620,1582495380,1582596000,1582693200,1582771740,1582854480,1582941720,1583028180,1583115180,1583201820,1583286300,1583373540,1583460300,1583547960,1583632920,1583711880,1583805900,1583892360,1583978640,1584065280,1584151980,1584237600,1584325260,1584410400
apparentTemperatureMax,51.92,56.22,59,54.41,58.05,62.14,63.1,65.28,65.86,69.4,58.88,58.8,60.51,64.79,70.36,76.47,74.74,66.3,56.88,38.92,39.2,52.57,66.16,65.42,66.59,69.12,68.43,73.41,73.93,66.97,70.68,77.04,73.73,77.38,65.76,60.84,70.03,72.98,76.6,67.6,68.67,71.43,73.69,77.9,82.02,72.36,79.1,83.33,83.39,85.39,86.32,85.75,70.11,73.05,75.17
apparentTemperatureMaxTime,1579688340,1579777380,1579870200,1579954380,1580039580,1580122980,1580209380,1580299320,1580382300,1580468580,1580554980,1580638020,1580727600,1580814360,1580900760,1580987280,1581073320,1581160080,1581195600,1581338580,1581419220,1581508200,1581592260,1581674640,1581764700,1581850860,1581939540,1582024500,1582110480,1582197060,1582289400,1582369560,1582455420,1582538580,1582636380,1582714980,1582808220,1582890720,1582974240,1583056500,1583147040,1583229720,1583319240,1583406060,1583489700,1583587140,1583665560,1583751720,1583834760,1583927880,1584007980,1584093720,1584178320,1584277920,1584356760
apparentTemperatureMin,43.92,43.12,38.35,41.39,37.88,34.89,42.24,44.25,42.64,41.35,43.55,41.7,36.79,39.08,40.22,44.05,51.13,51.84,36.9,27.67,28.39,27.36,31.75,39.04,40.16,39.51,51.36,43.77,54.63,52.28,46.54,53.15,53.75,56.18,57.63,50.33,43.12,46.07,49.21,53.05,51.49,45.65,44.18,45.96,50.71,61.14,53.48,58.78,55.42,59.93,60.86,67.02,60.6,56.17,57.68
apparentTemperatureMinTime,1579669680,1579809600,1579823760,1579905660,1580004600,1580090340,1580176680,1580255820,1580349900,1580440980,1580523240,1580613780,1580695380,1580782440,1580868360,1580954760,1581040980,1581127620,1581278400,1581308520,1581385800,1581477240,1581551460,1581646080,1581731820,1581819420,1581904860,1581991140,1582077060,1582163700,1582251060,1582329180,1582423620,1582495380,1582660800,1582747200,1582771740,1582854480,1582941720,1583028180,1583115180,1583201820,1583286300,1583373540,1583460300,1583611200,1583632920,1583711880,1583805900,1583892360,1583978640,1584065280,1584151980,1584237600,1584325260
cloudCover,0.9,0.34,0.55,0.65,0,0.08,0.8,0.64,0,0.1,0.4,0.28,0,0.29,0,0,0,0.24,0.47,0.39,0.54,0.35,0.28,0.12,0.95,0.82,0.37,0.26,0.98,0.53,0.11,0.38,0.26,1,0.89,0.23,0.01,0.69,0,0.13,0,0,0,0,0.13,0.48,0.02,0.01,0.19,0.62,0.85,0.99,0.69,0.52,0.47
dewPoint,45.35,40.86,38.89,40.1,36.67,38.86,40.32,39.05,38.88,38.37,27.89,34.68,33.63,33.36,33.13,33.83,39.04,36.5,28.89,2.27,13.15,13.51,14.29,27.63,20.9,28.51,46.22,47.02,48.66,47.67,43.65,38.43,43.98,45.98,58.97,43.08,40.91,42.04,40.84,38.89,37.92,36.62,37.18,35.93,32.1,43.01,41.87,37.63,33.53,30.99,30.54,23.28,50.92,55.09,51.2
humidity,0.85,0.72,0.67,0.73,0.63,0.69,0.67,0.57,0.6,0.55,0.38,0.55,0.58,0.53,0.46,0.41,0.44,0.47,0.44,0.22,0.38,0.35,0.24,0.4,0.3,0.39,0.64,0.65,0.61,0.66,0.59,0.43,0.54,0.51,0.89,0.64,0.59,0.54,0.5,0.48,0.48,0.46,0.45,0.41,0.32,0.43,0.47,0.36,0.31,0.24,0.22,0.17,0.6,0.75,0.6
icon,rain,rain,rain,rain,clear-day,clear-day,partly-cloudy-day,partly-cloudy-day,clear-day,clear-day,partly-cloudy-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,clear-day,clear-day,cloudy,partly-cloudy-day,rain,clear-day,cloudy,rain,clear-day,partly-cloudy-day,clear-day,cloudy,rain,rain,clear-day,partly-cloudy-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,wind,wind,clear-day,clear-day,clear-day,partly-cloudy-day,partly-cloudy-day,cloudy,rain,rain,partly-cloudy-day
moonPhase,0.93,0.96,1,0.03,0.06,0.09,0.12,0.15,0.18,0.21,0.24,0.27,0.3,0.34,0.37,0.41,0.44,0.48,0.52,0.56,0.59,0.63,0.67,0.71,0.74,0.78,0.81,0.84,0.88,0.91,0.94,0.97,0,0.03,0.06,0.09,0.12,0.15,0.18,0.22,0.25,0.28,0.31,0.35,0.39,0.42,0.46,0.5,0.54,0.58,0.62,0.66,0.69,0.73,0.76
ozone,387.7,369,356.3,361.3,302.9,292.3,299.5,342.5,363.6,361.8,362.9,335.2,308.8,319.2,306.9,291,284.6,301.8,319.5,347.7,374.5,342,328.2,330.6,316.1,318.9,322.6,306.4,309.8,321.7,308.2,326,315.3,293.4,306.2,324,291,289,306.9,307,311.8,305.3,298.6,289.8,299.1,355.1,311.7,309.2,317.2,307.6,302.5,309.2,353.5,323.8,308.4
precipIntensity,0.0241,0.0016,0.0165,0.004,0.0001,0.0001,0,0.0004,0.0001,0.0001,0.0001,0.0001,0,0.0001,0.0001,0.0001,0.0001,0,0.0003,0.0002,0.0005,0.0001,0.0001,0.0001,0.0001,0.0006,0.0011,0.0011,0.0013,0.002,0.0001,0.0005,0.0001,0.0001,0.0171,0.011,0,0.0001,0,0.0001,0.0001,0.0001,0,0.0001,0.0003,0.0004,0.0001,0.0001,0,0.0002,0.0002,0.0016,0.0062,0.002,0
precipIntensityMax,0.0617,0.0097,0.1176,0.0535,0.0003,0.0004,0.0002,0.0017,0.0003,0.0002,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0016,0.001,0.0032,0.0004,0.0004,0.0003,0.0003,0.0091,0.0147,0.0059,0.012,0.0171,0.0003,0.0032,0.0003,0.0005,0.0703,0.0848,0.0003,0.0003,0.0003,0.0003,0.0002,0.0002,0.0002,0.0003,0.0017,0.0024,0.0005,0.0003,0,0.0004,0.0004,0.0124,0.0319,0.0123,0.0001
precipIntensityMaxTime,1579703160,1579730520,1579889820,1579899600,1580032800,1580119200,1580241600,1580308920,1580365500,1580418000,1580505900,1580590800,1580760000,1580763600,1580915580,1580947200,1581056400,1581152400,1581217140,1581291780,1581390000,1581518820,1581580500,1581692760,1581723360,1581883200,1581886860,1582038420,1582092360,1582167780,1582265460,1582383840,1582412400,1582566840,1582623840,1582674960,1582772400,1582871220,1582977840,1583011620,1583138160,1583183280,1583312400,1583431080,1583507820,1583539320,1583629740,1583765220,1583787600,1583924700,1583992020,1584111780,1584186540,1584219660,1584342000
precipProbability,0.99,0.5,0.85,0.67,0.05,0.04,0.02,0.11,0.05,0.05,0.08,0.04,0.03,0.06,0.02,0.03,0.03,0.02,0.11,0.09,0.14,0.05,0.09,0.03,0.04,0.24,0.5,0.17,0.17,0.67,0.05,0.06,0.05,0.04,0.96,0.83,0.02,0.01,0.02,0.05,0.03,0.03,0.01,0.01,0.03,0.04,0.03,0.01,0,0.04,0.06,0.14,0.86,0.79,0.02
precipType,rain,rain,rain,rain,rain,rain,,rain,rain,rain,rain,rain,,rain,rain,rain,rain,,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,,rain,,rain,rain,rain,,rain,rain,rain,rain,rain,,rain,rain,rain,rain,rain,
pressure,1013.9,1018.9,1016.2,1021.1,1025.9,1024.8,1021.6,1017.3,1021.6,1015,1016.4,1023,1025.3,1020.2,1019.8,1019.1,1013.4,1013.5,1020.9,1023.9,1025.3,1029.2,1025.5,1025.6,1022.5,1016.4,1015.9,1019.1,1010.2,1011.6,1017.3,1015.3,1018.2,1013.7,1006.2,1012.1,1020.9,1017.3,1011.8,1010.3,1017.8,1021.2,1018.6,1016.5,1010.4,1008.1,1015.8,1015.5,1016.3,1015.9,1015.1,1010.4,1008.7,1013.2,1015.6
summary,Light rain throughout the day.,Clear throughout the day.,Rain in the evening and overnight.,Partly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Mostly cloudy throughout the day.,Mostly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Overcast throughout the day.,Possible drizzle overnight.,Clear throughout the day.,Clear throughout the day.,Overcast throughout the day.,Light rain in the morning.,Clear throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Overcast throughout the day.,Light rain throughout the day.,Possible light rain in the morning.,Clear throughout the day.,Overcast throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Dangerously windy in the evening and overnight.,Partly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Mostly cloudy throughout the day.,Overcast throughout the day.,"Windy until morning, starting again in the evening.",Light rain starting in the afternoon.,Possible drizzle in the morning.,Mostly cloudy throughout the day.
sunriseTime,1579665960,1579752360,1579838700,1579925100,1580011440,1580097840,1580184180,1580270580,1580356920,1580443320,1580529660,1580616000,1580702400,1580788740,1580875080,1580961420,1581047820,1581134160,1581220500,1581306840,1581393180,1581479520,1581565860,1581652200,1581738540,1581824880,1581911220,1581997560,1582083900,1582170240,1582256580,1582342920,1582429260,1582515600,1582601940,1582688280,1582774560,1582860900,1582947240,1583033580,1583119920,1583206200,1583292540,1583378880,1583465220,1583551500,1583637840,1583724180,1583810520,1583896800,1583983140,1584069480,1584155760,1584242100,1584328440
sunsetTime,1579703220,1579789680,1579876140,1579962600,1580049060,1580135520,1580221980,1580308440,1580394900,1580481360,1580567820,1580654280,1580740680,1580827140,1580913600,1581000060,1581086520,1581172980,1581259440,1581345900,1581432360,1581518820,1581605280,1581691740,1581778200,1581864660,1581951120,1582037520,1582123980,1582210440,1582296900,1582383360,1582469820,1582556280,1582642680,1582729140,1582815600,1582902060,1582988520,1583074980,1583161380,1583247840,1583334300,1583420760,1583507160,1583593620,1583680080,1583766540,1583852940,1583939400,1584025860,1584112320,1584198720,1584285180,1584371640
temperatureHigh,52.42,56.72,59.5,54.91,58.55,62.64,63.6,65.78,66.36,69.9,59.38,59.3,61.01,65.29,70.86,76.97,75.24,66.8,56.6,45.67,45.99,53.05,66.66,65.92,67.09,69.62,68.93,73.91,74.43,67.47,71.18,77.54,74.23,77.88,66.27,61.34,70.53,73.48,77.1,68.1,69.17,71.93,74.19,78.4,82.52,72.86,79.6,83.83,83.89,85.89,86.82,86.25,70.61,73.55,75.67
temperatureHighTime,1579688340,1579777380,1579870200,1579954380,1580039580,1580122980,1580209380,1580299320,1580382300,1580468580,1580554980,1580638020,1580727600,1580814360,1580900760,1580987280,1581073320,1581160080,1581241800,1581335640,1581419160,1581508560,1581592260,1581674640,1581764700,1581850860,1581939540,1582024500,1582110480,1582197060,1582289400,1582369560,1582455420,1582538580,1582636380,1582714980,1582808220,1582890720,1582974240,1583056500,1583147040,1583229720,1583319240,1583406060,1583489700,1583587140,1583665560,1583751720,1583834760,1583927880,1584007980,1584093720,1584178320,1584277920,1584356760
