,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,38.9085,38.9085,38.9085,38.9085,38.9085,38.9085,38.9085,38.9085,38.9085,38.9085,38.9085,38.9085,38.9085,38.9085,38.9085,38.9085,38.9085,38.9085,38.9085,38.9085,38.9085,38.9085,38.9085,38.9085,38.9085,38.9085,38.9085,38.9085,38.9085,38.9085,38.9085,38.9085,38.9085,38.9085,38.9085,38.9085,38.9085,38.9085,38.9085,38.9085,38.9085,38.9085,38.9085,38.9085,38.9085,38.9085,38.9085,38.9085,38.9085,38.9085,38.9085,38.9085,38.9085,38.9085,38.9085
Long,-77.2405,-77.2405,-77.2405,-77.2405,-77.2405,-77.2405,-77.2405,-77.2405,-77.2405,-77.2405,-77.2405,-77.2405,-77.2405,-77.2405,-77.2405,-77.2405,-77.2405,-77.2405,-77.2405,-77.2405,-77.2405,-77.2405,-77.2405,-77.2405,-77.2405,-77.2405,-77.2405,-77.2405,-77.2405,-77.2405,-77.2405,-77.2405,-77.2405,-77.2405,-77.2405,-77.2405,-77.2405,-77.2405,-77.2405,-77.2405,-77.2405,-77.2405,-77.2405,-77.2405,-77.2405,-77.2405,-77.2405,-77.2405,-77.2405,-77.2405,-77.2405,-77.2405,-77.2405,-77.2405,-77.2405
Province/State,"Fairfax County, VA","Fairfax County, VA","Fairfax County, VA","Fairfax County, VA","Fairfax County, VA","Fairfax County, VA","Fairfax County, VA","Fairfax County, VA","Fairfax County, VA","Fairfax County, VA","Fairfax County, VA","Fairfax County, VA","Fairfax County, VA","Fairfax County, VA","Fairfax County, VA","Fairfax County, VA","Fairfax County, VA","Fairfax County, VA","Fairfax County, VA","Fairfax County, VA","Fairfax County, VA","Fairfax County, VA","Fairfax County, VA","Fairfax County, VA","Fairfax County, VA","Fairfax County, VA","Fairfax County, VA","Fairfax County, VA","Fairfax County, VA","Fairfax County, VA","Fairfax County, VA","Fairfax County, VA","Fairfax County, VA","Fairfax County, VA","Fairfax County, VA","Fairfax County, VA","Fairfax County, VA","Fairfax County, VA","Fairfax County, VA","Fairfax County, VA","Fairfax County, VA","Fairfax County, VA","Fairfax County, VA","Fairfax County, VA","Fairfax County, VA","Fairfax County, VA","Fairfax County, VA","Fairfax County, VA","Fairfax County, VA","Fairfax County, VA","Fairfax County, VA","Fairfax County, VA","Fairfax County, VA","Fairfax County, VA","Fairfax County, VA"
apparentTemperatureHigh,39.79,42.84,50.38,45.97,42.58,45.13,40.15,40.24,41.62,44.66,49.42,53.45,65.04,66.2,40.82,44.77,57.72,39.91,47.37,44.16,54.19,47.82,54.52,29.76,29.91,51.22,54.92,57.88,50.56,37.8,34.88,53.31,57.07,58.85,52.12,51.91,33.01,40.02,28.99,50.22,64.23,63.47,63.18,55.22,50.25,45.9,60.81,73.14,70.53,54.9,63.37,72.74,56.46,48.04,53.87
apparentTemperatureHighTime,1579724160,1579808040,1579892220,1579980540,1580068200,1580151720,1580241360,1580328780,1580412600,1580500560,1580589120,1580679420,1580759760,1580847780,1580904000,1581031320,1581078360,1581190140,1581278400,1581379200,1581450960,1581534300,1581616920,1581681600,1581806820,1581883320,1581967800,1582057860,1582142580,1582236300,1582326420,1582402380,1582487460,1582569960,1582664340,1582739520,1582823220,1582926960,1583020020,1583096520,1583176320,1583271720,1583353560,1583434920,1583521320,1583617500,1583698860,1583783880,1583870400,1583956620,1584039720,1584126360,1584215220,1584306420,1584385680
apparentTemperatureLow,21.94,31.63,41.86,35.86,31.33,32.32,32.45,23.79,32.46,31.28,32.07,48.88,55.9,37.14,33.87,42.1,26.83,29.72,35.32,44.16,36.2,35.69,27.27,15.91,25.55,34.01,37.87,36.49,30.19,14.24,26.32,27.09,32.2,43.49,48.63,27.27,24.5,22.12,24.09,35.74,46.26,43.82,39.12,34.19,30.57,33.34,43.04,56.76,43.38,45.52,48.97,43.03,35.14,32.44,41.3
apparentTemperatureLowTime,1579777140,1579861020,1579929840,1580023560,1580124120,1580208420,1580295240,1580386200,1580470860,1580557860,1580638440,1580733780,1580815440,1580907600,1580953380,1581037140,1581127500,1581223320,1581309480,1581379200,1581508620,1581570240,1581685200,1581760920,1581825480,1581940140,1582018800,1582117200,1582195800,1582285080,1582372260,1582453020,1582543800,1582627560,1582711200,1582808400,1582865880,1582977780,1583045760,1583149680,1583236800,1583320020,1583401080,1583496060,1583580420,1583664060,1583753820,1583832060,1583924460,1584000000,1584082920,1584183660,1584257520,1584354660,1584418140
apparentTemperatureMax,39.79,42.84,50.38,45.97,42.58,45.13,40.15,40.24,41.62,44.66,49.42,53.45,65.04,66.2,59.63,44.77,57.72,39.91,47.37,46.8,54.19,47.82,54.52,37.45,29.91,51.22,54.92,57.88,51.89,37.8,34.88,53.31,57.07,58.85,52.12,51.91,36.26,40.02,28.99,50.22,64.23,63.47,63.18,55.22,50.25,45.9,60.81,73.14,70.53,57.68,63.37,72.74,56.46,48.04,53.87
apparentTemperatureMaxTime,1579724160,1579808040,1579892220,1579980540,1580068200,1580151720,1580241360,1580328780,1580412600,1580500560,1580589120,1580679420,1580759760,1580847780,1580878800,1581031320,1581078360,1581190140,1581278400,1581393600,1581450960,1581534300,1581616920,1581660060,1581806820,1581883320,1581967800,1582057860,1582088400,1582236300,1582326420,1582402380,1582487460,1582569960,1582664340,1582739520,1582779600,1582926960,1583020020,1583096520,1583176320,1583271720,1583353560,1583434920,1583521320,1583617500,1583698860,1583783880,1583870400,1583899200,1584039720,1584126360,1584215220,1584306420,1584385680
