,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,32.7157,32.7157,32.7157,32.7157,32.7157,32.7157,32.7157,32.7157,32.7157,32.7157,32.7157,32.7157,32.7157,32.7157,32.7157,32.7157,32.7157,32.7157,32.7157,32.7157,32.7157,32.7157,32.7157,32.7157,32.7157,32.7157,32.7157,32.7157,32.7157,32.7157,32.7157,32.7157,32.7157,32.7157,32.7157,32.7157,32.7157,32.7157,32.7157,32.7157,32.7157,32.7157,32.7157,32.7157,32.7157,32.7157,32.7157,32.7157,32.7157,32.7157,32.7157,32.7157,32.7157,32.7157,32.7157
Long,-117.1611,-117.1611,-117.1611,-117.1611,-117.1611,-117.1611,-117.1611,-117.1611,-117.1611,-117.1611,-117.1611,-117.1611,-117.1611,-117.1611,-117.1611,-117.1611,-117.1611,-117.1611,-117.1611,-117.1611,-117.1611,-117.1611,-117.1611,-117.1611,-117.1611,-117.1611,-117.1611,-117.1611,-117.1611,-117.1611,-117.1611,-117.1611,-117.1611,-117.1611,-117.1611,-117.1611,-117.1611,-117.1611,-117.1611,-117.1611,-117.1611,-117.1611,-117.1611,-117.1611,-117.1611,-117.1611,-117.1611,-117.1611,-117.1611,-117.1611,-117.1611,-117.1611,-117.1611,-117.1611,-117.1611
Province/State,"San Diego County, CA","San Diego County, CA","San Diego County, CA","San Diego County, CA","San Diego County, CA","San Diego County, CA","San Diego County, CA","San Diego County, CA","San Diego County, CA","San Diego County, CA","San Diego County, CA","San Diego County, CA","San Diego County, CA","San Diego County, CA","San Diego County, CA","San Diego County, CA","San Diego County, CA","San Diego County, CA","San Diego County, CA","San Diego County, CA","San Diego County, CA","San Diego County, CA","San Diego County, CA","San Diego County, CA","San Diego County, CA","San Diego County, CA","San Diego County, CA","San Diego County, CA","San Diego County, CA","San Diego County, CA","San Diego County, CA","San Diego County, CA","San Diego County, CA","San Diego County, CA","San Diego County, CA","San Diego County, CA","San Diego County, CA","San Diego County, CA","San Diego County, CA","San Diego County, CA","San Diego County, CA","San Diego County, CA","San Diego County, CA","San Diego County, CA","San Diego County, CA","San Diego County, CA","San Diego County, CA","San Diego County, CA","San Diego County, CA","San Diego County, CA","San Diego County, CA","San Diego County, CA","San Diego County, CA","San Diego County, CA","San Diego County, CA"
apparentTemperatureHigh,62.87,67.28,64.85,62.95,60.61,65.05,70.15,69.68,70.66,76.25,79.08,65.75,62.35,61.64,61.31,62.63,64.33,64.14,57.92,59.15,65.71,64.01,64.59,64.18,66.22,64.76,64.1,62.62,64.1,71.28,66.71,62.18,63.67,65.45,74.44,74.38,80.64,80.86,66.56,61.12,62.27,71.75,65.44,70.99,66.1,64.85,64.45,70.14,67.37,68.04,63.95,61.28,64.1,63.85,64.43
apparentTemperatureHighTime,1579725120,1579810380,1579893720,1579987860,1580079540,1580159940,1580239680,1580343000,1580417640,1580507160,1580594280,1580667180,1580758860,1580858280,1580939460,1581021000,1581109500,1581190140,1581268500,1581380160,1581452700,1581541620,1581627660,1581720900,1581805500,1581892680,1581979980,1582069680,1582149000,1582239120,1582321800,1582406220,1582495980,1582581300,1582668360,1582758000,1582837020,1582916160,1583003280,1583093100,1583196660,1583276040,1583355720,1583445300,1583535060,1583618520,1583708160,1583788080,1583866800,1583961900,1584057300,1584143580,1584219540,1584312420,1584392220
apparentTemperatureLow,49.31,51.79,51.82,54.33,51.1,50.05,50.02,49.8,49.31,51.92,53.77,57.14,43.9,38.6,42.72,43.68,48.13,56.04,51.71,47.18,46.33,45.95,47.42,46.2,47.12,51.49,55.33,56.24,50.54,53.36,57.45,56.86,52.65,51.81,55.34,53.26,61,52.13,58.13,52.09,48.34,53.26,53.91,55.61,57.45,55.7,51.97,58.78,60.76,58.72,57.34,58.44,54.46,55.64,54.72
apparentTemperatureLowTime,1579790940,1579877880,1579967700,1580053860,1580135940,1580222460,1580309700,1580396100,1580478420,1580568480,1580654520,1580701680,1580827020,1580904180,1580994060,1581084120,1581173220,1581243360,1581343080,1581429180,1581515940,1581599460,1581691620,1581777060,1581864540,1581951420,1582002420,1582126920,1582201200,1582295640,1582381680,1582437480,1582538820,1582641840,1582726380,1582804860,1582897920,1582981020,1583062140,1583143140,1583243460,1583333280,1583419800,1583499300,1583588220,1583675880,1583759520,1583827020,1583936100,1584011040,1584093000,1584194040,1584280680,1584343500,1584453660
apparentTemperatureMax,62.87,67.28,64.85,62.95,60.61,65.05,70.15,69.68,70.66,76.25,79.08,65.75,62.35,61.64,61.31,62.63,64.33,64.14,57.92,59.15,65.71,64.01,64.59,64.18,66.22,64.76,64.1,62.62,64.1,71.28,66.71,62.18,63.67,65.45,74.44,74.38,80.64,80.86,66.56,61.12,62.27,71.75,65.44,70.99,66.1,64.85,64.45,70.14,67.37,68.04,63.95,61.28,64.1,63.85,64.43
apparentTemperatureMaxTime,1579725120,1579810380,1579893720,1579987860,1580079540,1580159940,1580239680,1580343000,1580417640,1580507160,1580594280,1580667180,1580758860,1580858280,1580939460,1581021000,1581109500,1581190140,1581268500,1581380160,1581452700,1581541620,1581627660,1581720900,1581805500,1581892680,1581979980,1582069680,1582149000,1582239120,1582321800,1582406220,1582495980,1582581300,1582668360,1582758000,1582837020,1582916160,1583003280,1583093100,1583196660,1583276040,1583355720,1583445300,1583535060,1583618520,1583708160,1583788080,1583866800,1583961900,1584057300,1584143580,1584219540,1584312420,1584392220
apparentTemperatureMin,53.35,49.31,51.79,51.82,54.33,51.1,50.05,50.02,49.8,49.31,51.92,53.77,56.89,43.9,38.6,42.72,43.68,48.13,53.73,51.71,47.18,46.33,45.95,47.42,46.2,47.12,51.49,55.84,54.53,50.54,53.36,56.45,54.3,52.65,51.81,55.34,53.26,58.9,52.13,53.19,52.09,48.34,53.26,53.91,55.61,57.45,55.7,51.97,58.78,60.76,58.3,57.34,57.86,54.46,55.64
