,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,Iran,Iran,Iran,Iran,Iran,Iran,Iran,Iran,Iran,Iran,Iran,Iran,Iran,Iran,Iran,Iran,Iran,Iran,Iran,Iran,Iran,Iran,Iran,Iran,Iran,Iran,Iran,Iran,Iran,Iran,Iran,Iran,Iran,Iran,Iran,Iran,Iran,Iran,Iran,Iran,Iran,Iran,Iran,Iran,Iran,Iran,Iran,Iran,Iran,Iran,Iran,Iran,Iran,Iran,Iran
Lat,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0
Long,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparentTemperatureHigh,53.81,56.48,51.02,45.24,42.54,50.73,51,53.9,52.82,57.65,60.07,52.57,48.4,57.6,58.43,61.16,64.74,69.48,64.08,58.98,52.71,41.03,57.31,62.54,57.63,64.31,71.5,64.73,70.06,70.07,66.16,68.55,67.51,71.46,79.57,70.13,62.67,71.75,72.75,72.55,71.75,60.92,58.1,64.49,69.49,73.29,64.37,57.21,62.47,67.31,72.94,76.27,76.99,66.29,70.79
apparentTemperatureHighTime,1579689780,1579776660,1579863660,1579946040,1580040120,1580122740,1580209620,1580296320,1580382060,1580468580,1580554740,1580636760,1580728620,1580814060,1580900460,1580987040,1581073560,1581155760,1581241440,1581331740,1581414060,1581508500,1581591960,1581677940,1581760860,1581851100,1581937500,1582020180,1582110300,1582192080,1582283160,1582365960,1582455600,1582538460,1582630320,1582710660,1582801260,1582890540,1582974180,1583056860,1583146140,1583233260,1583319600,1583406000,1583492520,1583578920,1583654940,1583747820,1583838000,1583924520,1584010920,1584097320,1584179280,1584259680,1584356340
apparentTemperatureLow,34.39,21.27,22.6,20.98,20.3,21.23,19.22,27.15,21.12,22.86,31.16,19.39,15.97,23.94,26.4,25.73,37.84,41.44,32.71,23.88,14.99,17.56,23.94,25.65,24.8,34.75,40.53,37.63,52.68,37.32,35.19,37.34,40.07,56.23,58.61,37.14,34.17,35.4,38.19,42.35,35.19,29.85,31.65,34.31,34.82,41.75,33.47,24.1,30.95,34.72,38.12,52.13,52.94,46.79,53.22
apparentTemperatureLowTime,1579753140,1579835640,1579923600,1579995960,1580091960,1580180880,1580263680,1580341680,1580438580,1580523060,1580609400,1580697300,1580782620,1580869560,1580954460,1581041700,1581127380,1581216300,1581302280,1581387000,1581480540,1581560580,1581646440,1581731940,1581821460,1581906720,1581992820,1582080300,1582146540,1582251300,1582337040,1582424700,1582509720,1582597440,1582691400,1582773120,1582852500,1582942560,1583028540,1583116320,1583200920,1583289600,1583370240,1583458080,1583546280,1583635680,1583722260,1583805780,1583894100,1583979240,1584065400,1584140340,1584239700,1584325320,1584413400
apparentTemperatureMax,53.81,56.48,51.02,45.24,42.54,50.73,51,53.9,52.82,57.65,60.07,52.57,48.4,57.6,58.43,61.16,64.74,69.48,64.08,58.98,52.71,41.03,57.31,62.54,57.63,64.31,71.5,64.73,70.06,70.07,66.16,68.55,67.51,71.46,79.57,70.13,62.67,71.75,72.75,72.55,71.75,60.92,58.1,64.49,69.49,73.29,64.37,57.21,62.47,67.31,72.94,76.27,76.99,66.29,70.79
apparentTemperatureMaxTime,1579689780,1579776660,1579863660,1579946040,1580040120,1580122740,1580209620,1580296320,1580382060,1580468580,1580554740,1580636760,1580728620,1580814060,1580900460,1580987040,1581073560,1581155760,1581241440,1581331740,1581414060,1581508500,1581591960,1581677940,1581760860,1581851100,1581937500,1582020180,1582110300,1582192080,1582283160,1582365960,1582455600,1582538460,1582630320,1582710660,1582801260,1582890540,1582974180,1583056860,1583146140,1583233260,1583319600,1583406000,1583492520,1583578920,1583654940,1583747820,1583838000,1583924520,1584010920,1584097320,1584179280,1584259680,1584356340
apparentTemperatureMin,27.73,28.58,21.27,22.6,20.98,20.3,21.23,19.22,27.15,21.12,22.86,29.82,19.39,15.97,23.94,26.4,25.73,37.84,39.03,29.59,20.97,14.99,17.56,23.94,25.65,24.8,34.75,40.53,37.63,47.93,37.32,35.19,37.34,40.07,56.23,42.03,37.14,34.17,35.4,38.19,42.35,34.98,29.85,31.65,34.31,34.82,41.75,31.21,24.1,30.95,34.72,38.12,52.13,52.44,46.79
apparentTemperatureMinTime,1579657560,1579807800,1579835640,1579923600,1579995960,1580091960,1580180880,1580263680,1580341680,1580438580,1580523060,1580671800,1580697300,1580782620,1580869560,1580954460,1581041700,1581127380,1581276600,1581363000,1581449400,1581480540,1581560580,1581646440,1581731940,1581821460,1581906720,1581992820,1582080300,1582227000,1582251300,1582337040,1582424700,1582509720,1582597440,1582745400,1582773120,1582852500,1582942560,1583028540,1583116320,1583263800,1583289600,1583370240,1583458080,1583546280,1583635680,1583782200,1583805780,1583894100,1583979240,1584065400,1584140340,1584300600,1584325320
cloudCover,0.55,0.32,0,0.05,0.43,0,0,0.43,0.2,0,0,0.23,0,0,0.07,0,0,0.03,0.16,0.01,0,0.1,0,0.01,0.58,0.82,0.23,0.58,0.65,0.88,0,0.19,0.01,0.96,0.89,0.48,0.06,0.15,0.09,0.1,0,0,0.05,0,0,0.42,0.38,0.22,0,0.04,0.11,0.56,0.56,0.55,0.37
dewPoint,24.39,17.11,1.28,9,17.88,14.58,12.09,10.24,12.94,11.43,12.82,8.81,4.87,-0.65,5.16,10.21,11.66,28.29,13.8,-0.05,-9.41,-7.43,-11.79,-0.09,10.83,7.79,17.25,22.3,22.63,30.66,20.38,12.47,16.16,18.11,23.91,17.25,27.9,13.99,1.02,9.12,2.24,10.22,19.31,12.04,2.68,0.89,7.52,-6.7,-16.64,-29.52,-24.05,-10.99,-0.6,31.5,26.94
humidity,0.53,0.45,0.23,0.33,0.49,0.46,0.42,0.34,0.33,0.36,0.31,0.29,0.31,0.21,0.22,0.29,0.29,0.39,0.26,0.18,0.16,0.23,0.13,0.17,0.29,0.27,0.27,0.35,0.31,0.34,0.38,0.26,0.3,0.23,0.23,0.22,0.48,0.33,0.12,0.17,0.16,0.25,0.41,0.3,0.19,0.15,0.16,0.13,0.09,0.04,0.04,0.07,0.09,0.37,0.33
icon,rain,rain,clear-day,clear-day,partly-cloudy-day,clear-day,clear-day,partly-cloudy-day,clear-day,clear-day,wind,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,wind,wind,clear-day,clear-day,clear-day,clear-day,clear-day,partly-cloudy-day,partly-cloudy-day,wind,partly-cloudy-day,partly-cloudy-day,wind,clear-day,clear-day,clear-day,cloudy,wind,wind,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,partly-cloudy-day,wind,clear-day,clear-day,clear-day,clear-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day
moonPhase,0.93,0.96,0.99,0.03,0.06,0.09,0.12,0.15,0.18,0.21,0.24,0.27,0.3,0.34,0.37,0.4,0.44,0.48,0.52,0.55,0.59,0.63,0.67,0.71,0.74,0.78,0.81,0.84,0.88,0.91,0.94,0.97,0,0.03,0.06,0.09,0.12,0.15,0.18,0.22,0.25,0.28,0.31,0.35,0.38,0.42,0.46,0.5,0.54,0.58,0.62,0.65,0.69,0.73,0.76
ozone,317.6,318.2,312.9,313.3,312.8,300.1,297.5,300.1,333.2,332.7,338.2,344.4,320.8,295.8,308,286,278.6,271.7,282.7,312.9,335,341.2,319.6,325.9,309.9,299.3,289.5,290.8,291.8,291.7,289.5,296.3,298.8,287.8,274,288.2,287.7,276.3,279.3,288.5,288.7,305.5,294.1,290.5,279.2,298.2,321.4,306.5,311.3,303.3,299,299.8,294.5,312.8,304.6
precipAccumulation,,,,,0.01,0,,,,,,,,,,,,,,,,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
precipIntensity,0.002,0.0041,0,0,0.0002,0.0001,0,0.0002,0.0001,0.0001,0.0001,0.0001,0,0.0001,0.0001,0,0.0001,0,0.0001,0.0001,0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0002,0,0.0008,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0,0.0001,0,0.0007,0.0001,0.0001,0,0,0,0,0.0002,0.0002,0,0.0002,0.0001,0,0.0001,0.0027,0
precipIntensityMax,0.014,0.0224,0.0002,0.0002,0.0007,0.0004,0,0.0003,0.0003,0.0002,0.0003,0.0003,0.0003,0.0003,0.0003,0,0.0003,0.0003,0.0003,0.0004,0,0.0004,0.0004,0.0003,0.0003,0.0003,0.0003,0.0004,0.0004,0.0033,0.0003,0.0004,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0051,0.0002,0.0002,0.0002,0,0,0,0.0006,0.0009,0,0.0004,0.0004,0,0.0003,0.0177,0.0001
precipIntensityMaxTime,1579698540,1579747620,1579845600,1579980600,1580007540,1580119200,1580239800,1580284800,1580365500,1580418000,1580505900,1580590440,1580758200,1580762100,1580915580,1580947200,1581056400,1581152400,1581237300,1581328800,1581368400,1581518040,1581580500,1581692760,1581723360,1581843600,1581935400,1582053900,1582057800,1582156680,1582265460,1582342080,1582412400,1582567200,1582605300,1582664160,1582772400,1582871220,1582977840,1583074500,1583138160,1583183280,1583312400,1583431080,1583452980,1583609400,1583613000,1583705460,1583787600,1583924700,1583992020,1584122400,1584214200,1584274320,1584342000
precipProbability,0.26,0.36,0.01,0.02,0.09,0.04,0,0.01,0.02,0.02,0.02,0.03,0.02,0.05,0.03,0,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.04,0.07,0.04,0.16,0.04,0.02,0.02,0.02,0.04,0.06,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0.02,0.01,0,0.02,0.01,0,0.01,0.11,0.01
precipType,rain,rain,,,snow,snow,,rain,rain,rain,rain,rain,,rain,rain,,rain,,rain,rain,,snow,snow,rain,rain,rain,rain,rain,,rain,rain,rain,rain,rain,rain,rain,,rain,,rain,rain,rain,,,,,rain,rain,,rain,rain,,rain,rain,
pressure,1018.1,1014.1,1018.4,1021.1,1022.6,1024.1,1025,1020.3,1020,1018.6,1013.6,1016,1022.9,1017.4,1020.2,1022.3,1019.3,1012.4,1011.9,1011.3,1011.2,1021.4,1025.4,1021.5,1026.9,1023.9,1020.1,1023.5,1019.8,1010.6,1015.1,1017,1020.4,1017.7,1010.4,1007,1019.4,1017.5,1012.5,1011.2,1010,1015.2,1019.9,1020,1017.5,1015.5,1013.5,1020.9,1022.8,1020,1018.6,1018.3,1011.8,1011.7,1014.5
summary,Partly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Mostly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Windy in the afternoon.,Partly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Windy in the afternoon and evening.,Windy in the morning and afternoon.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Overcast throughout the day.,Mostly cloudy throughout the day.,Windy in the evening.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Dangerously windy starting in the morning.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Overcast throughout the day.,Windy in the evening.,Dangerously windy in the morning.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Windy in the evening.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Mostly cloudy throughout the day.,Mostly cloudy throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.
sunriseTime,1579663680,1579750080,1579836420,1579922820,1580009160,1580095560,1580181900,1580268300,1580354640,1580441040,1580527380,1580613780,1580700120,1580786460,1580872800,1580959200,1581045540,1581131880,1581218220,1581304620,1581390960,1581477300,1581563640,1581649980,1581736320,1581822660,1581909000,1581995340,1582081680,1582168020,1582254360,1582340700,1582427040,1582513380,1582599720,1582686060,1582772400,1582858740,1582945020,1583031360,1583117700,1583204040,1583290380,1583376660,1583463000,1583549340,1583635680,1583722020,1583808300,1583894640,1583980980,1584067260,1584153600,1584239940,1584326280
sunsetTime,1579701180,1579787640,1579874100,1579960560,1580047020,1580133480,1580219940,1580306340,1580392800,1580479260,1580565720,1580652180,1580738640,1580825100,1580911560,1580998020,1581084480,1581170940,1581257400,1581343860,1581430260,1581516720,1581603180,1581689640,1581776100,1581862560,1581949020,1582035480,1582121880,1582208340,1582294800,1582381260,1582467720,1582554120,1582640580,1582727040,1582813500,1582899960,1582986360,1583072820,1583159280,1583245740,1583332140,1583418600,1583505060,1583591520,1583677920,1583764380,1583850840,1583937300,1584023700,1584110160,1584196620,1584283020,1584369480
