,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,42.3601,42.3601,42.3601,42.3601,42.3601,42.3601,42.3601,42.3601,42.3601,42.3601,42.3601,42.3601,42.3601,42.3601,42.3601,42.3601,42.3601,42.3601,42.3601,42.3601,42.3601,42.3601,42.3601,42.3601,42.3601,42.3601,42.3601,42.3601,42.3601,42.3601,42.3601,42.3601,42.3601,42.3601,42.3601,42.3601,42.3601,42.3601,42.3601,42.3601,42.3601,42.3601,42.3601,42.3601,42.3601,42.3601,42.3601,42.3601,42.3601,42.3601,42.3601,42.3601,42.3601,42.3601,42.3601
Long,-71.0589,-71.0589,-71.0589,-71.0589,-71.0589,-71.0589,-71.0589,-71.0589,-71.0589,-71.0589,-71.0589,-71.0589,-71.0589,-71.0589,-71.0589,-71.0589,-71.0589,-71.0589,-71.0589,-71.0589,-71.0589,-71.0589,-71.0589,-71.0589,-71.0589,-71.0589,-71.0589,-71.0589,-71.0589,-71.0589,-71.0589,-71.0589,-71.0589,-71.0589,-71.0589,-71.0589,-71.0589,-71.0589,-71.0589,-71.0589,-71.0589,-71.0589,-71.0589,-71.0589,-71.0589,-71.0589,-71.0589,-71.0589,-71.0589,-71.0589,-71.0589,-71.0589,-71.0589,-71.0589,-71.0589
Province/State,"Suffolk County, MA","Suffolk County, MA","Suffolk County, MA","Suffolk County, MA","Suffolk County, MA","Suffolk County, MA","Suffolk County, MA","Suffolk County, MA","Suffolk County, MA","Suffolk County, MA","Suffolk County, MA","Suffolk County, MA","Suffolk County, MA","Suffolk County, MA","Suffolk County, MA","Suffolk County, MA","Suffolk County, MA","Suffolk County, MA","Suffolk County, MA","Suffolk County, MA","Suffolk County, MA","Suffolk County, MA","Suffolk County, MA","Suffolk County, MA","Suffolk County, MA","Suffolk County, MA","Suffolk County, MA","Suffolk County, MA","Suffolk County, MA","Suffolk County, MA","Suffolk County, MA","Suffolk County, MA","Suffolk County, MA","Suffolk County, MA","Suffolk County, MA","Suffolk County, MA","Suffolk County, MA","Suffolk County, MA","Suffolk County, MA","Suffolk County, MA","Suffolk County, MA","Suffolk County, MA","Suffolk County, MA","Suffolk County, MA","Suffolk County, MA","Suffolk County, MA","Suffolk County, MA","Suffolk County, MA","Suffolk County, MA","Suffolk County, MA","Suffolk County, MA","Suffolk County, MA","Suffolk County, MA","Suffolk County, MA","Suffolk County, MA"
apparentTemperatureHigh,33.72,45.86,42.22,38.27,44.81,41.61,32.73,33.62,32.39,41.47,38.6,37.51,42.47,44.84,37.72,33.88,44.46,25.72,29.78,42.63,39.31,40.52,38.92,21.8,20.78,40.65,40.52,38.41,37.56,26.78,26.58,41.32,54.17,61.81,49.55,43.67,52.99,31.67,28.88,26.16,53.27,59.48,50.82,50.66,39.82,37.57,54.51,73.09,66.81,51.13,39.36,61.48,53.53,39.96,26.73
apparentTemperatureHighTime,1579720260,1579809720,1579888980,1579975500,1580061240,1580151660,1580242320,1580324460,1580419200,1580498040,1580578860,1580662920,1580749320,1580845920,1580904300,1581022500,1581105720,1581191640,1581289800,1581375420,1581440100,1581532020,1581626160,1581681600,1581800160,1581897600,1581962580,1582070400,1582126200,1582229040,1582322160,1582402500,1582488600,1582570980,1582644780,1582729560,1582817640,1582923720,1583002440,1583107200,1583183580,1583251920,1583354460,1583436240,1583507040,1583614440,1583701260,1583783940,1583871780,1583949360,1584043620,1584133200,1584213840,1584288660,1584384420
apparentTemperatureLow,20.75,29.75,35.3,36.74,32.59,32.22,23.94,13.42,20.97,32.68,31.36,29.72,33.58,35.46,27.39,26.63,14.21,15.08,29.1,35.7,29.69,29.35,16.81,0.05,13.07,29.21,25.02,32.72,16.87,4.35,19.46,28.83,31.7,42.45,40.07,34.25,21.02,20.69,9.35,23.61,42.72,38.51,32.5,34.98,19.12,26.59,40.99,43.52,40.27,30.67,34.42,34.13,31.14,17.37,24.64
apparentTemperatureLowTime,1579779240,1579868580,1579953600,1580042160,1580118540,1580213340,1580302020,1580388900,1580464200,1580538840,1580648400,1580720760,1580803440,1580899440,1580983260,1581056340,1581156480,1581249180,1581303300,1581426000,1581499320,1581583740,1581685200,1581756420,1581818460,1581930180,1582015740,1582088340,1582196280,1582282920,1582347840,1582457520,1582540440,1582622700,1582721280,1582790820,1582890120,1582973460,1583060520,1583149200,1583194740,1583313660,1583407980,1583492280,1583581200,1583664900,1583730840,1583841600,1583927880,1584007140,1584086520,1584183480,1584273600,1584357420,1584404520
apparentTemperatureMax,33.72,45.86,42.22,46.3,51.57,41.61,34.78,33.62,32.39,41.47,38.6,37.51,42.47,44.84,41.88,33.88,44.46,25.72,30.69,42.63,42.62,40.52,38.92,32.02,20.78,40.65,40.52,38.42,37.56,26.78,26.58,41.32,54.17,61.81,49.55,44.4,52.99,31.67,28.88,26.62,53.27,59.48,51.19,50.66,39.96,37.57,54.51,73.09,66.81,59.5,39.69,61.48,53.53,39.96,26.73
apparentTemperatureMaxTime,1579720260,1579809720,1579888980,1580011200,1580015640,1580151660,1580193900,1580324460,1580419200,1580498040,1580578860,1580662920,1580749320,1580845920,1580881920,1581022500,1581105720,1581191640,1581296520,1581375420,1581400860,1581532020,1581626160,1581659760,1581800160,1581897600,1581962580,1582070520,1582126200,1582229040,1582322160,1582402500,1582488600,1582570980,1582644780,1582696440,1582817640,1582923720,1583002440,1583118180,1583183580,1583251920,1583304120,1583436240,1583474100,1583614440,1583701260,1583783940,1583871780,1583899200,1583985600,1584133200,1584213840,1584288660,1584384420
apparentTemperatureMin,16.04,20.75,29.75,35.3,34.19,32.59,26.48,21.48,13.42,20.97,32.68,31.29,29.72,33.58,29.81,27.39,20.03,14.21,15.08,30.6,34.85,29.69,29.35,0.82,0.05,16.17,27.58,25.02,24.12,16.11,4.35,19.46,28.83,31.7,41.6,36.27,22.4,21.02,14.03,9.35,23.61,44.74,38.51,32.5,26.8,19.12,26.59,40.99,39.53,38.61,30.67,34.42,34.13,28.19,17.37
