,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,Holy See,Holy See,Holy See,Holy See,Holy See,Holy See,Holy See,Holy See,Holy See,Holy See,Holy See,Holy See,Holy See,Holy See,Holy See,Holy See,Holy See,Holy See,Holy See,Holy See,Holy See,Holy See,Holy See,Holy See,Holy See,Holy See,Holy See,Holy See,Holy See,Holy See,Holy See,Holy See,Holy See,Holy See,Holy See,Holy See,Holy See,Holy See,Holy See,Holy See,Holy See,Holy See,Holy See,Holy See,Holy See,Holy See,Holy See,Holy See,Holy See,Holy See,Holy See,Holy See,Holy See,Holy See,Holy See
Lat,41.9029,41.9029,41.9029,41.9029,41.9029,41.9029,41.9029,41.9029,41.9029,41.9029,41.9029,41.9029,41.9029,41.9029,41.9029,41.9029,41.9029,41.9029,41.9029,41.9029,41.9029,41.9029,41.9029,41.9029,41.9029,41.9029,41.9029,41.9029,41.9029,41.9029,41.9029,41.9029,41.9029,41.9029,41.9029,41.9029,41.9029,41.9029,41.9029,41.9029,41.9029,41.9029,41.9029,41.9029,41.9029,41.9029,41.9029,41.9029,41.9029,41.9029,41.9029,41.9029,41.9029,41.9029,41.9029
Long,12.4534,12.4534,12.4534,12.4534,12.4534,12.4534,12.4534,12.4534,12.4534,12.4534,12.4534,12.4534,12.4534,12.4534,12.4534,12.4534,12.4534,12.4534,12.4534,12.4534,12.4534,12.4534,12.4534,12.4534,12.4534,12.4534,12.4534,12.4534,12.4534,12.4534,12.4534,12.4534,12.4534,12.4534,12.4534,12.4534,12.4534,12.4534,12.4534,12.4534,12.4534,12.4534,12.4534,12.4534,12.4534,12.4534,12.4534,12.4534,12.4534,12.4534,12.4534,12.4534,12.4534,12.4534,12.4534
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparentTemperatureHigh,60.65,60.36,59.11,61.02,59.33,60.31,57.46,62.17,61.97,59.65,59.27,63.3,66.78,65.24,55.66,56.91,59.59,61.23,60.04,59.1,65.12,65.12,60.72,64.83,65.48,65.02,63.12,61.9,59.77,63.45,63.28,63.66,63.54,64.32,63.75,60.71,58.54,63.88,61.59,62.62,62.48,56.27,60.3,58.47,58.79,58.99,62.57,59,63.5,66.87,65.98,64.43,62.09,65.05,64.57
apparentTemperatureHighTime,1579700580,1579787040,1579872960,1579959240,1580045700,1580132040,1580218200,1580303880,1580390640,1580478840,1580565360,1580649480,1580736780,1580820240,1580908020,1580996580,1581083160,1581169020,1581253320,1581342480,1581426120,1581514020,1581598080,1581686520,1581774060,1581860520,1581946200,1582033380,1582117200,1582206120,1582290900,1582377420,1582462980,1582545780,1582637820,1582711800,1582809180,1582896660,1582982760,1583061120,1583146200,1583242260,1583328000,1583410080,1583499780,1583587440,1583673900,1583758740,1583847720,1583933100,1584013560,1584103680,1584194760,1584276900,1584365160
apparentTemperatureLow,34.66,35.61,50.51,43.25,37.33,46.93,45.25,36.79,47.08,47.65,50.58,46.03,46.1,36.25,34.02,27.17,28.4,35.56,46.48,48.21,44.62,39.58,47.5,33.98,34.77,36.17,38.85,42.16,35.12,33.13,36.18,38.91,50.14,50.66,50.23,32.61,51.02,35.91,51.75,46.94,44.1,37.38,33.5,52.72,38.1,35.49,33.3,33.22,37.46,41.75,46.47,50.38,42.02,38.6,39.91
apparentTemperatureLowTime,1579755240,1579841760,1579928220,1580015160,1580101860,1580159640,1580277420,1580360220,1580418060,1580532480,1580591220,1580705580,1580792400,1580878800,1580965320,1581049140,1581137820,1581224220,1581292740,1581397140,1581483720,1581571380,1581630180,1581742800,1581829140,1581915360,1582001820,1582088040,1582174680,1582260960,1582344840,1582433940,1582494780,1582606140,1582694100,1582779540,1582829520,1582951380,1583009460,1583124120,1583212920,1583297460,1583385720,1583449320,1583557200,1583643360,1583729220,1583816100,1583902680,1583988720,1584074940,1584161340,1584248340,1584334920,1584420780
apparentTemperatureMax,60.65,60.36,59.11,61.02,59.33,60.31,57.46,62.17,61.97,59.65,59.27,63.3,66.78,65.24,55.66,56.91,59.59,61.23,60.04,59.1,65.12,65.12,60.72,64.83,65.48,65.02,63.12,61.9,59.77,63.45,63.28,63.66,63.54,64.32,63.75,60.71,58.54,63.88,61.59,62.62,62.48,56.27,60.3,58.47,58.79,58.99,62.57,59,63.5,66.87,65.98,64.43,62.09,65.05,64.57
apparentTemperatureMaxTime,1579700580,1579787040,1579872960,1579959240,1580045700,1580132040,1580218200,1580303880,1580390640,1580478840,1580565360,1580649480,1580736780,1580820240,1580908020,1580996580,1581083160,1581169020,1581253320,1581342480,1581426120,1581514020,1581598080,1581686520,1581774060,1581860520,1581946200,1582033380,1582117200,1582206120,1582290900,1582377420,1582462980,1582545780,1582637820,1582711800,1582809180,1582896660,1582982760,1583061120,1583146200,1583242260,1583328000,1583410080,1583499780,1583587440,1583673900,1583758740,1583847720,1583933100,1584013560,1584103680,1584194760,1584276900,1584365160
