,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,Eswatini,Eswatini,Eswatini,Eswatini,Eswatini,Eswatini,Eswatini,Eswatini,Eswatini,Eswatini,Eswatini,Eswatini,Eswatini,Eswatini,Eswatini,Eswatini,Eswatini,Eswatini,Eswatini,Eswatini,Eswatini,Eswatini,Eswatini,Eswatini,Eswatini,Eswatini,Eswatini,Eswatini,Eswatini,Eswatini,Eswatini,Eswatini,Eswatini,Eswatini,Eswatini,Eswatini,Eswatini,Eswatini,Eswatini,Eswatini,Eswatini,Eswatini,Eswatini,Eswatini,Eswatini,Eswatini,Eswatini,Eswatini,Eswatini,Eswatini,Eswatini,Eswatini,Eswatini,Eswatini,Eswatini
Lat,-26.5225,-26.5225,-26.5225,-26.5225,-26.5225,-26.5225,-26.5225,-26.5225,-26.5225,-26.5225,-26.5225,-26.5225,-26.5225,-26.5225,-26.5225,-26.5225,-26.5225,-26.5225,-26.5225,-26.5225,-26.5225,-26.5225,-26.5225,-26.5225,-26.5225,-26.5225,-26.5225,-26.5225,-26.5225,-26.5225,-26.5225,-26.5225,-26.5225,-26.5225,-26.5225,-26.5225,-26.5225,-26.5225,-26.5225,-26.5225,-26.5225,-26.5225,-26.5225,-26.5225,-26.5225,-26.5225,-26.5225,-26.5225,-26.5225,-26.5225,-26.5225,-26.5225,-26.5225,-26.5225,-26.5225
Long,31.4659,31.4659,31.4659,31.4659,31.4659,31.4659,31.4659,31.4659,31.4659,31.4659,31.4659,31.4659,31.4659,31.4659,31.4659,31.4659,31.4659,31.4659,31.4659,31.4659,31.4659,31.4659,31.4659,31.4659,31.4659,31.4659,31.4659,31.4659,31.4659,31.4659,31.4659,31.4659,31.4659,31.4659,31.4659,31.4659,31.4659,31.4659,31.4659,31.4659,31.4659,31.4659,31.4659,31.4659,31.4659,31.4659,31.4659,31.4659,31.4659,31.4659,31.4659,31.4659,31.4659,31.4659,31.4659
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparentTemperatureHigh,88.5,89.2,86.89,91.76,102.94,81.46,90.45,97.36,93.38,95.05,98.35,94.86,92.16,95.04,104.66,104.41,94.79,96.26,83.91,74.25,70.64,82.51,94.67,102.33,97.98,93.64,100.39,93.73,95.66,101.39,90,103.71,74.96,79.17,83.61,90.81,97.26,74.48,74.8,76.78,79.65,85.27,86.42,86.92,84.41,85.45,87.8,87.82,91.39,96.92,90.95,96.07,98.22,95.83,81.84
apparentTemperatureHighTime,1579699500,1579777020,1579871940,1579959960,1580040420,1580131560,1580218080,1580302740,1580386440,1580473860,1580558580,1580644860,1580727060,1580817660,1580907480,1580982720,1581075840,1581155400,1581240900,1581331560,1581430680,1581508620,1581595620,1581674040,1581761760,1581853740,1581945600,1582027080,1582106220,1582205640,1582285620,1582369260,1582446120,1582545540,1582631340,1582726440,1582803780,1582884060,1582974300,1583062020,1583146500,1583237160,1583319480,1583408940,1583495520,1583587920,1583664720,1583751240,1583837460,1583924640,1584010740,1584097380,1584183300,1584270300,1584356340
apparentTemperatureLow,68.24,66.87,69.55,65.91,71.21,65.16,63.23,67.65,64.84,62.64,69.41,63.77,66.86,68.51,71.28,70.69,70.93,71.3,70.35,68.16,63.9,60.6,65.26,67.19,69.17,64.6,72.11,69.49,72.34,73.15,71.91,70.35,61.11,62.13,56.23,60.64,70.77,62.09,60.59,60.78,61.84,58.53,57.99,57.59,63.3,60.61,64.96,62.32,63.37,67.73,68.37,68.18,69.55,70.62,61.81
apparentTemperatureLowTime,1579750800,1579833720,1579910220,1580005920,1580100660,1580176860,1580264580,1580341560,1580437560,1580523420,1580608200,1580696400,1580773860,1580868180,1580947140,1581045360,1581128700,1581213720,1581306960,1581386160,1581473940,1581560400,1581646320,1581732900,1581821820,1581905580,1581993600,1582077960,1582164900,1582255440,1582336860,1582433760,1582511640,1582597860,1582682820,1582767240,1582854480,1582941300,1583029560,1583114460,1583200620,1583287680,1583374620,1583461200,1583546340,1583633160,1583720220,1583806440,1583892720,1583980860,1584066900,1584148680,1584238080,1584326400,1584410520
apparentTemperatureMax,88.5,89.2,86.89,91.76,102.94,81.46,90.45,97.36,93.38,95.05,98.35,94.86,92.16,95.04,104.66,104.41,94.79,96.26,83.91,74.25,70.64,82.51,94.67,102.33,97.98,93.64,100.39,93.73,95.66,101.39,90,103.71,76.77,79.17,83.61,90.81,97.26,74.48,74.8,76.78,79.65,85.27,86.42,86.92,84.41,85.45,87.8,87.82,91.39,96.92,90.95,96.07,98.22,95.83,81.84
apparentTemperatureMaxTime,1579699500,1579777020,1579871940,1579959960,1580040420,1580131560,1580218080,1580302740,1580386440,1580473860,1580558580,1580644860,1580727060,1580817660,1580907480,1580982720,1581075840,1581155400,1581240900,1581331560,1581430680,1581508620,1581595620,1581674040,1581761760,1581853740,1581945600,1582027080,1582106220,1582205640,1582285620,1582369260,1582408800,1582545540,1582631340,1582726440,1582803780,1582884060,1582974300,1583062020,1583146500,1583237160,1583319480,1583408940,1583495520,1583587920,1583664720,1583751240,1583837460,1583924640,1584010740,1584097380,1584183300,1584270300,1584356340
