,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago
Lat,10.6918,10.6918,10.6918,10.6918,10.6918,10.6918,10.6918,10.6918,10.6918,10.6918,10.6918,10.6918,10.6918,10.6918,10.6918,10.6918,10.6918,10.6918,10.6918,10.6918,10.6918,10.6918,10.6918,10.6918,10.6918,10.6918,10.6918,10.6918,10.6918,10.6918,10.6918,10.6918,10.6918,10.6918,10.6918,10.6918,10.6918,10.6918,10.6918,10.6918,10.6918,10.6918,10.6918,10.6918,10.6918,10.6918,10.6918,10.6918,10.6918,10.6918,10.6918,10.6918,10.6918,10.6918,10.6918
Long,-61.2225,-61.2225,-61.2225,-61.2225,-61.2225,-61.2225,-61.2225,-61.2225,-61.2225,-61.2225,-61.2225,-61.2225,-61.2225,-61.2225,-61.2225,-61.2225,-61.2225,-61.2225,-61.2225,-61.2225,-61.2225,-61.2225,-61.2225,-61.2225,-61.2225,-61.2225,-61.2225,-61.2225,-61.2225,-61.2225,-61.2225,-61.2225,-61.2225,-61.2225,-61.2225,-61.2225,-61.2225,-61.2225,-61.2225,-61.2225,-61.2225,-61.2225,-61.2225,-61.2225,-61.2225,-61.2225,-61.2225,-61.2225,-61.2225,-61.2225,-61.2225,-61.2225,-61.2225,-61.2225,-61.2225
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparentTemperatureHigh,89.19,89.65,89.76,92.06,90.98,91.29,95.72,94.81,95.82,96.33,93.6,90.78,88.36,88.06,89.76,89.44,88.54,89.48,89.69,88.78,90.07,91.47,89.41,87.09,89.72,90.67,84.85,91.2,90.82,86.69,89.28,90.8,96.56,90.37,91.13,90.09,90.82,89.37,87.84,87.62,86.6,87.46,88.88,86.43,87.21,90.33,89.56,87.15,87.42,88.36,90.16,91.67,92.81,89.73,89.63
apparentTemperatureHighTime,1579712160,1579798380,1579881660,1579970820,1580057460,1580143680,1580228880,1580316540,1580402460,1580489340,1580575560,1580662020,1580745240,1580831340,1580921040,1581007500,1581094380,1581181140,1581266940,1581353460,1581439920,1581525420,1581610860,1581699420,1581781320,1581866700,1581948420,1582045320,1582130640,1582212780,1582299000,1582389660,1582472700,1582557780,1582649040,1582735200,1582822020,1582908480,1582994760,1583081220,1583166840,1583250780,1583336640,1583416980,1583510040,1583599680,1583682120,1583769120,1583854980,1583941680,1584028020,1584118380,1584204300,1584287160,1584377760
apparentTemperatureLow,69.89,71.27,73.13,72.8,71.37,73.3,74.22,74.58,74.75,74.43,74.21,72.67,72.57,71.91,73.41,73.07,72.55,71.77,71.57,72.13,73.2,73.13,72.92,73.51,72.77,73.15,73.72,72.59,72.7,71.51,72.15,73.64,74.15,74.89,72.96,72.05,70.75,72.58,71.65,71.53,70.67,71.86,73.11,70.7,72.42,72.3,71.97,72.43,71.55,71.31,72.88,73.22,72.91,72.18,72.51
apparentTemperatureLowTime,1579766400,1579838640,1579925340,1580024580,1580111280,1580196480,1580284020,1580370240,1580456820,1580543040,1580626680,1580711760,1580802360,1580877120,1580976120,1581051600,1581148500,1581221940,1581321000,1581393960,1581480660,1581580620,1581642420,1581753360,1581839400,1581920880,1581998280,1582097880,1582184820,1582270620,1582345620,1582429080,1582517820,1582603680,1582703280,1582788660,1582878480,1582962060,1583036880,1583123760,1583211240,1583300160,1583394360,1583481300,1583553720,1583654040,1583740140,1583826660,1583913120,1583999100,1584084960,1584171360,1584257400,1584332820,1584425160
apparentTemperatureMax,89.19,89.65,89.76,92.06,90.98,91.29,95.72,94.81,95.82,96.33,93.6,90.78,88.36,88.06,89.76,89.44,88.54,89.48,89.69,88.78,90.07,91.47,89.41,87.09,89.72,90.67,84.85,91.2,90.82,86.69,89.28,90.8,96.56,90.37,91.13,90.09,90.82,89.37,87.84,87.62,86.6,87.46,88.88,86.43,87.21,90.33,89.56,87.15,87.42,88.36,90.16,91.67,92.81,89.73,89.63
apparentTemperatureMaxTime,1579712160,1579798380,1579881660,1579970820,1580057460,1580143680,1580228880,1580316540,1580402460,1580489340,1580575560,1580662020,1580745240,1580831340,1580921040,1581007500,1581094380,1581181140,1581266940,1581353460,1581439920,1581525420,1581610860,1581699420,1581781320,1581866700,1581948420,1582045320,1582130640,1582212780,1582299000,1582389660,1582472700,1582557780,1582649040,1582735200,1582822020,1582908480,1582994760,1583081220,1583166840,1583250780,1583336640,1583416980,1583510040,1583599680,1583682120,1583769120,1583854980,1583941680,1584028020,1584118380,1584204300,1584287160,1584377760
