,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Province/State,Puerto Rico,Puerto Rico,Puerto Rico,Puerto Rico,Puerto Rico,Puerto Rico,Puerto Rico,Puerto Rico,Puerto Rico,Puerto Rico,Puerto Rico,Puerto Rico,Puerto Rico,Puerto Rico,Puerto Rico,Puerto Rico,Puerto Rico,Puerto Rico,Puerto Rico,Puerto Rico,Puerto Rico,Puerto Rico,Puerto Rico,Puerto Rico,Puerto Rico,Puerto Rico,Puerto Rico,Puerto Rico,Puerto Rico,Puerto Rico,Puerto Rico,Puerto Rico,Puerto Rico,Puerto Rico,Puerto Rico,Puerto Rico,Puerto Rico,Puerto Rico,Puerto Rico,Puerto Rico,Puerto Rico,Puerto Rico,Puerto Rico,Puerto Rico,Puerto Rico,Puerto Rico,Puerto Rico,Puerto Rico,Puerto Rico,Puerto Rico,Puerto Rico,Puerto Rico,Puerto Rico,Puerto Rico,Puerto Rico
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,18.2208,18.2208,18.2208,18.2208,18.2208,18.2208,18.2208,18.2208,18.2208,18.2208,18.2208,18.2208,18.2208,18.2208,18.2208,18.2208,18.2208,18.2208,18.2208,18.2208,18.2208,18.2208,18.2208,18.2208,18.2208,18.2208,18.2208,18.2208,18.2208,18.2208,18.2208,18.2208,18.2208,18.2208,18.2208,18.2208,18.2208,18.2208,18.2208,18.2208,18.2208,18.2208,18.2208,18.2208,18.2208,18.2208,18.2208,18.2208,18.2208,18.2208,18.2208,18.2208,18.2208,18.2208,18.2208
Long,-66.5901,-66.5901,-66.5901,-66.5901,-66.5901,-66.5901,-66.5901,-66.5901,-66.5901,-66.5901,-66.5901,-66.5901,-66.5901,-66.5901,-66.5901,-66.5901,-66.5901,-66.5901,-66.5901,-66.5901,-66.5901,-66.5901,-66.5901,-66.5901,-66.5901,-66.5901,-66.5901,-66.5901,-66.5901,-66.5901,-66.5901,-66.5901,-66.5901,-66.5901,-66.5901,-66.5901,-66.5901,-66.5901,-66.5901,-66.5901,-66.5901,-66.5901,-66.5901,-66.5901,-66.5901,-66.5901,-66.5901,-66.5901,-66.5901,-66.5901,-66.5901,-66.5901,-66.5901,-66.5901,-66.5901
time,1579665600,1579752000,1579838400,1579924800,1580011200,1580097600,1580184000,1580270400,1580356800,1580443200,1580529600,1580616000,1580702400,1580788800,1580875200,1580961600,1581048000,1581134400,1581220800,1581307200,1581393600,1581480000,1581566400,1581652800,1581739200,1581825600,1581912000,1581998400,1582084800,1582171200,1582257600,1582344000,1582430400,1582516800,1582603200,1582689600,1582776000,1582862400,1582948800,1583035200,1583121600,1583208000,1583294400,1583380800,1583467200,1583553600,1583640000,1583726400,1583812800,1583899200,1583985600,1584072000,1584158400,1584244800,1584331200
summary,Possible light rain in the evening.,Rain until evening.,Rain starting in the afternoon.,Light rain starting in the afternoon.,Rain and humid throughout the day.,Rain in the afternoon and evening.,Humid and partly cloudy throughout the day.,Rain in the evening.,Humid and partly cloudy throughout the day.,Rain in the afternoon and evening.,Humid and partly cloudy throughout the day.,Humid throughout the day.,Humid and partly cloudy throughout the day.,Humid and mostly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Clear throughout the day.,Possible light rain in the afternoon.,Humid and partly cloudy throughout the day.,Possible drizzle in the morning.,Humid and partly cloudy throughout the day.,Humid and mostly cloudy throughout the day.,Humid and mostly cloudy throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Rain in the afternoon and evening.,Rain and humid throughout the day.,Possible light rain until evening.,Humid and mostly cloudy throughout the day.,Clear throughout the day.,Humid and partly cloudy throughout the day.,Clear throughout the day.,Rain in the evening and overnight.,Light rain in the afternoon and evening.,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Possible light rain in the evening.,Light rain starting in the afternoon.,Light rain and humid throughout the day.,Light rain starting in the afternoon.,Rain in the afternoon and evening.,Humid and partly cloudy throughout the day.,Rain in the afternoon and evening.,Possible light rain and humid throughout the day.,Partly cloudy throughout the day.,Humid and mostly cloudy throughout the day.
icon,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,clear-day,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,clear-day,rain,rain,rain,rain,rain,partly-cloudy-day,clear-day,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain
sunriseTime,1579690920,1579777320,1579863720,1579950120,1580036520,1580122920,1580209320,1580295660,1580382060,1580468460,1580554860,1580641200,1580727600,1580814000,1580900400,1580986740,1581073140,1581159480,1581245880,1581332280,1581418620,1581505020,1581591360,1581677760,1581764100,1581850500,1581936840,1582023240,1582109580,1582195980,1582282320,1582368660,1582455060,1582541400,1582627740,1582714140,1582800480,1582886820,1582973220,1583059560,1583145900,1583232300,1583318640,1583404980,1583491320,1583577720,1583664060,1583750400,1583836740,1583923080,1584009480,1584095820,1584182160,1584268500,1584354840
sunsetTime,1579731360,1579817760,1579904220,1579990620,1580077080,1580163540,1580249940,1580336400,1580422800,1580509260,1580595720,1580682120,1580768580,1580854980,1580941440,1581027840,1581114300,1581200700,1581287160,1581373560,1581460020,1581546420,1581632880,1581719280,1581805680,1581892140,1581978540,1582065000,1582151400,1582237860,1582324260,1582410660,1582497120,1582583520,1582669920,1582756380,1582842780,1582929180,1583015640,1583102040,1583188440,1583274900,1583361300,1583447700,1583534100,1583620560,1583706960,1583793360,1583879760,1583966220,1584052620,1584139020,1584225420,1584311880,1584398280
moonPhase,0.94,0.97,0,0.04,0.07,0.1,0.13,0.16,0.19,0.22,0.25,0.28,0.31,0.35,0.38,0.42,0.45,0.49,0.53,0.57,0.61,0.64,0.68,0.72,0.75,0.79,0.82,0.85,0.89,0.92,0.95,0.98,0.01,0.04,0.07,0.1,0.13,0.16,0.19,0.22,0.26,0.29,0.32,0.36,0.4,0.43,0.47,0.51,0.55,0.59,0.63,0.67,0.7,0.74,0.77
