,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,San Marino,San Marino,San Marino,San Marino,San Marino,San Marino,San Marino,San Marino,San Marino,San Marino,San Marino,San Marino,San Marino,San Marino,San Marino,San Marino,San Marino,San Marino,San Marino,San Marino,San Marino,San Marino,San Marino,San Marino,San Marino,San Marino,San Marino,San Marino,San Marino,San Marino,San Marino,San Marino,San Marino,San Marino,San Marino,San Marino,San Marino,San Marino,San Marino,San Marino,San Marino,San Marino,San Marino,San Marino,San Marino,San Marino,San Marino,San Marino,San Marino,San Marino,San Marino,San Marino,San Marino,San Marino,San Marino
Lat,43.9424,43.9424,43.9424,43.9424,43.9424,43.9424,43.9424,43.9424,43.9424,43.9424,43.9424,43.9424,43.9424,43.9424,43.9424,43.9424,43.9424,43.9424,43.9424,43.9424,43.9424,43.9424,43.9424,43.9424,43.9424,43.9424,43.9424,43.9424,43.9424,43.9424,43.9424,43.9424,43.9424,43.9424,43.9424,43.9424,43.9424,43.9424,43.9424,43.9424,43.9424,43.9424,43.9424,43.9424,43.9424,43.9424,43.9424,43.9424,43.9424,43.9424,43.9424,43.9424,43.9424,43.9424,43.9424
Long,12.4578,12.4578,12.4578,12.4578,12.4578,12.4578,12.4578,12.4578,12.4578,12.4578,12.4578,12.4578,12.4578,12.4578,12.4578,12.4578,12.4578,12.4578,12.4578,12.4578,12.4578,12.4578,12.4578,12.4578,12.4578,12.4578,12.4578,12.4578,12.4578,12.4578,12.4578,12.4578,12.4578,12.4578,12.4578,12.4578,12.4578,12.4578,12.4578,12.4578,12.4578,12.4578,12.4578,12.4578,12.4578,12.4578,12.4578,12.4578,12.4578,12.4578,12.4578,12.4578,12.4578,12.4578,12.4578
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparentTemperatureHigh,47.79,45.34,44.58,42.4,43.57,48.88,55.57,53.38,54.87,53.13,55.09,56.18,56.21,58.74,43.05,43.72,51.39,47.21,52.01,59.57,61.11,56.72,55.42,54.62,56.37,55.69,59.34,50.02,51.53,51.17,53.27,56.28,58.17,59.4,59.22,54.99,46.9,52.48,56.58,53.26,54.83,51.39,40.42,52.39,54.08,40.98,46.21,50.68,54.12,61.95,59.47,58.79,51.33,46.04,54.68
apparentTemperatureHighTime,1579700280,1579785660,1579873800,1579956300,1580046720,1580129280,1580217360,1580295900,1580389500,1580468760,1580561940,1580644560,1580730120,1580810400,1580908260,1580997480,1581081360,1581167760,1581255480,1581342240,1581419640,1581513900,1581599340,1581687900,1581773340,1581858660,1581946500,1582023360,1582121520,1582205580,1582291020,1582379220,1582464480,1582550220,1582638240,1582714980,1582808820,1582896360,1582984320,1583064660,1583149200,1583234100,1583337840,1583415540,1583502660,1583587440,1583674920,1583752980,1583848260,1583932920,1584014460,1584108420,1584178740,1584278520,1584363900
apparentTemperatureLow,34.42,34.21,39.28,38.92,35.13,38.66,42.18,37.73,41.1,45.47,45.2,45.69,45.42,30.61,29.64,31.16,30.9,33.57,39.2,54.85,41.31,36.01,40.58,37.35,37.7,38.23,39.68,39.49,36.92,33.26,38.28,36.48,40.23,42.57,43.22,26.9,33.65,32.89,42.51,42.26,39.01,34.47,31.71,38.52,36.21,34.24,33.06,33.63,40.06,41.9,43.96,47.02,36.58,33.69,35.83
apparentTemperatureLowTime,1579751040,1579845000,1579900560,1580018940,1580104200,1580159940,1580276880,1580362920,1580418900,1580537100,1580622780,1580705700,1580787420,1580875140,1580968140,1581051000,1581139080,1581225840,1581282960,1581397800,1581486360,1581570840,1581657000,1581744300,1581830760,1581915900,1582001760,1582092120,1582155840,1582262160,1582321500,1582433940,1582520340,1582606560,1582695420,1582780980,1582869480,1582953240,1583020020,1583107320,1583215080,1583304660,1583365560,1583475000,1583542980,1583646540,1583711640,1583815740,1583902440,1583988960,1584075240,1584145740,1584252000,1584334980,1584420360
apparentTemperatureMax,47.79,45.34,44.58,42.4,43.57,48.88,55.57,53.38,54.87,53.13,55.09,56.18,56.21,58.74,43.05,43.72,51.39,47.21,52.01,59.57,61.11,56.72,55.42,54.62,56.37,55.69,59.34,50.02,51.53,51.17,53.27,56.28,58.17,59.4,59.22,54.99,46.9,52.48,56.58,53.26,54.83,51.39,40.42,52.39,54.08,41.46,46.21,50.68,54.12,61.95,59.47,58.79,51.33,46.04,54.68
apparentTemperatureMaxTime,1579700280,1579785660,1579873800,1579956300,1580046720,1580129280,1580217360,1580295900,1580389500,1580468760,1580561940,1580644560,1580730120,1580810400,1580908260,1580997480,1581081360,1581167760,1581255480,1581342240,1581419640,1581513900,1581599340,1581687900,1581773340,1581858660,1581946500,1582023360,1582121520,1582205580,1582291020,1582379220,1582464480,1582550220,1582638240,1582714980,1582808820,1582896360,1582984320,1583064660,1583149200,1583234100,1583337840,1583415540,1583502660,1583607240,1583674920,1583752980,1583848260,1583932920,1584014460,1584108420,1584178740,1584278520,1584363900
