,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal
Lat,39.3999,39.3999,39.3999,39.3999,39.3999,39.3999,39.3999,39.3999,39.3999,39.3999,39.3999,39.3999,39.3999,39.3999,39.3999,39.3999,39.3999,39.3999,39.3999,39.3999,39.3999,39.3999,39.3999,39.3999,39.3999,39.3999,39.3999,39.3999,39.3999,39.3999,39.3999,39.3999,39.3999,39.3999,39.3999,39.3999,39.3999,39.3999,39.3999,39.3999,39.3999,39.3999,39.3999,39.3999,39.3999,39.3999,39.3999,39.3999,39.3999,39.3999,39.3999,39.3999,39.3999,39.3999,39.3999
Long,-8.2245,-8.2245,-8.2245,-8.2245,-8.2245,-8.2245,-8.2245,-8.2245,-8.2245,-8.2245,-8.2245,-8.2245,-8.2245,-8.2245,-8.2245,-8.2245,-8.2245,-8.2245,-8.2245,-8.2245,-8.2245,-8.2245,-8.2245,-8.2245,-8.2245,-8.2245,-8.2245,-8.2245,-8.2245,-8.2245,-8.2245,-8.2245,-8.2245,-8.2245,-8.2245,-8.2245,-8.2245,-8.2245,-8.2245,-8.2245,-8.2245,-8.2245,-8.2245,-8.2245,-8.2245,-8.2245,-8.2245,-8.2245,-8.2245,-8.2245,-8.2245,-8.2245,-8.2245,-8.2245,-8.2245
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparentTemperatureHigh,53.72,52.94,56.09,55.54,57.08,56.19,62.2,61.28,58.89,61.56,63.34,69.23,70.74,69.08,66.86,63.82,62.49,58.54,61.43,65.56,65.01,61.16,63.13,65.12,65.72,64.95,61.35,62.95,66.18,65.41,69.96,74.09,76.75,74.52,64.04,61.92,67.11,69.8,62.49,61.66,58.33,65.23,65.95,60.57,60.61,67.6,62.27,68.19,76.55,80.31,74.43,69.29,73.82,64.87,59.52
apparentTemperatureHighTime,1579700820,1579785420,1579874460,1579960980,1580048220,1580132220,1580219400,1580305800,1580391000,1580479020,1580565720,1580652360,1580738580,1580824980,1580911200,1580997720,1581084000,1581169320,1581256860,1581343200,1581433140,1581516060,1581602520,1581688920,1581775500,1581861840,1581947760,1582034340,1582122600,1582207980,1582293840,1582380240,1582466640,1582552560,1582639200,1582723500,1582812120,1582898460,1582982700,1583071080,1583155080,1583244000,1583329560,1583415660,1583502600,1583589360,1583672700,1583762400,1583848980,1583935260,1584020280,1584104880,1584197820,1584276240,1584366840
apparentTemperatureLow,42.86,41.59,45.25,39.07,42.25,54.3,50.01,46.86,54.72,55.79,50.44,51.1,46.25,44.12,40.93,43.83,48.1,45.22,45.01,44.08,47.01,48.02,46.46,43.29,39.72,52.07,36.22,34.48,35.89,39.17,40.49,39.41,41.93,39.25,40.55,38.55,38.64,44.68,47.43,52.34,41.27,51.79,52.26,45.11,36.61,34.76,39.71,40.95,45.44,54.21,46.19,45.27,45.09,38.12,41.78
apparentTemperatureLowTime,1579759200,1579836660,1579938600,1580015880,1580095680,1580188740,1580254260,1580353020,1580457480,1580543820,1580620140,1580705880,1580792520,1580868120,1580961780,1581047220,1581135120,1581225240,1581310680,1581396840,1581483660,1581569880,1581656760,1581743280,1581829200,1581896640,1582002060,1582088400,1582174740,1582260720,1582350000,1582433400,1582520940,1582605960,1582689720,1582779120,1582863000,1582934520,1583019480,1583135580,1583201220,1583298180,1583395200,1583476500,1583557140,1583643420,1583730240,1583815860,1583903220,1583989080,1584074520,1584161520,1584249180,1584334380,1584423240
apparentTemperatureMax,53.72,52.94,56.09,55.54,57.08,56.19,62.2,61.28,58.89,61.56,63.34,69.23,70.74,69.08,66.86,63.82,62.49,58.54,61.43,65.56,65.01,61.16,63.13,65.12,65.72,64.95,61.35,62.95,66.18,65.41,69.96,74.09,76.75,74.52,64.04,61.92,67.11,69.8,62.49,61.66,58.33,65.23,65.95,60.57,60.61,67.6,62.27,68.19,76.55,80.31,74.43,69.29,73.82,64.87,59.52
apparentTemperatureMaxTime,1579700820,1579785420,1579874460,1579960980,1580048220,1580132220,1580219400,1580305800,1580391000,1580479020,1580565720,1580652360,1580738580,1580824980,1580911200,1580997720,1581084000,1581169320,1581256860,1581343200,1581433140,1581516060,1581602520,1581688920,1581775500,1581861840,1581947760,1582034340,1582122600,1582207980,1582293840,1582380240,1582466640,1582552560,1582639200,1582723500,1582812120,1582898460,1582982700,1583071080,1583155080,1583244000,1583329560,1583415660,1583502600,1583589360,1583672700,1583762400,1583848980,1583935260,1584020280,1584104880,1584197820,1584276240,1584366840
