,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Province/State,Northern Territory,Northern Territory,Northern Territory,Northern Territory,Northern Territory,Northern Territory,Northern Territory,Northern Territory,Northern Territory,Northern Territory,Northern Territory,Northern Territory,Northern Territory,Northern Territory,Northern Territory,Northern Territory,Northern Territory,Northern Territory,Northern Territory,Northern Territory,Northern Territory,Northern Territory,Northern Territory,Northern Territory,Northern Territory,Northern Territory,Northern Territory,Northern Territory,Northern Territory,Northern Territory,Northern Territory,Northern Territory,Northern Territory,Northern Territory,Northern Territory,Northern Territory,Northern Territory,Northern Territory,Northern Territory,Northern Territory,Northern Territory,Northern Territory,Northern Territory,Northern Territory,Northern Territory,Northern Territory,Northern Territory,Northern Territory,Northern Territory,Northern Territory,Northern Territory,Northern Territory,Northern Territory,Northern Territory,Northern Territory
Country/Region,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia
Lat,-12.4634,-12.4634,-12.4634,-12.4634,-12.4634,-12.4634,-12.4634,-12.4634,-12.4634,-12.4634,-12.4634,-12.4634,-12.4634,-12.4634,-12.4634,-12.4634,-12.4634,-12.4634,-12.4634,-12.4634,-12.4634,-12.4634,-12.4634,-12.4634,-12.4634,-12.4634,-12.4634,-12.4634,-12.4634,-12.4634,-12.4634,-12.4634,-12.4634,-12.4634,-12.4634,-12.4634,-12.4634,-12.4634,-12.4634,-12.4634,-12.4634,-12.4634,-12.4634,-12.4634,-12.4634,-12.4634,-12.4634,-12.4634,-12.4634,-12.4634,-12.4634,-12.4634,-12.4634,-12.4634,-12.4634
Long,130.8456,130.8456,130.8456,130.8456,130.8456,130.8456,130.8456,130.8456,130.8456,130.8456,130.8456,130.8456,130.8456,130.8456,130.8456,130.8456,130.8456,130.8456,130.8456,130.8456,130.8456,130.8456,130.8456,130.8456,130.8456,130.8456,130.8456,130.8456,130.8456,130.8456,130.8456,130.8456,130.8456,130.8456,130.8456,130.8456,130.8456,130.8456,130.8456,130.8456,130.8456,130.8456,130.8456,130.8456,130.8456,130.8456,130.8456,130.8456,130.8456,130.8456,130.8456,130.8456,130.8456,130.8456,130.8456
time,1579617000,1579703400,1579789800,1579876200,1579962600,1580049000,1580135400,1580221800,1580308200,1580394600,1580481000,1580567400,1580653800,1580740200,1580826600,1580913000,1580999400,1581085800,1581172200,1581258600,1581345000,1581431400,1581517800,1581604200,1581690600,1581777000,1581863400,1581949800,1582036200,1582122600,1582209000,1582295400,1582381800,1582468200,1582554600,1582641000,1582727400,1582813800,1582900200,1582986600,1583073000,1583159400,1583245800,1583332200,1583418600,1583505000,1583591400,1583677800,1583764200,1583850600,1583937000,1584023400,1584109800,1584196200,1584282600
summary,Rain and humid throughout the day.,Light rain and humid throughout the day.,Light rain and humid throughout the day.,Possible light rain in the morning and afternoon.,Humid and overcast throughout the day.,Humid and overcast throughout the day.,Humid and mostly cloudy throughout the day.,Humid and mostly cloudy throughout the day.,Humid and mostly cloudy throughout the day.,Humid and mostly cloudy throughout the day.,Humid and mostly cloudy throughout the day.,Humid and overcast throughout the day.,Possible light rain in the morning.,Humid and overcast throughout the day.,Humid and mostly cloudy throughout the day.,Humid and mostly cloudy throughout the day.,Possible light rain in the evening.,Possible light rain overnight.,Rain overnight and in the morning.,"Possible light rain until night, starting again in the afternoon.",Possible light rain starting in the morning.,Possible light rain in the morning.,Possible light rain overnight and in the morning.,Humid and partly cloudy throughout the day.,Humid throughout the day.,Humid and overcast throughout the day.,Possible light rain overnight.,"Possible light rain until morning, starting again in the evening.",Possible light rain overnight and in the evening.,"Rain until night, starting again in the afternoon.",Humid and mostly cloudy throughout the day.,Humid and mostly cloudy throughout the day.,Humid and overcast throughout the day.,Humid and mostly cloudy throughout the day.,Possible light rain overnight.,Light rain and humid throughout the day.,Rain and humid throughout the day.,Light rain and humid throughout the day.,Rain and humid throughout the day.,Light rain and humid throughout the day.,Light rain until afternoon.,Possible light rain overnight and in the morning.,Possible light rain overnight and in the morning.,Humid and mostly cloudy throughout the day.,Rain overnight.,Rain and humid throughout the day.,Light rain and humid throughout the day.,Light rain starting in the morning.,Humid and mostly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid and mostly cloudy throughout the day.,Humid throughout the day.,Humid and partly cloudy throughout the day.,Humid and mostly cloudy throughout the day.,Humid throughout the day.
icon,rain,rain,rain,rain,rain,cloudy,partly-cloudy-day,partly-cloudy-day,rain,partly-cloudy-day,cloudy,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,clear-day,rain,rain,rain,rain,rain,rain,rain,cloudy,partly-cloudy-day,partly-cloudy-day,rain,rain,rain,rain,rain,rain,rain,rain,partly-cloudy-day,rain,rain,rain,rain,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,clear-day,rain,rain,rain
sunriseTime,1579640820,1579727280,1579813680,1579900140,1579986540,1580073000,1580159400,1580245860,1580332260,1580418720,1580505120,1580591520,1580677980,1580764380,1580850840,1580937240,1581023640,1581110100,1581196500,1581282900,1581369360,1581455760,1581542160,1581628620,1581715020,1581801420,1581887880,1581974280,1582060680,1582147080,1582233540,1582319940,1582406340,1582492740,1582579140,1582665600,1582752000,1582838400,1582924800,1583011200,1583097600,1583184060,1583270460,1583356860,1583443260,1583529660,1583616060,1583702460,1583788860,1583875260,1583961660,1584048120,1584134520,1584220920,1584307320
sunsetTime,1579686660,1579773060,1579859460,1579945860,1580032260,1580118660,1580205060,1580291460,1580377860,1580464260,1580550660,1580637060,1580723400,1580809800,1580896200,1580982600,1581069000,1581155340,1581241740,1581328140,1581414540,1581500880,1581587280,1581673680,1581760020,1581846420,1581932820,1582019160,1582105560,1582191900,1582278300,1582364640,1582451040,1582537440,1582623780,1582710180,1582796520,1582882920,1582969260,1583055600,1583142000,1583228340,1583314740,1583401080,1583487480,1583573820,1583660160,1583746560,1583832900,1583919300,1584005640,1584091980,1584178380,1584264720,1584351060
moonPhase,0.92,0.95,0.99,0.02,0.05,0.08,0.11,0.14,0.17,0.2,0.23,0.26,0.29,0.33,0.36,0.4,0.43,0.47,0.51,0.55,0.58,0.62,0.66,0.7,0.73,0.77,0.8,0.84,0.87,0.9,0.93,0.96,0.99,0.03,0.06,0.09,0.12,0.15,0.18,0.21,0.24,0.27,0.3,0.34,0.38,0.41,0.45,0.49,0.53,0.57,0.61,0.65,0.68,0.72,0.75
