,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,"Gambia, The","Gambia, The","Gambia, The","Gambia, The","Gambia, The","Gambia, The","Gambia, The","Gambia, The","Gambia, The","Gambia, The","Gambia, The","Gambia, The","Gambia, The","Gambia, The","Gambia, The","Gambia, The","Gambia, The","Gambia, The","Gambia, The","Gambia, The","Gambia, The","Gambia, The","Gambia, The","Gambia, The","Gambia, The","Gambia, The","Gambia, The","Gambia, The","Gambia, The","Gambia, The","Gambia, The","Gambia, The","Gambia, The","Gambia, The","Gambia, The","Gambia, The","Gambia, The","Gambia, The","Gambia, The","Gambia, The","Gambia, The","Gambia, The","Gambia, The","Gambia, The","Gambia, The","Gambia, The","Gambia, The","Gambia, The","Gambia, The","Gambia, The","Gambia, The","Gambia, The","Gambia, The","Gambia, The","Gambia, The"
Lat,13.4432,13.4432,13.4432,13.4432,13.4432,13.4432,13.4432,13.4432,13.4432,13.4432,13.4432,13.4432,13.4432,13.4432,13.4432,13.4432,13.4432,13.4432,13.4432,13.4432,13.4432,13.4432,13.4432,13.4432,13.4432,13.4432,13.4432,13.4432,13.4432,13.4432,13.4432,13.4432,13.4432,13.4432,13.4432,13.4432,13.4432,13.4432,13.4432,13.4432,13.4432,13.4432,13.4432,13.4432,13.4432,13.4432,13.4432,13.4432,13.4432,13.4432,13.4432,13.4432,13.4432,13.4432,13.4432
Long,-15.3101,-15.3101,-15.3101,-15.3101,-15.3101,-15.3101,-15.3101,-15.3101,-15.3101,-15.3101,-15.3101,-15.3101,-15.3101,-15.3101,-15.3101,-15.3101,-15.3101,-15.3101,-15.3101,-15.3101,-15.3101,-15.3101,-15.3101,-15.3101,-15.3101,-15.3101,-15.3101,-15.3101,-15.3101,-15.3101,-15.3101,-15.3101,-15.3101,-15.3101,-15.3101,-15.3101,-15.3101,-15.3101,-15.3101,-15.3101,-15.3101,-15.3101,-15.3101,-15.3101,-15.3101,-15.3101,-15.3101,-15.3101,-15.3101,-15.3101,-15.3101,-15.3101,-15.3101,-15.3101,-15.3101
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparentTemperatureHigh,93.89,95.16,98.96,101.21,99.04,102.25,101.66,101.54,101.42,103.37,104.46,100.03,99.8,101.22,101.4,101.19,100.66,100.48,100.05,100.51,101.82,102.82,102.31,103.04,102.68,103.84,103.75,103.6,103.83,104.52,103.72,102.38,97.5,105.27,105.37,105.93,105.19,104.94,103.63,104.87,105.54,106.17,107.85,107.44,106.85,105.29,105.46,105.9,105.66,105.51,106.52,105.14,104.23,103.64,102.69
apparentTemperatureHighTime,1579702620,1579788840,1579874700,1579967640,1580053620,1580141760,1580229060,1580312820,1580398920,1580485380,1580574900,1580659920,1580745180,1580831160,1580918100,1581005700,1581090420,1581176640,1581263820,1581352080,1581438660,1581525300,1581611160,1581695280,1581781980,1581871560,1581955020,1582041060,1582128840,1582213500,1582300140,1582389480,1582473360,1582559040,1582646040,1582731600,1582820580,1582903980,1582994220,1583080080,1583163960,1583250720,1583336820,1583423100,1583509860,1583597760,1583682780,1583771160,1583855220,1583941500,1584027720,1584114840,1584201120,1584286980,1584376140
apparentTemperatureLow,76.91,76.34,77.61,70.84,75.55,68.45,65.71,69.02,73.05,73.73,64.55,69.19,66.71,70.99,68.51,69.25,71.38,69.82,67.07,65.67,68.96,77.4,74.75,77.81,74.63,74.62,76.64,68.5,67.43,72.27,69.23,73.12,82.31,78.76,79.73,77.88,69.92,70.63,72.24,69.77,69.78,67.94,70.12,65.28,65.7,67.35,69.12,69.38,68.74,75.18,75.89,76.17,73.31,67.66,67.3
apparentTemperatureLowTime,1579764720,1579841820,1579928520,1580011320,1580101320,1580187540,1580274180,1580359920,1580446440,1580533740,1580619720,1580706360,1580792460,1580879880,1580965320,1581052140,1581138420,1581224460,1581311100,1581397560,1581483720,1581570180,1581656640,1581743100,1581829140,1581915300,1582002240,1582088460,1582174380,1582261380,1582347780,1582434120,1582516380,1582613520,1582693500,1582779600,1582866000,1582952460,1583039040,1583125440,1583211840,1583298000,1583384100,1583471100,1583557440,1583643660,1583730000,1583816340,1583903040,1583988840,1584076080,1584161820,1584255300,1584341820,1584421440
apparentTemperatureMax,93.89,95.16,98.96,101.21,99.04,102.25,101.66,101.54,101.42,103.37,104.46,100.03,99.8,101.22,101.4,101.19,100.66,100.48,100.05,100.51,101.82,102.82,102.31,103.04,102.68,103.84,103.75,103.6,103.83,104.52,103.72,102.38,97.5,105.27,105.37,105.93,105.19,104.94,103.63,104.87,105.54,106.17,107.85,107.44,106.85,105.29,105.46,105.9,105.66,105.51,106.52,105.14,104.23,103.64,102.69
apparentTemperatureMaxTime,1579702620,1579788840,1579874700,1579967640,1580053620,1580141760,1580229060,1580312820,1580398920,1580485380,1580574900,1580659920,1580745180,1580831160,1580918100,1581005700,1581090420,1581176640,1581263820,1581352080,1581438660,1581525300,1581611160,1581695280,1581781980,1581871560,1581955020,1582041060,1582128840,1582213500,1582300140,1582389480,1582473360,1582559040,1582646040,1582731600,1582820580,1582903980,1582994220,1583080080,1583163960,1583250720,1583336820,1583423100,1583509860,1583597760,1583682780,1583771160,1583855220,1583941500,1584027720,1584114840,1584201120,1584286980,1584376140
