,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Province/State,French Guiana,French Guiana,French Guiana,French Guiana,French Guiana,French Guiana,French Guiana,French Guiana,French Guiana,French Guiana,French Guiana,French Guiana,French Guiana,French Guiana,French Guiana,French Guiana,French Guiana,French Guiana,French Guiana,French Guiana,French Guiana,French Guiana,French Guiana,French Guiana,French Guiana,French Guiana,French Guiana,French Guiana,French Guiana,French Guiana,French Guiana,French Guiana,French Guiana,French Guiana,French Guiana,French Guiana,French Guiana,French Guiana,French Guiana,French Guiana,French Guiana,French Guiana,French Guiana,French Guiana,French Guiana,French Guiana,French Guiana,French Guiana,French Guiana,French Guiana,French Guiana,French Guiana,French Guiana,French Guiana,French Guiana
Country/Region,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France
Lat,3.9339,3.9339,3.9339,3.9339,3.9339,3.9339,3.9339,3.9339,3.9339,3.9339,3.9339,3.9339,3.9339,3.9339,3.9339,3.9339,3.9339,3.9339,3.9339,3.9339,3.9339,3.9339,3.9339,3.9339,3.9339,3.9339,3.9339,3.9339,3.9339,3.9339,3.9339,3.9339,3.9339,3.9339,3.9339,3.9339,3.9339,3.9339,3.9339,3.9339,3.9339,3.9339,3.9339,3.9339,3.9339,3.9339,3.9339,3.9339,3.9339,3.9339,3.9339,3.9339,3.9339,3.9339,3.9339
Long,-53.1258,-53.1258,-53.1258,-53.1258,-53.1258,-53.1258,-53.1258,-53.1258,-53.1258,-53.1258,-53.1258,-53.1258,-53.1258,-53.1258,-53.1258,-53.1258,-53.1258,-53.1258,-53.1258,-53.1258,-53.1258,-53.1258,-53.1258,-53.1258,-53.1258,-53.1258,-53.1258,-53.1258,-53.1258,-53.1258,-53.1258,-53.1258,-53.1258,-53.1258,-53.1258,-53.1258,-53.1258,-53.1258,-53.1258,-53.1258,-53.1258,-53.1258,-53.1258,-53.1258,-53.1258,-53.1258,-53.1258,-53.1258,-53.1258,-53.1258,-53.1258,-53.1258,-53.1258,-53.1258,-53.1258
time,1579662000,1579748400,1579834800,1579921200,1580007600,1580094000,1580180400,1580266800,1580353200,1580439600,1580526000,1580612400,1580698800,1580785200,1580871600,1580958000,1581044400,1581130800,1581217200,1581303600,1581390000,1581476400,1581562800,1581649200,1581735600,1581822000,1581908400,1581994800,1582081200,1582167600,1582254000,1582340400,1582426800,1582513200,1582599600,1582686000,1582772400,1582858800,1582945200,1583031600,1583118000,1583204400,1583290800,1583377200,1583463600,1583550000,1583636400,1583722800,1583809200,1583895600,1583982000,1584068400,1584154800,1584241200,1584327600
summary,Humid and mostly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid throughout the day.,Light rain and humid throughout the day.,Light rain and humid throughout the day.,Possible light rain in the afternoon and evening.,Humid and mostly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Light rain starting in the afternoon.,Light rain in the morning and afternoon.,Humid and partly cloudy throughout the day.,Humid and mostly cloudy throughout the day.,Humid and mostly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Possible light rain in the morning.,Humid and mostly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Possible light rain in the afternoon and evening.,Humid and mostly cloudy throughout the day.,Rain starting in the afternoon.,Light rain until evening.,Possible drizzle in the morning.,Humid and mostly cloudy throughout the day.,Humid and mostly cloudy throughout the day.,Light rain starting in the afternoon.,Light rain until evening.,Humid and mostly cloudy throughout the day.,Humid and mostly cloudy throughout the day.,Humid and mostly cloudy throughout the day.,Humid and overcast throughout the day.,Humid and overcast throughout the day.,Possible light rain starting in the afternoon.,Rain until evening.,Light rain in the afternoon and evening.,Humid and mostly cloudy throughout the day.,Humid and mostly cloudy throughout the day.,Humid and mostly cloudy throughout the day.,Humid and mostly cloudy throughout the day.,Humid and mostly cloudy throughout the day.,Humid and mostly cloudy throughout the day.,Humid and mostly cloudy throughout the day.,Possible light rain in the evening.,Humid and mostly cloudy throughout the day.,Humid and mostly cloudy throughout the day.,Humid and mostly cloudy throughout the day.,Humid and mostly cloudy throughout the day.,Humid and mostly cloudy throughout the day.,Humid and mostly cloudy throughout the day.,Humid and mostly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid throughout the day.,Humid and overcast throughout the day.,Humid and partly cloudy throughout the day.,Humid and mostly cloudy throughout the day.,Humid and overcast throughout the day.
icon,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,rain,rain,rain,rain,rain,rain,rain,partly-cloudy-day,partly-cloudy-day,rain,clear-day,rain,partly-cloudy-day,partly-cloudy-day,rain,rain,rain,rain,rain,rain,partly-cloudy-day,rain,rain,rain,rain,partly-cloudy-day,cloudy,rain,rain,rain,rain,rain,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,rain,rain,rain,rain,partly-cloudy-day,partly-cloudy-day,rain,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day
sunriseTime,1579686420,1579772820,1579859280,1579945680,1580032080,1580118480,1580204880,1580291280,1580377680,1580464140,1580550540,1580636940,1580723340,1580809740,1580896140,1580982540,1581068940,1581155340,1581241740,1581328140,1581414540,1581500940,1581587280,1581673680,1581760080,1581846480,1581932880,1582019280,1582105680,1582192020,1582278420,1582364820,1582451220,1582537560,1582623960,1582710360,1582796760,1582883100,1582969500,1583055900,1583142240,1583228640,1583315040,1583401380,1583487780,1583574180,1583660520,1583746920,1583833320,1583919660,1584006060,1584092400,1584178800,1584265200,1584351540
sunsetTime,1579729380,1579815780,1579902240,1579988640,1580075040,1580161500,1580247900,1580334300,1580420700,1580507160,1580593560,1580679960,1580766360,1580852820,1580939220,1581025620,1581112020,1581198420,1581284820,1581371220,1581457680,1581544080,1581630480,1581716880,1581803280,1581889680,1581976080,1582062480,1582148880,1582235280,1582321680,1582408080,1582494480,1582580880,1582667280,1582753680,1582840080,1582926480,1583012880,1583099280,1583185620,1583272020,1583358420,1583444820,1583531220,1583617620,1583704020,1583790360,1583876760,1583963160,1584049560,1584135960,1584222360,1584308700,1584395100
moonPhase,0.94,0.97,0,0.03,0.07,0.1,0.13,0.16,0.19,0.22,0.25,0.28,0.31,0.34,0.38,0.41,0.45,0.49,0.53,0.57,0.6,0.64,0.68,0.72,0.75,0.79,0.82,0.85,0.89,0.92,0.95,0.98,0.01,0.04,0.07,0.1,0.13,0.16,0.19,0.22,0.26,0.29,0.32,0.36,0.39,0.43,0.47,0.51,0.55,0.59,0.63,0.66,0.7,0.74,0.77
