,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,Mauritania,Mauritania,Mauritania,Mauritania,Mauritania,Mauritania,Mauritania,Mauritania,Mauritania,Mauritania,Mauritania,Mauritania,Mauritania,Mauritania,Mauritania,Mauritania,Mauritania,Mauritania,Mauritania,Mauritania,Mauritania,Mauritania,Mauritania,Mauritania,Mauritania,Mauritania,Mauritania,Mauritania,Mauritania,Mauritania,Mauritania,Mauritania,Mauritania,Mauritania,Mauritania,Mauritania,Mauritania,Mauritania,Mauritania,Mauritania,Mauritania,Mauritania,Mauritania,Mauritania,Mauritania,Mauritania,Mauritania,Mauritania,Mauritania,Mauritania,Mauritania,Mauritania,Mauritania,Mauritania,Mauritania
Lat,21.0079,21.0079,21.0079,21.0079,21.0079,21.0079,21.0079,21.0079,21.0079,21.0079,21.0079,21.0079,21.0079,21.0079,21.0079,21.0079,21.0079,21.0079,21.0079,21.0079,21.0079,21.0079,21.0079,21.0079,21.0079,21.0079,21.0079,21.0079,21.0079,21.0079,21.0079,21.0079,21.0079,21.0079,21.0079,21.0079,21.0079,21.0079,21.0079,21.0079,21.0079,21.0079,21.0079,21.0079,21.0079,21.0079,21.0079,21.0079,21.0079,21.0079,21.0079,21.0079,21.0079,21.0079,21.0079
Long,10.9408,10.9408,10.9408,10.9408,10.9408,10.9408,10.9408,10.9408,10.9408,10.9408,10.9408,10.9408,10.9408,10.9408,10.9408,10.9408,10.9408,10.9408,10.9408,10.9408,10.9408,10.9408,10.9408,10.9408,10.9408,10.9408,10.9408,10.9408,10.9408,10.9408,10.9408,10.9408,10.9408,10.9408,10.9408,10.9408,10.9408,10.9408,10.9408,10.9408,10.9408,10.9408,10.9408,10.9408,10.9408,10.9408,10.9408,10.9408,10.9408,10.9408,10.9408,10.9408,10.9408,10.9408,10.9408
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparentTemperatureHigh,79.75,79.44,81.79,82.55,81.53,84.59,88.04,86.83,86.17,86.08,83.64,84.58,83.95,79.81,78.66,83.22,76.54,77.19,80.8,83.22,82.52,81.36,84.53,87.23,87.48,86.14,81.86,80.01,79.11,81.9,85.39,82.59,81.13,78.45,80.96,83.7,85.32,90.87,91.52,91,91.97,93.48,94,91.87,90.01,92.3,95.33,90.65,90.82,80.06,78.75,82.96,86.26,89.4,93.94
apparentTemperatureHighTime,1579701540,1579787760,1579874340,1579960680,1580047080,1580133600,1580220000,1580306160,1580392440,1580479020,1580565540,1580652060,1580738460,1580824440,1580911140,1580997900,1581084000,1581170460,1581256800,1581343500,1581431040,1581515760,1581602220,1581688740,1581774720,1581861180,1581947760,1582034160,1582122840,1582207020,1582293180,1582379400,1582466460,1582552980,1582639320,1582727280,1582811520,1582897860,1582983900,1583070900,1583157060,1583243280,1583330100,1583416200,1583502600,1583589060,1583675580,1583762400,1583848680,1583935020,1584021240,1584109560,1584195120,1584280260,1584366900
apparentTemperatureLow,50.17,52.59,54.41,47.37,45.16,55.4,54.03,49.6,50.4,47.42,46.52,50.36,54.52,44.45,47.65,52.14,37.69,40.65,43.51,43.38,50.75,45.72,43.7,55.61,57.15,55.77,50.8,44.63,44.4,51.4,57.53,60.74,44.44,41.76,49.33,47.19,52.24,60.81,56.72,53.88,52.74,55.34,59.73,59.49,51.97,56.09,57.12,52.23,57.43,51.25,44.63,46.5,48.06,55.65,61.97
apparentTemperatureLowTime,1579755960,1579844280,1579928160,1580011260,1580101260,1580184480,1580273700,1580360040,1580446380,1580533080,1580619660,1580705880,1580792460,1580878980,1580962140,1581051720,1581138180,1581224280,1581310860,1581397140,1581483600,1581569940,1581655800,1581742800,1581828900,1581915660,1582001820,1582088400,1582174740,1582260900,1582344000,1582434180,1582520460,1582606380,1582689780,1582779480,1582865940,1582952340,1583038560,1583124960,1583211360,1583298240,1583381040,1583473080,1583557020,1583643540,1583729700,1583816220,1583903100,1583989140,1584075540,1584161880,1584248280,1584334140,1584421020
apparentTemperatureMax,79.75,79.44,81.79,82.55,81.53,84.59,88.04,86.83,86.17,86.08,83.64,84.58,83.95,79.81,78.66,83.22,76.54,77.19,80.8,83.22,82.52,81.36,84.53,87.23,87.48,86.14,81.86,80.01,79.11,81.9,85.39,82.59,81.13,78.45,80.96,83.7,85.32,90.87,91.52,91,91.97,93.48,94,91.87,90.01,92.3,95.33,90.65,90.82,80.06,78.75,82.96,86.26,89.4,93.94
apparentTemperatureMaxTime,1579701540,1579787760,1579874340,1579960680,1580047080,1580133600,1580220000,1580306160,1580392440,1580479020,1580565540,1580652060,1580738460,1580824440,1580911140,1580997900,1581084000,1581170460,1581256800,1581343500,1581431040,1581515760,1581602220,1581688740,1581774720,1581861180,1581947760,1582034160,1582122840,1582207020,1582293180,1582379400,1582466460,1582552980,1582639320,1582727280,1582811520,1582897860,1582983900,1583070900,1583157060,1583243280,1583330100,1583416200,1583502600,1583589060,1583675580,1583762400,1583848680,1583935020,1584021240,1584109560,1584195120,1584280260,1584366900
apparentTemperatureMin,43.85,50.17,52.59,54.41,47.37,45.16,55.4,54.03,49.6,50.4,47.42,46.52,50.36,54.52,44.45,47.65,52.14,37.69,40.65,43.51,43.38,50.75,45.72,43.7,55.61,57.15,55.77,50.8,44.63,44.4,51.4,57.53,60.74,44.44,41.76,49.33,47.19,52.24,60.81,56.72,53.88,52.74,55.34,59.73,59.49,51.97,56.09,57.12,52.23,57.43,51.25,44.63,46.5,48.06,55.65
