,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Province/State,Curacao,Curacao,Curacao,Curacao,Curacao,Curacao,Curacao,Curacao,Curacao,Curacao,Curacao,Curacao,Curacao,Curacao,Curacao,Curacao,Curacao,Curacao,Curacao,Curacao,Curacao,Curacao,Curacao,Curacao,Curacao,Curacao,Curacao,Curacao,Curacao,Curacao,Curacao,Curacao,Curacao,Curacao,Curacao,Curacao,Curacao,Curacao,Curacao,Curacao,Curacao,Curacao,Curacao,Curacao,Curacao,Curacao,Curacao,Curacao,Curacao,Curacao,Curacao,Curacao,Curacao,Curacao,Curacao
Country/Region,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands
Lat,12.1696,12.1696,12.1696,12.1696,12.1696,12.1696,12.1696,12.1696,12.1696,12.1696,12.1696,12.1696,12.1696,12.1696,12.1696,12.1696,12.1696,12.1696,12.1696,12.1696,12.1696,12.1696,12.1696,12.1696,12.1696,12.1696,12.1696,12.1696,12.1696,12.1696,12.1696,12.1696,12.1696,12.1696,12.1696,12.1696,12.1696,12.1696,12.1696,12.1696,12.1696,12.1696,12.1696,12.1696,12.1696,12.1696,12.1696,12.1696,12.1696,12.1696,12.1696,12.1696,12.1696,12.1696,12.1696
Long,-68.99,-68.99,-68.99,-68.99,-68.99,-68.99,-68.99,-68.99,-68.99,-68.99,-68.99,-68.99,-68.99,-68.99,-68.99,-68.99,-68.99,-68.99,-68.99,-68.99,-68.99,-68.99,-68.99,-68.99,-68.99,-68.99,-68.99,-68.99,-68.99,-68.99,-68.99,-68.99,-68.99,-68.99,-68.99,-68.99,-68.99,-68.99,-68.99,-68.99,-68.99,-68.99,-68.99,-68.99,-68.99,-68.99,-68.99,-68.99,-68.99,-68.99,-68.99,-68.99,-68.99,-68.99,-68.99
time,1579665600,1579752000,1579838400,1579924800,1580011200,1580097600,1580184000,1580270400,1580356800,1580443200,1580529600,1580616000,1580702400,1580788800,1580875200,1580961600,1581048000,1581134400,1581220800,1581307200,1581393600,1581480000,1581566400,1581652800,1581739200,1581825600,1581912000,1581998400,1582084800,1582171200,1582257600,1582344000,1582430400,1582516800,1582603200,1582689600,1582776000,1582862400,1582948800,1583035200,1583121600,1583208000,1583294400,1583380800,1583467200,1583553600,1583640000,1583726400,1583812800,1583899200,1583985600,1584072000,1584158400,1584244800,1584331200
summary,Humid and mostly cloudy throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid throughout the day.,Humid and partly cloudy throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid and partly cloudy throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid and partly cloudy throughout the day.,Humid throughout the day.,Humid throughout the day.,Possible light rain in the morning.,Humid throughout the day.,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid throughout the day.,Humid and partly cloudy throughout the day.,Humid throughout the day.,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Possible light rain in the morning.
icon,partly-cloudy-day,clear-day,clear-day,clear-day,rain,clear-day,clear-day,clear-day,clear-day,clear-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,clear-day,partly-cloudy-day,clear-day,clear-day,rain,clear-day,clear-day,clear-day,rain,rain,clear-day,clear-day,partly-cloudy-day,rain,rain,rain,clear-day,partly-cloudy-day,partly-cloudy-day,clear-day,clear-day,clear-day,clear-day,rain,partly-cloudy-day,partly-cloudy-day,clear-day,partly-cloudy-day,clear-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,clear-day,partly-cloudy-day,partly-cloudy-day,clear-day,clear-day,clear-day,clear-day,rain
sunriseTime,1579690980,1579777380,1579863780,1579950180,1580036580,1580122980,1580209380,1580295780,1580382180,1580468580,1580554920,1580641320,1580727720,1580814120,1580900520,1580986920,1581073260,1581159660,1581246060,1581332460,1581418800,1581505200,1581591600,1581677940,1581764340,1581850740,1581937080,1582023480,1582109880,1582196220,1582282620,1582368960,1582455360,1582541700,1582628100,1582714500,1582800840,1582887180,1582973580,1583059920,1583146320,1583232660,1583319060,1583405400,1583491800,1583578140,1583664480,1583750880,1583837220,1583923620,1584009960,1584096300,1584182700,1584269040,1584355380
sunsetTime,1579732500,1579818900,1579905300,1579991760,1580078160,1580164620,1580251020,1580337480,1580423880,1580510340,1580596740,1580683140,1580769600,1580856000,1580942460,1581028860,1581115260,1581201720,1581288120,1581374520,1581460980,1581547380,1581633780,1581720240,1581806640,1581893040,1581979440,1582065900,1582152300,1582238700,1582325100,1582411500,1582497960,1582584360,1582670760,1582757160,1582843560,1582929960,1583016420,1583102820,1583189220,1583275620,1583362020,1583448420,1583534820,1583621220,1583707620,1583794080,1583880480,1583966880,1584053280,1584139680,1584226080,1584312480,1584398880
moonPhase,0.94,0.97,0,0.04,0.07,0.1,0.13,0.16,0.19,0.22,0.25,0.28,0.31,0.35,0.38,0.42,0.45,0.49,0.53,0.57,0.61,0.64,0.68,0.72,0.75,0.79,0.82,0.85,0.89,0.92,0.95,0.98,0.01,0.04,0.07,0.1,0.13,0.16,0.19,0.22,0.26,0.29,0.32,0.36,0.4,0.43,0.47,0.51,0.55,0.59,0.63,0.67,0.7,0.74,0.77
precipIntensity,0.0003,0.0003,0.0002,0.0002,0.0007,0.0004,0.0002,0.0002,0.0002,0.0002,0.0004,0.0002,0.0002,0.0002,0.0003,0.0003,0.0002,0.0002,0.0008,0.0008,0.0002,0.0007,0.0042,0.0056,0.0011,0.0001,0.0004,0.0067,0.0035,0.0069,0.0002,0.0003,0.0002,0.0005,0.001,0.0002,0.0002,0.0029,0.0006,0.0002,0.0003,0.0001,0.0004,0.0001,0.0002,0.0002,0.0002,0.0002,0.0004,0.0005,0.0003,0.0002,0.0005,0.0003,0.0068
precipIntensityMax,0.0012,0.0011,0.0004,0.0007,0.0022,0.0022,0.0005,0.0004,0.0009,0.0006,0.0013,0.0008,0.0004,0.0005,0.0006,0.001,0.0006,0.0008,0.0027,0.0062,0.0005,0.0016,0.0129,0.016,0.0066,0.0004,0.0014,0.0249,0.0113,0.0239,0.0005,0.0007,0.0006,0.0051,0.0082,0.0003,0.0005,0.0134,0.0035,0.0005,0.0008,0.0004,0.0016,0.0004,0.0005,0.0006,0.0004,0.0004,0.0013,0.0018,0.0005,0.0007,0.0016,0.0018,0.0332
