,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,47.1981,47.1981,47.1981,47.1981,47.1981,47.1981,47.1981,47.1981,47.1981,47.1981,47.1981,47.1981,47.1981,47.1981,47.1981,47.1981,47.1981,47.1981,47.1981,47.1981,47.1981,47.1981,47.1981,47.1981,47.1981,47.1981,47.1981,47.1981,47.1981,47.1981,47.1981,47.1981,47.1981,47.1981,47.1981,47.1981,47.1981,47.1981,47.1981,47.1981,47.1981,47.1981,47.1981,47.1981,47.1981,47.1981,47.1981,47.1981,47.1981,47.1981,47.1981,47.1981,47.1981,47.1981,47.1981
Long,-119.3732,-119.3732,-119.3732,-119.3732,-119.3732,-119.3732,-119.3732,-119.3732,-119.3732,-119.3732,-119.3732,-119.3732,-119.3732,-119.3732,-119.3732,-119.3732,-119.3732,-119.3732,-119.3732,-119.3732,-119.3732,-119.3732,-119.3732,-119.3732,-119.3732,-119.3732,-119.3732,-119.3732,-119.3732,-119.3732,-119.3732,-119.3732,-119.3732,-119.3732,-119.3732,-119.3732,-119.3732,-119.3732,-119.3732,-119.3732,-119.3732,-119.3732,-119.3732,-119.3732,-119.3732,-119.3732,-119.3732,-119.3732,-119.3732,-119.3732,-119.3732,-119.3732,-119.3732,-119.3732,-119.3732
Province/State,"Grant County, WA","Grant County, WA","Grant County, WA","Grant County, WA","Grant County, WA","Grant County, WA","Grant County, WA","Grant County, WA","Grant County, WA","Grant County, WA","Grant County, WA","Grant County, WA","Grant County, WA","Grant County, WA","Grant County, WA","Grant County, WA","Grant County, WA","Grant County, WA","Grant County, WA","Grant County, WA","Grant County, WA","Grant County, WA","Grant County, WA","Grant County, WA","Grant County, WA","Grant County, WA","Grant County, WA","Grant County, WA","Grant County, WA","Grant County, WA","Grant County, WA","Grant County, WA","Grant County, WA","Grant County, WA","Grant County, WA","Grant County, WA","Grant County, WA","Grant County, WA","Grant County, WA","Grant County, WA","Grant County, WA","Grant County, WA","Grant County, WA","Grant County, WA","Grant County, WA","Grant County, WA","Grant County, WA","Grant County, WA","Grant County, WA","Grant County, WA","Grant County, WA","Grant County, WA","Grant County, WA","Grant County, WA","Grant County, WA"
apparentTemperatureHigh,35.96,40.71,46.54,41.65,43.27,45.35,42.83,37.88,38.95,55.1,56.56,40.51,37.15,25.83,39.62,39.07,39.81,51.85,41.25,51.53,58.51,51.88,41.74,53.29,51.52,52.47,48.37,47.77,45.48,45.88,47.01,54.65,53.2,51.96,47.49,55.51,58.72,59.79,54.13,51.64,60.41,63.2,55.45,56.04,57.33,51.75,51.24,52.62,57.49,57.47,53.08,34.19,20.44,35.58,54.52
apparentTemperatureHighTime,1579719600,1579817760,1579905000,1579992480,1580075820,1580162340,1580248440,1580339280,1580420940,1580519040,1580586900,1580680860,1580768640,1580855580,1580943540,1581018060,1581115620,1581197760,1581285780,1581374700,1581457920,1581545340,1581634920,1581716700,1581805920,1581892080,1581979020,1582063440,1582149660,1582237500,1582322520,1582412280,1582493940,1582582260,1582671840,1582758900,1582844280,1582937340,1583013300,1583100240,1583186580,1583272920,1583359200,1583449320,1583535540,1583619360,1583707920,1583794500,1583881680,1583962200,1584054120,1584120300,1584223500,1584313560,1584399660
apparentTemperatureLow,32.06,33.5,27.73,27.83,29.59,34.41,29.09,25.9,29.96,51.39,25.1,17.63,18.15,23.29,27.1,30.75,28.42,23.97,23.33,23.06,25.62,21.52,24.62,25.31,26.43,24.59,18.41,15.14,14.86,15.9,23.1,26.44,25.18,21.8,26.19,27.14,23.51,28.13,22.21,27.19,36.47,32.42,23.71,32.19,37.79,26.5,22.78,23.77,33.68,24.17,27.91,10.11,11.6,17.32,18.99
apparentTemperatureLowTime,1579793580,1579878060,1579954020,1580029020,1580137500,1580225640,1580280900,1580399940,1580460780,1580565960,1580655480,1580733840,1580817720,1580875080,1580987040,1581087240,1581169920,1581256920,1581341940,1581433440,1581515460,1581604260,1581688860,1581777840,1581861540,1581950220,1582036140,1582123800,1582207380,1582296600,1582375560,1582469040,1582552800,1582640280,1582721760,1582815360,1582900020,1582984860,1583064000,1583157240,1583246280,1583330640,1583417100,1583503680,1583596800,1583675520,1583762340,1583833440,1583935800,1584020820,1584103920,1584195180,1584280680,1584366480,1584453420
apparentTemperatureMax,37.29,40.71,46.54,41.65,43.27,45.35,42.83,37.88,38.95,55.1,56.56,40.51,37.15,25.83,39.62,39.07,39.81,51.85,41.25,51.53,58.51,51.88,41.74,53.29,51.52,52.47,48.37,47.77,45.48,45.88,47.01,54.65,53.2,51.96,47.49,55.51,58.72,59.79,54.13,51.64,60.41,63.2,55.45,56.04,57.33,51.75,51.24,52.62,57.49,57.47,53.08,34.19,20.44,35.58,54.52
apparentTemperatureMaxTime,1579759020,1579817760,1579905000,1579992480,1580075820,1580162340,1580248440,1580339280,1580420940,1580519040,1580586900,1580680860,1580768640,1580855580,1580943540,1581018060,1581115620,1581197760,1581285780,1581374700,1581457920,1581545340,1581634920,1581716700,1581805920,1581892080,1581979020,1582063440,1582149660,1582237500,1582322520,1582412280,1582493940,1582582260,1582671840,1582758900,1582844280,1582937340,1583013300,1583100240,1583186580,1583272920,1583359200,1583449320,1583535540,1583619360,1583707920,1583794500,1583881680,1583962200,1584054120,1584120300,1584223500,1584313560,1584399660
apparentTemperatureMin,25.62,32.06,32.55,27.73,27.83,29.59,29.09,28.33,25.9,29.96,30.35,24.14,17.63,18.15,25.49,27.1,30.75,27.32,23.97,23.33,23.06,25.62,21.52,24.62,25.31,26.43,24.59,18.41,15.14,14.86,15.9,23.1,26.44,25.18,21.8,26.19,27.14,23.51,28.13,22.21,27.19,36.47,32.42,23.71,32.19,32.45,26.5,22.78,23.77,33.68,24.17,17.2,10.11,11.6,17.32
apparentTemperatureMinTime,1579698480,1579793580,1579935600,1579954020,1580029020,1580137500,1580280900,1580367600,1580399940,1580460780,1580626800,1580712900,1580733840,1580817720,1580889600,1580987040,1581087240,1581231600,1581256920,1581341940,1581433440,1581515460,1581604260,1581688860,1581777840,1581861540,1581950220,1582036140,1582123800,1582207380,1582296600,1582375560,1582469040,1582552800,1582640280,1582721760,1582815360,1582900020,1582984860,1583064000,1583157240,1583246280,1583330640,1583417100,1583503680,1583650800,1583675520,1583762340,1583833440,1583935800,1584020820,1584165600,1584195180,1584280680,1584366480
cloudCover,0.79,0.99,0.74,0.71,0.71,0.75,0.74,0.76,0.85,0.8,0.53,0.09,0.12,0.61,0.74,0.78,0.86,0.3,0.23,0.09,0.21,0.11,0.33,0.12,0.65,0.3,0.23,0.03,0.01,0.05,0.07,0.24,0.33,0.15,0.37,0.29,0.26,0.19,0.16,0.17,0.3,0.41,0.28,0.58,0.72,0.68,0.46,0.18,0.6,0.31,0.14,0.88,0.68,0.33,0
dewPoint,30.3,33.7,35.07,31.92,34.27,32.64,34.57,31.31,28.44,38.48,36.41,15.97,13.88,17.24,26.22,29.07,32.37,29.02,23.85,23.21,26.86,25.71,26.64,24.04,30.09,23.56,19.14,14.96,15.35,17.43,17.88,23.88,26.99,20.22,20.83,26.66,28.73,29.64,21.08,16.77,29.78,31.19,20.1,21.43,31.75,35.25,23.15,20.77,22.57,23.84,16.2,25.76,17.58,15.02,19.1
humidity,0.84,0.87,0.84,0.83,0.84,0.78,0.83,0.83,0.8,0.79,0.59,0.48,0.53,0.64,0.74,0.76,0.8,0.65,0.61,0.6,0.59,0.61,0.7,0.55,0.66,0.54,0.48,0.48,0.49,0.53,0.53,0.57,0.57,0.45,0.54,0.58,0.6,0.58,0.43,0.42,0.53,0.49,0.37,0.45,0.59,0.73,0.55,0.5,0.5,0.43,0.4,0.69,0.66,0.51,0.49
icon,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,clear-day,clear-day,snow,snow,rain,rain,rain,clear-day,clear-day,clear-day,clear-day,partly-cloudy-day,clear-day,rain,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,rain,clear-day,partly-cloudy-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,partly-cloudy-day,clear-day,partly-cloudy-day,rain,rain,partly-cloudy-day,clear-day,partly-cloudy-day,clear-day,clear-day,rain,snow,partly-cloudy-day,clear-day
moonPhase,0.94,0.98,0.01,0.04,0.07,0.1,0.13,0.16,0.19,0.22,0.25,0.29,0.32,0.35,0.39,0.42,0.46,0.5,0.53,0.57,0.61,0.65,0.69,0.72,0.76,0.79,0.83,0.86,0.89,0.92,0.96,0.99,0.02,0.05,0.08,0.11,0.14,0.17,0.2,0.23,0.26,0.3,0.33,0.37,0.4,0.44,0.48,0.52,0.56,0.6,0.63,0.67,0.71,0.74,0.78
ozone,362.1,354.5,376.6,348.9,343.7,367.9,371.7,339.6,343.7,333.6,342.4,406.7,405.2,369.4,313.3,335.5,353,407.1,359.5,348,373.5,382.4,383.7,388.3,365.2,380.6,396.8,375.8,379.7,405.7,331.9,356.2,393.3,372.5,352,339.7,332.6,321.5,412,374.6,340.9,353.5,385.5,350.7,357.6,382.3,414.2,391.3,352.2,336,363.3,373.1,376.8,376.5,346.7
precipAccumulation,,,,,,,,,,,,,0.11,0.23,0.11,,,,,,,,0.05,,,,,0.1,0.1,0.11,0.08,,,,0.07,,,,,,,,,,,,,,,,,,0.62,0.1,0.06
precipIntensity,0.0061,0.0083,0.0038,0.0047,0.0036,0.0054,0.0045,0.001,0.0013,0.0004,0.0009,0.0003,0.0005,0.0011,0.0014,0.0047,0.0018,0.0011,0.0007,0.0007,0.0008,0.0008,0.0006,0.0006,0.001,0.0008,0.0006,0.0008,0.0007,0.0009,0.0007,0.0006,0.0016,0.0006,0.0007,0.0006,0.0003,0.0001,0.0006,0.0004,0.0008,0.0006,0.0005,0.0004,0.0013,0.0111,0.0006,0.0006,0.0006,0.0005,0.0006,0.0107,0.0024,0.0005,0.0006
precipIntensityMax,0.0224,0.019,0.0258,0.0294,0.0209,0.0352,0.019,0.0049,0.0103,0.0019,0.0041,0.0018,0.002,0.0036,0.0057,0.0191,0.0074,0.0038,0.002,0.0022,0.0018,0.0019,0.0018,0.0016,0.0035,0.0019,0.0016,0.0019,0.0018,0.0019,0.0017,0.0018,0.0157,0.0018,0.0017,0.0019,0.0019,0.0012,0.0018,0.0018,0.0019,0.0017,0.0018,0.0015,0.0096,0.0572,0.0019,0.0019,0.0018,0.0018,0.0018,0.0314,0.0104,0.0021,0.0019
precipIntensityMaxTime,1579732200,1579820460,1579856640,1579964880,1580048100,1580190600,1580223660,1580331420,1580446740,1580493660,1580588160,1580680800,1580755920,1580846700,1580893380,1581026640,1581064920,1581177420,1581270660,1581331140,1581460620,1581541440,1581638340,1581673800,1581807660,1581898740,1581998940,1582027440,1582114380,1582261080,1582317720,1582401600,1582484460,1582588800,1582617600,1582736340,1582828680,1582909260,1582977600,1583082000,1583137440,1583272860,1583366400,1583413560,1583564400,1583572200,1583722020,1583748180,1583827020,1583953200,1584014460,1584144360,1584172380,1584291600,1584366900
precipProbability,0.81,0.9,0.86,0.63,0.73,0.83,0.81,0.42,0.45,0.34,0.32,0.09,0.1,0.3,0.51,0.8,0.58,0.32,0.05,0.04,0.07,0.07,0.16,0.14,0.33,0.18,0.11,0.08,0.05,0.06,0.03,0.04,0.42,0.09,0.08,0.05,0.06,0.05,0.11,0.05,0.13,0.08,0.02,0.03,0.44,0.89,0.07,0.08,0.05,0.05,0.02,0.77,0.39,0.07,0.01
precipType,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,snow,snow,snow,rain,rain,rain,rain,rain,rain,rain,snow,rain,rain,rain,rain,snow,snow,snow,snow,rain,rain,rain,snow,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,snow,snow,snow
pressure,1018.2,1017.8,1014.4,1017.5,1016.1,1020.4,1017.3,1022.1,1025.9,1017.9,1014.5,1021.9,1025.3,1027.9,1016.5,1014.7,1013.6,1014.9,1028.7,1029.6,1020.5,1023.5,1014,1016.6,1016.7,1017.7,1025.9,1029.4,1031.4,1029.2,1024.4,1018.3,1015.1,1029.6,1034.9,1030,1028.8,1016,1014,1024,1018.3,1016.1,1020.3,1017.2,1011.1,1008.3,1016.6,1022.7,1021.6,1017.1,1023.7,1009.9,1016.2,1023.3,1023.2
summary,Light rain starting in the afternoon.,Light rain throughout the day.,Mostly cloudy throughout the day.,Possible light rain in the morning.,Light rain in the morning.,Light rain in the evening and overnight.,Possible light rain in the morning.,Overcast throughout the day.,Possible drizzle in the evening.,Mostly cloudy throughout the day.,Mostly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Mostly cloudy throughout the day.,Mostly cloudy throughout the day.,Light rain in the afternoon and evening.,Possible drizzle in the morning and afternoon.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Mostly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Windy in the afternoon.,Clear throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Mostly cloudy throughout the day.,Light rain overnight.,Light rain in the morning.,Partly cloudy throughout the day.,Clear throughout the day.,Mostly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Light rain (with a chance of 1–2 in. of snow) in the afternoon and evening.,Mostly cloudy throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.
sunriseTime,1579707300,1579793640,1579879980,1579966320,1580052660,1580139000,1580225340,1580311680,1580398020,1580484360,1580570640,1580656980,1580743320,1580829600,1580915940,1581002280,1581088560,1581174900,1581261180,1581347520,1581433800,1581520140,1581606420,1581692760,1581779040,1581865320,1581951660,1582037940,1582124220,1582210560,1582296840,1582383120,1582469400,1582555680,1582642020,1582728300,1582814580,1582900860,1582987140,1583073420,1583159700,1583246040,1583332320,1583418600,1583504880,1583591160,1583677440,1583763720,1583850000,1583936280,1584022560,1584108840,1584195120,1584281400,1584367680
sunsetTime,1579740300,1579826820,1579913280,1579999740,1580086260,1580172780,1580259240,1580345760,1580432220,1580518740,1580605200,1580691720,1580778180,1580864700,1580951160,1581037680,1581124200,1581210660,1581297180,1581383640,1581470160,1581556620,1581643140,1581729660,1581816120,1581902640,1581989100,1582075620,1582162080,1582248600,1582335060,1582421580,1582508040,1582594560,1582681020,1582767540,1582854000,1582940520,1583026980,1583113500,1583199960,1583286480,1583372940,1583459460,1583545920,1583632440,1583718900,1583805360,1583891880,1583978340,1584064860,1584151320,1584237840,1584324300,1584410760
temperatureHigh,40.18,41.08,50.04,44.27,46.21,47.44,45.32,43.16,39.32,55.6,57.06,44.1,42.61,33.3,40.12,41.31,43.57,51.79,46.34,51.91,59.01,52.29,45.93,53.79,51.4,52.83,50.5,48.25,47.92,47.64,49.02,55.15,53.59,52.27,49.55,56.01,59.22,60.29,54.63,52.14,60.91,63.7,55.95,56.54,57.83,52.02,51.73,53.12,57.99,57.97,53.58,41.36,32.09,42.41,55.02
temperatureHighTime,1579729560,1579817460,1579905300,1579992360,1580076120,1580162460,1580248740,1580338740,1580421720,1580519040,1580586900,1580680680,1580768700,1580856360,1580943540,1581019620,1581116280,1581198240,1581285720,1581375000,1581457920,1581545040,1581634980,1581716700,1581806280,1581890460,1581979800,1582063320,1582149840,1582236720,1582322760,1582412280,1582494840,1582581780,1582671780,1582758900,1582844280,1582937340,1583013300,1583100240,1583186580,1583272920,1583359200,1583449320,1583535540,1583619120,1583708040,1583794560,1583881680,1583962200,1584054120,1584121560,1584223500,1584312600,1584399660
temperatureLow,34.35,35.82,31.91,33.49,32.37,37.06,30.98,28.97,34.47,50.9,29.67,21.44,20.48,29.46,29.71,34.05,33.86,28.17,26.56,28.64,28.45,26.45,30.29,30.1,30.93,28.83,24.05,22.52,22.71,22.25,25.51,31.26,33.03,25.87,30.28,29.7,29.2,35.58,27,32.4,40.28,38.61,29.74,34.25,41.22,29.52,28.38,27.16,39.01,28.04,31.8,23.46,23.54,25.61,24.62
