,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country/Region,Jamaica,Jamaica,Jamaica,Jamaica,Jamaica,Jamaica,Jamaica,Jamaica,Jamaica,Jamaica,Jamaica,Jamaica,Jamaica,Jamaica,Jamaica,Jamaica,Jamaica,Jamaica,Jamaica,Jamaica,Jamaica,Jamaica,Jamaica,Jamaica,Jamaica,Jamaica,Jamaica,Jamaica,Jamaica,Jamaica,Jamaica,Jamaica,Jamaica,Jamaica,Jamaica,Jamaica,Jamaica,Jamaica,Jamaica,Jamaica,Jamaica,Jamaica,Jamaica,Jamaica,Jamaica,Jamaica,Jamaica,Jamaica,Jamaica,Jamaica,Jamaica,Jamaica,Jamaica,Jamaica,Jamaica
Lat,18.1096,18.1096,18.1096,18.1096,18.1096,18.1096,18.1096,18.1096,18.1096,18.1096,18.1096,18.1096,18.1096,18.1096,18.1096,18.1096,18.1096,18.1096,18.1096,18.1096,18.1096,18.1096,18.1096,18.1096,18.1096,18.1096,18.1096,18.1096,18.1096,18.1096,18.1096,18.1096,18.1096,18.1096,18.1096,18.1096,18.1096,18.1096,18.1096,18.1096,18.1096,18.1096,18.1096,18.1096,18.1096,18.1096,18.1096,18.1096,18.1096,18.1096,18.1096,18.1096,18.1096,18.1096,18.1096
Long,-77.2975,-77.2975,-77.2975,-77.2975,-77.2975,-77.2975,-77.2975,-77.2975,-77.2975,-77.2975,-77.2975,-77.2975,-77.2975,-77.2975,-77.2975,-77.2975,-77.2975,-77.2975,-77.2975,-77.2975,-77.2975,-77.2975,-77.2975,-77.2975,-77.2975,-77.2975,-77.2975,-77.2975,-77.2975,-77.2975,-77.2975,-77.2975,-77.2975,-77.2975,-77.2975,-77.2975,-77.2975,-77.2975,-77.2975,-77.2975,-77.2975,-77.2975,-77.2975,-77.2975,-77.2975,-77.2975,-77.2975,-77.2975,-77.2975,-77.2975,-77.2975,-77.2975,-77.2975,-77.2975,-77.2975
time,1579669200,1579755600,1579842000,1579928400,1580014800,1580101200,1580187600,1580274000,1580360400,1580446800,1580533200,1580619600,1580706000,1580792400,1580878800,1580965200,1581051600,1581138000,1581224400,1581310800,1581397200,1581483600,1581570000,1581656400,1581742800,1581829200,1581915600,1582002000,1582088400,1582174800,1582261200,1582347600,1582434000,1582520400,1582606800,1582693200,1582779600,1582866000,1582952400,1583038800,1583125200,1583211600,1583298000,1583384400,1583470800,1583557200,1583643600,1583730000,1583816400,1583902800,1583989200,1584075600,1584162000,1584248400,1584334800
summary,Possible light rain in the morning.,Clear throughout the day.,Partly cloudy throughout the day.,Mostly cloudy throughout the day.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Humid throughout the day.,Possible drizzle in the morning.,Possible light rain in the morning and afternoon.,Humid and mostly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Clear throughout the day.,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid throughout the day.,Humid and partly cloudy throughout the day.,Partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Clear throughout the day.,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid and mostly cloudy throughout the day.,Humid and mostly cloudy throughout the day.,Partly cloudy throughout the day.,Humid and mostly cloudy throughout the day.,Rain in the afternoon and evening.,Possible light rain in the afternoon.,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Rain in the afternoon and evening.,Possible light rain in the morning and afternoon.,Humid and mostly cloudy throughout the day.,Humid and mostly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid throughout the day.,Humid and partly cloudy throughout the day.,Possible light rain in the afternoon and evening.,Possible light rain in the afternoon and evening.,Possible light rain in the morning and afternoon.,Possible light rain until evening.,Humid and partly cloudy throughout the day.,Rain in the evening.,Partly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.
icon,rain,partly-cloudy-day,partly-cloudy-day,rain,rain,rain,rain,rain,clear-day,clear-day,clear-day,rain,rain,rain,rain,clear-day,partly-cloudy-day,clear-day,partly-cloudy-day,rain,clear-day,clear-day,clear-day,rain,clear-day,rain,clear-day,clear-day,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,partly-cloudy-day,clear-day,clear-day,rain,rain,rain,rain,rain,rain,clear-day,clear-day,clear-day,partly-cloudy-day,clear-day
sunriseTime,1579693500,1579779900,1579866300,1579952700,1580039100,1580125440,1580211840,1580298240,1580384640,1580471040,1580557380,1580643780,1580730180,1580816580,1580902920,1580989320,1581075720,1581162060,1581248460,1581334800,1581421200,1581507540,1581593940,1581680340,1581766680,1581853080,1581939420,1582025760,1582112160,1582198500,1582284900,1582371240,1582457580,1582543980,1582630320,1582716720,1582803060,1582889400,1582975740,1583062140,1583148480,1583234820,1583321220,1583407560,1583493900,1583580240,1583666640,1583752980,1583839320,1583925660,1584012000,1584098400,1584184740,1584271080,1584357420
sunsetTime,1579733940,1579820340,1579906800,1579993260,1580079660,1580166120,1580252520,1580338980,1580425380,1580511840,1580598300,1580684700,1580771160,1580857560,1580944020,1581030420,1581116880,1581203280,1581289740,1581376140,1581462600,1581549000,1581635460,1581721860,1581808260,1581894720,1581981120,1582067580,1582153980,1582240380,1582326840,1582413240,1582499700,1582586100,1582672500,1582758960,1582845360,1582931760,1583018220,1583104620,1583191020,1583277420,1583363880,1583450280,1583536680,1583623140,1583709540,1583795940,1583882340,1583968800,1584055200,1584141600,1584228000,1584314400,1584400860
moonPhase,0.94,0.97,0.01,0.04,0.07,0.1,0.13,0.16,0.19,0.22,0.25,0.28,0.31,0.35,0.38,0.42,0.45,0.49,0.53,0.57,0.61,0.64,0.68,0.72,0.75,0.79,0.82,0.86,0.89,0.92,0.95,0.98,0.01,0.04,0.07,0.1,0.13,0.16,0.2,0.23,0.26,0.29,0.33,0.36,0.4,0.44,0.47,0.51,0.55,0.59,0.63,0.67,0.7,0.74,0.77
precipIntensity,0.0097,0.0008,0.0026,0.0162,0.0043,0.014,0.0067,0.0036,0.002,0.0005,0.0024,0.0071,0.0167,0.0136,0.0056,0.0011,0.0007,0.0025,0.003,0.0066,0.0018,0.0024,0.001,0.004,0.001,0.0129,0.0025,0.0039,0.014,0.0072,0.013,0.0154,0.0278,0.0186,0.0114,0.0045,0.0101,0.0269,0.0154,0.0044,0.0104,0.0039,0.001,0.0016,0.0097,0.0099,0.0119,0.0182,0.0084,0.0276,0.0058,0.0044,0.0025,0.0008,0.0007
precipIntensityMax,0.0274,0.004,0.0162,0.0439,0.0217,0.0686,0.0344,0.0171,0.0141,0.0022,0.0103,0.0186,0.0483,0.0278,0.0178,0.0032,0.0013,0.0077,0.0054,0.0189,0.0052,0.0104,0.0023,0.0117,0.0029,0.0459,0.007,0.0143,0.058,0.0151,0.0538,0.0737,0.1285,0.0537,0.0437,0.0194,0.0409,0.1319,0.0339,0.011,0.0255,0.0119,0.0029,0.0043,0.059,0.0686,0.0204,0.0387,0.0146,0.1557,0.0291,0.018,0.0091,0.0024,0.0017
precipIntensityMaxTime,1579694400,1579834500,1579922580,1579986600,1580073180,1580159580,1580250420,1580331480,1580418300,1580505480,1580601600,1580676660,1580742540,1580850540,1580936100,1581001980,1581129660,1581152400,1581246480,1581368220,1581448680,1581528780,1581636000,1581701640,1581764220,1581886380,1581961920,1582049040,1582146240,1582239120,1582320060,1582405020,1582491780,1582577820,1582664400,1582713660,1582838280,1582924140,1582988820,1583085840,1583192280,1583269920,1583344200,1583432460,1583529060,1583614800,1583659440,1583772660,1583865540,1583960580,1584046500,1584134460,1584229860,1584269760,1584349560
precipProbability,0.47,0.1,0.21,0.54,0.34,0.38,0.3,0.26,0.2,0.1,0.23,0.52,0.62,0.64,0.37,0.16,0.15,0.23,0.21,0.35,0.2,0.16,0.13,0.29,0.13,0.43,0.23,0.24,0.42,0.32,0.36,0.44,0.56,0.53,0.44,0.34,0.34,0.63,0.74,0.37,0.37,0.24,0.13,0.14,0.46,0.46,0.79,0.79,0.53,0.59,0.22,0.17,0.16,0.14,0.09
precipType,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain
temperatureHigh,77.16,79.6,83.1,81.79,83.79,81.75,83.14,84.22,85.08,85.85,87.06,84.7,83.11,84.52,83.88,84.61,85.45,86.43,85.74,84.58,86.45,86.27,86.97,85.41,86.1,84.83,87.16,85.3,85.47,85.46,86.96,83.58,83.18,82.36,83.51,85.3,86.79,86.56,79.29,80.47,83.5,86.76,86.32,86.93,87.34,87.91,78.78,80.4,82.96,82.12,84.86,86.84,87.63,85.22,85.24
temperatureHighTime,1579707360,1579806660,1579886520,1579971900,1580058000,1580142900,1580231040,1580322840,1580405160,1580491080,1580576640,1580669700,1580759760,1580835300,1580923380,1581006300,1581101820,1581187620,1581267240,1581354840,1581440040,1581533700,1581613020,1581699120,1581792420,1581871740,1581965760,1582042440,1582131840,1582220880,1582304340,1582385760,1582473660,1582559100,1582649220,1582736700,1582822920,1582908060,1582990200,1583081760,1583173080,1583255040,1583347440,1583427660,1583510940,1583600340,1583681520,1583767800,1583855400,1583949240,1584032460,1584119160,1584211860,1584298920,1584384240
temperatureLow,59.81,61.06,63.28,61.39,63.31,62.02,63.82,61.95,61.57,63.77,69.58,68.01,69.1,67.45,67.65,71.25,66.25,69.54,69.24,69.6,67.95,67.7,69.5,65.27,67.82,68.23,69.31,69.97,69.05,66.17,66.64,67.27,68.46,67.02,70.21,67.91,68.18,70.52,68.46,69.11,68.34,67.39,67.9,64.49,67.26,69.8,69.36,69.64,67.96,64.06,65.91,67.17,69.71,68.01,66.82
temperatureLowTime,1579779300,1579865640,1579951800,1580036280,1580122980,1580209020,1580295480,1580381760,1580468280,1580554200,1580639640,1580721120,1580815860,1580902980,1580984820,1581073020,1581158520,1581244620,1581332100,1581418140,1581504780,1581591120,1581677280,1581758040,1581849780,1581935460,1582018380,1582107420,1582179420,1582281240,1582367640,1582451040,1582540500,1582627320,1582714320,1582800660,1582887240,1582973640,1583059020,1583145660,1583232720,1583319120,1583404380,1583491200,1583577960,1583664480,1583749800,1583836620,1583923440,1584008100,1584095880,1584166260,1584268860,1584355800,1584417660
apparentTemperatureHigh,78.04,79.74,85.9,84.48,85.94,84.63,86.7,88.61,88.9,90.53,93.23,90.12,88.59,91.26,90.44,91.31,91.09,91.72,92.13,90.05,92.21,91.98,91.56,91.06,90.75,90.61,94.45,93.88,94.09,91.53,90.45,89.35,88.17,87.67,90.62,91.9,91.99,93.55,82.21,83.78,89.38,93.06,92.81,93.39,91.98,91.79,79.59,83.7,88.09,86.02,88.17,89.92,92.93,88.57,88.47
apparentTemperatureHighTime,1579707180,1579806840,1579891740,1579971960,1580058060,1580142180,1580238000,1580318460,1580409120,1580496360,1580577060,1580667900,1580759460,1580835540,1580925180,1581006420,1581097320,1581186840,1581267420,1581357840,1581440220,1581532260,1581613260,1581699000,1581792360,1581872280,1581965160,1582048860,1582132980,1582221780,1582304220,1582385340,1582472520,1582558920,1582649280,1582736580,1582823160,1582908060,1582990740,1583081820,1583173020,1583254860,1583344500,1583428440,1583517840,1583600220,1583681400,1583767740,1583854620,1583949060,1584032340,1584119460,1584210540,1584291720,1584379740
apparentTemperatureLow,60.3,61.64,64.5,62.21,64.45,63.08,65.07,62.79,62.43,65.01,71.41,69.71,70.98,69,69.1,72.95,67.73,71.39,71.23,71.5,69.66,69.19,71.27,66.44,69.63,70,71.11,72.02,70.63,67.73,68.21,68.95,70.26,68.68,72.26,69.69,70,72.53,70.01,70.81,70.15,69.09,69.42,65.62,68.83,71.66,70.87,71.27,69.63,65.21,67.39,68.61,71.37,69.4,67.48
apparentTemperatureLowTime,1579779300,1579865760,1579951980,1580036340,1580123640,1580209080,1580295480,1580381820,1580468280,1580554260,1580639520,1580721180,1580816220,1580903160,1580985060,1581074700,1581158520,1581244260,1581332040,1581418140,1581504600,1581593400,1581659640,1581757680,1581849780,1581931980,1582018080,1582107180,1582179000,1582281240,1582367400,1582450560,1582540260,1582627260,1582716540,1582800780,1582887180,1582973580,1583059020,1583145480,1583232840,1583319180,1583404440,1583491260,1583577900,1583664480,1583749500,1583836620,1583923440,1584007140,1584095580,1584165960,1584268560,1584355860,1584416100
dewPoint,67.61,61.77,65.07,67.58,65.73,67.24,67.19,67.84,66.12,66.98,69.86,71.06,71.03,72.58,71.01,69.59,71.07,68.54,71.7,71.29,70.43,69.4,69.43,70.56,68,71.25,70.88,72.13,73.08,71.35,69.39,70.1,70.35,71.91,72.05,72.23,71.47,72.31,71.96,69.98,71.51,71.78,70.49,70.23,69.11,69.46,69.67,69.83,70.36,69.99,67.24,68.24,69.64,68.63,66.53
humidity,0.89,0.78,0.8,0.86,0.81,0.84,0.84,0.84,0.79,0.8,0.85,0.86,0.91,0.91,0.87,0.83,0.82,0.79,0.86,0.85,0.81,0.8,0.8,0.84,0.8,0.89,0.84,0.85,0.89,0.86,0.82,0.89,0.9,0.92,0.93,0.87,0.85,0.89,0.93,0.87,0.88,0.86,0.82,0.81,0.82,0.82,0.87,0.86,0.85,0.88,0.82,0.81,0.81,0.79,0.76
pressure,1013.6,1013.5,1014.6,1015.8,1016.4,1015.7,1014.8,1015.1,1015.4,1016.4,1016.8,1017.2,1017.7,1017.6,1016.1,1014.5,1016,1018.8,1019,1018,1017.5,1016.7,1016.3,1017.2,1017.3,1015.5,1015.2,1016.1,1016.8,1015.8,1016.6,1016,1015.3,1014.9,1014.9,1015.6,1017.1,1017.8,1018.5,1018.1,1016.7,1016,1016.7,1017.2,1017.5,1016.4,1017.9,1019,1018.2,1015.5,1013.8,1016.2,1018,1018.1,1017.5
windSpeed,5.86,4.71,3.53,3.32,3.25,2.99,2.88,3.33,3.42,4.7,5.28,4.36,5.2,5.57,6.96,8.6,8.49,5.39,6.44,6.26,7.54,7.43,7.63,5.81,5.14,5.23,5.76,6.44,5.33,4.91,3.12,3.61,4.63,4.98,5.51,6.06,3.42,3.72,7.1,8.47,6.51,4.91,6.89,6.23,3.95,3.92,10.94,10.81,7.79,4.52,3.82,4.54,6.59,7,7.07
windGust,15.85,13.28,5.79,5.77,5.98,7.84,5.87,6.99,5.53,11,15.8,9.1,16.72,13.35,18.98,23.64,25.88,19.19,18.86,15.03,19.19,17.9,22.25,14.46,11.8,13.97,13.89,15.6,15.64,13.22,5.78,7.73,11.65,14.82,15.96,15.27,6.37,12.32,21.52,23.83,22.78,11.44,20.53,17.38,9.84,11.77,31.44,32.4,28.46,18.72,7.83,8.23,20.03,23.58,20.42
