,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country/Region,Guatemala,Guatemala,Guatemala,Guatemala,Guatemala,Guatemala,Guatemala,Guatemala,Guatemala,Guatemala,Guatemala,Guatemala,Guatemala,Guatemala,Guatemala,Guatemala,Guatemala,Guatemala,Guatemala,Guatemala,Guatemala,Guatemala,Guatemala,Guatemala,Guatemala,Guatemala,Guatemala,Guatemala,Guatemala,Guatemala,Guatemala,Guatemala,Guatemala,Guatemala,Guatemala,Guatemala,Guatemala,Guatemala,Guatemala,Guatemala,Guatemala,Guatemala,Guatemala,Guatemala,Guatemala,Guatemala,Guatemala,Guatemala,Guatemala,Guatemala,Guatemala,Guatemala,Guatemala,Guatemala,Guatemala
Lat,15.7835,15.7835,15.7835,15.7835,15.7835,15.7835,15.7835,15.7835,15.7835,15.7835,15.7835,15.7835,15.7835,15.7835,15.7835,15.7835,15.7835,15.7835,15.7835,15.7835,15.7835,15.7835,15.7835,15.7835,15.7835,15.7835,15.7835,15.7835,15.7835,15.7835,15.7835,15.7835,15.7835,15.7835,15.7835,15.7835,15.7835,15.7835,15.7835,15.7835,15.7835,15.7835,15.7835,15.7835,15.7835,15.7835,15.7835,15.7835,15.7835,15.7835,15.7835,15.7835,15.7835,15.7835,15.7835
Long,-90.2308,-90.2308,-90.2308,-90.2308,-90.2308,-90.2308,-90.2308,-90.2308,-90.2308,-90.2308,-90.2308,-90.2308,-90.2308,-90.2308,-90.2308,-90.2308,-90.2308,-90.2308,-90.2308,-90.2308,-90.2308,-90.2308,-90.2308,-90.2308,-90.2308,-90.2308,-90.2308,-90.2308,-90.2308,-90.2308,-90.2308,-90.2308,-90.2308,-90.2308,-90.2308,-90.2308,-90.2308,-90.2308,-90.2308,-90.2308,-90.2308,-90.2308,-90.2308,-90.2308,-90.2308,-90.2308,-90.2308,-90.2308,-90.2308,-90.2308,-90.2308,-90.2308,-90.2308,-90.2308,-90.2308
time,1579672800,1579759200,1579845600,1579932000,1580018400,1580104800,1580191200,1580277600,1580364000,1580450400,1580536800,1580623200,1580709600,1580796000,1580882400,1580968800,1581055200,1581141600,1581228000,1581314400,1581400800,1581487200,1581573600,1581660000,1581746400,1581832800,1581919200,1582005600,1582092000,1582178400,1582264800,1582351200,1582437600,1582524000,1582610400,1582696800,1582783200,1582869600,1582956000,1583042400,1583128800,1583215200,1583301600,1583388000,1583474400,1583560800,1583647200,1583733600,1583820000,1583906400,1583992800,1584079200,1584165600,1584252000,1584338400
summary,Mostly cloudy throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid and partly cloudy throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Possible light rain starting in the afternoon.,Possible drizzle in the morning.,Rain overnight.,Rain and humid throughout the day.,Rain in the morning.,Humid throughout the day.,Humid and partly cloudy throughout the day.,Humid throughout the day.,Humid throughout the day.,Possible light rain in the morning.,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid throughout the day.,Humid throughout the day.,Possible light rain overnight.,"Possible light rain until afternoon, starting again overnight.",Possible light rain in the morning and afternoon.,Humid throughout the day.,Humid throughout the day.,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Possible light rain overnight.,Possible light rain until evening.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Rain in the evening and overnight.,Rain in the morning and afternoon.,Overcast throughout the day.,Overcast throughout the day.,Partly cloudy throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Rain in the evening and overnight.,Rain throughout the day.,Light rain throughout the day.,Light rain throughout the day.,Light rain until evening.,"Possible light rain until morning, starting again in the evening.",Possible drizzle in the morning.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.
icon,rain,clear-day,clear-day,rain,clear-day,rain,rain,rain,rain,rain,rain,rain,clear-day,partly-cloudy-day,clear-day,clear-day,rain,rain,partly-cloudy-day,rain,clear-day,clear-day,clear-day,rain,rain,clear-day,clear-day,clear-day,rain,rain,rain,rain,rain,clear-day,clear-day,rain,rain,rain,rain,partly-cloudy-day,clear-day,clear-day,clear-day,rain,rain,rain,rain,rain,rain,rain,clear-day,clear-day,clear-day,rain,rain
sunriseTime,1579696380,1579782780,1579869180,1579955580,1580041980,1580128380,1580214780,1580301180,1580387520,1580473920,1580560320,1580646720,1580733120,1580819460,1580905860,1580992260,1581078660,1581165000,1581251400,1581337800,1581424140,1581510540,1581596880,1581683280,1581769620,1581856020,1581942420,1582028760,1582115160,1582201500,1582287900,1582374240,1582460580,1582546980,1582633320,1582719720,1582806060,1582892460,1582978800,1583065140,1583151540,1583237880,1583324220,1583410620,1583496960,1583583300,1583669700,1583756040,1583842380,1583928720,1584015120,1584101460,1584187800,1584274140,1584360540
sunsetTime,1579737240,1579823700,1579910100,1579996560,1580082960,1580169420,1580255820,1580342280,1580428680,1580515140,1580601540,1580688000,1580774400,1580860860,1580947260,1581033720,1581120120,1581206580,1581292980,1581379380,1581465840,1581552240,1581638700,1581725100,1581811500,1581897960,1581984360,1582070760,1582157220,1582243620,1582330020,1582416480,1582502880,1582589280,1582675740,1582762140,1582848540,1582934940,1583021400,1583107800,1583194200,1583280600,1583367000,1583453460,1583539860,1583626260,1583712660,1583799060,1583885520,1583971920,1584058320,1584144720,1584231120,1584317520,1584403980
moonPhase,0.94,0.97,0.01,0.04,0.07,0.1,0.13,0.16,0.19,0.22,0.25,0.28,0.32,0.35,0.38,0.42,0.46,0.49,0.53,0.57,0.61,0.65,0.68,0.72,0.76,0.79,0.82,0.86,0.89,0.92,0.95,0.98,0.01,0.05,0.08,0.11,0.14,0.17,0.2,0.23,0.26,0.29,0.33,0.36,0.4,0.44,0.48,0.52,0.55,0.59,0.63,0.67,0.71,0.74,0.77
