,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,Slovenia,Slovenia,Slovenia,Slovenia,Slovenia,Slovenia,Slovenia,Slovenia,Slovenia,Slovenia,Slovenia,Slovenia,Slovenia,Slovenia,Slovenia,Slovenia,Slovenia,Slovenia,Slovenia,Slovenia,Slovenia,Slovenia,Slovenia,Slovenia,Slovenia,Slovenia,Slovenia,Slovenia,Slovenia,Slovenia,Slovenia,Slovenia,Slovenia,Slovenia,Slovenia,Slovenia,Slovenia,Slovenia,Slovenia,Slovenia,Slovenia,Slovenia,Slovenia,Slovenia,Slovenia,Slovenia,Slovenia,Slovenia,Slovenia,Slovenia,Slovenia,Slovenia,Slovenia,Slovenia,Slovenia
Lat,46.1512,46.1512,46.1512,46.1512,46.1512,46.1512,46.1512,46.1512,46.1512,46.1512,46.1512,46.1512,46.1512,46.1512,46.1512,46.1512,46.1512,46.1512,46.1512,46.1512,46.1512,46.1512,46.1512,46.1512,46.1512,46.1512,46.1512,46.1512,46.1512,46.1512,46.1512,46.1512,46.1512,46.1512,46.1512,46.1512,46.1512,46.1512,46.1512,46.1512,46.1512,46.1512,46.1512,46.1512,46.1512,46.1512,46.1512,46.1512,46.1512,46.1512,46.1512,46.1512,46.1512,46.1512,46.1512
Long,14.9955,14.9955,14.9955,14.9955,14.9955,14.9955,14.9955,14.9955,14.9955,14.9955,14.9955,14.9955,14.9955,14.9955,14.9955,14.9955,14.9955,14.9955,14.9955,14.9955,14.9955,14.9955,14.9955,14.9955,14.9955,14.9955,14.9955,14.9955,14.9955,14.9955,14.9955,14.9955,14.9955,14.9955,14.9955,14.9955,14.9955,14.9955,14.9955,14.9955,14.9955,14.9955,14.9955,14.9955,14.9955,14.9955,14.9955,14.9955,14.9955,14.9955,14.9955,14.9955,14.9955,14.9955,14.9955
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparentTemperatureHigh,46.85,40.83,46.09,46.25,45.68,46.24,50.57,48.32,43.92,53.16,56,53.09,56.79,46.42,40.18,46.46,46.14,47.79,50.03,51.84,50.88,50.87,51.93,57.16,53.28,54.44,53.17,48.74,50.04,50.97,55.95,54.08,55.08,50.65,53.04,46.49,45.33,44.96,45.73,46.99,52.19,53.09,48.75,51.85,43.44,52.62,51.71,53.3,54.22,64.35,63.65,53.06,50.99,47.59,57.29
apparentTemperatureHighTime,1579697880,1579784280,1579871820,1579954680,1580046840,1580132820,1580212920,1580304300,1580387040,1580476800,1580562540,1580647680,1580735640,1580803080,1580900040,1580994540,1581082620,1581167520,1581253200,1581333720,1581424740,1581514080,1581601080,1581686100,1581772740,1581859080,1581944460,1582023660,1582121580,1582205760,1582291140,1582379280,1582465560,1582552740,1582638600,1582704240,1582808280,1582897920,1582982520,1583077020,1583147460,1583236440,1583328660,1583415900,1583503620,1583587260,1583674020,1583760420,1583845980,1583934540,1584018660,1584091980,1584192000,1584280200,1584366600
apparentTemperatureLow,24.86,25.37,29.96,34.58,34.74,33.28,36,29.2,33.19,34.52,36.38,38.29,44.74,30.46,26.71,25.4,25.68,22.46,34.73,39.48,33.72,30.73,37.09,32.7,29.88,35.31,43.08,37.09,29.86,24.45,28.59,31.22,35.68,32.03,44.1,29.03,31.02,24.04,40.66,40.75,43.91,37.19,30.26,34.69,35.91,30.95,30.5,33.5,34.81,36.53,42.15,39.34,28.44,27.25,28.14
apparentTemperatureLowTime,1579758600,1579841580,1579910280,1579996560,1580105220,1580163420,1580278440,1580363760,1580450460,1580533260,1580621220,1580709000,1580794380,1580879160,1580964540,1581052740,1581139620,1581226920,1581282540,1581396960,1581487140,1581573420,1581659880,1581746040,1581831120,1581915960,1581987060,1582091760,1582177320,1582263840,1582349100,1582433820,1582505880,1582593720,1582692240,1582782420,1582869120,1582956060,1583010360,1583127900,1583215860,1583300880,1583384880,1583478000,1583557140,1583645100,1583731260,1583817840,1583901900,1583989140,1584064740,1584165120,1584252120,1584334020,1584420480
apparentTemperatureMax,46.85,40.83,46.09,46.25,45.68,46.24,50.57,48.32,43.92,53.16,56,53.09,56.79,47.42,40.18,46.46,46.14,47.79,50.03,51.84,50.88,50.87,51.93,57.16,53.28,54.44,53.17,48.74,50.04,50.97,55.95,54.08,55.08,50.65,53.04,46.69,45.33,44.96,45.73,46.99,52.19,53.09,48.75,51.85,43.44,52.62,51.71,53.3,54.22,64.35,63.65,53.06,50.99,47.59,57.29
apparentTemperatureMaxTime,1579697880,1579784280,1579871820,1579954680,1580046840,1580132820,1580212920,1580304300,1580387040,1580476800,1580562540,1580647680,1580735640,1580770800,1580900040,1580994540,1581082620,1581167520,1581253200,1581333720,1581424740,1581514080,1581601080,1581686100,1581772740,1581859080,1581944460,1582023660,1582121580,1582205760,1582291140,1582379280,1582465560,1582552740,1582638600,1582675380,1582808280,1582897920,1582982520,1583077020,1583147460,1583236440,1583328660,1583415900,1583503620,1583587260,1583674020,1583760420,1583845980,1583934540,1584018660,1584091980,1584192000,1584280200,1584366600
apparentTemperatureMin,21.45,24.86,25.37,29.96,34.58,33.4,33.52,34.51,29.2,33.19,34.52,36.38,38.29,32.38,27.21,26.71,25.4,25.68,22.46,36.51,38.78,33.72,30.73,37.09,32.7,29.88,35.31,43.08,37.09,29.86,24.45,28.59,31.22,35.68,32.03,31.31,29.03,30.81,24.04,42.51,40.75,39.85,36.06,30.26,34.58,35.91,30.95,30.5,33.5,34.81,36.53,42.15,39.34,28.44,27.25
apparentTemperatureMinTime,1579670580,1579758600,1579841580,1579910280,1579996560,1580162400,1580166000,1580335200,1580363760,1580450460,1580533260,1580621220,1580709000,1580853600,1580937900,1580964540,1581052740,1581139620,1581226920,1581289200,1581458400,1581487140,1581573420,1581659880,1581746040,1581831120,1581915960,1581987060,1582091760,1582177320,1582263840,1582349100,1582433820,1582505880,1582593720,1582725120,1582782420,1582927200,1582956060,1583041020,1583127900,1583272800,1583359200,1583384880,1583478840,1583557140,1583645100,1583731260,1583817840,1583901900,1583989140,1584064740,1584165120,1584252120,1584334020
cloudCover,0.17,0.09,0.13,0.96,0.79,0.47,0.98,0.65,0.29,0.79,0.15,0.59,0.73,0.87,0.25,0.05,0.16,0,0.42,0.84,0.73,0.46,0.77,0.61,0.65,0.64,0.76,0.98,0.93,0.19,0.05,0.37,0.79,0.85,0.53,0.99,0.71,0.26,0.68,0.98,0.88,0.94,0.89,0.54,1,0.85,0.1,0.79,0.56,0.55,0.58,0.9,0.96,0.26,0.03
dewPoint,22.92,25.09,25.02,33.93,36.97,35.67,40.79,35.53,32.23,37.32,40.79,40.64,41.98,37.36,22.63,16.9,20.36,26.55,29.92,41.78,40.32,34.6,33.43,35.76,33.51,33.3,38.49,41.99,35.42,27.62,23.84,26.47,35.95,38.57,39.88,38.7,28.98,24.66,26.78,42.24,42.32,43.53,34.36,30.8,37.95,35.67,29.11,31.47,33.94,37.6,39.32,43.41,37.44,25.56,24.3
humidity,0.69,0.81,0.74,0.85,0.94,0.89,0.89,0.87,0.82,0.79,0.82,0.82,0.81,0.77,0.55,0.47,0.6,0.76,0.75,0.81,0.85,0.81,0.76,0.71,0.76,0.76,0.74,0.87,0.77,0.67,0.6,0.62,0.74,0.81,0.85,0.93,0.72,0.58,0.6,0.84,0.82,0.86,0.77,0.71,0.94,0.79,0.68,0.71,0.7,0.66,0.67,0.88,0.76,0.59,0.55
icon,clear-day,clear-day,clear-day,rain,rain,rain,rain,rain,clear-day,partly-cloudy-day,clear-day,partly-cloudy-day,partly-cloudy-day,rain,wind,clear-day,clear-day,clear-day,partly-cloudy-day,rain,rain,rain,partly-cloudy-day,rain,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,rain,rain,clear-day,clear-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,rain,rain,partly-cloudy-day,rain,partly-cloudy-day,rain,rain,rain,rain,partly-cloudy-day,rain,rain,clear-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,rain,rain,clear-day,clear-day
moonPhase,0.93,0.97,1,0.03,0.06,0.09,0.12,0.15,0.18,0.21,0.24,0.27,0.31,0.34,0.37,0.41,0.44,0.48,0.52,0.56,0.6,0.64,0.67,0.71,0.75,0.78,0.81,0.85,0.88,0.91,0.94,0.97,0.01,0.04,0.07,0.1,0.13,0.16,0.19,0.22,0.25,0.28,0.32,0.35,0.39,0.43,0.47,0.5,0.54,0.58,0.62,0.66,0.69,0.73,0.76
ozone,362.2,322.4,322.2,312.3,317.6,319.9,365.8,399.7,323.4,300.3,287.5,321.5,315.5,370.7,398.3,367.3,337.6,327.3,326.9,276,279.7,329,341.6,380.3,324.7,299.5,295,337.6,358.1,329.8,339.7,335.6,315.7,333.4,345.4,365.1,383.6,368.7,316.3,355.3,360.3,402.3,429.8,348.3,338.2,377.8,405.3,369.8,375.2,326.4,309.5,326.5,365.3,382.6,354.7
precipAccumulation,,0.01,0,,,,,,,,,,,,,,0.01,,0.01,,,,,,,,,,,,,0.01,,,,,,,0,,,,,,,,,0,,,,,,,
precipIntensity,0,0.0001,0.0001,0.0009,0.0011,0.0002,0.0259,0.0041,0.001,0.0001,0.0003,0,0.0002,0.0112,0.0001,0,0.0001,0,0.0001,0.0057,0.0063,0.0018,0.0002,0.0036,0.0001,0.0001,0.0001,0.0086,0.0017,0.0001,0.0001,0.0001,0.0001,0.0002,0.0018,0.0418,0.0002,0.0006,0.0001,0.0258,0.0073,0.0213,0.0022,0.0001,0.0167,0.0016,0.0001,0.0001,0.0001,0.0002,0.0002,0.0041,0.0012,0.0001,0
