,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country/Region,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia
Lat,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
Long,112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5
time,1579622400,1579708800,1579795200,1579881600,1579968000,1580054400,1580140800,1580227200,1580313600,1580400000,1580486400,1580572800,1580659200,1580745600,1580832000,1580918400,1581004800,1581091200,1581177600,1581264000,1581350400,1581436800,1581523200,1581609600,1581696000,1581782400,1581868800,1581955200,1582041600,1582128000,1582214400,1582300800,1582387200,1582473600,1582560000,1582646400,1582732800,1582819200,1582905600,1582992000,1583078400,1583164800,1583251200,1583337600,1583424000,1583510400,1583596800,1583683200,1583769600,1583856000,1583942400,1584028800,1584115200,1584201600,1584288000
summary,Humid and partly cloudy throughout the day.,Possible light rain in the afternoon and evening.,Rain in the afternoon and evening.,Light rain starting in the afternoon.,Possible light rain starting in the afternoon.,Possible light rain until evening.,Possible light rain in the afternoon and evening.,Light rain and humid throughout the day.,Light rain until evening.,Humid and overcast throughout the day.,Humid and partly cloudy throughout the day.,Humid and overcast throughout the day.,Possible light rain starting in the afternoon.,Rain and humid throughout the day.,Light rain until evening.,Humid and overcast throughout the day.,Humid and mostly cloudy throughout the day.,Possible drizzle overnight.,Rain and humid throughout the day.,Rain and humid throughout the day.,Possible drizzle in the morning.,Humid and overcast throughout the day.,Possible light rain in the afternoon and evening.,Possible light rain starting in the afternoon.,Rain and humid throughout the day.,Light rain and humid throughout the day.,Light rain until evening.,Rain starting in the afternoon.,Light rain until evening.,Humid and partly cloudy throughout the day.,Possible drizzle until evening.,Possible drizzle in the morning.,Possible light rain in the afternoon.,Humid and mostly cloudy throughout the day.,Rain in the afternoon and evening.,Rain and humid throughout the day.,Possible light rain starting in the afternoon.,Light rain until evening.,Possible light rain until evening.,Light rain until evening.,Rain starting in the afternoon.,Rain and humid throughout the day.,"Rain until morning, starting again in the evening.",Light rain and humid throughout the day.,Humid and overcast throughout the day.,Possible light rain in the afternoon and evening.,Humid and overcast throughout the day.,Possible light rain until evening.,Possible light rain in the afternoon.,Rain starting in the afternoon.,"Light rain until afternoon, starting again overnight.",Rain and humid throughout the day.,Heavy rain until evening.,Humid and mostly cloudy throughout the day.,Possible light rain in the afternoon and evening.
icon,rain,rain,rain,rain,rain,rain,rain,rain,rain,cloudy,partly-cloudy-day,rain,rain,rain,rain,rain,cloudy,cloudy,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,cloudy,rain,rain,rain,rain,rain,rain,rain,rain
sunriseTime,1579646580,1579732980,1579819380,1579905780,1579992180,1580078640,1580165040,1580251440,1580337840,1580424240,1580510640,1580597040,1580683500,1580769900,1580856300,1580942700,1581029100,1581115500,1581201900,1581288300,1581374700,1581461100,1581547500,1581633900,1581720240,1581806640,1581893040,1581979440,1582065840,1582152240,1582238640,1582324980,1582411380,1582497780,1582584180,1582670580,1582756920,1582843320,1582929720,1583016120,1583102460,1583188860,1583275260,1583361660,1583448000,1583534400,1583620800,1583707140,1583793540,1583879940,1583966280,1584052680,1584139080,1584225420,1584311820
sunsetTime,1579689720,1579776180,1579862580,1579948980,1580035440,1580121840,1580208240,1580294640,1580381100,1580467500,1580553900,1580640300,1580726700,1580813160,1580899560,1580985960,1581072360,1581158760,1581245160,1581331560,1581417960,1581504420,1581590820,1581677220,1581763620,1581850020,1581936420,1582022820,1582109220,1582195620,1582282020,1582368420,1582454820,1582541160,1582627560,1582713960,1582800360,1582886760,1582973160,1583059560,1583145960,1583232360,1583318700,1583405100,1583491500,1583577900,1583664300,1583750640,1583837040,1583923440,1584009840,1584096240,1584182580,1584268980,1584355380
moonPhase,0.92,0.96,0.99,0.02,0.05,0.08,0.11,0.14,0.17,0.2,0.23,0.26,0.3,0.33,0.36,0.4,0.43,0.47,0.51,0.55,0.59,0.62,0.66,0.7,0.74,0.77,0.8,0.84,0.87,0.9,0.93,0.97,1,0.03,0.06,0.09,0.12,0.15,0.18,0.21,0.24,0.27,0.31,0.34,0.38,0.42,0.45,0.49,0.53,0.57,0.61,0.65,0.68,0.72,0.75
precipIntensity,0.0046,0.013,0.0281,0.0136,0.0133,0.0116,0.0133,0.0203,0.024,0.0001,0.0001,0.0019,0.0121,0.0522,0.0208,0.001,0.0003,0.0003,0.0411,0.0537,0.0205,0.0017,0.0212,0.0135,0.0663,0.0244,0.0406,0.0211,0.0248,0.0096,0.0056,0.0041,0.0057,0.0015,0.0295,0.0817,0.012,0.0374,0.0111,0.0249,0.0348,0.0514,0.0334,0.0244,0.0003,0.0111,0.0005,0.0201,0.0071,0.019,0.0194,0.0316,0.0794,0.0016,0.0078
precipIntensityMax,0.0271,0.0522,0.1569,0.0652,0.0524,0.0241,0.0563,0.0724,0.0695,0.0002,0.0003,0.0132,0.0601,0.1489,0.0786,0.0028,0.0009,0.0019,0.2562,0.2387,0.1709,0.0109,0.0885,0.0644,0.2657,0.1012,0.0755,0.2016,0.1346,0.0533,0.0153,0.0109,0.0337,0.0091,0.1366,0.2729,0.1657,0.0909,0.0464,0.0973,0.1355,0.2229,0.3554,0.2438,0.006,0.0674,0.0027,0.0828,0.036,0.1015,0.0634,0.0812,0.4066,0.008,0.0371
precipIntensityMaxTime,1579673940,1579763460,1579866900,1579942740,1580019120,1580105220,1580206200,1580285820,1580332260,1580418000,1580505900,1580634480,1580742000,1580818560,1580882580,1580980320,1581028680,1581120180,1581260400,1581264000,1581351360,1581487260,1581575400,1581662100,1581771840,1581782400,1581888240,1582037940,1582041600,1582178760,1582274760,1582360860,1582438800,1582491660,1582621440,1582729200,1582732800,1582869060,1582965780,1583020320,1583160420,1583225220,1583334000,1583337600,1583424000,1583572380,1583667780,1583739120,1583830740,1583910660,1583953800,1584081900,1584132360,1584263220,1584349380
precipProbability,0.43,0.58,0.81,0.76,0.88,0.85,0.6,0.77,0.93,0.13,0.15,0.32,0.7,0.95,0.91,0.5,0.23,0.16,0.95,1,0.82,0.35,0.65,0.72,0.97,0.92,0.98,0.75,0.94,0.65,0.7,0.65,0.56,0.42,0.69,0.97,0.81,0.9,0.78,0.84,0.69,0.96,0.96,1,0.54,0.63,0.16,0.8,0.57,0.72,0.93,0.89,0.98,0.4,0.72
precipType,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain
temperatureHigh,85.6,83.76,84.1,87.74,84.55,84.24,89.35,81.49,82.68,84.82,87.07,86.03,79.86,78.94,78.5,83.05,86.86,87.55,82.02,81.34,85.48,89.32,85.39,80.88,84.39,86.17,76.54,82.51,81.47,86.09,85.34,84.69,85.68,81.54,84.78,80.67,83.85,80.33,83.5,82.49,87.76,82.52,85.03,78.68,81.7,86.26,89.54,84.88,86.17,90.69,84.09,87.99,84.62,88.89,86.43
temperatureHighTime,1579676880,1579752240,1579841160,1579928220,1580011320,1580101200,1580187960,1580271300,1580359800,1580446980,1580533440,1580619720,1580705940,1580789940,1580876160,1580970660,1581052020,1581144720,1581220680,1581316680,1581397260,1581484140,1581567120,1581651840,1581743100,1581825240,1581920340,1582001160,1582087920,1582174320,1582260480,1582347420,1582430580,1582529700,1582606980,1582689180,1582779360,1582864080,1582952160,1583038800,1583122620,1583211240,1583299560,1583384700,1583470560,1583557200,1583643300,1583729880,1583816040,1583902380,1583999520,1584074580,1584162000,1584248460,1584332400
