,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,33.7298,33.7298,33.7298,33.7298,33.7298,33.7298,33.7298,33.7298,33.7298,33.7298,33.7298,33.7298,33.7298,33.7298,33.7298,33.7298,33.7298,33.7298,33.7298,33.7298,33.7298,33.7298,33.7298,33.7298,33.7298,33.7298,33.7298,33.7298,33.7298,33.7298,33.7298,33.7298,33.7298,33.7298,33.7298,33.7298,33.7298,33.7298,33.7298,33.7298,33.7298,33.7298,33.7298,33.7298,33.7298,33.7298,33.7298,33.7298,33.7298,33.7298,33.7298,33.7298,33.7298,33.7298,33.7298
Long,-111.4312,-111.4312,-111.4312,-111.4312,-111.4312,-111.4312,-111.4312,-111.4312,-111.4312,-111.4312,-111.4312,-111.4312,-111.4312,-111.4312,-111.4312,-111.4312,-111.4312,-111.4312,-111.4312,-111.4312,-111.4312,-111.4312,-111.4312,-111.4312,-111.4312,-111.4312,-111.4312,-111.4312,-111.4312,-111.4312,-111.4312,-111.4312,-111.4312,-111.4312,-111.4312,-111.4312,-111.4312,-111.4312,-111.4312,-111.4312,-111.4312,-111.4312,-111.4312,-111.4312,-111.4312,-111.4312,-111.4312,-111.4312,-111.4312,-111.4312,-111.4312,-111.4312,-111.4312,-111.4312,-111.4312
Province/State,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona
apparentTemperatureHigh,55.29,62.59,64.24,64.2,62.93,62.57,61.83,54.67,60.47,65.06,69.46,68.51,52.9,41.03,40.02,52.24,59.29,64.36,63.28,62.16,46.42,52.53,58.09,62.57,62.19,64.55,65.03,66.76,67.41,69.3,63.66,54.49,46.15,58.24,54.87,58.03,66.97,68.12,66.91,63.18,58.9,66.79,63.67,73.21,72.52,71.47,61.85,67.49,58.54,58.24,60.03,52.37,59.79,65.46,67.81
apparentTemperatureHighTime,1579729800,1579816200,1579903020,1579989480,1580075160,1580161740,1580247780,1580327640,1580420880,1580509440,1580594100,1580679780,1580759100,1580853360,1580939220,1581025140,1581114360,1581198300,1581284940,1581364680,1581450600,1581543720,1581630960,1581716760,1581805500,1581891780,1581977460,1582062480,1582149000,1582235820,1582315320,1582411140,1582494840,1582581240,1582667340,1582754460,1582842720,1582926960,1583012880,1583099340,1583185680,1583272440,1583358960,1583445540,1583531580,1583617500,1583707380,1583793900,1583870580,1583966100,1584043500,1584129300,1584223140,1584309300,1584395460
apparentTemperatureLow,37.95,40.19,39.57,40.65,43.63,37.64,38.74,37.21,35.49,37.66,41.26,43.94,22.73,22.64,28.59,32,35.5,38.17,43.19,37.12,31.24,32.06,37.42,37.19,38.02,40.54,42.13,44.16,40.94,53.02,43.92,37.91,39.13,37.45,30.43,34.7,42.98,43.75,43.95,38.01,40.81,40.85,43.51,57.39,52.25,48.28,42.89,51.35,52.56,52.45,41.74,39.58,43.69,44.23,46.59
apparentTemperatureLowTime,1579790160,1579875420,1579962660,1580048520,1580136180,1580221620,1580306460,1580395440,1580478780,1580565120,1580651820,1580739480,1580827140,1580893440,1580992080,1581083520,1581169500,1581256320,1581345780,1581430080,1581515700,1581601860,1581683880,1581774660,1581861300,1581946860,1582031580,1582119960,1582206480,1582296660,1582382340,1582469940,1582545240,1582639080,1582723320,1582806660,1582897560,1582984140,1583070720,1583156220,1583243400,1583326500,1583410620,1583502060,1583589000,1583673540,1583761080,1583848680,1583930640,1584017160,1584108300,1584193620,1584273180,1584365820,1584453000
apparentTemperatureMax,55.29,62.59,64.24,64.2,62.93,62.57,61.83,54.67,60.47,65.06,69.46,68.51,52.9,41.03,40.02,52.24,59.29,64.36,63.28,62.16,46.42,52.53,58.09,62.57,62.19,64.55,65.03,66.76,67.41,69.3,63.66,55.17,46.15,58.24,54.87,58.03,66.97,68.12,66.91,63.18,58.9,66.79,63.67,73.21,72.52,71.47,61.85,67.49,58.54,58.24,60.03,52.37,59.79,65.46,67.81
apparentTemperatureMaxTime,1579729800,1579816200,1579903020,1579989480,1580075160,1580161740,1580247780,1580327640,1580420880,1580509440,1580594100,1580679780,1580759100,1580853360,1580939220,1581025140,1581114360,1581198300,1581284940,1581364680,1581450600,1581543720,1581630960,1581716760,1581805500,1581891780,1581977460,1582062480,1582149000,1582235820,1582315320,1582357020,1582494840,1582581240,1582667340,1582754460,1582842720,1582926960,1583012880,1583099340,1583185680,1583272440,1583358960,1583445540,1583531580,1583617500,1583707380,1583793900,1583870580,1583966100,1584043500,1584129300,1584223140,1584309300,1584395460
