,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,39.1547,39.1547,39.1547,39.1547,39.1547,39.1547,39.1547,39.1547,39.1547,39.1547,39.1547,39.1547,39.1547,39.1547,39.1547,39.1547,39.1547,39.1547,39.1547,39.1547,39.1547,39.1547,39.1547,39.1547,39.1547,39.1547,39.1547,39.1547,39.1547,39.1547,39.1547,39.1547,39.1547,39.1547,39.1547,39.1547,39.1547,39.1547,39.1547,39.1547,39.1547,39.1547,39.1547,39.1547,39.1547,39.1547,39.1547,39.1547,39.1547,39.1547,39.1547,39.1547,39.1547,39.1547,39.1547
Long,-77.2405,-77.2405,-77.2405,-77.2405,-77.2405,-77.2405,-77.2405,-77.2405,-77.2405,-77.2405,-77.2405,-77.2405,-77.2405,-77.2405,-77.2405,-77.2405,-77.2405,-77.2405,-77.2405,-77.2405,-77.2405,-77.2405,-77.2405,-77.2405,-77.2405,-77.2405,-77.2405,-77.2405,-77.2405,-77.2405,-77.2405,-77.2405,-77.2405,-77.2405,-77.2405,-77.2405,-77.2405,-77.2405,-77.2405,-77.2405,-77.2405,-77.2405,-77.2405,-77.2405,-77.2405,-77.2405,-77.2405,-77.2405,-77.2405,-77.2405,-77.2405,-77.2405,-77.2405,-77.2405,-77.2405
Province/State,"Montgomery County, MD","Montgomery County, MD","Montgomery County, MD","Montgomery County, MD","Montgomery County, MD","Montgomery County, MD","Montgomery County, MD","Montgomery County, MD","Montgomery County, MD","Montgomery County, MD","Montgomery County, MD","Montgomery County, MD","Montgomery County, MD","Montgomery County, MD","Montgomery County, MD","Montgomery County, MD","Montgomery County, MD","Montgomery County, MD","Montgomery County, MD","Montgomery County, MD","Montgomery County, MD","Montgomery County, MD","Montgomery County, MD","Montgomery County, MD","Montgomery County, MD","Montgomery County, MD","Montgomery County, MD","Montgomery County, MD","Montgomery County, MD","Montgomery County, MD","Montgomery County, MD","Montgomery County, MD","Montgomery County, MD","Montgomery County, MD","Montgomery County, MD","Montgomery County, MD","Montgomery County, MD","Montgomery County, MD","Montgomery County, MD","Montgomery County, MD","Montgomery County, MD","Montgomery County, MD","Montgomery County, MD","Montgomery County, MD","Montgomery County, MD","Montgomery County, MD","Montgomery County, MD","Montgomery County, MD","Montgomery County, MD","Montgomery County, MD","Montgomery County, MD","Montgomery County, MD","Montgomery County, MD","Montgomery County, MD","Montgomery County, MD"
apparentTemperatureHigh,40.41,42.01,46.06,44.89,41.41,43.19,40.02,41.14,40.25,44.81,47.49,51.63,66.45,66.5,38.37,42.99,55.81,39.7,46.67,42.08,53.47,48.1,54.08,25.36,28.84,51.29,54.4,58.85,51.17,41.16,32.77,53.75,57.96,61.29,51,50.98,29.99,38.11,26.33,47.53,65.14,62.1,62.91,56.08,51.63,51.13,62.32,73.87,69.9,55.03,63.95,70.17,58.56,50.97,54.47
apparentTemperatureHighTime,1579723020,1579806420,1579890720,1579981440,1580067300,1580152020,1580240940,1580327940,1580411100,1580500080,1580586300,1580678520,1580757060,1580845500,1580932680,1581029040,1581076800,1581191700,1581278160,1581379200,1581450660,1581531300,1581613980,1581697260,1581796800,1581884700,1581968820,1582055520,1582142340,1582228620,1582315800,1582401780,1582487640,1582573200,1582660740,1582737900,1582823520,1582922340,1583006460,1583094720,1583177640,1583271240,1583352660,1583437680,1583523060,1583611260,1583697600,1583783640,1583868420,1583956620,1584041160,1584124920,1584215220,1584302880,1584386460
apparentTemperatureLow,21.68,30.03,38.14,29.56,27.58,27.87,28.39,20.57,28.46,28.78,27.76,42.5,53.44,32.04,31.49,40.46,22.99,27.41,32.13,42.08,31.43,32.73,24.33,14.33,21.49,29.15,32.19,33.2,26.79,11.01,18.02,21.52,30.71,40.51,46.02,23.62,21.18,18.13,20.75,28.12,41.68,38.16,33.52,31.01,26.96,26.73,36.57,54.32,38.14,41.7,45.82,38.4,34.55,27.28,37.37
apparentTemperatureLowTime,1579776420,1579864140,1579924620,1580036340,1580122440,1580208000,1580295060,1580378160,1580446860,1580554380,1580640900,1580727360,1580813940,1580907600,1580963160,1581040380,1581155400,1581242760,1581309480,1581379200,1581507840,1581567360,1581685200,1581771600,1581822240,1581936960,1582019460,1582117200,1582192740,1582282680,1582372080,1582453140,1582544940,1582625280,1582722000,1582808340,1582865700,1582974120,1583049420,1583146440,1583236320,1583319480,1583404500,1583488260,1583578680,1583661120,1583753880,1583833980,1583924700,1583998620,1584085200,1584180900,1584273600,1584355680,1584431220
apparentTemperatureMax,40.41,42.01,46.06,44.89,41.41,43.19,40.02,41.14,40.25,44.81,47.49,51.63,66.45,66.5,56.09,42.99,56.41,39.7,46.67,43.67,53.47,48.1,54.08,33.89,28.84,51.29,54.4,58.85,51.17,41.16,32.77,53.75,57.96,61.29,51,50.98,35.32,38.11,26.33,47.53,65.14,62.1,62.91,56.08,51.63,51.13,62.32,73.87,69.9,55.03,63.95,70.17,58.56,50.97,54.47
apparentTemperatureMaxTime,1579723020,1579806420,1579890720,1579981440,1580067300,1580152020,1580240940,1580327940,1580411100,1580500080,1580586300,1580678520,1580757060,1580845500,1580878800,1581029040,1581074820,1581191700,1581278160,1581393600,1581450660,1581531300,1581613980,1581659820,1581796800,1581884700,1581968820,1582055520,1582142340,1582228620,1582315800,1582401780,1582487640,1582573200,1582660740,1582737900,1582779600,1582922340,1583006460,1583094720,1583177640,1583271240,1583352660,1583437680,1583523060,1583611260,1583697600,1583783640,1583868420,1583956620,1584041160,1584124920,1584215220,1584302880,1584386460
