,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,South Africa,South Africa,South Africa,South Africa,South Africa,South Africa,South Africa,South Africa,South Africa,South Africa,South Africa,South Africa,South Africa,South Africa,South Africa,South Africa,South Africa,South Africa,South Africa,South Africa,South Africa,South Africa,South Africa,South Africa,South Africa,South Africa,South Africa,South Africa,South Africa,South Africa,South Africa,South Africa,South Africa,South Africa,South Africa,South Africa,South Africa,South Africa,South Africa,South Africa,South Africa,South Africa,South Africa,South Africa,South Africa,South Africa,South Africa,South Africa,South Africa,South Africa,South Africa,South Africa,South Africa,South Africa,South Africa
Lat,-30.5595,-30.5595,-30.5595,-30.5595,-30.5595,-30.5595,-30.5595,-30.5595,-30.5595,-30.5595,-30.5595,-30.5595,-30.5595,-30.5595,-30.5595,-30.5595,-30.5595,-30.5595,-30.5595,-30.5595,-30.5595,-30.5595,-30.5595,-30.5595,-30.5595,-30.5595,-30.5595,-30.5595,-30.5595,-30.5595,-30.5595,-30.5595,-30.5595,-30.5595,-30.5595,-30.5595,-30.5595,-30.5595,-30.5595,-30.5595,-30.5595,-30.5595,-30.5595,-30.5595,-30.5595,-30.5595,-30.5595,-30.5595,-30.5595,-30.5595,-30.5595,-30.5595,-30.5595,-30.5595,-30.5595
Long,22.9375,22.9375,22.9375,22.9375,22.9375,22.9375,22.9375,22.9375,22.9375,22.9375,22.9375,22.9375,22.9375,22.9375,22.9375,22.9375,22.9375,22.9375,22.9375,22.9375,22.9375,22.9375,22.9375,22.9375,22.9375,22.9375,22.9375,22.9375,22.9375,22.9375,22.9375,22.9375,22.9375,22.9375,22.9375,22.9375,22.9375,22.9375,22.9375,22.9375,22.9375,22.9375,22.9375,22.9375,22.9375,22.9375,22.9375,22.9375,22.9375,22.9375,22.9375,22.9375,22.9375,22.9375,22.9375
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparentTemperatureHigh,91.57,92.22,93.13,91.85,80.96,83.4,92.18,97.83,99.35,101.82,97.36,96.59,99.05,95.51,95.56,88.71,87.92,89.75,85.97,88.05,90.89,92.09,93.74,96.22,89.08,84.39,82.18,84.05,85.56,87.21,92.01,93.58,84.01,89.05,92.54,89.26,79.84,81.6,83.93,85.85,82.76,87.69,89.86,92.18,94.66,94.93,92.61,88.63,68.14,83.46,83.53,87.3,87.6,89.8,86.55
apparentTemperatureHighTime,1579699740,1579788360,1579871340,1579960920,1580045580,1580134500,1580219940,1580306280,1580393640,1580477820,1580562720,1580652060,1580737620,1580818020,1580908440,1580996820,1581077400,1581168060,1581246480,1581343260,1581432060,1581508380,1581602280,1581686700,1581764400,1581860220,1581947160,1582023720,1582121400,1582206720,1582292940,1582379520,1582466340,1582552500,1582638960,1582722180,1582809360,1582898280,1582984380,1583060760,1583157420,1583244000,1583330640,1583416680,1583503020,1583588520,1583673540,1583762700,1583827620,1583926920,1584011160,1584109620,1584195120,1584280440,1584367320
apparentTemperatureLow,59.43,63.45,64.29,60.16,51.08,54.47,61.77,66.65,65.65,70.43,68.61,68.6,71.86,70.85,69.64,63.28,63.96,66.46,64.46,62.94,64.81,65.04,64.09,67.36,69.57,69.94,63.79,65.52,65.64,68.28,68.94,59.76,53.59,62.45,71.32,64.82,57.73,56.05,62.41,61.04,63.84,66.37,70.31,67.66,70.81,68.11,70.4,65.46,58.39,63.21,58.18,58.87,55.41,57.07,64.02
apparentTemperatureLowTime,1579751220,1579831440,1579918140,1580010420,1580090880,1580177400,1580263860,1580356080,1580437140,1580514780,1580610360,1580695440,1580790300,1580868840,1580961300,1581040740,1581127020,1581213900,1581306360,1581387300,1581473340,1581560460,1581646320,1581732300,1581824940,1581905280,1581991380,1582070220,1582164060,1582257000,1582337820,1582431900,1582510140,1582596600,1582689000,1582772880,1582862220,1582942080,1583028720,1583114700,1583207880,1583287440,1583374620,1583459760,1583546220,1583633400,1583719680,1583815800,1583892540,1583987880,1584065220,1584159480,1584245760,1584333180,1584410100
apparentTemperatureMax,91.57,92.22,93.13,91.85,80.96,83.4,92.18,97.83,99.35,101.82,97.36,96.59,99.05,95.51,95.56,88.71,87.92,89.75,85.97,88.05,90.89,92.09,93.74,96.22,89.08,84.39,82.18,84.05,85.56,87.21,92.01,93.58,84.01,89.05,92.54,89.26,79.84,81.6,83.93,85.85,82.76,87.69,89.86,92.18,94.66,94.93,92.61,88.63,71.7,83.46,83.53,87.3,87.6,89.8,86.55
apparentTemperatureMaxTime,1579699740,1579788360,1579871340,1579960920,1580045580,1580134500,1580219940,1580306280,1580393640,1580477820,1580562720,1580652060,1580737620,1580818020,1580908440,1580996820,1581077400,1581168060,1581246480,1581343260,1581432060,1581508380,1581602280,1581686700,1581764400,1581860220,1581947160,1582023720,1582121400,1582206720,1582292940,1582379520,1582466340,1582552500,1582638960,1582722180,1582809360,1582898280,1582984380,1583060760,1583157420,1583244000,1583330640,1583416680,1583503020,1583588520,1583673540,1583762700,1583791200,1583926920,1584011160,1584109620,1584195120,1584280440,1584367320
apparentTemperatureMin,59.36,59.43,63.45,64.29,60.16,51.08,54.47,61.77,66.65,65.65,70.43,68.61,68.6,71.86,70.85,69.64,63.28,63.96,66.46,64.46,62.94,64.81,65.04,64.09,67.36,69.57,69.94,63.79,65.52,65.64,68.28,68.94,59.76,53.59,62.45,66.41,64.82,57.73,56.05,62.41,61.04,63.84,66.37,70.31,67.66,70.81,68.11,70.4,62.72,58.39,63.21,58.18,58.87,55.41,57.07
