,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,43.3266,43.3266,43.3266,43.3266,43.3266,43.3266,43.3266,43.3266,43.3266,43.3266,43.3266,43.3266,43.3266,43.3266,43.3266,43.3266,43.3266,43.3266,43.3266,43.3266,43.3266,43.3266,43.3266,43.3266,43.3266,43.3266,43.3266,43.3266,43.3266,43.3266,43.3266,43.3266,43.3266,43.3266,43.3266,43.3266,43.3266,43.3266,43.3266,43.3266,43.3266,43.3266,43.3266,43.3266,43.3266,43.3266,43.3266,43.3266,43.3266,43.3266,43.3266,43.3266,43.3266,43.3266,43.3266
Long,-84.5361,-84.5361,-84.5361,-84.5361,-84.5361,-84.5361,-84.5361,-84.5361,-84.5361,-84.5361,-84.5361,-84.5361,-84.5361,-84.5361,-84.5361,-84.5361,-84.5361,-84.5361,-84.5361,-84.5361,-84.5361,-84.5361,-84.5361,-84.5361,-84.5361,-84.5361,-84.5361,-84.5361,-84.5361,-84.5361,-84.5361,-84.5361,-84.5361,-84.5361,-84.5361,-84.5361,-84.5361,-84.5361,-84.5361,-84.5361,-84.5361,-84.5361,-84.5361,-84.5361,-84.5361,-84.5361,-84.5361,-84.5361,-84.5361,-84.5361,-84.5361,-84.5361,-84.5361,-84.5361,-84.5361
Province/State,Michigan,Michigan,Michigan,Michigan,Michigan,Michigan,Michigan,Michigan,Michigan,Michigan,Michigan,Michigan,Michigan,Michigan,Michigan,Michigan,Michigan,Michigan,Michigan,Michigan,Michigan,Michigan,Michigan,Michigan,Michigan,Michigan,Michigan,Michigan,Michigan,Michigan,Michigan,Michigan,Michigan,Michigan,Michigan,Michigan,Michigan,Michigan,Michigan,Michigan,Michigan,Michigan,Michigan,Michigan,Michigan,Michigan,Michigan,Michigan,Michigan,Michigan,Michigan,Michigan,Michigan,Michigan,Michigan
apparentTemperatureHigh,21.17,30.82,26.74,30.12,26.97,30.2,30.52,27.53,31.07,31.01,26.01,36.86,38.28,27.49,23.62,19.06,23.91,19.27,20.64,31.56,20.41,25.64,16.79,8.65,17.03,28.44,23.83,26.36,14.29,13.27,22.77,34.3,40.92,40.71,27.19,18.8,9.58,12.64,24.44,40.68,43.53,36.31,34.07,44.2,27.16,40.32,61.25,58.67,46.43,42.6,52.47,32.05,34.07,32.85,41.03
apparentTemperatureHighTime,1579723440,1579809240,1579892700,1579980900,1580065080,1580154780,1580252760,1580301120,1580425440,1580511480,1580594400,1580671680,1580757120,1580846940,1580934300,1581029940,1581103740,1581195660,1581292800,1581364860,1581443280,1581544800,1581595200,1581714420,1581811200,1581883260,1581974760,1582027200,1582145700,1582229520,1582312740,1582399860,1582485900,1582571880,1582660200,1582757940,1582829280,1582922640,1583009100,1583092740,1583179080,1583262000,1583355240,1583438220,1583524860,1583615880,1583698020,1583785140,1583875800,1583956560,1584044160,1584126360,1584214620,1584298140,1584385560
apparentTemperatureLow,16.7,24.39,26.57,26.32,22.26,22.61,23.59,22.41,24.83,20.82,23.16,27.45,22.84,11.35,14.69,11.67,8.38,14.82,18.34,16.16,12.94,13.85,-7.97,-10.87,17.03,6.88,20.11,6.42,-1.36,-0.57,13.07,20.59,24.06,22.25,15.6,6.66,3.63,6.28,11.66,28.35,25.91,24.01,17.71,24.74,17.96,23.54,38.75,28.6,29.55,33.45,25.32,25.92,19.91,17.07,28.75
apparentTemperatureLowTime,1579762740,1579860600,1579910400,1580043600,1580118600,1580212740,1580280360,1580356740,1580471700,1580554920,1580615220,1580719800,1580821200,1580900280,1580990760,1581069180,1581166800,1581233400,1581339600,1581415080,1581512400,1581598800,1581671580,1581760500,1581811200,1581939900,1581991620,1582110780,1582192800,1582269120,1582365300,1582454940,1582538520,1582631340,1582722000,1582800840,1582887780,1582973760,1583046240,1583152740,1583228700,1583319180,1583402760,1583496240,1583586000,1583661720,1583751180,1583841600,1583925060,1584014280,1584100800,1584178140,1584273300,1584356340,1584442380
apparentTemperatureMax,21.17,30.82,29.14,33.91,27.2,30.2,30.52,28.67,31.07,31.01,26.01,36.86,38.28,27.49,23.62,20.06,23.91,20.25,26.25,31.56,21.14,25.64,25.45,8.65,20.11,28.44,23.83,26.36,15.92,13.27,22.77,34.3,40.92,40.71,29.16,21.34,10.09,12.64,24.44,40.68,43.53,36.31,34.07,44.2,29.61,40.32,61.25,58.67,50.11,42.6,52.47,42.29,34.07,32.85,41.03
apparentTemperatureMaxTime,1579723440,1579809240,1579924800,1579932120,1580015460,1580154780,1580252760,1580274000,1580425440,1580511480,1580594400,1580671680,1580757120,1580846940,1580934300,1580968920,1581103740,1581138000,1581307200,1581364860,1581397200,1581544800,1581579180,1581714420,1581825600,1581883260,1581974760,1582027140,1582088400,1582229520,1582312740,1582399860,1582485900,1582571880,1582610400,1582693200,1582779600,1582922640,1583009100,1583092740,1583179080,1583262000,1583355240,1583438220,1583474520,1583615880,1583698020,1583785140,1583827260,1583956560,1584044160,1584072000,1584214620,1584298140,1584385560
