,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,44.2998,44.2998,44.2998,44.2998,44.2998,44.2998,44.2998,44.2998,44.2998,44.2998,44.2998,44.2998,44.2998,44.2998,44.2998,44.2998,44.2998,44.2998,44.2998,44.2998,44.2998,44.2998,44.2998,44.2998,44.2998,44.2998,44.2998,44.2998,44.2998,44.2998,44.2998,44.2998,44.2998,44.2998,44.2998,44.2998,44.2998,44.2998,44.2998,44.2998,44.2998,44.2998,44.2998,44.2998,44.2998,44.2998,44.2998,44.2998,44.2998,44.2998,44.2998,44.2998,44.2998,44.2998,44.2998
Long,-99.4388,-99.4388,-99.4388,-99.4388,-99.4388,-99.4388,-99.4388,-99.4388,-99.4388,-99.4388,-99.4388,-99.4388,-99.4388,-99.4388,-99.4388,-99.4388,-99.4388,-99.4388,-99.4388,-99.4388,-99.4388,-99.4388,-99.4388,-99.4388,-99.4388,-99.4388,-99.4388,-99.4388,-99.4388,-99.4388,-99.4388,-99.4388,-99.4388,-99.4388,-99.4388,-99.4388,-99.4388,-99.4388,-99.4388,-99.4388,-99.4388,-99.4388,-99.4388,-99.4388,-99.4388,-99.4388,-99.4388,-99.4388,-99.4388,-99.4388,-99.4388,-99.4388,-99.4388,-99.4388,-99.4388
Province/State,South Dakota,South Dakota,South Dakota,South Dakota,South Dakota,South Dakota,South Dakota,South Dakota,South Dakota,South Dakota,South Dakota,South Dakota,South Dakota,South Dakota,South Dakota,South Dakota,South Dakota,South Dakota,South Dakota,South Dakota,South Dakota,South Dakota,South Dakota,South Dakota,South Dakota,South Dakota,South Dakota,South Dakota,South Dakota,South Dakota,South Dakota,South Dakota,South Dakota,South Dakota,South Dakota,South Dakota,South Dakota,South Dakota,South Dakota,South Dakota,South Dakota,South Dakota,South Dakota,South Dakota,South Dakota,South Dakota,South Dakota,South Dakota,South Dakota,South Dakota,South Dakota,South Dakota,South Dakota,South Dakota,South Dakota
apparentTemperatureHigh,35.23,16.3,23.21,22.84,28.68,28.05,24.82,28.35,31.95,23.98,36.54,33.77,14.68,16.77,18.94,26.43,8.94,23.99,19.44,23.76,24.86,19.68,3.17,30.19,29.25,27.05,18.75,5.29,2.36,22.59,31.14,35.2,31.02,24.99,15.91,26.16,28.69,34.52,42.36,31.41,38.71,39.53,53.97,31.1,56.31,69.14,59.45,27.56,38.07,59.78,34.34,34.57,24.18,26.03,28.49
apparentTemperatureHighTime,1579719240,1579809300,1579895160,1579984200,1580067780,1580157420,1580259600,1580327760,1580424900,1580500980,1580601900,1580669580,1580734800,1580846400,1580933520,1581018120,1581120420,1581191700,1581279120,1581364980,1581451680,1581512400,1581627480,1581717360,1581797820,1581882720,1581968520,1582043880,1582140840,1582236000,1582315560,1582410660,1582487400,1582573440,1582660860,1582754340,1582842660,1582919580,1583012940,1583088540,1583185800,1583265780,1583358420,1583448300,1583531460,1583617620,1583690160,1583794380,1583876580,1583963640,1584043560,1584129240,1584223200,1584309480,1584388440
apparentTemperatureLow,11.86,6.63,5.71,14.53,13.98,18.92,23.1,21.11,17.09,18.38,27.86,13.92,1.87,2.63,6.23,-9.59,-0.63,8.03,3.92,1.54,15.07,-34.53,-20.38,13.22,6.18,11.78,3.25,-14.15,-14.23,5.14,13.68,17.9,9.26,9.73,3.46,11.54,20.39,16.8,22.6,12.66,21.85,23.62,20.97,19.24,29.81,35.67,15.21,19.57,22.15,29.57,17.63,11.91,17.1,22.19,19.14
apparentTemperatureLowTime,1579788000,1579874040,1579946460,1580015220,1580126400,1580210040,1580306400,1580364840,1580479200,1580553060,1580652000,1580738400,1580819880,1580899320,1580969220,1581084000,1581147240,1581256380,1581341760,1581429300,1581516000,1581593340,1581647220,1581775200,1581860700,1581946740,1582034400,1582110420,1582186380,1582290720,1582358640,1582455900,1582538580,1582636620,1582724340,1582779840,1582898280,1582973700,1583060460,1583146560,1583232900,1583319840,1583415240,1583496180,1583585700,1583671440,1583756400,1583837520,1583923980,1584018000,1584101700,1584190800,1584271800,1584320940,1584425340
apparentTemperatureMax,35.23,22.29,23.21,22.84,28.68,28.05,24.92,28.35,31.95,23.98,36.54,36.74,19.24,16.77,18.94,26.43,8.94,23.99,19.44,23.76,24.86,20.15,3.17,30.19,29.25,27.05,18.75,7.8,2.36,22.59,31.14,35.2,31.02,24.99,16.72,26.16,28.69,34.52,42.36,31.41,38.71,39.53,53.97,32.37,56.31,69.14,59.45,27.56,38.07,59.78,41.52,34.57,24.18,26.03,28.49
apparentTemperatureMaxTime,1579719240,1579759200,1579895160,1579984200,1580067780,1580157420,1580261280,1580327760,1580424900,1580500980,1580601900,1580624040,1580709600,1580846400,1580933520,1581018120,1581120420,1581191700,1581279120,1581364980,1581451680,1581488220,1581627480,1581717360,1581797820,1581882720,1581968520,1582005600,1582140840,1582236000,1582315560,1582410660,1582487400,1582573440,1582610400,1582754340,1582842660,1582919580,1583012940,1583088540,1583185800,1583265780,1583358420,1583388000,1583531460,1583617620,1583690160,1583794380,1583876580,1583963640,1583989200,1584129240,1584223200,1584309480,1584388440
