,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,41.1489,41.1489,41.1489,41.1489,41.1489,41.1489,41.1489,41.1489,41.1489,41.1489,41.1489,41.1489,41.1489,41.1489,41.1489,41.1489,41.1489,41.1489,41.1489,41.1489,41.1489,41.1489,41.1489,41.1489,41.1489,41.1489,41.1489,41.1489,41.1489,41.1489,41.1489,41.1489,41.1489,41.1489,41.1489,41.1489,41.1489,41.1489,41.1489,41.1489,41.1489,41.1489,41.1489,41.1489,41.1489,41.1489,41.1489,41.1489,41.1489,41.1489,41.1489,41.1489,41.1489,41.1489,41.1489
Long,-73.983,-73.983,-73.983,-73.983,-73.983,-73.983,-73.983,-73.983,-73.983,-73.983,-73.983,-73.983,-73.983,-73.983,-73.983,-73.983,-73.983,-73.983,-73.983,-73.983,-73.983,-73.983,-73.983,-73.983,-73.983,-73.983,-73.983,-73.983,-73.983,-73.983,-73.983,-73.983,-73.983,-73.983,-73.983,-73.983,-73.983,-73.983,-73.983,-73.983,-73.983,-73.983,-73.983,-73.983,-73.983,-73.983,-73.983,-73.983,-73.983,-73.983,-73.983,-73.983,-73.983,-73.983,-73.983
Province/State,"Rockland County, NY","Rockland County, NY","Rockland County, NY","Rockland County, NY","Rockland County, NY","Rockland County, NY","Rockland County, NY","Rockland County, NY","Rockland County, NY","Rockland County, NY","Rockland County, NY","Rockland County, NY","Rockland County, NY","Rockland County, NY","Rockland County, NY","Rockland County, NY","Rockland County, NY","Rockland County, NY","Rockland County, NY","Rockland County, NY","Rockland County, NY","Rockland County, NY","Rockland County, NY","Rockland County, NY","Rockland County, NY","Rockland County, NY","Rockland County, NY","Rockland County, NY","Rockland County, NY","Rockland County, NY","Rockland County, NY","Rockland County, NY","Rockland County, NY","Rockland County, NY","Rockland County, NY","Rockland County, NY","Rockland County, NY","Rockland County, NY","Rockland County, NY","Rockland County, NY","Rockland County, NY","Rockland County, NY","Rockland County, NY","Rockland County, NY","Rockland County, NY","Rockland County, NY","Rockland County, NY","Rockland County, NY","Rockland County, NY","Rockland County, NY","Rockland County, NY","Rockland County, NY","Rockland County, NY","Rockland County, NY","Rockland County, NY"
apparentTemperatureHigh,38.43,44.97,50.68,43.53,42.1,40.88,37.89,37.3,37.24,43.68,42.03,40.21,55.62,56.33,41.07,39.13,50.14,35.48,38.87,43.21,46.02,46.13,40.19,20.78,25.14,42.89,51.66,40.78,40.32,32.2,32.43,51.82,55.15,62.61,53.38,46.18,36.58,33.27,27.57,38.34,60.49,59.55,56.09,53.18,45.2,42.84,61.04,73.17,67.94,56.51,50.41,68.45,55.42,54.04,43.74
apparentTemperatureHighTime,1579722780,1579807020,1579892100,1579994100,1580058180,1580147220,1580230320,1580327400,1580412960,1580500260,1580586480,1580671380,1580760120,1580846760,1580931300,1581012360,1581098160,1581190440,1581278460,1581379200,1581451380,1581534300,1581624900,1581681600,1581796200,1581881280,1581968640,1582068420,1582131900,1582223100,1582314000,1582400760,1582486560,1582571700,1582650240,1582746360,1582804800,1582919280,1582996800,1583092800,1583178540,1583252160,1583351340,1583438100,1583512440,1583610840,1583697780,1583782500,1583865000,1583956440,1584043080,1584127620,1584214440,1584301920,1584385380
apparentTemperatureLow,20.29,27.89,28.73,30.34,29.68,29.18,24.35,13.57,26.39,34.1,33.53,31.82,34.93,32.62,30.78,33.2,19.41,23.05,31.04,40.41,30.15,31.7,19.28,7.61,18.71,28.97,28.67,33.2,21.82,12.26,19.31,26.93,30.67,40.07,40.94,34.49,19,20.56,14.27,25.7,44.54,38.44,31.87,32.3,26.37,26.33,36.52,44.6,37.51,35.66,39.94,36.14,37.46,24.87,34.38
apparentTemperatureLowTime,1579779780,1579866000,1579946460,1580035680,1580122140,1580206560,1580296380,1580382420,1580470680,1580547420,1580643660,1580715960,1580802060,1580893200,1580983200,1581044100,1581151920,1581248040,1581311400,1581414900,1581507660,1581572640,1581685200,1581752340,1581828840,1581938460,1582003740,1582113720,1582190460,1582280940,1582367880,1582454880,1582544340,1582628220,1582715220,1582808400,1582885200,1582971720,1583040360,1583146620,1583230320,1583319480,1583405880,1583492400,1583578920,1583660820,1583750580,1583835180,1583925120,1584000600,1584072540,1584183600,1584270720,1584356280,1584414360
apparentTemperatureMax,38.43,44.97,50.68,43.53,42.1,40.88,37.89,37.3,37.24,43.68,42.03,40.21,55.62,56.33,41.3,39.13,50.14,35.48,38.87,43.22,46.02,46.13,40.19,32.13,25.14,42.89,51.66,40.78,40.32,32.2,32.43,51.82,55.15,62.61,53.38,46.18,40.16,33.27,27.57,38.34,60.49,59.55,56.09,53.18,45.2,42.84,61.04,73.17,67.94,56.51,50.41,68.45,55.42,54.04,43.74
apparentTemperatureMaxTime,1579722780,1579807020,1579892100,1579994100,1580058180,1580147220,1580230320,1580327400,1580412960,1580500260,1580586480,1580671380,1580760120,1580846760,1580878800,1581012360,1581098160,1581190440,1581278460,1581379560,1581451380,1581534300,1581624900,1581659760,1581796200,1581881280,1581968640,1582068420,1582131900,1582223100,1582314000,1582400760,1582486560,1582571700,1582650240,1582746360,1582796700,1582919280,1582996800,1583092800,1583178540,1583252160,1583351340,1583438100,1583512440,1583610840,1583697780,1583782500,1583865000,1583956440,1584043080,1584127620,1584214440,1584301920,1584385380
