,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,40.7453,40.7453,40.7453,40.7453,40.7453,40.7453,40.7453,40.7453,40.7453,40.7453,40.7453,40.7453,40.7453,40.7453,40.7453,40.7453,40.7453,40.7453,40.7453,40.7453,40.7453,40.7453,40.7453,40.7453,40.7453,40.7453,40.7453,40.7453,40.7453,40.7453,40.7453,40.7453,40.7453,40.7453,40.7453,40.7453,40.7453,40.7453,40.7453,40.7453,40.7453,40.7453,40.7453,40.7453,40.7453,40.7453,40.7453,40.7453,40.7453,40.7453,40.7453,40.7453,40.7453,40.7453,40.7453
Long,-74.0535,-74.0535,-74.0535,-74.0535,-74.0535,-74.0535,-74.0535,-74.0535,-74.0535,-74.0535,-74.0535,-74.0535,-74.0535,-74.0535,-74.0535,-74.0535,-74.0535,-74.0535,-74.0535,-74.0535,-74.0535,-74.0535,-74.0535,-74.0535,-74.0535,-74.0535,-74.0535,-74.0535,-74.0535,-74.0535,-74.0535,-74.0535,-74.0535,-74.0535,-74.0535,-74.0535,-74.0535,-74.0535,-74.0535,-74.0535,-74.0535,-74.0535,-74.0535,-74.0535,-74.0535,-74.0535,-74.0535,-74.0535,-74.0535,-74.0535,-74.0535,-74.0535,-74.0535,-74.0535,-74.0535
Province/State,"Hudson County, NJ","Hudson County, NJ","Hudson County, NJ","Hudson County, NJ","Hudson County, NJ","Hudson County, NJ","Hudson County, NJ","Hudson County, NJ","Hudson County, NJ","Hudson County, NJ","Hudson County, NJ","Hudson County, NJ","Hudson County, NJ","Hudson County, NJ","Hudson County, NJ","Hudson County, NJ","Hudson County, NJ","Hudson County, NJ","Hudson County, NJ","Hudson County, NJ","Hudson County, NJ","Hudson County, NJ","Hudson County, NJ","Hudson County, NJ","Hudson County, NJ","Hudson County, NJ","Hudson County, NJ","Hudson County, NJ","Hudson County, NJ","Hudson County, NJ","Hudson County, NJ","Hudson County, NJ","Hudson County, NJ","Hudson County, NJ","Hudson County, NJ","Hudson County, NJ","Hudson County, NJ","Hudson County, NJ","Hudson County, NJ","Hudson County, NJ","Hudson County, NJ","Hudson County, NJ","Hudson County, NJ","Hudson County, NJ","Hudson County, NJ","Hudson County, NJ","Hudson County, NJ","Hudson County, NJ","Hudson County, NJ","Hudson County, NJ","Hudson County, NJ","Hudson County, NJ","Hudson County, NJ","Hudson County, NJ","Hudson County, NJ"
apparentTemperatureHigh,39.11,45.49,52.4,46.67,40.98,40.45,36.84,35.08,36.48,40.65,41.83,37.89,55.94,57.16,40.22,38.18,54.77,32.74,40.28,41.01,46.79,42.56,40.25,23.7,22.41,41.55,50.75,43.9,42.09,28.92,31.11,45.39,56.01,59.67,48.85,44.6,33.82,31.75,25.19,38.46,58.43,56.55,55.8,51.84,40.66,42.53,58.88,71.92,64.76,55.63,46.27,69.43,56.25,54.04,39.69
apparentTemperatureHighTime,1579724760,1579808940,1579895100,1579988580,1580063520,1580155680,1580230920,1580326980,1580416620,1580497380,1580586600,1580669520,1580762940,1580850180,1580922540,1581018960,1581094800,1581190680,1581278400,1581354780,1581451440,1581532680,1581624420,1581681600,1581808680,1581888240,1581969660,1582054980,1582135680,1582228680,1582315920,1582402860,1582487400,1582570740,1582657140,1582721940,1582804800,1582920840,1583001360,1583098740,1583176980,1583250180,1583353620,1583439060,1583511660,1583613660,1583699460,1583785740,1583869920,1583955660,1584039900,1584132600,1584216120,1584302640,1584382980
apparentTemperatureLow,26.71,30.71,31.19,31.02,29.73,29.89,25.76,16.04,27.05,33.89,31.06,30.85,38.04,33.71,30.98,33.48,20.75,23.54,33.85,40.88,31.46,31.65,21.15,6.51,18.4,32.22,30.52,35.29,22.4,11.9,19.75,29.04,35.36,42.6,43.05,30.9,17.43,19.34,15.59,29.08,44.71,38.17,33.13,32.4,28.27,28.04,38,47.24,39.34,39.96,41.06,37.09,38.75,25.25,33.49
apparentTemperatureLowTime,1579778640,1579868100,1579937760,1580039100,1580118180,1580206320,1580302800,1580384640,1580465160,1580547660,1580641440,1580710320,1580803680,1580895360,1580970180,1581040560,1581148620,1581249240,1581303720,1581379200,1581507600,1581567660,1581685200,1581753720,1581826200,1581937260,1582012740,1582117200,1582189500,1582279800,1582371900,1582448580,1582541580,1582623480,1582713240,1582808400,1582884840,1582980420,1583042160,1583146500,1583229600,1583322660,1583405940,1583490480,1583579340,1583661180,1583754120,1583834460,1583925060,1584013560,1584075060,1584183780,1584269640,1584357180,1584405780
apparentTemperatureMax,39.11,45.49,52.4,46.67,40.98,40.45,36.84,35.08,36.48,40.65,41.83,38.25,55.94,57.16,51.2,38.18,54.77,34.92,40.28,43.19,46.79,42.56,40.25,33.07,22.41,41.55,50.75,43.9,42.23,28.92,31.11,45.39,56.01,59.67,48.85,44.71,39.67,32.27,25.19,38.46,58.43,56.55,55.8,51.84,40.66,42.53,58.88,71.92,64.76,57.76,46.27,69.43,56.25,54.04,39.69
apparentTemperatureMaxTime,1579724760,1579808940,1579895100,1579988580,1580063520,1580155680,1580230920,1580326980,1580416620,1580497380,1580586600,1580626620,1580762940,1580850180,1580878800,1581018960,1581094800,1581212520,1581278400,1581393600,1581451440,1581532680,1581624420,1581659880,1581808680,1581888240,1581969660,1582054980,1582095360,1582228680,1582315920,1582402860,1582487400,1582570740,1582657140,1582693200,1582793700,1582937580,1583001360,1583098740,1583176980,1583250180,1583353620,1583439060,1583511660,1583613660,1583699460,1583785740,1583869920,1583899200,1584039900,1584132600,1584216120,1584302640,1584382980
