,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country/Region,Rwanda,Rwanda,Rwanda,Rwanda,Rwanda,Rwanda,Rwanda,Rwanda,Rwanda,Rwanda,Rwanda,Rwanda,Rwanda,Rwanda,Rwanda,Rwanda,Rwanda,Rwanda,Rwanda,Rwanda,Rwanda,Rwanda,Rwanda,Rwanda,Rwanda,Rwanda,Rwanda,Rwanda,Rwanda,Rwanda,Rwanda,Rwanda,Rwanda,Rwanda,Rwanda,Rwanda,Rwanda,Rwanda,Rwanda,Rwanda,Rwanda,Rwanda,Rwanda,Rwanda,Rwanda,Rwanda,Rwanda,Rwanda,Rwanda,Rwanda,Rwanda,Rwanda,Rwanda,Rwanda,Rwanda
Lat,-1.9403,-1.9403,-1.9403,-1.9403,-1.9403,-1.9403,-1.9403,-1.9403,-1.9403,-1.9403,-1.9403,-1.9403,-1.9403,-1.9403,-1.9403,-1.9403,-1.9403,-1.9403,-1.9403,-1.9403,-1.9403,-1.9403,-1.9403,-1.9403,-1.9403,-1.9403,-1.9403,-1.9403,-1.9403,-1.9403,-1.9403,-1.9403,-1.9403,-1.9403,-1.9403,-1.9403,-1.9403,-1.9403,-1.9403,-1.9403,-1.9403,-1.9403,-1.9403,-1.9403,-1.9403,-1.9403,-1.9403,-1.9403,-1.9403,-1.9403,-1.9403,-1.9403,-1.9403,-1.9403,-1.9403
Long,29.8739,29.8739,29.8739,29.8739,29.8739,29.8739,29.8739,29.8739,29.8739,29.8739,29.8739,29.8739,29.8739,29.8739,29.8739,29.8739,29.8739,29.8739,29.8739,29.8739,29.8739,29.8739,29.8739,29.8739,29.8739,29.8739,29.8739,29.8739,29.8739,29.8739,29.8739,29.8739,29.8739,29.8739,29.8739,29.8739,29.8739,29.8739,29.8739,29.8739,29.8739,29.8739,29.8739,29.8739,29.8739,29.8739,29.8739,29.8739,29.8739,29.8739,29.8739,29.8739,29.8739,29.8739,29.8739
time,1579644000,1579730400,1579816800,1579903200,1579989600,1580076000,1580162400,1580248800,1580335200,1580421600,1580508000,1580594400,1580680800,1580767200,1580853600,1580940000,1581026400,1581112800,1581199200,1581285600,1581372000,1581458400,1581544800,1581631200,1581717600,1581804000,1581890400,1581976800,1582063200,1582149600,1582236000,1582322400,1582408800,1582495200,1582581600,1582668000,1582754400,1582840800,1582927200,1583013600,1583100000,1583186400,1583272800,1583359200,1583445600,1583532000,1583618400,1583704800,1583791200,1583877600,1583964000,1584050400,1584136800,1584223200,1584309600
summary,Overcast throughout the day.,Possible light rain overnight.,Overcast throughout the day.,Overcast throughout the day.,Mostly cloudy throughout the day.,Overcast throughout the day.,Light rain throughout the day.,Possible light rain in the afternoon and evening.,Possible light rain in the afternoon and evening.,Possible light rain starting in the afternoon.,Rain until evening.,Possible light rain in the afternoon and evening.,Possible light rain throughout the day.,Light rain throughout the day.,Light rain throughout the day.,Possible light rain in the afternoon and evening.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Mostly cloudy throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Possible light rain overnight.,Mostly cloudy throughout the day.,Overcast throughout the day.,Mostly cloudy throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Possible light rain in the afternoon.,Partly cloudy throughout the day.,Mostly cloudy throughout the day.,Overcast throughout the day.,Possible light rain in the evening.,Possible light rain in the afternoon and evening.,Possible light rain overnight.,Possible light rain in the afternoon.,Light rain in the afternoon and evening.,Mostly cloudy throughout the day.,Light rain starting in the afternoon.,Possible drizzle in the morning.,Possible light rain in the evening and overnight.,Possible light rain until evening.,Possible light rain in the evening.,Possible light rain in the afternoon.,Mostly cloudy throughout the day.,Possible light rain starting in the afternoon.,Possible light rain in the morning and afternoon.,Possible light rain in the afternoon and evening.,Possible light rain until evening.,Light rain throughout the day.,Light rain until evening.,Possible light rain in the afternoon.,Partly cloudy throughout the day.,Possible light rain in the afternoon and evening.
icon,cloudy,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,partly-cloudy-day,rain,partly-cloudy-day,partly-cloudy-day,clear-day,rain,rain,cloudy,rain,rain,rain,rain,rain,rain,partly-cloudy-day,partly-cloudy-day,cloudy,rain,rain,rain,rain,rain,partly-cloudy-day,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain
sunriseTime,1579666020,1579752420,1579838820,1579925280,1580011680,1580098080,1580184480,1580270940,1580357340,1580443740,1580530140,1580616600,1580703000,1580789400,1580875800,1580962200,1581048600,1581135000,1581221460,1581307860,1581394260,1581480660,1581567060,1581653460,1581739860,1581826260,1581912660,1581999060,1582085460,1582171860,1582258260,1582344660,1582431060,1582517460,1582603800,1582690200,1582776600,1582863000,1582949400,1583035800,1583122200,1583208600,1583294940,1583381340,1583467740,1583554140,1583640540,1583726880,1583813280,1583899680,1583986080,1584072420,1584158820,1584245220,1584331620
sunsetTime,1579709940,1579796400,1579882800,1579969200,1580055600,1580142000,1580228460,1580314860,1580401260,1580487660,1580574060,1580660460,1580746860,1580833260,1580919660,1581006060,1581092520,1581178920,1581265320,1581351720,1581438060,1581524460,1581610860,1581697260,1581783660,1581870060,1581956460,1582042860,1582129260,1582215660,1582302000,1582388400,1582474800,1582561200,1582647600,1582734000,1582820340,1582906740,1582993140,1583079540,1583165880,1583252280,1583338680,1583425020,1583511420,1583597820,1583684220,1583770560,1583856960,1583943360,1584029700,1584116100,1584202500,1584288840,1584375240
moonPhase,0.93,0.96,1,0.03,0.06,0.09,0.12,0.15,0.18,0.21,0.24,0.27,0.3,0.34,0.37,0.41,0.44,0.48,0.52,0.56,0.6,0.63,0.67,0.71,0.74,0.78,0.81,0.85,0.88,0.91,0.94,0.97,0,0.03,0.07,0.1,0.13,0.16,0.19,0.22,0.25,0.28,0.32,0.35,0.39,0.42,0.46,0.5,0.54,0.58,0.62,0.66,0.69,0.73,0.76
