,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,41.5978,41.5978,41.5978,41.5978,41.5978,41.5978,41.5978,41.5978,41.5978,41.5978,41.5978,41.5978,41.5978,41.5978,41.5978,41.5978,41.5978,41.5978,41.5978,41.5978,41.5978,41.5978,41.5978,41.5978,41.5978,41.5978,41.5978,41.5978,41.5978,41.5978,41.5978,41.5978,41.5978,41.5978,41.5978,41.5978,41.5978,41.5978,41.5978,41.5978,41.5978,41.5978,41.5978,41.5978,41.5978,41.5978,41.5978,41.5978,41.5978,41.5978,41.5978,41.5978,41.5978,41.5978,41.5978
Long,-72.7554,-72.7554,-72.7554,-72.7554,-72.7554,-72.7554,-72.7554,-72.7554,-72.7554,-72.7554,-72.7554,-72.7554,-72.7554,-72.7554,-72.7554,-72.7554,-72.7554,-72.7554,-72.7554,-72.7554,-72.7554,-72.7554,-72.7554,-72.7554,-72.7554,-72.7554,-72.7554,-72.7554,-72.7554,-72.7554,-72.7554,-72.7554,-72.7554,-72.7554,-72.7554,-72.7554,-72.7554,-72.7554,-72.7554,-72.7554,-72.7554,-72.7554,-72.7554,-72.7554,-72.7554,-72.7554,-72.7554,-72.7554,-72.7554,-72.7554,-72.7554,-72.7554,-72.7554,-72.7554,-72.7554
Province/State,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut
apparentTemperatureHigh,37.21,40.13,46.56,41.55,40.83,39.35,33.2,34.13,36.43,40.19,40.53,38.93,50.69,48.47,39.72,30.38,41.39,30.37,34.46,40.54,40.87,41.4,38.8,17.42,20.55,39.79,45.04,34.22,36.32,29.6,30.7,44.17,54,60.01,53.38,47.71,43.78,30.99,26.95,32.21,55.26,58.75,53.49,52.41,44.54,39.02,57.51,70.89,64.66,55.79,47.21,64.2,53.5,52,41.66
apparentTemperatureHighTime,1579722960,1579807800,1579893900,1579996800,1580058060,1580153220,1580230860,1580325780,1580413560,1580497560,1580586000,1580672760,1580760060,1580847120,1580931840,1581019680,1581098940,1581192300,1581278100,1581379200,1581459540,1581534240,1581623640,1581681600,1581793200,1581882360,1581967920,1582067100,1582129260,1582227120,1582314720,1582401420,1582486440,1582571280,1582659180,1582747500,1582804800,1582920000,1582995660,1583094780,1583176140,1583255220,1583351880,1583438040,1583513520,1583609220,1583697600,1583781780,1583870100,1583956440,1584042240,1584131880,1584214080,1584301140,1584383340
apparentTemperatureLow,15.73,20.6,25.69,31.49,28.08,28,21.71,10.82,21.92,31.54,27.71,30.02,27.96,30.8,25.87,28.34,17.12,16.55,31.45,38.29,27.14,29.2,14.53,2.33,13.93,26.83,22.89,31.39,19.59,6.8,16.95,24.39,25.95,37.85,38.66,37.03,16.93,18.26,12.28,22.03,40.4,36.89,29.73,30,23.91,23.98,37.63,42.79,34.75,34.95,37.13,32.79,34.01,18.15,29.87
apparentTemperatureLowTime,1579778220,1579866840,1579925340,1580035860,1580118600,1580207520,1580295120,1580384280,1580471640,1580547960,1580644080,1580716860,1580804220,1580895120,1580983320,1581034320,1581159420,1581242520,1581310440,1581418680,1581508140,1581574500,1581685200,1581762720,1581814800,1581940080,1582012740,1582109940,1582188960,1582279620,1582371240,1582451880,1582542060,1582609920,1582714680,1582779780,1582889700,1582973700,1583054760,1583146740,1583234820,1583319360,1583404200,1583492280,1583582940,1583654760,1583749320,1583835600,1583924820,1584013740,1584081300,1584183300,1584268140,1584354780,1584403920
apparentTemperatureMax,37.21,40.13,46.56,41.82,40.83,39.35,33.2,34.13,36.43,40.19,40.53,38.93,50.69,48.47,39.72,31.54,41.39,30.37,34.46,41.92,40.87,41.4,38.8,31.09,20.55,39.79,45.04,36.58,36.32,29.6,30.7,44.17,54,60.01,53.38,47.71,43.79,32.54,26.95,32.21,55.26,58.75,53.49,52.41,44.54,39.02,57.51,70.89,64.66,55.79,47.21,64.2,53.5,52,41.66
apparentTemperatureMaxTime,1579722960,1579807800,1579893900,1580000220,1580058060,1580153220,1580230860,1580325780,1580413560,1580497560,1580586000,1580672760,1580760060,1580847120,1580931840,1581046440,1581098940,1581192300,1581278100,1581383460,1581459540,1581534240,1581623640,1581660240,1581793200,1581882360,1581967920,1582084380,1582129260,1582227120,1582314720,1582401420,1582486440,1582571280,1582659180,1582747500,1582804620,1582938600,1582995660,1583094780,1583176140,1583255220,1583351880,1583438040,1583513520,1583609220,1583697600,1583781780,1583870100,1583956440,1584042240,1584131880,1584214080,1584301140,1584383340
