,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,33.7879,33.7879,33.7879,33.7879,33.7879,33.7879,33.7879,33.7879,33.7879,33.7879,33.7879,33.7879,33.7879,33.7879,33.7879,33.7879,33.7879,33.7879,33.7879,33.7879,33.7879,33.7879,33.7879,33.7879,33.7879,33.7879,33.7879,33.7879,33.7879,33.7879,33.7879,33.7879,33.7879,33.7879,33.7879,33.7879,33.7879,33.7879,33.7879,33.7879,33.7879,33.7879,33.7879,33.7879,33.7879,33.7879,33.7879,33.7879,33.7879,33.7879,33.7879,33.7879,33.7879,33.7879,33.7879
Long,-117.8531,-117.8531,-117.8531,-117.8531,-117.8531,-117.8531,-117.8531,-117.8531,-117.8531,-117.8531,-117.8531,-117.8531,-117.8531,-117.8531,-117.8531,-117.8531,-117.8531,-117.8531,-117.8531,-117.8531,-117.8531,-117.8531,-117.8531,-117.8531,-117.8531,-117.8531,-117.8531,-117.8531,-117.8531,-117.8531,-117.8531,-117.8531,-117.8531,-117.8531,-117.8531,-117.8531,-117.8531,-117.8531,-117.8531,-117.8531,-117.8531,-117.8531,-117.8531,-117.8531,-117.8531,-117.8531,-117.8531,-117.8531,-117.8531,-117.8531,-117.8531,-117.8531,-117.8531,-117.8531,-117.8531
Province/State,"Orange County, CA","Orange County, CA","Orange County, CA","Orange County, CA","Orange County, CA","Orange County, CA","Orange County, CA","Orange County, CA","Orange County, CA","Orange County, CA","Orange County, CA","Orange County, CA","Orange County, CA","Orange County, CA","Orange County, CA","Orange County, CA","Orange County, CA","Orange County, CA","Orange County, CA","Orange County, CA","Orange County, CA","Orange County, CA","Orange County, CA","Orange County, CA","Orange County, CA","Orange County, CA","Orange County, CA","Orange County, CA","Orange County, CA","Orange County, CA","Orange County, CA","Orange County, CA","Orange County, CA","Orange County, CA","Orange County, CA","Orange County, CA","Orange County, CA","Orange County, CA","Orange County, CA","Orange County, CA","Orange County, CA","Orange County, CA","Orange County, CA","Orange County, CA","Orange County, CA","Orange County, CA","Orange County, CA","Orange County, CA","Orange County, CA","Orange County, CA","Orange County, CA","Orange County, CA","Orange County, CA","Orange County, CA","Orange County, CA"
apparentTemperatureHigh,63.4,73.94,70.73,67.66,58.46,71.5,73.81,74.91,73.2,81.57,84.25,67.6,62.88,60.72,61.16,63.89,67.59,67.9,55.96,72.71,71.69,65.95,68.62,68.43,68.24,68.59,68.57,69.33,67.68,79.37,76.07,61.61,65.04,69.85,83.4,81.59,83.63,85.71,70.32,59.04,70.42,79.07,69.59,78.31,69.45,65.11,65.02,72.99,66.93,70.83,57.74,58.15,62.76,63.97,62.33
apparentTemperatureHighTime,1579733580,1579817220,1579903860,1579992780,1580078280,1580164920,1580251920,1580338680,1580423340,1580510460,1580597100,1580676840,1580770620,1580857980,1580938920,1581026460,1581116340,1581198780,1581274440,1581378480,1581457380,1581545040,1581631500,1581719940,1581802440,1581891960,1581978180,1582064040,1582152600,1582239420,1582320840,1582408080,1582501440,1582583880,1582670100,1582759920,1582833960,1582923480,1583009640,1583085120,1583191200,1583272860,1583355480,1583448900,1583531520,1583614860,1583705220,1583793120,1583875080,1583964180,1584038700,1584143460,1584220020,1584309840,1584396000
apparentTemperatureLow,49.28,51.62,47.59,50.95,45.41,51.51,46.96,54.38,53.41,54.93,52.55,47.79,42.17,42.48,41.72,42.94,45.44,52.63,52.97,53.39,44.02,44.55,45.19,43.83,46.75,46.54,48.28,52.17,48.48,55.44,56.02,54.89,47.18,50.49,58.41,58.19,61.53,53.41,55.69,49.24,57.62,49.06,50.57,51.91,56.05,50.99,48.95,57.63,58.58,53.37,54.59,55.13,55.54,54.88,47.95
apparentTemperatureLowTime,1579769880,1579872240,1579960800,1580047260,1580136360,1580222340,1580308920,1580394960,1580474820,1580568840,1580655180,1580741580,1580827860,1580914680,1581000060,1581086880,1581173820,1581225600,1581345240,1581413640,1581518280,1581604920,1581688740,1581777300,1581854640,1581944460,1582036920,1582124400,1582206960,1582296600,1582382820,1582467060,1582555440,1582634760,1582728780,1582797240,1582898340,1582985340,1583074560,1583149740,1583241900,1583332920,1583417640,1583500020,1583582700,1583677560,1583754960,1583838780,1583937360,1584020220,1584110100,1584194580,1584282540,1584366120,1584454440
apparentTemperatureMax,63.4,73.94,70.73,67.66,58.46,71.5,73.81,74.91,73.2,81.57,84.25,67.6,62.88,60.72,61.16,63.89,67.59,67.9,55.96,72.71,71.69,65.95,68.62,68.43,68.24,68.59,68.57,69.33,67.68,79.37,76.07,61.61,65.04,69.85,83.4,81.59,83.63,85.71,70.32,59.04,70.42,79.07,69.59,78.31,69.45,65.11,65.02,72.99,66.93,70.83,59.31,58.15,62.76,63.97,62.33
apparentTemperatureMaxTime,1579733580,1579817220,1579903860,1579992780,1580078280,1580164920,1580251920,1580338680,1580423340,1580510460,1580597100,1580676840,1580770620,1580857980,1580938920,1581026460,1581116340,1581198780,1581274440,1581378480,1581457380,1581545040,1581631500,1581719940,1581802440,1581891960,1581978180,1582064040,1582152600,1582239420,1582320840,1582408080,1582501440,1582583880,1582670100,1582759920,1582833960,1582923480,1583009640,1583085120,1583191200,1583272860,1583355480,1583448900,1583531520,1583614860,1583705220,1583793120,1583875080,1583964180,1583996400,1584143460,1584220020,1584309840,1584396000
