,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,Kosovo,Kosovo,Kosovo,Kosovo,Kosovo,Kosovo,Kosovo,Kosovo,Kosovo,Kosovo,Kosovo,Kosovo,Kosovo,Kosovo,Kosovo,Kosovo,Kosovo,Kosovo,Kosovo,Kosovo,Kosovo,Kosovo,Kosovo,Kosovo,Kosovo,Kosovo,Kosovo,Kosovo,Kosovo,Kosovo,Kosovo,Kosovo,Kosovo,Kosovo,Kosovo,Kosovo,Kosovo,Kosovo,Kosovo,Kosovo,Kosovo,Kosovo,Kosovo,Kosovo,Kosovo,Kosovo,Kosovo,Kosovo,Kosovo,Kosovo,Kosovo,Kosovo,Kosovo,Kosovo,Kosovo
Lat,42.6026,42.6026,42.6026,42.6026,42.6026,42.6026,42.6026,42.6026,42.6026,42.6026,42.6026,42.6026,42.6026,42.6026,42.6026,42.6026,42.6026,42.6026,42.6026,42.6026,42.6026,42.6026,42.6026,42.6026,42.6026,42.6026,42.6026,42.6026,42.6026,42.6026,42.6026,42.6026,42.6026,42.6026,42.6026,42.6026,42.6026,42.6026,42.6026,42.6026,42.6026,42.6026,42.6026,42.6026,42.6026,42.6026,42.6026,42.6026,42.6026,42.6026,42.6026,42.6026,42.6026,42.6026,42.6026
Long,20.903000000000002,20.903000000000002,20.903000000000002,20.903000000000002,20.903000000000002,20.903000000000002,20.903000000000002,20.903000000000002,20.903000000000002,20.903000000000002,20.903000000000002,20.903000000000002,20.903000000000002,20.903000000000002,20.903000000000002,20.903000000000002,20.903000000000002,20.903000000000002,20.903000000000002,20.903000000000002,20.903000000000002,20.903000000000002,20.903000000000002,20.903000000000002,20.903000000000002,20.903000000000002,20.903000000000002,20.903000000000002,20.903000000000002,20.903000000000002,20.903000000000002,20.903000000000002,20.903000000000002,20.903000000000002,20.903000000000002,20.903000000000002,20.903000000000002,20.903000000000002,20.903000000000002,20.903000000000002,20.903000000000002,20.903000000000002,20.903000000000002,20.903000000000002,20.903000000000002,20.903000000000002,20.903000000000002,20.903000000000002,20.903000000000002,20.903000000000002,20.903000000000002,20.903000000000002,20.903000000000002,20.903000000000002,20.903000000000002
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparentTemperatureHigh,38.72,35.92,40.2,42.42,47.37,43.09,45.71,43.75,42.75,51.22,55.71,58.37,57.23,54.92,29.94,27.4,37.21,45.31,46.73,42.41,55.98,50.56,51.93,44.07,45.01,55,57.99,62.14,54.79,36.58,50.63,43.62,56.09,56.83,63.58,58.81,37.26,39.92,46.93,56.62,60.21,63.38,43.05,52.85,54.78,53.96,41.38,48.33,46.19,57.91,69.29,71.84,56.65,41.97,56.24
apparentTemperatureHighTime,1579695840,1579777440,1579870920,1579956960,1580044200,1580127300,1580216580,1580306040,1580391420,1580474100,1580563020,1580649540,1580734920,1580816640,1580899920,1580996820,1581083160,1581167760,1581254160,1581336960,1581418920,1581514320,1581600720,1581688740,1581771240,1581860940,1581947100,1582031880,1582118400,1582204260,1582293480,1582379460,1582464480,1582549200,1582636740,1582714860,1582812000,1582880460,1582983780,1583068500,1583154540,1583233500,1583323020,1583416260,1583497140,1583575440,1583675880,1583760060,1583847780,1583934060,1584020460,1584107880,1584183960,1584273420,1584365880
apparentTemperatureLow,17.63,17.69,25.08,29.5,32.2,30.64,35.62,21.42,23.38,30.73,30.56,34.31,37.48,27.23,14.42,19.48,25.9,20.11,26.52,37.98,26.35,26.14,25.29,34.34,24.9,24.35,27.82,34.51,30.34,27.68,28.15,23,28.34,27.47,36.23,33.1,25.77,24.15,24.32,33.67,37.25,42.63,33.99,30.11,37.41,32.55,28.07,34.76,30.03,35.12,36.74,37.51,33.59,24.88,27
apparentTemperatureLowTime,1579757700,1579841940,1579924200,1580017620,1580083080,1580190300,1580281200,1580363160,1580448120,1580533740,1580619720,1580698260,1580791500,1580884020,1580968080,1581055560,1581101700,1581224460,1581310200,1581358440,1581476820,1581572400,1581646140,1581745560,1581829200,1581915300,1582001820,1582090980,1582174920,1582262460,1582341600,1582433760,1582516320,1582606500,1582692960,1582786800,1582851360,1582953540,1583038200,1583106480,1583210760,1583283840,1583376420,1583460960,1583558400,1583647920,1583729760,1583808060,1583900760,1583987880,1584074520,1584163200,1584247440,1584334320,1584417420
apparentTemperatureMax,38.72,35.92,40.2,42.42,47.37,43.09,45.71,43.75,42.75,51.22,55.71,58.37,57.23,54.92,29.94,27.4,37.21,45.31,46.73,42.41,55.98,50.56,51.93,44.07,45.01,55,57.99,62.14,54.79,36.58,50.63,43.62,56.09,56.83,63.58,58.81,39.19,39.92,46.93,56.62,60.21,63.38,47.19,52.85,54.78,53.96,41.38,48.33,46.19,57.91,69.29,71.84,56.65,41.97,56.24
apparentTemperatureMaxTime,1579695840,1579777440,1579870920,1579956960,1580044200,1580127300,1580216580,1580306040,1580391420,1580474100,1580563020,1580649540,1580734920,1580816640,1580899920,1580996820,1581083160,1581167760,1581254160,1581336960,1581418920,1581514320,1581600720,1581688740,1581771240,1581860940,1581947100,1582031880,1582118400,1582204260,1582293480,1582379460,1582464480,1582549200,1582636740,1582714860,1582758000,1582880460,1582983780,1583068500,1583154540,1583233500,1583276400,1583416260,1583497140,1583575440,1583675880,1583760060,1583847780,1583934060,1584020460,1584107880,1584183960,1584273420,1584365880
