,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Province/State,"Fort Bend County, TX","Fort Bend County, TX","Fort Bend County, TX","Fort Bend County, TX","Fort Bend County, TX","Fort Bend County, TX","Fort Bend County, TX","Fort Bend County, TX","Fort Bend County, TX","Fort Bend County, TX","Fort Bend County, TX","Fort Bend County, TX","Fort Bend County, TX","Fort Bend County, TX","Fort Bend County, TX","Fort Bend County, TX","Fort Bend County, TX","Fort Bend County, TX","Fort Bend County, TX","Fort Bend County, TX","Fort Bend County, TX","Fort Bend County, TX","Fort Bend County, TX","Fort Bend County, TX","Fort Bend County, TX","Fort Bend County, TX","Fort Bend County, TX","Fort Bend County, TX","Fort Bend County, TX","Fort Bend County, TX","Fort Bend County, TX","Fort Bend County, TX","Fort Bend County, TX","Fort Bend County, TX","Fort Bend County, TX","Fort Bend County, TX","Fort Bend County, TX","Fort Bend County, TX","Fort Bend County, TX","Fort Bend County, TX","Fort Bend County, TX","Fort Bend County, TX","Fort Bend County, TX","Fort Bend County, TX","Fort Bend County, TX","Fort Bend County, TX","Fort Bend County, TX","Fort Bend County, TX","Fort Bend County, TX","Fort Bend County, TX","Fort Bend County, TX","Fort Bend County, TX","Fort Bend County, TX","Fort Bend County, TX","Fort Bend County, TX"
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,29.5693,29.5693,29.5693,29.5693,29.5693,29.5693,29.5693,29.5693,29.5693,29.5693,29.5693,29.5693,29.5693,29.5693,29.5693,29.5693,29.5693,29.5693,29.5693,29.5693,29.5693,29.5693,29.5693,29.5693,29.5693,29.5693,29.5693,29.5693,29.5693,29.5693,29.5693,29.5693,29.5693,29.5693,29.5693,29.5693,29.5693,29.5693,29.5693,29.5693,29.5693,29.5693,29.5693,29.5693,29.5693,29.5693,29.5693,29.5693,29.5693,29.5693,29.5693,29.5693,29.5693,29.5693,29.5693
Long,-95.8143,-95.8143,-95.8143,-95.8143,-95.8143,-95.8143,-95.8143,-95.8143,-95.8143,-95.8143,-95.8143,-95.8143,-95.8143,-95.8143,-95.8143,-95.8143,-95.8143,-95.8143,-95.8143,-95.8143,-95.8143,-95.8143,-95.8143,-95.8143,-95.8143,-95.8143,-95.8143,-95.8143,-95.8143,-95.8143,-95.8143,-95.8143,-95.8143,-95.8143,-95.8143,-95.8143,-95.8143,-95.8143,-95.8143,-95.8143,-95.8143,-95.8143,-95.8143,-95.8143,-95.8143,-95.8143,-95.8143,-95.8143,-95.8143,-95.8143,-95.8143,-95.8143,-95.8143,-95.8143,-95.8143
time,1579672800,1579759200,1579845600,1579932000,1580018400,1580104800,1580191200,1580277600,1580364000,1580450400,1580536800,1580623200,1580709600,1580796000,1580882400,1580968800,1581055200,1581141600,1581228000,1581314400,1581400800,1581487200,1581573600,1581660000,1581746400,1581832800,1581919200,1582005600,1582092000,1582178400,1582264800,1582351200,1582437600,1582524000,1582610400,1582696800,1582783200,1582869600,1582956000,1583042400,1583128800,1583215200,1583301600,1583388000,1583474400,1583560800,1583647200,1583730000,1583816400,1583902800,1583989200,1584075600,1584162000,1584248400,1584334800
summary,Rain throughout the day.,Mostly cloudy throughout the day.,Clear throughout the day.,Rain overnight.,Light rain in the morning.,Partly cloudy throughout the day.,Light rain until evening.,Partly cloudy throughout the day.,Mostly cloudy throughout the day.,Mostly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Mostly cloudy throughout the day.,Humid and overcast throughout the day.,Possible light rain in the morning.,Clear throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Possible light rain starting in the afternoon.,Possible light rain until evening.,"Possible drizzle until afternoon, starting again overnight.",Light rain in the morning and afternoon.,Clear throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Mostly cloudy throughout the day.,Humid and mostly cloudy throughout the day.,Humid and overcast throughout the day.,Possible light rain in the morning and overnight.,Light rain in the morning and afternoon.,Clear throughout the day.,Clear throughout the day.,Overcast throughout the day.,Rain in the morning.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Overcast throughout the day.,Mostly cloudy throughout the day.,Humid and overcast throughout the day.,Possible light rain in the morning and afternoon.,Clear throughout the day.,Clear throughout the day.,Mostly cloudy throughout the day.,Clear throughout the day.,Possible light rain in the afternoon.,Possible light rain in the afternoon.,Mostly cloudy throughout the day.,Mostly cloudy throughout the day.,Humid and mostly cloudy throughout the day.,Humid and mostly cloudy throughout the day.,Humid and mostly cloudy throughout the day.,Overcast throughout the day.
icon,rain,rain,clear-day,rain,rain,partly-cloudy-day,rain,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,clear-day,clear-day,rain,rain,rain,rain,clear-day,partly-cloudy-day,rain,rain,rain,rain,clear-day,clear-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,rain,rain,rain,clear-day,clear-day,cloudy,rain,clear-day,partly-cloudy-day,clear-day,clear-day,clear-day,partly-cloudy-day,partly-cloudy-day,cloudy,rain,partly-cloudy-day,clear-day,partly-cloudy-day,clear-day,rain,rain,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,rain,rain
sunriseTime,1579699140,1579785480,1579871880,1579958280,1580044620,1580131020,1580217360,1580303760,1580390100,1580476500,1580562840,1580649240,1580735580,1580821920,1580908320,1580994660,1581081000,1581167400,1581253740,1581340080,1581426420,1581512820,1581599160,1581685500,1581771840,1581858180,1581944520,1582030920,1582117260,1582203600,1582289940,1582376280,1582462620,1582548960,1582635300,1582721640,1582807980,1582894320,1582980660,1583066940,1583153280,1583239620,1583325960,1583412300,1583498640,1583584980,1583671320,1583757600,1583843940,1583930280,1584016620,1584102960,1584189300,1584275580,1584361920
sunsetTime,1579737180,1579823640,1579910100,1579996560,1580083020,1580169480,1580255880,1580342340,1580428800,1580515260,1580601720,1580688180,1580774640,1580861040,1580947500,1581033960,1581120420,1581206880,1581293340,1581379740,1581466200,1581552660,1581639120,1581725580,1581811980,1581898440,1581984900,1582071360,1582157760,1582244220,1582330680,1582417140,1582503540,1582590000,1582676460,1582762920,1582849320,1582935780,1583022240,1583108640,1583195100,1583281560,1583367960,1583454420,1583540880,1583627280,1583713740,1583800140,1583886600,1583973060,1584059460,1584145920,1584232320,1584318780,1584405240
moonPhase,0.94,0.97,0.01,0.04,0.07,0.1,0.13,0.16,0.19,0.22,0.25,0.28,0.32,0.35,0.38,0.42,0.46,0.49,0.53,0.57,0.61,0.65,0.68,0.72,0.76,0.79,0.82,0.86,0.89,0.92,0.95,0.98,0.01,0.05,0.08,0.11,0.14,0.17,0.2,0.23,0.26,0.29,0.33,0.36,0.4,0.44,0.48,0.51,0.55,0.59,0.63,0.67,0.7,0.74,0.77
