,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,44.571999999999996,44.571999999999996,44.571999999999996,44.571999999999996,44.571999999999996,44.571999999999996,44.571999999999996,44.571999999999996,44.571999999999996,44.571999999999996,44.571999999999996,44.571999999999996,44.571999999999996,44.571999999999996,44.571999999999996,44.571999999999996,44.571999999999996,44.571999999999996,44.571999999999996,44.571999999999996,44.571999999999996,44.571999999999996,44.571999999999996,44.571999999999996,44.571999999999996,44.571999999999996,44.571999999999996,44.571999999999996,44.571999999999996,44.571999999999996,44.571999999999996,44.571999999999996,44.571999999999996,44.571999999999996,44.571999999999996,44.571999999999996,44.571999999999996,44.571999999999996,44.571999999999996,44.571999999999996,44.571999999999996,44.571999999999996,44.571999999999996,44.571999999999996,44.571999999999996,44.571999999999996,44.571999999999996,44.571999999999996,44.571999999999996,44.571999999999996,44.571999999999996,44.571999999999996,44.571999999999996,44.571999999999996,44.571999999999996
Long,-122.0709,-122.0709,-122.0709,-122.0709,-122.0709,-122.0709,-122.0709,-122.0709,-122.0709,-122.0709,-122.0709,-122.0709,-122.0709,-122.0709,-122.0709,-122.0709,-122.0709,-122.0709,-122.0709,-122.0709,-122.0709,-122.0709,-122.0709,-122.0709,-122.0709,-122.0709,-122.0709,-122.0709,-122.0709,-122.0709,-122.0709,-122.0709,-122.0709,-122.0709,-122.0709,-122.0709,-122.0709,-122.0709,-122.0709,-122.0709,-122.0709,-122.0709,-122.0709,-122.0709,-122.0709,-122.0709,-122.0709,-122.0709,-122.0709,-122.0709,-122.0709,-122.0709,-122.0709,-122.0709,-122.0709
Province/State,Oregon,Oregon,Oregon,Oregon,Oregon,Oregon,Oregon,Oregon,Oregon,Oregon,Oregon,Oregon,Oregon,Oregon,Oregon,Oregon,Oregon,Oregon,Oregon,Oregon,Oregon,Oregon,Oregon,Oregon,Oregon,Oregon,Oregon,Oregon,Oregon,Oregon,Oregon,Oregon,Oregon,Oregon,Oregon,Oregon,Oregon,Oregon,Oregon,Oregon,Oregon,Oregon,Oregon,Oregon,Oregon,Oregon,Oregon,Oregon,Oregon,Oregon,Oregon,Oregon,Oregon,Oregon,Oregon
apparentTemperatureHigh,33.51,41.63,34.42,40.85,32.13,32.71,29.66,33.93,40.3,45.85,34,23.13,21.5,28.62,31.61,32.98,35.01,23.74,40.16,46.22,37.48,46.35,38.88,29.02,28.43,28.79,32.7,34.86,39.58,46.88,52.51,47.51,27.7,33.92,52.74,45.61,57.7,50.63,27.49,36.18,34.89,42,45.72,51.88,37.59,29.77,37.45,40.93,52.34,39.76,50.69,36,29.96,27.25,38.2
apparentTemperatureHighTime,1579748400,1579816560,1579896120,1579982880,1580068560,1580180400,1580248620,1580335200,1580420760,1580508000,1580576280,1580680260,1580759580,1580851980,1580958000,1581037080,1581111900,1581217200,1581284940,1581374520,1581450840,1581544140,1581623040,1581717240,1581822000,1581882480,1581979740,1582062600,1582148820,1582236540,1582321200,1582411320,1582476180,1582581420,1582667220,1582753980,1582842060,1582919880,1583012160,1583098560,1583186280,1583273100,1583359260,1583438700,1583524620,1583636400,1583697720,1583794320,1583876880,1583956980,1584052620,1584122760,1584216180,1584309420,1584395100
apparentTemperatureLow,33.51,31.61,30.95,30.62,27.78,27.05,28.52,25.95,36.32,32.01,18.23,13.97,16.75,21.61,31.01,29.65,20.49,15.38,18.05,22.95,25.45,24.59,22.88,25.06,25.95,21.2,9.75,16.46,20.41,25.36,23.83,26.98,20.01,22.6,30.71,25.04,32.24,20.29,17.54,22.41,31.07,30.23,31.81,29.26,23.32,17.38,22.01,20.89,28.61,21.61,30.56,22.91,7.61,15.84,22.56
apparentTemperatureLowTime,1579748400,1579881600,1579932180,1580051340,1580110260,1580227200,1580309700,1580395980,1580450940,1580564880,1580659080,1580728080,1580825700,1580878800,1581004800,1581088320,1581159300,1581259740,1581346020,1581432840,1581520200,1581604560,1581681360,1581779700,1581868800,1581933360,1582037100,1582122960,1582208220,1582293540,1582382280,1582470360,1582514700,1582641240,1582728420,1582796940,1582900440,1582989360,1583068680,1583140080,1583245440,1583333220,1583413980,1583505540,1583594340,1583677920,1583765700,1583830860,1583938380,1584023520,1584106860,1584190860,1584282600,1584337020,1584449820
apparentTemperatureMax,35.48,41.63,35.34,40.85,38.69,34.04,32.87,36.79,40.3,45.85,36.22,23.13,22.13,28.62,32.63,32.98,35.01,28.06,40.16,46.22,37.48,46.35,38.88,29.02,29.41,28.79,32.7,34.86,39.58,46.88,52.51,47.51,29.06,33.92,52.74,45.61,57.7,50.63,27.49,36.18,34.89,42,45.72,51.88,37.59,29.87,37.45,40.93,52.34,39.76,50.69,36,29.96,27.25,38.2
apparentTemperatureMaxTime,1579760280,1579816560,1579852800,1579982880,1580025600,1580185980,1580198400,1580362920,1580420760,1580508000,1580544000,1580680260,1580788740,1580851980,1580971680,1581037080,1581111900,1581225240,1581284940,1581374520,1581450840,1581544140,1581623040,1581717240,1581828480,1581882480,1581979740,1582062600,1582148820,1582236540,1582321200,1582411320,1582444800,1582581420,1582667220,1582753980,1582842060,1582919880,1583012160,1583098560,1583186280,1583273100,1583359260,1583438700,1583524620,1583637000,1583697720,1583794320,1583876880,1583956980,1584052620,1584122760,1584216180,1584309420,1584395100
