,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,41.122,41.122,41.122,41.122,41.122,41.122,41.122,41.122,41.122,41.122,41.122,41.122,41.122,41.122,41.122,41.122,41.122,41.122,41.122,41.122,41.122,41.122,41.122,41.122,41.122,41.122,41.122,41.122,41.122,41.122,41.122,41.122,41.122,41.122,41.122,41.122,41.122,41.122,41.122,41.122,41.122,41.122,41.122,41.122,41.122,41.122,41.122,41.122,41.122,41.122,41.122,41.122,41.122,41.122,41.122
Long,-73.7949,-73.7949,-73.7949,-73.7949,-73.7949,-73.7949,-73.7949,-73.7949,-73.7949,-73.7949,-73.7949,-73.7949,-73.7949,-73.7949,-73.7949,-73.7949,-73.7949,-73.7949,-73.7949,-73.7949,-73.7949,-73.7949,-73.7949,-73.7949,-73.7949,-73.7949,-73.7949,-73.7949,-73.7949,-73.7949,-73.7949,-73.7949,-73.7949,-73.7949,-73.7949,-73.7949,-73.7949,-73.7949,-73.7949,-73.7949,-73.7949,-73.7949,-73.7949,-73.7949,-73.7949,-73.7949,-73.7949,-73.7949,-73.7949,-73.7949,-73.7949,-73.7949,-73.7949,-73.7949,-73.7949
Province/State,"Westchester County, NY","Westchester County, NY","Westchester County, NY","Westchester County, NY","Westchester County, NY","Westchester County, NY","Westchester County, NY","Westchester County, NY","Westchester County, NY","Westchester County, NY","Westchester County, NY","Westchester County, NY","Westchester County, NY","Westchester County, NY","Westchester County, NY","Westchester County, NY","Westchester County, NY","Westchester County, NY","Westchester County, NY","Westchester County, NY","Westchester County, NY","Westchester County, NY","Westchester County, NY","Westchester County, NY","Westchester County, NY","Westchester County, NY","Westchester County, NY","Westchester County, NY","Westchester County, NY","Westchester County, NY","Westchester County, NY","Westchester County, NY","Westchester County, NY","Westchester County, NY","Westchester County, NY","Westchester County, NY","Westchester County, NY","Westchester County, NY","Westchester County, NY","Westchester County, NY","Westchester County, NY","Westchester County, NY","Westchester County, NY","Westchester County, NY","Westchester County, NY","Westchester County, NY","Westchester County, NY","Westchester County, NY","Westchester County, NY","Westchester County, NY","Westchester County, NY","Westchester County, NY","Westchester County, NY","Westchester County, NY","Westchester County, NY"
apparentTemperatureHigh,37.02,42.92,47.74,43.66,39.45,38.73,35.87,33.74,36.18,42.74,40.85,38.97,53.12,53.58,38.38,36.14,50.97,33.26,37.82,41.42,45.02,43.03,39.05,20.16,22.73,40.64,50.14,39.77,38.15,30,30.06,45.94,55.02,60.7,51.34,44.34,36.08,31.02,25.51,35.74,57.83,58.21,54.61,51.57,42.39,39.79,58.75,71.18,66.94,55.41,47.4,66.82,54.47,52.16,40.18
apparentTemperatureHighTime,1579722780,1579808460,1579891200,1579996560,1580068320,1580152020,1580230500,1580327160,1580413080,1580496840,1580586600,1580672160,1580761380,1580848680,1580931300,1581019440,1581098220,1581206400,1581285540,1581379200,1581451140,1581534180,1581623880,1581681600,1581795600,1581882300,1581969360,1582070400,1582131840,1582224060,1582315380,1582401900,1582486860,1582571640,1582650300,1582746720,1582804800,1582919700,1582996020,1583107140,1583177520,1583253900,1583351760,1583438220,1583510520,1583611140,1583697840,1583783280,1583867460,1583956440,1584041220,1584131460,1584214860,1584301920,1584386160
apparentTemperatureLow,20.37,28.51,27.22,28.67,27.14,26.49,21.56,13.19,26.47,33.54,29.55,29.66,31.47,31.08,29.22,30.88,16.4,21.41,31.24,40.17,27.16,30.98,18.32,6.33,18.41,27.59,26.91,32.03,19.18,9.89,18.31,25,31.38,39.24,41.2,33.96,16.61,18.09,12,25.22,42.43,36.25,29.47,28.99,22.83,23.87,37.09,44.83,36.32,33.53,37.04,34.02,34.83,22.76,33
apparentTemperatureLowTime,1579777740,1579866600,1579948080,1580035980,1580121000,1580208600,1580298480,1580383080,1580471040,1580544420,1580642220,1580725680,1580802060,1580893560,1580974320,1581043200,1581155040,1581242340,1581310380,1581415080,1581507480,1581571140,1581685200,1581755700,1581829140,1581937380,1582002480,1582115160,1582196100,1582282500,1582367040,1582448520,1582544280,1582628100,1582715400,1582808400,1582889580,1582972620,1583041920,1583145480,1583230740,1583319180,1583405520,1583490960,1583578920,1583660940,1583749140,1583834820,1583924640,1584008880,1584078120,1584183360,1584270180,1584357780,1584412380
apparentTemperatureMax,37.02,42.92,47.74,43.66,39.45,38.73,35.87,33.74,36.18,42.74,40.85,38.97,53.12,53.58,39.68,36.14,50.97,33.28,37.82,42.33,45.02,43.03,39.05,30.15,22.73,40.64,50.14,39.81,38.16,30,30.06,45.94,55.02,60.7,51.34,44.34,38.39,31.02,25.51,35.74,57.83,58.21,54.61,51.57,42.39,39.79,58.75,71.18,66.94,55.84,47.4,66.82,54.47,52.16,40.18
apparentTemperatureMaxTime,1579722780,1579808460,1579891200,1579996560,1580068320,1580152020,1580230500,1580327160,1580413080,1580496840,1580586600,1580672160,1580761380,1580848680,1580878800,1581019440,1581098220,1581206700,1581285540,1581383940,1581451140,1581534180,1581623880,1581659760,1581795600,1581882300,1581969360,1582070760,1582088400,1582224060,1582315380,1582401900,1582486860,1582571640,1582650300,1582746720,1582798020,1582919700,1582996020,1583107140,1583177520,1583253900,1583351760,1583438220,1583510520,1583611140,1583697840,1583783280,1583867460,1583899200,1584041220,1584131460,1584214860,1584301920,1584386160
