,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,39.0639,39.0639,39.0639,39.0639,39.0639,39.0639,39.0639,39.0639,39.0639,39.0639,39.0639,39.0639,39.0639,39.0639,39.0639,39.0639,39.0639,39.0639,39.0639,39.0639,39.0639,39.0639,39.0639,39.0639,39.0639,39.0639,39.0639,39.0639,39.0639,39.0639,39.0639,39.0639,39.0639,39.0639,39.0639,39.0639,39.0639,39.0639,39.0639,39.0639,39.0639,39.0639,39.0639,39.0639,39.0639,39.0639,39.0639,39.0639,39.0639,39.0639,39.0639,39.0639,39.0639,39.0639,39.0639
Long,-76.8021,-76.8021,-76.8021,-76.8021,-76.8021,-76.8021,-76.8021,-76.8021,-76.8021,-76.8021,-76.8021,-76.8021,-76.8021,-76.8021,-76.8021,-76.8021,-76.8021,-76.8021,-76.8021,-76.8021,-76.8021,-76.8021,-76.8021,-76.8021,-76.8021,-76.8021,-76.8021,-76.8021,-76.8021,-76.8021,-76.8021,-76.8021,-76.8021,-76.8021,-76.8021,-76.8021,-76.8021,-76.8021,-76.8021,-76.8021,-76.8021,-76.8021,-76.8021,-76.8021,-76.8021,-76.8021,-76.8021,-76.8021,-76.8021,-76.8021,-76.8021,-76.8021,-76.8021,-76.8021,-76.8021
Province/State,Maryland,Maryland,Maryland,Maryland,Maryland,Maryland,Maryland,Maryland,Maryland,Maryland,Maryland,Maryland,Maryland,Maryland,Maryland,Maryland,Maryland,Maryland,Maryland,Maryland,Maryland,Maryland,Maryland,Maryland,Maryland,Maryland,Maryland,Maryland,Maryland,Maryland,Maryland,Maryland,Maryland,Maryland,Maryland,Maryland,Maryland,Maryland,Maryland,Maryland,Maryland,Maryland,Maryland,Maryland,Maryland,Maryland,Maryland,Maryland,Maryland,Maryland,Maryland,Maryland,Maryland,Maryland,Maryland
apparentTemperatureHigh,39.75,41.96,46.66,47.06,42.86,44.1,40.06,42.28,39.64,45.19,48.97,51.87,65.55,65.93,41.3,42.65,57.2,41.55,47.89,44.35,54.5,47.83,55.52,31.51,31.02,52.82,54.22,60.18,52.45,39.7,35.01,53.69,58.73,61.01,51.61,50.73,35.12,41.17,28.46,47.66,65.71,63.06,63.57,54.85,46.31,51.37,61.12,74.17,71.02,54.04,59.99,73.77,57.97,51.21,54.23
apparentTemperatureHighTime,1579724880,1579812240,1579899840,1579968420,1580068500,1580148120,1580241180,1580334600,1580410080,1580501340,1580588940,1580679420,1580754360,1580849460,1580904000,1581018660,1581077280,1581192180,1581281520,1581372300,1581452460,1581530700,1581613920,1581681600,1581797220,1581886500,1581969840,1582055400,1582144500,1582228920,1582325580,1582407540,1582488540,1582571460,1582659600,1582745040,1582829700,1582926060,1583007780,1583099160,1583177940,1583273040,1583355900,1583435580,1583528400,1583613060,1583698200,1583784300,1583871420,1583957460,1584036000,1584126420,1584213360,1584311640,1584388500
apparentTemperatureLow,20.79,30.3,40.89,33.06,28.56,33.71,33.61,22.32,29.62,29.46,31,37,49.62,39.15,33.18,38.84,26.04,26.2,35.93,44,36.51,34.2,30.14,17.42,21.58,32.84,32.56,37.95,26.1,14.99,19.31,23.87,28.81,44.91,47.25,27.82,23.09,22.92,18.71,26.33,41.76,41.51,37.11,32.13,29.67,27.53,38.99,56.02,42.28,41.4,47.35,41.69,37,32.38,40.63
apparentTemperatureLowTime,1579779720,1579862880,1579924860,1580027160,1580122620,1580205720,1580302800,1580385600,1580453760,1580557560,1580640240,1580720400,1580821200,1580907600,1580952900,1581039360,1581148140,1581249000,1581311160,1581379200,1581508500,1581569940,1581685200,1581767760,1581820920,1581937380,1582001280,1582117200,1582191300,1582283460,1582369200,1582453080,1582544760,1582625220,1582714440,1582808400,1582888500,1582981200,1583058840,1583146260,1583236680,1583319600,1583409960,1583484000,1583578920,1583665440,1583754780,1583835300,1583927100,1583997120,1584086880,1584186840,1584251880,1584356880,1584414420
apparentTemperatureMax,39.75,41.96,46.66,47.06,42.86,44.1,40.06,42.28,39.64,45.19,48.97,51.87,65.55,65.93,54.22,42.79,57.2,41.55,47.89,47.12,54.5,47.83,55.52,37.36,31.02,52.82,54.22,60.18,52.88,39.7,35.01,53.69,58.73,61.01,51.61,50.73,41.35,41.17,29.16,47.66,65.71,63.06,63.57,54.85,46.31,51.37,61.12,74.17,71.02,58.54,59.99,73.77,57.97,51.21,54.23
apparentTemperatureMaxTime,1579724880,1579812240,1579899840,1579968420,1580068500,1580148120,1580241180,1580334600,1580410080,1580501340,1580588940,1580679420,1580754360,1580849460,1580878800,1581046740,1581077280,1581192180,1581281520,1581390540,1581452460,1581530700,1581613920,1581658260,1581797220,1581886500,1581969840,1582055400,1582091940,1582228920,1582325580,1582407540,1582488540,1582571460,1582659600,1582745040,1582779600,1582926060,1583031600,1583099160,1583177940,1583273040,1583355900,1583435580,1583528400,1583613060,1583698200,1583784300,1583871420,1583899200,1584036000,1584126420,1584213360,1584311640,1584388500
apparentTemperatureMin,17.7,20.79,30.3,35.79,33.06,28.56,33.71,31.62,22.32,29.62,29.46,31,37,49.46,33.18,34.2,26.94,26.04,26.2,35.93,44.64,35.21,34.2,21.81,17.42,23.54,32.84,32.67,32.44,26.1,14.99,19.31,23.87,28.81,44.91,41.43,23.75,23.09,22.89,18.71,26.33,41.76,41.51,35.78,32.13,29.67,27.53,38.99,56.02,42.28,41.4,47.35,41.57,36.68,32.38
apparentTemperatureMinTime,1579683780,1579779720,1579862880,1580011200,1580027160,1580122620,1580205720,1580356800,1580385600,1580453760,1580557560,1580640240,1580720400,1580822760,1580952900,1580984340,1581131220,1581148140,1581249000,1581311160,1581480000,1581566400,1581570000,1581739200,1581767760,1581845520,1581937380,1582002000,1582171200,1582191300,1582283460,1582369200,1582453080,1582544760,1582625220,1582776000,1582854840,1582888500,1582981680,1583058840,1583146260,1583236680,1583319600,1583467200,1583484000,1583578920,1583665440,1583754780,1583835300,1583927100,1583997120,1584086880,1584241200,1584275820,1584356880
cloudCover,0.03,0.58,0.69,0.76,0.29,0.44,0.46,0.32,0.3,0.69,0.63,0.39,0.22,0.72,0.96,1,0.62,0.14,0.12,0.85,0.98,0.67,0.91,0.21,0.18,0.47,0.25,0.63,0.57,0.65,0.05,0,0.04,0.45,0.96,0.98,0.27,0.44,0.21,0.02,0.4,0.53,0.19,0.41,0.52,0.24,0,0.12,0.62,0.5,0.69,0.76,0.36,0.75,0.32
dewPoint,16.12,21.84,33.48,42.35,29.79,29.1,28.2,24.2,21.07,29.96,34.53,33.13,35.67,45.41,38.94,39.22,37.09,21.41,24.22,38.47,48.78,30.36,42.86,17.85,11,25.09,27.25,37.72,24.15,14.99,8.66,8.78,14.66,26.96,46.26,47.09,21.98,19.14,12.85,14.28,29.08,47.34,27.99,25.98,32.85,21.95,16.87,25.14,45.68,37.75,40.34,44.21,21.52,35.9,29.08
humidity,0.61,0.71,0.77,0.88,0.64,0.65,0.61,0.55,0.65,0.77,0.88,0.74,0.57,0.65,0.85,0.98,0.75,0.56,0.63,0.81,0.93,0.62,0.88,0.52,0.53,0.62,0.57,0.71,0.44,0.46,0.42,0.35,0.42,0.54,0.94,0.96,0.54,0.49,0.45,0.44,0.52,0.83,0.39,0.46,0.78,0.49,0.37,0.33,0.56,0.63,0.7,0.67,0.33,0.76,0.57
icon,clear-day,partly-cloudy-day,rain,rain,clear-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,clear-day,snow,rain,rain,clear-day,rain,rain,rain,rain,clear-day,clear-day,rain,rain,rain,rain,clear-day,clear-day,partly-cloudy-day,clear-day,rain,rain,partly-cloudy-day,clear-day,clear-day,clear-day,partly-cloudy-day,rain,rain,rain,partly-cloudy-day,clear-day,clear-day,rain,rain,clear-day,partly-cloudy-day,rain,rain,clear-day,clear-day,rain,partly-cloudy-day,partly-cloudy-day,rain,rain,rain,partly-cloudy-day
moonPhase,0.94,0.97,0.01,0.04,0.07,0.1,0.13,0.16,0.19,0.22,0.25,0.28,0.31,0.35,0.38,0.42,0.45,0.49,0.53,0.57,0.61,0.64,0.68,0.72,0.75,0.79,0.82,0.86,0.89,0.92,0.95,0.98,0.01,0.04,0.07,0.1,0.13,0.16,0.2,0.23,0.26,0.29,0.33,0.36,0.4,0.44,0.47,0.51,0.55,0.59,0.63,0.67,0.7,0.74,0.77
ozone,333.7,314.2,324.4,356.2,371.7,370.6,350,352.3,357.3,353.2,358.2,365.7,327.3,290.9,313.9,314.2,338.5,361.3,327.4,314.5,297.9,289.6,290.6,337.5,329.5,332.5,338.9,319,317.1,334.7,425.4,365.7,341.5,321,298.6,302.9,359,390.6,422.6,362.2,348.8,378.8,354.5,326.2,388,391.3,334.4,330.6,337.1,373.9,356.8,334.8,308.9,314.8,343
precipAccumulation,,0.02,,,,,,,0.02,0.01,,,,,,,,0.01,0.01,,,,,,0.02,0,,,,,0.01,0,,,,,,0,0.01,,,,,,,,,,,,,,,,
precipIntensity,0,0.0002,0.0001,0.0509,0.0001,0.0001,0.0001,0.0001,0.0001,0.0004,0.0051,0.0003,0.0001,0.0011,0.0026,0.0253,0.0272,0.0001,0.0001,0.0119,0.0196,0.0026,0.0086,0,0.0001,0.0001,0,0.0001,0.0004,0.0001,0.0001,0.0001,0,0.0001,0.0113,0.0017,0.0061,0.0001,0.0001,0,0.0018,0.0027,0.0001,0,0.0021,0.0004,0.0001,0,0.0006,0.0001,0.0001,0.0099,0.0006,0.0084,0.0001
precipIntensityMax,0.0002,0.0013,0.0002,0.2948,0.0003,0.0005,0.0003,0.0005,0.0006,0.0051,0.0387,0.0048,0.0004,0.011,0.0154,0.167,0.2546,0.0004,0.0005,0.0423,0.101,0.0295,0.04,0.0001,0.0002,0.0002,0.0004,0.0004,0.0053,0.0004,0.0003,0.0002,0.0002,0.001,0.0756,0.0133,0.0751,0.0004,0.0004,0.0002,0.0231,0.0412,0.0005,0.0002,0.0172,0.0051,0.0006,0,0.0104,0.0005,0.0004,0.0877,0.0171,0.0458,0.0003
precipIntensityMaxTime,1579679940,1579795200,1579910880,1579946400,1580039640,1580115540,1580223780,1580289120,1580407200,1580515020,1580605620,1580634000,1580755680,1580821440,1580961600,1581022740,1581087360,1581191940,1581246000,1581343560,1581421380,1581556260,1581607800,1581681000,1581757140,1581844680,1581998400,1582012800,1582102800,1582185540,1582293600,1582419540,1582448520,1582567260,1582642080,1582769700,1582781880,1582930860,1583002920,1583110860,1583208000,1583211600,1583298000,1583388720,1583535600,1583560740,1583654400,1583758980,1583895540,1583899200,1584002940,1584089580,1584241200,1584249120,1584364920
precipProbability,0.04,0.06,0.35,0.99,0.14,0.18,0.13,0.05,0.04,0.52,0.87,0.58,0.09,0.7,0.83,0.99,0.97,0.07,0.1,0.98,0.99,0.75,0.9,0.09,0.02,0.07,0.1,0.31,0.57,0.13,0.07,0.02,0.03,0.12,0.94,0.71,0.91,0.11,0.05,0.04,0.72,0.79,0.11,0.03,0.78,0.57,0.03,0,0.54,0.11,0.21,0.96,0.62,0.91,0.05
precipType,,snow,rain,rain,rain,rain,rain,rain,snow,snow,rain,rain,rain,rain,rain,rain,rain,snow,snow,rain,rain,rain,rain,,snow,snow,,rain,rain,rain,snow,snow,,rain,rain,rain,rain,snow,snow,,rain,rain,rain,,rain,rain,rain,,rain,rain,rain,rain,rain,rain,rain
pressure,1031.8,1029.1,1024.2,1011.7,1012.4,1009.5,1013.5,1019.4,1025,1025,1013.4,1003.4,1010,1009.6,1014.6,1002.3,994,1022.7,1030.7,1022,1013.7,1020.9,1008.3,1026.7,1034.3,1021.9,1023.8,1020.8,1025.6,1030.7,1032.6,1027.2,1022.5,1016.2,1010.6,1009.6,1008.3,1013.1,1016.1,1022.7,1014.2,1005,1011,1019.5,1012,1025.4,1032.3,1028.5,1019.8,1019.2,1017.7,1012.9,1027.6,1030.8,1031.5
